time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,--undefined--
0.06,--undefined--,--undefined--
0.07,--undefined--,73.24634454935742
0.08,--undefined--,72.91697137961128
0.09,--undefined--,72.92440721680849
0.1,--undefined--,73.32595068186534
0.11,--undefined--,74.12323961876811
0.12,--undefined--,74.9902913300968
0.13,--undefined--,75.50311786765325
0.14,--undefined--,75.56847120480373
0.15,--undefined--,75.3120101967976
0.16,--undefined--,74.90003982528313
0.17,--undefined--,74.57265661861788
0.18,--undefined--,74.43364693882754
0.19,--undefined--,74.28151917644651
0.2,--undefined--,74.09278544876847
0.21,--undefined--,74.21748808176791
0.22,--undefined--,74.86714710906387
0.23,--undefined--,75.82941450293973
0.24,--undefined--,76.78942328001271
0.25,235.3901720395644,77.54124225719005
0.26,238.41197260878639,77.97004147084199
0.27,243.10115696606397,78.0695430158574
0.28,247.28885178802736,77.96324966041365
0.29,249.58180792963742,77.80382962178955
0.3,--undefined--,77.61985490026578
0.31,--undefined--,77.31538842612113
0.32,--undefined--,76.84964947615647
0.33,--undefined--,76.37874037506188
0.34,--undefined--,76.12992816901445
0.35000000000000003,--undefined--,76.1454077221508
0.36,--undefined--,76.27047387180865
0.37,--undefined--,76.29484710327431
0.38,--undefined--,76.14161580040775
0.39,--undefined--,76.01476385079903
0.4,--undefined--,76.19081454196956
0.41000000000000003,--undefined--,76.70255163814798
0.42,--undefined--,77.3112206699731
0.43,--undefined--,77.56554768724831
0.44,--undefined--,77.07380180369172
0.45,--undefined--,75.88409198554344
0.46,--undefined--,74.54016516846345
0.47000000000000003,--undefined--,73.58334772157154
0.48,--undefined--,73.01253839212279
0.49,--undefined--,72.61352484002927
0.5,--undefined--,72.26673155210831
0.51,--undefined--,71.89481689905492
0.52,--undefined--,71.50972076530459
0.53,--undefined--,71.14162612964356
0.54,--undefined--,70.66453903818928
0.55,--undefined--,69.92795311547691
0.56,--undefined--,69.06485543766719
0.5700000000000001,--undefined--,68.43460401236392
0.58,--undefined--,68.17354208729026
0.59,--undefined--,68.15198051478112
0.6,--undefined--,68.59215113647203
0.61,--undefined--,69.90277380532896
0.62,221.1907320510101,71.7066060797886
0.63,221.25050520249823,73.32482572088446
0.64,221.8305775406442,74.53967925296759
0.65,223.5093546085264,75.35421594117598
0.66,226.09736913420994,75.79438106491797
0.67,228.63285907588707,75.94577835359029
0.68,231.21744568774616,76.08744151016576
0.6900000000000001,233.661514137067,76.60877651053333
0.7000000000000001,235.30355699616115,77.39451091708911
0.71,236.14922155330828,77.78148109581623
0.72,236.3207348875275,77.40664416495267
0.73,235.10891976218196,76.4373293048095
0.74,231.13676096670113,75.25451052705834
0.75,--undefined--,74.10305279170278
0.76,--undefined--,73.11409446430841
0.77,--undefined--,72.48178544331981
0.78,--undefined--,72.35146606780245
0.79,--undefined--,72.7690739393226
0.8,223.2837755182322,73.71838573851153
0.81,223.77673856778267,74.98643565819097
0.8200000000000001,224.40792167451187,76.1731220955859
0.8300000000000001,224.89473904321446,76.93044642955981
0.84,225.4647487280934,77.09472022726928
0.85,226.3529886057726,76.64416051224964
0.86,227.1426807118929,75.60551674100388
0.87,227.118726820728,74.00071483988062
0.88,--undefined--,71.97230760132493
0.89,--undefined--,70.09647825193767
0.9,113.15377849833533,69.13630722555381
0.91,113.45524286646715,68.89509935307143
0.92,113.69947729813913,68.53906588048325
0.93,113.72733217484883,67.9652987786755
0.9400000000000001,--undefined--,68.01166246158759
0.9500000000000001,441.66254800044715,69.4017814589602
0.96,437.63604938116595,71.35387511220705
0.97,435.9708417435753,72.91181980250236
0.98,434.64227315510095,73.88812304239872
0.99,431.7816212819923,74.40812195054375
1,427.39121202091087,74.57015010329539
1.01,421.7269876120525,74.27557905953303
1.02,415.57618515548813,73.2862751629116
1.03,415.5153525382486,71.48859298303817
1.04,432.2237358342652,69.24957680135984
1.05,437.3137043714337,67.5401099494465
1.06,434.61782002621777,66.98160551817544
1.07,427.9620474131545,67.05003093487338
1.08,422.41651745453964,67.2484414089311
1.09,--undefined--,67.45205643494548
1.1,--undefined--,67.63120475770528
1.11,--undefined--,68.01152850499395
1.12,408.1281674937909,68.98807166243795
1.1300000000000001,406.07460001877735,70.4179007792151
1.1400000000000001,406.7069800622354,71.64197393489333
1.1500000000000001,407.5822796038555,72.26126580894122
1.16,406.4058769627502,72.17714563196789
1.17,402.61142883883525,71.33352916170271
1.18,382.5707133397169,69.68922267836582
1.19,365.1883487595653,67.42870825141954
1.2,--undefined--,65.19362653725219
1.21,137.44446727657538,63.72723520370795
1.22,136.41997523742194,62.95967843862698
1.23,136.0732222809254,62.40015441721583
1.24,--undefined--,62.25571253656092
1.25,--undefined--,63.30333050037975
1.26,364.2165732123465,65.59711146264141
1.27,375.06978306203666,68.26889503360191
1.28,386.4111360706372,70.6374195992884
1.29,393.2097597844083,72.39603716696372
1.3,396.8965354718109,73.47557856449917
1.31,400.00333545128956,73.98140170243377
1.32,404.108789831745,74.1197767480532
1.33,409.81060996566805,74.10559419605015
1.34,417.20593866354506,74.10519703562764
