frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0.979888, 1, 9.85608, -180.772, 823.835, -0.146122, -0.329534, -0.249065
2, 0.0333667, 0.98371, 1, 11.08, -180.971, 829.686, -0.170232, -0.331583, -0.295134
3, 0.0667333, 0.985726, 1, 11.4813, -182.281, 836.455, -0.194397, -0.312038, -0.325433
4, 0.1001, 0.985673, 1, 10.9992, -183.857, 842.704, -0.20369, -0.2923, -0.337623
5, 0.133467, 0.986377, 1, 9.53592, -183.891, 841.868, -0.198577, -0.263039, -0.336855
6, 0.166833, 0.988231, 1, 8.09038, -183.582, 840.374, -0.177885, -0.237874, -0.327051
7, 0.2002, 0.984881, 1, 6.91047, -184.786, 845.019, -0.161009, -0.198259, -0.313665
8, 0.233567, 0.982132, 1, 6.14819, -186.082, 855.66, -0.195912, -0.183538, -0.325316
9, 0.266933, 0.980648, 1, 5.71582, -187.854, 866.911, -0.198606, -0.170698, -0.324716
10, 0.3003, 0.981798, 1, 4.48307, -186.8, 870.842, -0.118672, -0.165122, -0.309959
11, 0.333667, 0.982147, 1, 1.73244, -184.309, 865.358, -0.065653, -0.149002, -0.280103
12, 0.367033, 0.982231, 1, -2.12896, -181.486, 859.608, -0.0343688, -0.109689, -0.258033
13, 0.4004, 0.988899, 1, -6.66832, -179.145, 852.353, -0.00856781, -0.0556369, -0.245203
14, 0.433767, 0.990708, 1, -10.7301, -178.172, 846.245, 0.0162923, 0.0211743, -0.226498
15, 0.467133, 0.990302, 1, -15.3672, -173.546, 819.172, 0.0299608, 0.0926036, -0.211667
16, 0.5005, 0.984181, 1, -20.5253, -173.567, 814.856, 0.0315421, 0.211565, -0.181403
17, 0.533867, 0.982597, 1, -26.323, -173.091, 804.29, -0.0350459, 0.270269, -0.120877
18, 0.567233, 0.984523, 1, -33.0224, -173.278, 801.687, -0.0565936, 0.340183, -0.0637355
19, 0.6006, 0.983, 1, -39.681, -174.12, 799.797, -0.0760743, 0.407574, -0.00406014
20, 0.633967, 0.982107, 1, -44.9041, -175.16, 798.653, -0.102978, 0.4646, 0.0620568
21, 0.667333, 0.979801, 1, -47.9499, -177.899, 800.489, -0.172453, 0.494659, 0.140235
22, 0.7007, 0.978854, 1, -48.6575, -182.601, 805.636, -0.237591, 0.500124, 0.220565
23, 0.734067, 0.981205, 1, -47.119, -189.711, 821.514, -0.277807, 0.469364, 0.265933
24, 0.767433, 0.979088, 1, -44.7375, -194.073, 830.512, -0.29124, 0.438538, 0.280439
25, 0.8008, 0.979322, 1, -42.3921, -194.149, 833.603, -0.266516, 0.430426, 0.265884
26, 0.834167, 0.980702, 1, -39.8859, -190.671, 833.984, -0.187385, 0.433403, 0.219976
27, 0.867533, 0.970361, 1, -38.9405, -184.486, 819.166, -0.139751, 0.501204, 0.190619
28, 0.9009, 0.966309, 1, -39.7186, -185.249, 819.966, -0.149475, 0.496799, 0.185525
29, 0.934267, 0.964761, 1, -39.9481, -186.9, 817.239, -0.186149, 0.498784, 0.200359
30, 0.967633, 0.967038, 1, -38.9885, -186.119, 812.328, -0.19164, 0.512145, 0.206101
31, 1.001, 0.978185, 1, -37.4416, -187.354, 823.887, -0.171857, 0.457061, 0.181315
32, 1.03437, 0.977648, 1, -36.4875, -185.62, 824.217, -0.169367, 0.441851, 0.170874
33, 1.06773, 0.978238, 1, -36.0712, -184.994, 827.75, -0.166556, 0.428411, 0.157339
34, 1.1011, 0.979376, 1, -36.0615, -185.071, 833.324, -0.155543, 0.415731, 0.144128
35, 1.13447, 0.979519, 1, -35.2559, -182.797, 830.339, -0.1316, 0.412334, 0.12541
36, 1.16783, 0.97916, 1, -34.8528, -184.776, 847.466, -0.109935, 0.412731, 0.108026
37, 1.2012, 0.967885, 1, -34.465, -185.294, 857.045, -0.131819, 0.42861, 0.10293
