frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0.981063, 1, -17.1488, -148.83, 879.005, 0.0165216, -0.135851, -0.00811933
2, 0.0333667, 0.980956, 1, -15.8857, -149.483, 881.386, 0.00594133, -0.136369, -0.00386747
3, 0.0667333, 0.979385, 1, -14.6705, -149.822, 882.672, -0.00427177, -0.13891, 0.00268241
4, 0.1001, 0.97858, 1, -13.7006, -150.716, 886.587, -0.0120102, -0.140216, 0.005692
5, 0.133467, 0.978737, 1, -12.5689, -152.158, 890.668, -0.0450342, -0.139623, 0.00562165
6, 0.166833, 0.978774, 1, -11.371, -152.06, 889.732, -0.0468122, -0.14306, 0.00562663
7, 0.2002, 0.980571, 1, -10.4613, -151.702, 888.572, -0.0476697, -0.141592, 0.00658048
8, 0.233567, 0.981507, 1, -9.54988, -150.582, 886.007, -0.0236567, -0.142425, 0.00901807
9, 0.266933, 0.980279, 1, -8.8529, -149.76, 884.378, -0.00899996, -0.14419, 0.0115579
10, 0.3003, 0.978918, 1, -7.86801, -149.631, 884.923, -0.00824522, -0.14973, 0.012806
11, 0.333667, 0.98842, 1, -6.77193, -149.805, 885.691, -0.0106356, -0.16323, 0.00395058
12, 0.367033, 0.970841, 1, -5.54624, -149.76, 885.1, -0.0191941, -0.157118, -0.0181877
13, 0.4004, 0.985991, 1, -4.99076, -149.524, 881.686, -0.0208036, -0.169549, -0.0130876
14, 0.433767, 0.985942, 1, -4.18499, -149.696, 881.346, -0.0270152, -0.164785, -0.0288702
15, 0.467133, 0.985202, 1, -3.57651, -149.825, 880.622, -0.0321341, -0.164036, -0.0372207
16, 0.5005, 0.985405, 1, -3.20382, -149.778, 878.773, -0.038009, -0.165441, -0.0426863
17, 0.533867, 0.98588, 1, -2.52717, -149.766, 877.595, -0.0434429, -0.179062, -0.0491961
18, 0.567233, 0.986043, 1, -2.07663, -150.003, 877.438, -0.0513067, -0.18014, -0.0533479
19, 0.6006, 0.986402, 1, -1.54702, -150.028, 876.502, -0.0561195, -0.1818, -0.0549093
20, 0.633967, 0.985978, 1, -1.01539, -149.928, 875.692, -0.066809, -0.183006, -0.0552826
21, 0.667333, 0.986193, 1, -0.567904, -149.729, 874.01, -0.0813049, -0.178758, -0.0545147
22, 0.7007, 0.986437, 1, 0.129357, -149.838, 872.735, -0.0974935, -0.180539, -0.0541926
23, 0.734067, 0.986968, 1, 0.571647, -150.331, 871.596, -0.129438, -0.177306, -0.0512442
24, 0.767433, 0.958129, 1, 0.5933, -151.01, 869.316, -0.162062, -0.15584, -0.0462933
25, 0.8008, 0.987848, 1, 0.0174291, -151.164, 863.839, -0.211027, -0.161658, -0.021536
26, 0.834167, 0.961502, 1, -0.665772, -152.214, 861.902, -0.246459, -0.144687, -0.0312768
27, 0.867533, 0.965635, 1, -2.18452, -151.781, 854.161, -0.289235, -0.140171, -0.0232148
28, 0.9009, 0.969272, 1, -3.65046, -152.408, 850.993, -0.300184, -0.141654, -0.0290018
29, 0.934267, 0.986496, 1, -4.66934, -152.871, 848.603, -0.293344, -0.168533, -0.0569025
30, 0.967633, 0.957105, 1, -5.58261, -154.149, 852.273, -0.297373, -0.137915, -0.0954293
31, 1.001, 0.960939, 1, -7.14559, -154.214, 849.686, -0.311049, -0.134546, -0.0985241
32, 1.03437, 0.980592, 1, -8.72433, -154.627, 849.149, -0.296517, -0.162546, -0.119016
33, 1.06773, 0.961018, 1, -9.85086, -156.174, 854.778, -0.293375, -0.136958, -0.143836
34, 1.1011, 0.971088, 1, -11.8892, -157.55, 859.245, -0.303313, -0.128266, -0.133902
35, 1.13447, 0.973366, 1, -14.4224, -158.826, 865.439, -0.297927, -0.125087, -0.132004
36, 1.16783, 0.971541, 1, -16.7345, -161.597, 875.959, -0.292102, -0.123154, -0.138087
37, 1.2012, 0.973822, 1, -19.5509, -164.043, 885.868, -0.285697, -0.114933, -0.148234
38, 1.23457, 0.980508, 1, -22.2637, -165.683, 892.472, -0.283691, -0.107418, -0.158124
39, 1.26793, 0.981473, 1, -24.6602, -166.616, 896.718, -0.270662, -0.107002, -0.17379
40, 1.3013, 0.980628, 1, -26.5963, -166.343, 898.605, -0.25563, -0.109912, -0.186098
41, 1.33467, 0.979682, 1, -28.3986, -164.251, 897.326, -0.227793, -0.117288, -0.191725
42, 1.36803, 0.976076, 1, -29.9288, -161.118, 895.223, -0.195936, -0.121957, -0.190025
43, 1.4014, 0.979687, 1, -30.9381, -157.055, 891.994, -0.164155, -0.125112, -0.176577
44, 1.43477, 0.982716, 1, -30.2054, -153.425, 890.523, -0.13633, -0.143618, -0.158828
45, 1.46813, 0.989842, 1, -27.4252, -150.202, 887.59, -0.108963, -0.178234, -0.149134
46, 1.5015, 0.989522, 1, -24.0586, -148.022, 889.905, -0.0796295, -0.199478, -0.128647
47, 1.53487, 0.988259, 1, -20.8603, -146.348, 889.282, -0.0503268, -0.227723, -0.0786335
48, 1.56823, 0.98908, 1, -17.6129, -145.683, 889.084, -0.0337076, -0.257133, -0.00892742
49, 1.6016, 0.989679, 1, -13.4028, -144.87, 888.036, -0.0206017, -0.28492, 0.075203
50, 1.63497, 0.988894, 1, -8.75722, -144.146, 889.598, 0.00136449, -0.319323, 0.165223
51, 1.66833, 0.98787, 1, -3.66827, -142.303, 887.353, 0.0229062, -0.348429, 0.255836
52, 1.7017, 0.989048, 1, 0.686822, -140.299, 888.038, 0.0382008, -0.375073, 0.347553
53, 1.73507, 0.988007, 1, 3.95636, -138.139, 889.67, 0.0693462, -0.396114, 0.421532
54, 1.76843, 0.987948, 1, 5.67268, -136.665, 892.806, 0.0894913, -0.395207, 0.471834
55, 1.8018, 0.988944, 1, 6.38988, -135.124, 891.822, 0.110226, -0.390739, 0.501553
56, 1.83517, 0.986902, 1, 6.35437, -133.598, 888.458, 0.144763, -0.38298, 0.512733
57, 1.86853, 0.985444, 1, 6.51886, -132.947, 885.399, 0.156451, -0.384798, 0.50437
58, 1.9019, 0.986388, 1, 6.54926, -133.278, 885.187, 0.155657, -0.387571, 0.489373
59, 1.93527, 0.986584, 1, 5.91124, -133.649, 886.285, 0.15686, -0.377207, 0.480845
60, 1.96863, 0.987439, 1, 4.41882, -132.724, 883.594, 0.160602, -0.357616, 0.471547
