frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0.966995, 1, -119.94, -187.713, 1018.87, 0.082873, 0.0513134, -0.0598731
2, 0.0333667, 0.970338, 1, -122.236, -186.246, 1011.23, 0.089475, 0.0852415, -0.0708085
3, 0.0667333, 0.974566, 1, -126.179, -186.416, 1012.85, 0.0922305, 0.13561, -0.0795354
4, 0.1001, 0.973265, 1, -129.374, -185.712, 1008.95, 0.0912616, 0.159547, -0.0863949
5, 0.133467, 0.971452, 1, -133.29, -186.705, 1010.31, 0.0854126, 0.186854, -0.0877557
6, 0.166833, 0.977458, 1, -138.05, -188.697, 1016.81, 0.0623445, 0.182784, -0.0590485
7, 0.2002, 0.983693, 1, -141.637, -189.631, 1016.95, 0.0531416, 0.206855, -0.0582723
8, 0.233567, 0.98618, 1, -144.621, -189.936, 1018.12, 0.0607279, 0.219777, -0.0611531
9, 0.266933, 0.984881, 1, -147.209, -189.99, 1021.17, 0.0637276, 0.233233, -0.0743324
10, 0.3003, 0.98399, 1, -149.726, -190.278, 1027.64, 0.0767931, 0.234293, -0.092305
11, 0.333667, 0.982978, 1, -150.211, -189.044, 1025.94, 0.0992251, 0.240478, -0.106844
12, 0.367033, 0.981251, 1, -151.816, -188.135, 1025.81, 0.108209, 0.248629, -0.114794
13, 0.4004, 0.98027, 1, -152.256, -187.668, 1023.32, 0.107171, 0.254623, -0.116966
14, 0.433767, 0.983822, 1, -153.556, -187.761, 1022.99, 0.10873, 0.274567, -0.116612
15, 0.467133, 0.982566, 1, -153.712, -187.354, 1016.72, 0.100201, 0.278822, -0.115773
16, 0.5005, 0.982609, 1, -155.203, -188.106, 1018.86, 0.100672, 0.280749, -0.114269
17, 0.533867, 0.978287, 1, -155.578, -188.575, 1020.16, 0.0872686, 0.27859, -0.111403
18, 0.567233, 0.976935, 1, -156.443, -188.57, 1018.86, 0.0928727, 0.276375, -0.112736
19, 0.6006, 0.974912, 1, -157.489, -189.063, 1015.99, 0.0829836, 0.28275, -0.106707
20, 0.633967, 0.974995, 1, -158.089, -189.205, 1013.96, 0.089435, 0.28579, -0.105973
21, 0.667333, 0.977485, 1, -159.505, -190.463, 1019.47, 0.0736764, 0.282256, -0.100235
22, 0.7007, 0.984816, 1, -161.398, -191.945, 1030.27, 0.0578429, 0.281514, -0.0911664
23, 0.734067, 0.984747, 1, -161.91, -192.836, 1030.96, 0.0241353, 0.291104, -0.0853306
24, 0.767433, 0.986014, 1, -161.631, -192.714, 1029.46, 0.0350273, 0.275561, -0.083213
25, 0.8008, 0.987891, 1, -160.767, -192.486, 1023.37, 0.0241293, 0.280005, -0.0820235
26, 0.834167, 0.98972, 1, -159.587, -191.007, 1012.32, 0.0228967, 0.290139, -0.0797241
27, 0.867533, 0.98865, 1, -158.231, -191.032, 1004.54, -0.000109606, 0.288223, -0.0796341
28, 0.9009, 0.991227, 1, -157.293, -191.423, 997.963, -0.0177692, 0.286972, -0.0717822
29, 0.934267, 0.990809, 1, -156.751, -192.262, 991.677, -0.0223304, 0.296077, -0.0659431
30, 0.967633, 0.989138, 1, -155.397, -194.08, 983.938, -0.0580469, 0.29482, -0.0552034
31, 1.001, 0.988191, 1, -154.036, -195.034, 979.505, -0.0935931, 0.274527, -0.0431248
32, 1.03437, 0.987251, 1, -152.578, -196.258, 975.174, -0.11513, 0.258106, -0.0369779
33, 1.06773, 0.983321, 1, -151.17, -197.51, 971.97, -0.152416, 0.240899, -0.0290642
34, 1.1011, 0.975647, 1, -150.328, -198.325, 971.343, -0.156303, 0.217239, -0.0258472
35, 1.13447, 0.977029, 1, -149.775, -198.699, 973.381, -0.155212, 0.218365, -0.020109
36, 1.16783, 0.978305, 1, -149.292, -198.586, 972.932, -0.167553, 0.205202, -0.0174059
37, 1.2012, 0.984886, 1, -150.543, -200.655, 980.249, -0.188799, 0.196084, -0.0126288
38, 1.23457, 0.983772, 1, -153.495, -204.444, 994.81, -0.191793, 0.20166, 0.00096283
39, 1.26793, 0.980386, 1, -156.534, -207.333, 1005.03, -0.202665, 0.216962, 0.0124863
40, 1.3013, 0.974788, 1, -158.397, -209.052, 1010.35, -0.192822, 0.20846, 0.0110722
