frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0.937813, 1, 1.22377, -165.909, 972.714, 0.0129104, 0.434283, -0.0510763
2, 0.0333667, 0.931363, 1, 0.958986, -168.092, 973.621, 0.00841438, 0.455849, -0.0266479
3, 0.0667333, 0.929177, 1, 0.882278, -171.095, 976.199, 0.0110969, 0.475127, -0.0119033
4, 0.1001, 0.923319, 1, 0.640952, -173.946, 975.933, 0.00946326, 0.485826, -0.0010932
5, 0.133467, 0.921524, 1, 0.13159, -176.867, 974.936, 0.0100946, 0.492498, 0.00459961
6, 0.166833, 0.921052, 1, -0.489844, -179.822, 972.944, 0.0118782, 0.500754, 0.00795937
7, 0.2002, 0.924724, 1, -1.41851, -182.815, 970.557, 0.0116171, 0.504772, 0.0135718
8, 0.233567, 0.919846, 1, -2.53526, -185.92, 968.666, 0.0100245, 0.510582, 0.0211355
9, 0.266933, 0.914963, 1, -3.77302, -188.575, 968.457, 0.00626908, 0.50888, 0.030732
10, 0.3003, 0.919948, 1, -5.34708, -190.026, 972.285, -0.00729268, 0.499285, 0.0422463
11, 0.333667, 0.920623, 1, -6.72289, -188.462, 973.149, -0.000165259, 0.493636, 0.0478637
12, 0.367033, 0.922114, 1, -8.04969, -184.279, 971.782, 0.00622002, 0.49704, 0.0542984
13, 0.4004, 0.931573, 1, -9.67449, -184.041, 970.227, -0.00885349, 0.490954, 0.0616806
14, 0.433767, 0.931024, 1, -11.7016, -184.917, 970.03, -0.0182027, 0.494519, 0.0678431
15, 0.467133, 0.929829, 1, -13.6802, -184.76, 969.432, -0.0167353, 0.492115, 0.0710858
16, 0.5005, 0.92379, 1, -15.1896, -183.021, 967.157, -0.00280942, 0.494846, 0.0690552
17, 0.533867, 0.920685, 1, -16.0831, -181.413, 967.814, 0.00539889, 0.48861, 0.0625597
18, 0.567233, 0.917011, 1, -17.016, -178.828, 965.471, 0.0167146, 0.488918, 0.0601806
19, 0.6006, 0.921916, 1, -18.3002, -177.051, 965.111, 0.0251575, 0.485497, 0.0577814
20, 0.633967, 0.927998, 1, -20.0474, -175.654, 961.865, 0.0260764, 0.486112, 0.0601662
21, 0.667333, 0.928995, 1, -21.8185, -175.619, 960.722, 0.0262514, 0.483916, 0.0568884
22, 0.7007, 0.929289, 1, -23.4312, -175.685, 959.792, 0.0251481, 0.485225, 0.0544147
23, 0.734067, 0.931863, 1, -24.9798, -175.586, 959.403, 0.029103, 0.484859, 0.0517361
24, 0.767433, 0.930222, 1, -26.4633, -175.35, 958.974, 0.0285726, 0.484718, 0.0505216
25, 0.8008, 0.933857, 1, -27.9906, -175.103, 958.821, 0.0316416, 0.482332, 0.0496883
26, 0.834167, 0.931253, 1, -29.5549, -175.038, 958.554, 0.0316446, 0.482357, 0.051199
27, 0.867533, 0.931171, 1, -30.9126, -174.926, 957.605, 0.0259481, 0.479174, 0.0527658
28, 0.9009, 0.933364, 1, -32.018, -175.099, 957.557, 0.0222283, 0.477432, 0.0542203
29, 0.934267, 0.931086, 1, -32.4876, -175.271, 957.495, 0.0220456, 0.478762, 0.0581656
30, 0.967633, 0.93492, 1, -32.2395, -175.52, 957.704, 0.0211433, 0.477886, 0.0591647
31, 1.001, 0.9332, 1, -31.0676, -175.897, 958.123, 0.0194032, 0.475404, 0.0620351
32, 1.03437, 0.932847, 1, -29.6036, -176.129, 958.171, 0.0195687, 0.475506, 0.0619513
33, 1.06773, 0.934834, 1, -27.9652, -175.611, 958.238, 0.0202375, 0.476197, 0.0645428
34, 1.1011, 0.935616, 1, -26.107, -174.744, 960.003, 0.016787, 0.474191, 0.0677729
35, 1.13447, 0.933411, 1, -24.0839, -173.646, 959.064, 0.00980224, 0.473129, 0.0734129
36, 1.16783, 0.930411, 1, -21.7734, -172.693, 959.1, 0.0143481, 0.468247, 0.0769846
37, 1.2012, 0.938461, 1, -19.1541, -172.494, 957.867, 0.0102651, 0.468942, 0.0777156
38, 1.23457, 0.941546, 1, -17.5152, -173.643, 956.899, 0.000734863, 0.476813, 0.0820062
39, 1.26793, 0.938583, 1, -16.1715, -174.654, 956.336, -0.00317524, 0.480531, 0.0879692
40, 1.3013, 0.937063, 1, -14.8958, -175.029, 956.365, -0.0060786, 0.487726, 0.0902525
41, 1.33467, 0.936869, 1, -13.3446, -175.042, 957.067, -0.00710593, 0.487157, 0.0915887
42, 1.36803, 0.936238, 1, -11.3668, -174.995, 957.833, -0.00675026, 0.490204, 0.0909778
43, 1.4014, 0.937248, 1, -9.23402, -175.194, 957.145, -0.0112226, 0.487744, 0.0925419
44, 1.43477, 0.933972, 1, -7.47974, -175.853, 956.948, -0.0144833, 0.484369, 0.0935795
45, 1.46813, 0.934667, 1, -6.17729, -176.176, 955.139, -0.0161064, 0.486541, 0.0938663
46, 1.5015, 0.937713, 1, -5.18807, -176.917, 956.142, -0.0174489, 0.484034, 0.0939466
47, 1.53487, 0.937003, 1, -4.07259, -176.928, 956.016, -0.014833, 0.484734, 0.0944536
48, 1.56823, 0.937945, 1, -2.94918, -176.779, 956.263, -0.0171404, 0.48458, 0.0930847
49, 1.6016, 0.939975, 1, -1.78338, -176.785, 957.616, -0.0155145, 0.483458, 0.0906798
50, 1.63497, 0.939454, 1, -0.385403, -176.363, 956.703, -0.0146095, 0.486462, 0.0887023
51, 1.66833, 0.935558, 1, 1.04244, -176.623, 957.567, -0.0158351, 0.488713, 0.0878132
52, 1.7017, 0.933895, 1, 2.75542, -176.865, 957.704, -0.0193494, 0.488335, 0.0860926
53, 1.73507, 0.938869, 1, 4.41046, -177.369, 956.809, -0.0220586, 0.486174, 0.0896981
54, 1.76843, 0.931424, 1, 5.72708, -178.126, 956.992, -0.023654, 0.485118, 0.091697
55, 1.8018, 0.94311, 1, 6.8793, -178.506, 956.954, -0.0235817, 0.484925, 0.0893752
56, 1.83517, 0.937365, 1, 8.39616, -178.884, 957.883, -0.0218518, 0.483649, 0.0864273
57, 1.86853, 0.943594, 1, 11.7387, -180.576, 968.043, -0.0213106, 0.474351, 0.0835779
58, 1.9019, 0.947642, 1, 17.8036, -181.184, 969.819, -0.0105394, 0.46562, 0.0888069
59, 1.93527, 0.948645, 1, 25.5153, -181.799, 968.202, -0.0182761, 0.4041, 0.0931867
60, 1.96863, 0.972791, 1, 35.0482, -183.643, 973.575, -0.0341589, 0.316576, 0.0818372
61, 2.002, 0.971797, 1, 44.3187, -185.071, 977.172, -0.0349197, 0.213948, 0.0690163
62, 2.03537, 0.970475, 1, 51.6638, -184.857, 971.02, -0.0296283, 0.122008, 0.0648249
63, 2.06873, 0.970183, 1, 57.1228, -185.405, 971.291, -0.0374818, 0.0486017, 0.0422254
64, 2.1021, 0.968337, 1, 59.586, -186.878, 974.871, -0.0591006, 0.00391112, 0.0171042
65, 2.13547, 0.980758, 1, 60.6057, -188.118, 971.336, -0.110785, -0.0285508, -0.0112713
66, 2.16883, 0.977505, 1, 61.2863, -189.62, 971.55, -0.115405, -0.0388224, -0.0377011
67, 2.2022, 0.975715, 1, 61.3707, -190.702, 974.423, -0.103276, -0.0314859, -0.0555666
68, 2.23557, 0.974212, 1, 59.5756, -190.545, 974.59, -0.0894941, -0.00130774, -0.0655978
69, 2.26893, 0.977812, 1, 55.1786, -190.801, 978.777, -0.0824245, 0.056535, -0.0674445
70, 2.3023, 0.98297, 1, 48.1755, -189.682, 976.26, -0.077889, 0.123626, -0.0706622
71, 2.33567, 0.975721, 1, 39.4307, -187.256, 969.008, -0.0714616, 0.205278, -0.0680554
72, 2.36903, 0.97446, 1, 30.8572, -184.903, 963.992, -0.0846468, 0.259719, -0.0459924
73, 2.4024, 0.965672, 1, 24.9625, -183.382, 962.861, -0.0731076, 0.293796, -0.0314591
74, 2.43577, 0.977155, 1, 22.4583, -182.441, 964.929, -0.0590306, 0.316309, -0.0226024
75, 2.46913, 0.976824, 1, 23.8678, -182.896, 967.824, -0.0523625, 0.295056, -0.0148698
76, 2.5025, 0.969488, 1, 29.4048, -184.18, 969.237, -0.0366147, 0.222632, 0.000686642
77, 2.53587, 0.960462, 1, 38.9515, -186.855, 976.571, -0.0655361, 0.130205, 0.0116389
78, 2.56923, 0.965223, 1, 49.0762, -185.875, 963.473, -0.0810054, 0.0198037, 0.00699616
79, 2.6026, 0.944404, 1, 59.8341, -186.119, 959.886, -0.114063, -0.0672475, 0.00402482
80, 2.63597, 0.886088, 1, 69.6652, -186.502, 957.145, -0.191035, -0.0983694, -0.000417104
81, 2.66933, 0.878099, 1, 78.7929, -187.46, 957.762, -0.229292, -0.146121, -0.00884839
82, 2.7027, 0.896794, 1, 87.4192, -188.546, 962.198, -0.235746, -0.221362, -0.0273138
83, 2.73607, 0.916369, 1, 94.6779, -188.964, 964.449, -0.14058, -0.315825, -0.0677835
84, 2.76943, 0.97637, 1, 101.302, -190.219, 969.826, -0.0769217, -0.402607, -0.11109
85, 2.8028, 0.978409, 1, 104.026, -193.044, 985.043, -0.0706537, -0.417051, -0.142649
86, 2.83617, 0.975069, 1, 102.818, -192.344, 987.371, -0.0594704, -0.401754, -0.157545
87, 2.86953, 0.9702, 1, 100.298, -190.455, 984.792, -0.0428642, -0.389006, -0.166619
88, 2.9029, 0.970564, 1, 97.7152, -186.828, 972.673, -0.0309742, -0.383488, -0.171956
89, 2.93627, 0.973349, 1, 97.867, -185.189, 968.073, -0.0268993, -0.398671, -0.175742
90, 2.96963, 0.977669, 1, 99.7386, -184.696, 967.774, -0.0365987, -0.411257, -0.181341
91, 3.003, 0.974447, 1, 102.508, -184.759, 969.902, -0.0210901, -0.440313, -0.184943
92, 3.03637, 0.978283, 1, 105.792, -185.569, 975.479, -0.0204885, -0.459123, -0.186141
93, 3.06973, 0.980337, 1, 108.917, -186.494, 981.853, -0.0232871, -0.481659, -0.190393
94, 3.1031, 0.980092, 1, 111.284, -186.744, 984.678, -0.0250188, -0.504434, -0.194194
95, 3.13647, 0.979726, 1, 112.827, -186.535, 986.437, -0.0245764, -0.511058, -0.198004
96, 3.16983, 0.982134, 1, 113.907, -186.333, 987.924, -0.0233883, -0.51811, -0.202471
97, 3.2032, 0.98133, 1, 114.607, -186.097, 988.48, -0.0225993, -0.520782, -0.203375
98, 3.23657, 0.982055, 1, 115.301, -186.371, 989.667, -0.0249515, -0.523184, -0.20472
99, 3.26993, 0.982099, 1, 115.856, -186.37, 989.397, -0.0246245, -0.523722, -0.207232
100, 3.3033, 0.983001, 1, 116.649, -186.569, 990.078, -0.0247308, -0.529473, -0.209047
101, 3.33667, 0.983636, 1, 117.163, -186.713, 989.254, -0.0279095, -0.530894, -0.210177
102, 3.37003, 0.984701, 1, 117.877, -187.262, 990.45, -0.0275729, -0.532075, -0.210284
103, 3.4034, 0.983325, 1, 118.314, -187.628, 990.906, -0.0288453, -0.531595, -0.210532
104, 3.43677, 0.982394, 1, 118.429, -187.666, 990.046, -0.0277205, -0.531671, -0.211429
105, 3.47013, 0.981409, 1, 118.238, -187.708, 989.45, -0.0297362, -0.525683, -0.214244
106, 3.5035, 0.980446, 1, 118.097, -187.82, 988.705, -0.0292072, -0.520446, -0.216309
107, 3.53687, 0.980972, 1, 117.92, -188.159, 988.515, -0.0294552, -0.517311, -0.214414
