frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0.927473, 1, -91.9135, -22.0421, 585.549, -0.0984099, -0.13049, 0.0225625
2, 0.0333667, 0.879961, 1, -83.3632, -22.1195, 592.664, -0.103498, -0.185496, 0.0467657
3, 0.0667333, 0.901615, 1, -74.092, -22.8847, 600.867, -0.128326, -0.210055, 0.044928
4, 0.1001, 0.906613, 1, -63.6711, -23.8066, 604.165, -0.164205, -0.228331, 0.0425175
5, 0.133467, 0.897116, 1, -52.6547, -23.639, 600.05, -0.179702, -0.239307, 0.0412755
6, 0.166833, 0.892697, 1, -42.4908, -23.0012, 600.605, -0.162151, -0.287721, 0.0395664
7, 0.2002, 0.836951, 1, -32.8702, -22.236, 603.883, -0.0863632, -0.329469, 0.0540245
8, 0.233567, 0.904236, 1, -14.0072, -19.9253, 557.182, -0.0781117, -0.144855, -0.0114855
9, 0.266933, 0.866965, 1, -4.39709, -18.3266, 545.505, -0.0586045, -0.176209, -0.00232926
10, 0.3003, 0.853315, 1, 2.93658, -19.3653, 540.108, -0.0181406, -0.29317, -0.00801308
11, 0.333667, 0.738187, 1, 8.90704, -20.2794, 522.417, 0.0472584, -0.465826, -0.0236263
12, 0.367033, 0.853226, 1, 30.5168, -24.0993, 576.586, -0.275467, -0.0723685, -0.0729318
13, 0.4004, 0.906454, 1, 39.3807, -24.3905, 589.253, -0.208973, -0.0891382, -0.0650467
14, 0.433767, 0.854702, 1, 48.5008, -27.1383, 602.841, -0.254208, -0.114361, -0.0793316
15, 0.467133, 0.852957, 1, 54.9424, -28.0072, 607.462, -0.266944, -0.121735, -0.100837
16, 0.5005, 0.878113, 1, 58.4413, -28.3257, 609.092, -0.267658, -0.121327, -0.133643
17, 0.533867, 0.899212, 1, 57.8736, -28.2438, 609.76, -0.250179, -0.0964571, -0.168156
18, 0.567233, 0.915037, 1, 55.6528, -27.3958, 612.057, -0.226671, -0.0835369, -0.210654
19, 0.6006, 0.911387, 1, 52.1363, -24.831, 614.323, -0.201262, -0.0572291, -0.249829
20, 0.633967, 0.88862, 1, 48.0134, -20.7621, 617.988, -0.176663, -0.0485789, -0.291944
21, 0.667333, 0.8982, 1, 43.6039, -16.0538, 618.628, -0.156703, -0.0311152, -0.337165
22, 0.7007, 0.927788, 1, 39.4985, -9.3293, 620.729, -0.115428, -0.0329785, -0.380297
23, 0.734067, 0.925721, 1, 35.8392, -1.53458, 622.103, -0.0259555, -0.0430746, -0.410319
24, 0.767433, 0.942201, 1, 33.5094, 6.54679, 617.199, 0.0245651, -0.0624568, -0.435264
25, 0.8008, 0.971704, 1, 30.3577, 14.5457, 611.831, 0.0812193, -0.0577948, -0.439889
26, 0.834167, 0.97711, 1, 28.1896, 21.161, 608.379, 0.112245, -0.0539795, -0.444877
27, 0.867533, 0.976126, 1, 26.3222, 26.4445, 603.28, 0.140623, -0.0489568, -0.453091
28, 0.9009, 0.979943, 1, 25.0607, 31.0311, 599.465, 0.15682, -0.0354318, -0.462416
29, 0.934267, 0.977958, 1, 23.1412, 34.0678, 596.958, 0.107226, 0.013298, -0.464012
30, 0.967633, 0.955402, 1, 21.6519, 37.3268, 602.008, 0.109524, 0.0608542, -0.468011
31, 1.001, 0.942442, 1, 20.0402, 39.2392, 604.794, 0.116449, 0.0869741, -0.468056
32, 1.03437, 0.935248, 1, 17.7575, 38.3086, 601.679, 0.107777, 0.110555, -0.46795
33, 1.06773, 0.951863, 1, 15.3974, 35.6253, 599.34, 0.0971336, 0.1271, -0.460662
34, 1.1011, 0.948001, 1, 12.6108, 32.3949, 597.206, 0.0923974, 0.14431, -0.451071
35, 1.13447, 0.932147, 1, 9.01919, 29.1903, 592.039, 0.097032, 0.150706, -0.431452
36, 1.16783, 0.919839, 1, 4.62088, 27.0086, 607.58, 0.0407898, 0.200241, -0.378221
37, 1.2012, 0.938663, 1, -0.216043, 23.7719, 613.375, -0.0279233, 0.224652, -0.335673
38, 1.23457, 0.944844, 1, -6.10164, 20.748, 617.952, -0.0690848, 0.231728, -0.28682
39, 1.26793, 0.953778, 1, -12.2112, 19.617, 621.445, -0.0684994, 0.221664, -0.253336
40, 1.3013, 0.954357, 1, -19.2245, 19.8401, 622.752, -0.0416348, 0.200054, -0.232542
