frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
2, 0.0333667, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
3, 0.0667333, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
4, 0.1001, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
5, 0.133467, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
6, 0.166833, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
7, 0.2002, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
8, 0.233567, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
9, 0.266933, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
10, 0.3003, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
11, 0.333667, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
12, 0.367033, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
13, 0.4004, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
14, 0.433767, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
15, 0.467133, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
16, 0.5005, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
17, 0.533867, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
18, 0.567233, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
19, 0.6006, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
20, 0.633967, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
21, 0.667333, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
22, 0.7007, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
23, 0.734067, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
24, 0.767433, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
25, 0.8008, 0.987965, 1, -41.881, -132.108, 770.628, 0.135851, 0.261862, -0.212386
26, 0.834167, 0.985472, 1, -42.0731, -131.348, 768.273, 0.114857, 0.277716, -0.204573
27, 0.867533, 0.985026, 1, -41.8926, -130.873, 766.562, 0.118655, 0.273154, -0.204956
28, 0.9009, 0.987063, 1, -41.3063, -129.095, 759.598, 0.130935, 0.269524, -0.211897
29, 0.934267, 0.985416, 1, -41.1027, -128.049, 754.987, 0.121075, 0.271333, -0.214802
30, 0.967633, 0.985617, 1, -41.1901, -127.931, 752.815, 0.105686, 0.266457, -0.215844
31, 1.001, 0.986829, 1, -41.5802, -128.395, 754.656, 0.101311, 0.258439, -0.212752
32, 1.03437, 0.982583, 1, -42.083, -129.892, 759.933, 0.0987197, 0.241358, -0.210772
33, 1.06773, 0.982765, 1, -42.811, -130.544, 761.857, 0.108185, 0.237779, -0.211083
34, 1.1011, 0.988291, 1, -43.4195, -131.07, 763.017, 0.119472, 0.242283, -0.214072
35, 1.13447, 0.989352, 1, -44.1079, -131.899, 764.799, 0.114761, 0.251549, -0.213943
36, 1.16783, 0.989583, 1, -44.5602, -132.43, 765.653, 0.110866, 0.254717, -0.215
37, 1.2012, 0.990368, 1, -45.0032, -133.198, 768.197, 0.109554, 0.255695, -0.216673
38, 1.23457, 0.989614, 1, -45.5441, -134.038, 769.62, 0.0903354, 0.257968, -0.216719
39, 1.26793, 0.989094, 1, -45.8029, -134.393, 770.213, 0.0843525, 0.260383, -0.220726
40, 1.3013, 0.990457, 1, -45.3236, -133.72, 767.968, 0.098651, 0.262035, -0.227876
41, 1.33467, 0.988791, 1, -44.7473, -132.938, 764.778, 0.0967634, 0.262589, -0.233836
42, 1.36803, 0.988048, 1, -44.4978, -132.938, 764.802, 0.0886266, 0.262739, -0.2385
43, 1.4014, 0.986393, 1, -44.2615, -133.19, 765.342, 0.0871938, 0.263086, -0.24296
44, 1.43477, 0.986042, 1, -44.2339, -133.812, 766.156, 0.0793837, 0.265035, -0.243318
45, 1.46813, 0.986601, 1, -43.8479, -133.553, 763.478, 0.0792975, 0.267187, -0.244411
46, 1.5015, 0.984928, 1, -42.9688, -132.892, 759.559, 0.0802178, 0.270025, -0.25143
47, 1.53487, 0.984747, 1, -42.0897, -132.933, 757.683, 0.0708114, 0.268123, -0.253586
48, 1.56823, 0.983416, 1, -41.6655, -133.676, 760.574, 0.0769966, 0.261895, -0.255145
49, 1.6016, 0.987019, 1, -41.8564, -135.81, 768.099, 0.0701703, 0.24427, -0.249391
50, 1.63497, 0.984597, 1, -42.5618, -137.902, 773.619, 0.0334277, 0.235292, -0.236638
51, 1.66833, 0.981876, 1, -42.677, -138.099, 774.911, 0.040747, 0.230701, -0.232248
52, 1.7017, 0.981021, 1, -42.8464, -137.783, 773.723, 0.0485176, 0.247356, -0.225545
53, 1.73507, 0.982098, 1, -42.6279, -137.942, 773.58, 0.0499638, 0.245792, -0.222857
54, 1.76843, 0.982677, 1, -42.5602, -138.415, 773.608, 0.035365, 0.248047, -0.219308
55, 1.8018, 0.98792, 1, -41.9896, -138.317, 771.559, 0.0482208, 0.24295, -0.226223
56, 1.83517, 0.988258, 1, -41.3599, -137.573, 765.678, 0.0463469, 0.252981, -0.232376
57, 1.86853, 0.989247, 1, -41.1339, -137.581, 762.958, 0.0476276, 0.261712, -0.238666
58, 1.9019, 0.988533, 1, -40.7827, -136.652, 757.313, 0.0441728, 0.270771, -0.24411
59, 1.93527, 0.988413, 1, -40.6885, -135.698, 751.762, 0.0356193, 0.287582, -0.251201
60, 1.96863, 0.988842, 1, -41.2362, -136.264, 752.201, 0.0252169, 0.295386, -0.262049
61, 2.002, 0.990269, 1, -42.4692, -138.488, 758.393, 0.0148454, 0.303556, -0.265553
62, 2.03537, 0.986244, 1, -43.8708, -141.482, 766.98, -0.000819757, 0.31403, -0.267857
63, 2.06873, 0.986481, 1, -44.44, -143.129, 773.357, 0.0173129, 0.314939, -0.272264
64, 2.1021, 0.987168, 1, -44.2109, -143.018, 774.841, 0.0427499, 0.324197, -0.27314
65, 2.13547, 0.987729, 1, -43.1192, -142.561, 775.869, 0.0608667, 0.312223, -0.272762
66, 2.16883, 0.98706, 1, -42.1188, -141.555, 773.263, 0.0624307, 0.30855, -0.266745
67, 2.2022, 0.986945, 1, -41.8101, -141.374, 772.743, 0.062259, 0.304529, -0.266107
68, 2.23557, 0.986868, 1, -41.836, -141.525, 773.067, 0.0588985, 0.305074, -0.265607
69, 2.26893, 0.987983, 1, -42.0492, -141.684, 774.25, 0.0625711, 0.30266, -0.269758
70, 2.3023, 0.987523, 1, -42.9099, -141.804, 776.217, 0.0715312, 0.302871, -0.282467
71, 2.33567, 0.986818, 1, -44.2203, -141.291, 776.109, 0.0771523, 0.302078, -0.297685
72, 2.36903, 0.986797, 1, -45.4379, -140.861, 775.06, 0.0822644, 0.295463, -0.309525
73, 2.4024, 0.986322, 1, -46.9285, -140.531, 774.158, 0.0843419, 0.291944, -0.317938
74, 2.43577, 0.986248, 1, -48.5883, -139.958, 773.459, 0.0858842, 0.287518, -0.324393
75, 2.46913, 0.986756, 1, -50.1532, -139.404, 772.953, 0.0890519, 0.28627, -0.330091
76, 2.5025, 0.987057, 1, -51.5502, -139.254, 772.619, 0.0871197, 0.287781, -0.330162
77, 2.53587, 0.98555, 1, -52.3125, -139.034, 771.517, 0.0861685, 0.286935, -0.324789
78, 2.56923, 0.986126, 1, -52.4767, -138.967, 771.137, 0.0866806, 0.284024, -0.317266
79, 2.6026, 0.985791, 1, -52.3942, -139.267, 772.022, 0.0855395, 0.287337, -0.306844
80, 2.63597, 0.985573, 1, -51.7598, -139.26, 771.61, 0.0821623, 0.291326, -0.293898
81, 2.66933, 0.983995, 1, -50.7796, -139.044, 770.749, 0.0791789, 0.294417, -0.281379
82, 2.7027, 0.982399, 1, -49.4468, -138.414, 768.247, 0.0786069, 0.303838, -0.271604
