frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0.829755, 1, 46.3432, -128.988, 912.934, 0.0798527, -0.213943, -0.129004
2, 0.0333667, 0.891575, 1, 50.0727, -129.647, 907.495, 0.0493956, -0.204044, -0.160064
3, 0.0667333, 0.898844, 1, 53.7088, -133.344, 903.81, 0.0397702, -0.179205, -0.17899
4, 0.1001, 0.90142, 1, 56.9403, -136.861, 901.602, 0.054209, -0.146274, -0.176269
5, 0.133467, 0.900626, 1, 59.2523, -139.07, 898.427, 0.0660953, -0.149506, -0.158181
6, 0.166833, 0.9002, 1, 61.191, -140.628, 896.507, 0.0609257, -0.154108, -0.149829
7, 0.2002, 0.902511, 1, 62.7406, -141.94, 895.157, 0.0545292, -0.159602, -0.142249
8, 0.233567, 0.897801, 1, 64.1699, -142.826, 893.955, 0.05109, -0.161329, -0.141262
9, 0.266933, 0.893697, 1, 65.6821, -143.93, 894.553, 0.0468063, -0.164899, -0.13988
10, 0.3003, 0.817919, 1, 67.4073, -145.449, 897.689, 0.0452295, -0.177237, -0.145218
11, 0.333667, 0.838611, 1, 69.2245, -146.662, 902.503, 0.0282499, -0.179947, -0.171465
12, 0.367033, 0.825465, 1, 69.9555, -147.462, 901.875, 0.0340189, -0.178995, -0.179528
13, 0.4004, 0.823252, 1, 69.9944, -147.565, 899.852, 0.0448769, -0.180919, -0.18128
14, 0.433767, 0.804881, 1, 69.763, -149.438, 903.073, 0.0548677, -0.201048, -0.175942
15, 0.467133, 0.839706, 1, 69.2802, -150.005, 906.451, 0.0723303, -0.230788, -0.163382
16, 0.5005, 0.86021, 1, 69.2992, -150.025, 910.558, 0.0966193, -0.268942, -0.15213
17, 0.533867, 0.852975, 1, 69.558, -148.704, 909.823, 0.109789, -0.30427, -0.142897
18, 0.567233, 0.861823, 1, 69.8755, -147.713, 909.417, 0.127668, -0.340909, -0.131451
19, 0.6006, 0.87295, 1, 69.9174, -146.716, 907.208, 0.13694, -0.376647, -0.122916
20, 0.633967, 0.887865, 1, 69.684, -146.154, 906.173, 0.145861, -0.407474, -0.115118
21, 0.667333, 0.909497, 1, 69.4847, -145.759, 905.697, 0.169707, -0.4456, -0.104
22, 0.7007, 0.931917, 1, 69.1075, -145.145, 905.533, 0.183905, -0.470709, -0.0977254
23, 0.734067, 0.937561, 1, 68.608, -144.544, 906.904, 0.190453, -0.489498, -0.0972402
24, 0.767433, 0.938551, 1, 68.0459, -143.885, 906.942, 0.196388, -0.512361, -0.0982827
25, 0.8008, 0.933892, 1, 66.9961, -142.854, 905.314, 0.201681, -0.524928, -0.0990329
26, 0.834167, 0.925169, 1, 65.6404, -141.874, 904.629, 0.211544, -0.538311, -0.0978645
27, 0.867533, 0.897792, 1, 63.6224, -139.848, 899.792, 0.216967, -0.543193, -0.102372
28, 0.9009, 0.90394, 1, 59.4697, -134.776, 876.378, 0.263979, -0.452025, -0.0479377
29, 0.934267, 0.891093, 1, 58.0907, -137.439, 895.921, 0.211464, -0.549574, -0.0820822
30, 0.967633, 0.879154, 1, 53.6746, -135.256, 889.418, 0.23941, -0.530444, -0.0437578
31, 1.001, 0.636902, 0, 52.9949, -133.112, 882.649, 0.202521, -0.558748, -0.0912849
32, 1.03437, 0.543621, 0, 52.6016, -132.235, 884.822, 0.166666, -0.594531, -0.141657
33, 1.06773, 0.544048, 0, 50.298, -130.054, 880.673, 0.178128, -0.605091, -0.137542
34, 1.1011, 0.54491, 0, 47.4909, -127.622, 879.778, 0.19803, -0.588718, -0.120337
35, 1.13447, 0.921961, 1, 43.3906, -128.195, 877.902, 0.296842, -0.469694, -0.0510559
36, 1.16783, 0.916868, 1, 41.0971, -127.01, 873.858, 0.2613, -0.376911, -0.0569571
37, 1.2012, 0.913734, 1, 38.8649, -131.203, 896.296, 0.280723, -0.536102, -0.0706833
38, 1.23457, 0.897269, 1, 36.5733, -131.778, 901.267, 0.23873, -0.540495, -0.0994782
39, 1.26793, 0.910922, 1, 34.0964, -131.839, 904.944, 0.22586, -0.523947, -0.11001
40, 1.3013, 0.902358, 1, 31.3975, -132.533, 912.406, 0.237199, -0.523801, -0.106559
41, 1.33467, 0.906152, 1, 28.3806, -132.127, 909.738, 0.228133, -0.514126, -0.115652
42, 1.36803, 0.909276, 1, 25.2419, -132.294, 908.454, 0.219228, -0.501724, -0.122214
43, 1.4014, 0.909641, 1, 21.9111, -132.593, 905.414, 0.209645, -0.490881, -0.129056
44, 1.43477, 0.902993, 1, 18.3067, -133.444, 904.255, 0.20004, -0.475428, -0.13814
45, 1.46813, 0.890793, 1, 14.6911, -133.867, 900.216, 0.186459, -0.453897, -0.144504
46, 1.5015, 0.887211, 1, 11.0084, -134.829, 897.989, 0.167884, -0.432037, -0.152077
47, 1.53487, 0.892737, 1, 7.19984, -135.381, 892.835, 0.150314, -0.410241, -0.156235
48, 1.56823, 0.898134, 1, 3.36593, -136.214, 890.119, 0.143112, -0.391989, -0.158635
49, 1.6016, 0.900405, 1, -0.213323, -136.835, 888.441, 0.132998, -0.362745, -0.162121
50, 1.63497, 0.913647, 1, -3.15186, -137.299, 886.44, 0.122675, -0.339235, -0.168231
51, 1.66833, 0.924139, 1, -6.25875, -138.237, 885.874, 0.11405, -0.313402, -0.172961
52, 1.7017, 0.92694, 1, -9.67781, -139.592, 889.784, 0.109202, -0.270698, -0.18092
53, 1.73507, 0.936546, 1, -13.3832, -140.526, 891.371, 0.105614, -0.221469, -0.193972
54, 1.76843, 0.91057, 1, -17.7982, -140.209, 887.541, 0.131267, -0.150797, -0.194899
55, 1.8018, 0.9186, 1, -21.4594, -141.134, 889.621, 0.131147, -0.11469, -0.18416
56, 1.83517, 0.932878, 1, -24.5699, -142.664, 897.389, 0.138323, -0.0467015, -0.168795
