frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
2, 0.0333667, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
3, 0.0667333, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
4, 0.1001, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
5, 0.133467, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
6, 0.166833, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
7, 0.2002, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
8, 0.233567, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
9, 0.266933, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
10, 0.3003, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
11, 0.333667, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
12, 0.367033, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
13, 0.4004, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
14, 0.433767, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
15, 0.467133, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
16, 0.5005, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
17, 0.533867, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
18, 0.567233, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
19, 0.6006, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
20, 0.633967, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
21, 0.667333, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
22, 0.7007, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
23, 0.734067, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
24, 0.767433, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
25, 0.8008, 0.960679, 1, -68.3128, -151.841, 742.247, -0.015269, 0.484693, -0.0451859
26, 0.834167, 0.956659, 1, -70.6165, -148.385, 727.662, -0.00909542, 0.494759, -0.0384301
27, 0.867533, 0.953017, 1, -75.0558, -147.755, 725.937, 0.00202997, 0.49045, -0.0432058
28, 0.9009, 0.9518, 1, -79.9051, -146.505, 724.206, 0.0116737, 0.49101, -0.0529968
29, 0.934267, 0.944139, 1, -84.5522, -144.29, 722.594, 0.0154707, 0.491007, -0.0537817
30, 0.967633, 0.945068, 1, -89.155, -142.117, 717.807, 0.0116347, 0.484689, -0.0502868
31, 1.001, 0.946932, 1, -94.0928, -140.881, 713.477, 0.00502301, 0.480045, -0.0457864
32, 1.03437, 0.947136, 1, -99.39, -139.781, 709.355, 0.00709732, 0.480716, -0.0436287
33, 1.06773, 0.950202, 1, -106.229, -140.404, 713.293, 0.0120302, 0.477026, -0.0477692
34, 1.1011, 0.941108, 1, -114.029, -142.049, 722.34, 0.018601, 0.465868, -0.0521569
35, 1.13447, 0.921788, 1, -121.528, -143.541, 729.078, -0.00926708, 0.435345, -0.0507382
36, 1.16783, 0.939276, 1, -128.113, -143.171, 731.601, -0.00467085, 0.427912, -0.0526474
37, 1.2012, 0.938182, 1, -133.218, -141.226, 726.442, -0.00466205, 0.434399, -0.0468394
38, 1.23457, 0.941694, 1, -138.294, -139.33, 722.728, 0.0137327, 0.44282, -0.0498717
39, 1.26793, 0.938931, 1, -144.086, -138.608, 722.916, 0.0241628, 0.448838, -0.0470037
40, 1.3013, 0.89253, 1, -150.663, -139.495, 726.567, 0.0144001, 0.447097, -0.0413496
41, 1.33467, 0.895869, 1, -156.44, -139.723, 727.286, 0.00657727, 0.449534, -0.0348282
42, 1.36803, 0.917793, 1, -160.764, -138.232, 726.513, 0.0206573, 0.45373, -0.0397271
43, 1.4014, 0.958885, 1, -165.29, -136.688, 729.902, 0.0341907, 0.430171, -0.0488774
44, 1.43477, 0.953952, 1, -170.213, -134.502, 734.08, 0.0411815, 0.428234, -0.0518617
45, 1.46813, 0.908418, 1, -175.569, -132.139, 739.673, 0.0258723, 0.424289, -0.0477775
46, 1.5015, 0.886239, 1, -179.322, -126.784, 738.266, 0.00938652, 0.428451, -0.0552003
47, 1.53487, 0.904888, 1, -180.95, -118.551, 732.408, 0.0455853, 0.428441, -0.0924924
48, 1.56823, 0.966733, 1, -180.808, -111.094, 722.985, 0.066365, 0.443279, -0.110205
49, 1.6016, 0.965462, 1, -183.743, -108.843, 731.556, 0.053822, 0.439459, -0.105423
50, 1.63497, 0.966878, 1, -185.102, -109.387, 737.439, 0.0300975, 0.427492, -0.0864121
51, 1.66833, 0.973531, 1, -185.665, -112.444, 739.901, -8.8802e-005, 0.423291, -0.0649405
52, 1.7017, 0.975764, 1, -186.631, -116.477, 743.03, -0.01485, 0.413612, -0.044767
53, 1.73507, 0.97412, 1, -188.424, -119.39, 748.235, -0.0142687, 0.402045, -0.0320994
54, 1.76843, 0.977458, 1, -190.659, -120.645, 751.53, -0.00860571, 0.390235, -0.025844
55, 1.8018, 0.974604, 1, -191.524, -119.75, 750.313, -0.00868264, 0.370696, -0.022588
56, 1.83517, 0.970261, 1, -192.1, -117.895, 746.53, -0.00819434, 0.359276, -0.0199561
57, 1.86853, 0.968105, 1, -193.825, -116.609, 744.234, -0.0111603, 0.352247, -0.0160695
58, 1.9019, 0.964009, 1, -196.017, -116.179, 743.375, -0.0125633, 0.349112, -0.0119525
59, 1.93527, 0.954892, 1, -198.014, -116.079, 742.47, -0.0155447, 0.344417, -0.00816581
60, 1.96863, 0.945669, 1, -200.544, -116.328, 743.208, -0.0142984, 0.337791, -0.00658222
61, 2.002, 0.931514, 1, -203.764, -116.653, 745.579, -0.0132061, 0.336346, -0.00493983
62, 2.03537, 0.934042, 1, -206.852, -117.421, 747.725, -0.0115511, 0.328175, -0.00612937
63, 2.06873, 0.929095, 1, -209.865, -118.362, 750.272, -0.0217151, 0.305618, -0.00542496
64, 2.1021, 0.923261, 1, -212.855, -118.931, 751.946, -0.0251412, 0.292756, -0.00668626
65, 2.13547, 0.929316, 1, -215.893, -119.268, 752.264, -0.0297099, 0.290528, -0.00746514
66, 2.16883, 0.935819, 1, -218.232, -118.591, 750.576, -0.0256159, 0.291397, -0.0102373
67, 2.2022, 0.946653, 1, -220.034, -118.082, 747.668, -0.0213416, 0.28976, -0.0222471
68, 2.23557, 0.946499, 1, -221.973, -118.125, 744.784, -0.0260642, 0.290709, -0.0288199
69, 2.26893, 0.950564, 1, -225.057, -119.407, 746.599, -0.0338359, 0.283068, -0.0356301
70, 2.3023, 0.95499, 1, -227.529, -121.2, 748.452, -0.0431087, 0.270994, -0.043311
71, 2.33567, 0.962515, 1, -230.341, -123.299, 751.446, -0.0523865, 0.263201, -0.0481378
72, 2.36903, 0.966117, 1, -233.351, -124.962, 754.893, -0.0628407, 0.256967, -0.0504894
73, 2.4024, 0.959839, 1, -236.243, -126.348, 758.561, -0.0571275, 0.24556, -0.0561545
74, 2.43577, 0.954611, 1, -239.879, -128.496, 765.7, -0.0599168, 0.22799, -0.059452
75, 2.46913, 0.966016, 1, -247.819, -131.221, 783.148, -0.034017, 0.182149, -0.0845894
76, 2.5025, 0.966645, 1, -252.526, -132.985, 795.912, -0.0643231, 0.151458, -0.111189
77, 2.53587, 0.965734, 1, -253.052, -132.543, 796.808, -0.0737863, 0.14747, -0.124048
78, 2.56923, 0.965887, 1, -252.178, -131.996, 795.889, -0.081836, 0.141495, -0.129606
79, 2.6026, 0.966005, 1, -250.996, -131.729, 795.496, -0.0851426, 0.139859, -0.13483
80, 2.63597, 0.965791, 1, -249.282, -131.549, 794.877, -0.0968685, 0.133849, -0.139092
81, 2.66933, 0.966536, 1, -247.185, -131.456, 794.368, -0.0999343, 0.132827, -0.143404
82, 2.7027, 0.96962, 1, -243.962, -131.213, 791.983, -0.105359, 0.129613, -0.147648
