frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
2, 0.0333667, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
3, 0.0667333, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
4, 0.1001, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
5, 0.133467, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
6, 0.166833, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
7, 0.2002, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
8, 0.233567, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
9, 0.266933, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
10, 0.3003, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
11, 0.333667, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
12, 0.367033, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
13, 0.4004, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
14, 0.433767, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
15, 0.467133, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
16, 0.5005, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
17, 0.533867, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
18, 0.567233, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
19, 0.6006, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
20, 0.633967, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
21, 0.667333, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
22, 0.7007, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
23, 0.734067, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
24, 0.767433, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
25, 0.8008, 0.96583, 1, -137.182, 26.931, 500.622, 0.126788, 0.0206191, -0.06107
26, 0.834167, 0.96555, 1, -129.237, 25.6095, 498.401, 0.127626, 0.0277941, -0.0549691
27, 0.867533, 0.965089, 1, -119.043, 24.0359, 495.146, 0.130585, 0.0241677, -0.0448289
28, 0.9009, 0.961835, 1, -107.702, 22.7514, 492.756, 0.139454, 0.0122383, -0.0284021
29, 0.934267, 0.961834, 1, -95.2311, 22.2514, 491.997, 0.133216, -0.0130751, -0.0111314
30, 0.967633, 0.969593, 1, -82.2317, 22.7462, 493.64, 0.122115, -0.053443, 0.0122141
31, 1.001, 0.957707, 1, -68.9667, 23.3053, 488.174, 0.133215, -0.110063, 0.0110955
32, 1.03437, 0.900835, 1, -56.4287, 24.7277, 484.432, 0.134246, -0.204631, 0.0298979
33, 1.06773, 0.963499, 1, -30.9998, 26.5692, 497.531, 0.134847, -0.109088, 0.035934
34, 1.1011, 0.955468, 1, -18.343, 27.0812, 492.297, 0.174089, -0.161506, 0.0434768
35, 1.13447, 0.812046, 1, -10.1819, 27.3219, 512.808, 0.0900487, -0.0965811, 0.0785099
36, 1.16783, 0.977992, 1, 18.9813, 29.8982, 483.664, 0.168388, -0.131544, 0.0789183
37, 1.2012, 0.981812, 1, 31.2584, 30.2069, 478.631, 0.150907, -0.171861, 0.105936
38, 1.23457, 0.976364, 1, 44.9705, 29.7858, 482.283, 0.127304, -0.231015, 0.120356
39, 1.26793, 0.967801, 1, 58.4352, 29.891, 481.862, 0.0936144, -0.267649, 0.14497
40, 1.3013, 0.961016, 1, 70.4867, 29.3302, 475.603, 0.069067, -0.298512, 0.160899
41, 1.33467, 0.954745, 1, 81.1017, 28.6129, 466.463, 0.0564345, -0.328334, 0.173706
42, 1.36803, 0.949518, 1, 91.389, 28.5028, 462.351, 0.0452633, -0.333489, 0.188579
43, 1.4014, 0.966618, 1, 102.654, 28.6616, 468.086, 0.0445366, -0.354461, 0.195612
44, 1.43477, 0.965589, 1, 112.98, 29.2144, 477.248, 0.0517753, -0.369841, 0.195482
45, 1.46813, 0.964908, 1, 118.712, 29.0387, 479.88, 0.0428203, -0.347914, 0.179869
46, 1.5015, 0.970091, 1, 121.354, 28.624, 482.319, 0.0353059, -0.307327, 0.157993
47, 1.53487, 0.971431, 1, 122.628, 27.8555, 484.681, 0.0373298, -0.266198, 0.141627
48, 1.56823, 0.972029, 1, 125.392, 25.5078, 488.716, 0.0409112, -0.248762, 0.143829
49, 1.6016, 0.97786, 1, 132.973, 21.23, 487.223, 0.0506511, -0.273517, 0.175753
50, 1.63497, 0.976176, 1, 146.121, 16.5527, 484.946, 0.0335047, -0.331369, 0.206561
51, 1.66833, 0.962686, 1, 158.728, 14.1478, 481.452, -0.00517667, -0.377683, 0.241078
52, 1.7017, 0.94858, 1, 170.544, 14.5425, 480.606, 0.0253369, -0.417567, 0.266118
53, 1.73507, 0.953628, 1, 180.546, 15.5145, 482.924, 0.0544598, -0.455818, 0.267315
54, 1.76843, 0.954308, 1, 189.288, 15.5682, 487.127, 0.0569507, -0.468863, 0.264926
55, 1.8018, 0.955806, 1, 197.293, 15.1062, 491.816, 0.0476304, -0.472979, 0.259152
56, 1.83517, 0.956084, 1, 204.795, 15.1388, 497.197, 0.047709, -0.476482, 0.251796
57, 1.86853, 0.958556, 1, 211.603, 15.769, 502.883, 0.0502786, -0.477387, 0.244013
58, 1.9019, 0.947795, 1, 218.017, 16.3046, 508.626, 0.0384531, -0.46743, 0.229707
59, 1.93527, 0.940929, 1, 223.355, 17.7874, 513.167, 0.0441259, -0.459736, 0.228285
60, 1.96863, 0.944742, 1, 226.713, 19.5066, 515.264, 0.0447174, -0.455567, 0.232752
61, 2.002, 0.945888, 1, 229.371, 21.102, 517.08, 0.0458636, -0.448779, 0.2397
62, 2.03537, 0.947775, 1, 230.761, 22.3999, 518.432, 0.0506186, -0.439259, 0.24827
63, 2.06873, 0.948093, 1, 230.363, 23.7735, 518.42, 0.0507666, -0.436395, 0.257962
64, 2.1021, 0.956354, 1, 228.065, 25.3415, 517.701, 0.0555335, -0.43031, 0.266636
65, 2.13547, 0.958564, 1, 224.415, 27.2128, 517.147, 0.0609101, -0.421441, 0.276499
66, 2.16883, 0.961642, 1, 218.963, 28.8131, 516.351, 0.0666737, -0.398731, 0.282611
67, 2.2022, 0.963796, 1, 211.897, 30.1671, 515.754, 0.0711737, -0.378022, 0.285063
68, 2.23557, 0.967963, 1, 203.674, 31.2579, 516.495, 0.0727634, -0.36132, 0.282954
69, 2.26893, 0.969673, 1, 193.594, 31.7286, 514.952, 0.0672129, -0.340839, 0.277459
70, 2.3023, 0.971875, 1, 183.175, 32.0441, 514.604, 0.0660249, -0.325847, 0.271007
71, 2.33567, 0.975234, 1, 171.318, 32.1854, 512.798, 0.0614249, -0.302886, 0.262187
72, 2.36903, 0.976328, 1, 159.786, 32.4545, 513.707, 0.046134, -0.298521, 0.244352
73, 2.4024, 0.973347, 1, 147.586, 32.7578, 516.727, 0.0356733, -0.284147, 0.225046
74, 2.43577, 0.95453, 1, 134.193, 32.5216, 515.281, 0.029657, -0.287511, 0.201689
75, 2.46913, 0.78155, 1, 124.186, 32.9382, 516.986, 0.0666643, -0.34028, 0.183363
76, 2.5025, 0.965911, 1, 91.9456, 29.351, 500.851, 0.123588, -0.11973, 0.241793
77, 2.53587, 0.978686, 1, 82.6215, 28.9269, 518.625, 0.171067, -0.0424653, 0.234587
78, 2.56923, 0.838255, 1, 72.3179, 28.3707, 513.853, 0.134206, -0.0819833, 0.22303
79, 2.6026, 0.78603, 1, 62.3615, 30.1148, 508.2, 0.170452, -0.0899992, 0.189617
80, 2.63597, 0.969374, 1, 31.3511, 29.6586, 506.184, 0.0781936, -0.00538531, 0.206305
81, 2.66933, 0.975315, 1, 19.5659, 29.6681, 504.814, 0.09476, 0.0236604, 0.185118
