frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0.972801, 1, -4.52222, -42.5783, 611.772, -0.0632648, -0.509138, -0.216032
2, 0.0333667, 0.980751, 1, -4.96299, -41.9221, 619.59, -0.0853434, -0.498237, -0.2564
3, 0.0667333, 0.972628, 1, -5.9469, -40.9713, 630.296, -0.125439, -0.499534, -0.290745
4, 0.1001, 0.965586, 1, -7.34651, -38.9379, 633.656, -0.168753, -0.514371, -0.325679
5, 0.133467, 0.959118, 1, -9.66808, -36.6499, 635.361, -0.157569, -0.523646, -0.3208
6, 0.166833, 0.954636, 1, -12.251, -34.3, 633.985, -0.140661, -0.531836, -0.306282
7, 0.2002, 0.952032, 1, -14.8056, -33.107, 634.643, -0.126898, -0.535114, -0.288965
8, 0.233567, 0.952653, 1, -17.0991, -33.1686, 635.166, -0.120189, -0.521671, -0.278078
9, 0.266933, 0.972227, 1, -19.1243, -34.0542, 638.467, -0.109041, -0.507587, -0.274594
10, 0.3003, 0.976995, 1, -21.0618, -35.8016, 645.319, -0.126258, -0.494302, -0.279321
11, 0.333667, 0.977667, 1, -22.8386, -38.0792, 651.924, -0.136129, -0.482394, -0.288193
12, 0.367033, 0.979845, 1, -24.0315, -39.8141, 651.997, -0.138626, -0.4797, -0.294666
13, 0.4004, 0.98021, 1, -24.8947, -41.0462, 650.057, -0.12564, -0.486286, -0.297283
14, 0.433767, 0.979668, 1, -24.9392, -42.5677, 647.119, -0.106843, -0.504504, -0.302345
15, 0.467133, 0.982003, 1, -23.9226, -44.9986, 643.658, -0.114038, -0.531659, -0.328226
16, 0.5005, 0.97516, 1, -22.3465, -48.0695, 647.844, -0.112785, -0.575836, -0.364152
17, 0.533867, 0.972483, 1, -20.5899, -50.7085, 656.142, -0.131937, -0.617274, -0.402141
18, 0.567233, 0.96725, 1, -19.5315, -52.5177, 663.24, -0.124799, -0.62268, -0.427436
19, 0.6006, 0.967586, 1, -19.1924, -53.4712, 665.507, -0.123388, -0.634548, -0.446773
20, 0.633967, 0.959163, 1, -19.5603, -54.7184, 666.345, -0.126485, -0.632355, -0.460991
21, 0.667333, 0.952094, 1, -20.8074, -55.7441, 666.055, -0.117227, -0.622448, -0.455269
22, 0.7007, 0.950157, 1, -21.8551, -56.0384, 660.602, -0.116609, -0.627448, -0.445287
23, 0.734067, 0.952924, 1, -22.9586, -55.3172, 652.732, -0.0983308, -0.636257, -0.420016
24, 0.767433, 0.921919, 1, -23.4306, -55.6737, 653.033, -0.104998, -0.636128, -0.408195
25, 0.8008, 0.922802, 1, -23.6159, -56.8226, 651.175, -0.100615, -0.636259, -0.408242
26, 0.834167, 0.938605, 1, -23.6342, -58.0675, 646.52, -0.0960113, -0.655094, -0.413006
27, 0.867533, 0.928161, 1, -23.5752, -59.1457, 644.217, -0.0963242, -0.644327, -0.420009
28, 0.9009, 0.930292, 1, -23.2287, -60.1727, 642.753, -0.0912702, -0.649821, -0.420645
29, 0.934267, 0.936748, 1, -23.1828, -60.9056, 643.435, -0.0792058, -0.645021, -0.414235
30, 0.967633, 0.940605, 1, -22.916, -61.8684, 645.268, -0.074706, -0.639219, -0.410366
31, 1.001, 0.945281, 1, -22.3665, -63.093, 647.557, -0.0665504, -0.628748, -0.408174
32, 1.03437, 0.95198, 1, -21.828, -64.6171, 650.203, -0.0694972, -0.631968, -0.413142
33, 1.06773, 0.944566, 1, -21.758, -65.7123, 653.163, -0.0719086, -0.622249, -0.418312
34, 1.1011, 0.94205, 1, -21.6922, -66.2506, 653.073, -0.0729443, -0.621306, -0.418499
35, 1.13447, 0.942268, 1, -21.9033, -66.6402, 651.814, -0.0706005, -0.615295, -0.416738
36, 1.16783, 0.938832, 1, -22.9466, -67.0115, 650.113, -0.0622573, -0.607169, -0.411067
37, 1.2012, 0.943731, 1, -25.4829, -66.9719, 644.155, -0.0525771, -0.590137, -0.399804
38, 1.23457, 0.977636, 1, -30.3222, -66.5425, 640.966, -0.0433591, -0.512881, -0.363424
39, 1.26793, 0.963933, 1, -38.7394, -66.472, 645.056, -0.0566938, -0.443947, -0.33467
40, 1.3013, 0.952315, 1, -48.2916, -65.384, 641.171, -0.0542024, -0.31491, -0.306009
41, 1.33467, 0.92578, 1, -57.6743, -64.829, 641.005, -0.0521907, -0.203101, -0.290672
42, 1.36803, 0.956047, 1, -65.4083, -63.7158, 632.999, 0.00201753, -0.0980807, -0.280478
43, 1.4014, 0.961448, 1, -71.4165, -62.4449, 620.678, 0.0321104, 0.0199753, -0.243661
44, 1.43477, 0.96032, 1, -78.1532, -62.0071, 616.276, 0.0354931, 0.111427, -0.194268
45, 1.46813, 0.953378, 1, -84.3047, -61.7325, 617.1, 0.0284624, 0.199013, -0.149075
46, 1.5015, 0.96643, 1, -90.6995, -61.2732, 621.855, 0.0513365, 0.278062, -0.0918573
47, 1.53487, 0.955454, 1, -95.8796, -61.1073, 623.031, 0.0255702, 0.326475, -0.0289732
48, 1.56823, 0.960378, 1, -100.797, -62.0919, 628.853, 0.0232815, 0.358794, 0.0107045
49, 1.6016, 0.964454, 1, -104.827, -63.2601, 636.106, 0.0315655, 0.383876, 0.0297782
50, 1.63497, 0.967561, 1, -108.014, -64.3846, 641.077, 0.0474602, 0.407101, 0.0369368
51, 1.66833, 0.969783, 1, -110.156, -65.0832, 642.72, 0.0591159, 0.425037, 0.0419481
52, 1.7017, 0.968709, 1, -112.387, -66.0682, 648.175, 0.0638943, 0.443751, 0.0403043
53, 1.73507, 0.966145, 1, -113.548, -66.5083, 649.563, 0.0652838, 0.45648, 0.0423092
54, 1.76843, 0.967853, 1, -114.69, -66.9267, 650.827, 0.0628742, 0.465224, 0.0444781
55, 1.8018, 0.967217, 1, -115.788, -67.2368, 651.927, 0.0566866, 0.470954, 0.047796
56, 1.83517, 0.968475, 1, -116.929, -67.5435, 652.478, 0.0525797, 0.476088, 0.050623
57, 1.86853, 0.970081, 1, -117.34, -67.7505, 650.582, 0.045734, 0.470573, 0.051546
58, 1.9019, 0.97228, 1, -117.997, -68.0073, 649.431, 0.0408005, 0.468628, 0.0529044
59, 1.93527, 0.974831, 1, -119.106, -68.4634, 649.909, 0.0342202, 0.470572, 0.0542843
60, 1.96863, 0.976231, 1, -119.981, -68.8122, 649.193, 0.0273711, 0.476175, 0.0578302
61, 2.002, 0.979748, 1, -120.619, -69.3257, 648.598, 0.0288485, 0.479582, 0.0586786
62, 2.03537, 0.982665, 1, -121.599, -71.574, 649.642, -0.0438597, 0.460176, 0.0834063
63, 2.06873, 0.98295, 1, -120.954, -72.464, 647.288, -0.0597557, 0.4644, 0.0913404
64, 2.1021, 0.978916, 1, -119.224, -74.0665, 646.04, -0.084919, 0.447548, 0.0860271
65, 2.13547, 0.964141, 1, -115.802, -75.6652, 646.037, -0.126527, 0.398598, 0.07949
66, 2.16883, 0.964431, 1, -112.778, -78.1501, 655.774, -0.13844, 0.34863, 0.0527563
