frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
2, 0.0333667, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
3, 0.0667333, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
4, 0.1001, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
5, 0.133467, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
6, 0.166833, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
7, 0.2002, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
8, 0.233567, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
9, 0.266933, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
10, 0.3003, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
11, 0.333667, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
12, 0.367033, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
13, 0.4004, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
14, 0.433767, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
15, 0.467133, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
16, 0.5005, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
17, 0.533867, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
18, 0.567233, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
19, 0.6006, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
20, 0.633967, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
21, 0.667333, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
22, 0.7007, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
23, 0.734067, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
24, 0.767433, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
25, 0.8008, 0.906059, 1, 221.903, -138.03, 807.843, -0.0938204, 0.169034, 0.284733
26, 0.834167, 0.920519, 1, 205.108, -131.718, 774.103, -0.0118715, 0.438617, 0.317104
27, 0.867533, 0.770951, 1, 191.777, -134.212, 798.349, -0.119754, 0.111674, 0.30453
28, 0.9009, 0.950357, 1, 186.977, -133.654, 811.916, -0.00168295, 0.299878, 0.290703
29, 0.934267, 0.80418, 1, 177.891, -130.689, 814.758, 0.0149381, 0.295357, 0.27411
30, 0.967633, 0.925896, 1, 143.353, -134.592, 805.077, 0.0888919, 0.450747, 0.290019
31, 1.001, 0.725602, 1, 130.149, -131.601, 789.48, 0.0849259, 0.587436, 0.287072
32, 1.03437, 0.92011, 1, 101.347, -133.495, 778.208, -0.000166062, 0.348675, 0.281616
33, 1.06773, 0.917122, 1, 92.5676, -134.347, 786.44, 0.0586675, 0.483765, 0.26845
34, 1.1011, 0.65841, 0, 87.0868, -134.272, 797.713, 0.18304, 0.53486, 0.206543
35, 1.13447, 0.205376, 0, 94.4789, -153.367, 940.167, -0.0215924, 0.656102, 0.238042
36, 1.16783, 0.183797, 0, 103.792, -177.168, 1083.33, 0.0347082, 0.814194, 0.105346
37, 1.2012, 0.270321, 0, 114.324, -211.517, 1284.18, 0.0248072, 0.733838, 0.0817132
38, 1.23457, 0.816601, 1, -15.6297, -126.594, 723.169, -0.104473, 0.110357, 0.228835
39, 1.26793, 0.857258, 1, -34.4632, -137.147, 749.645, 0.0333138, 0.138043, 0.229745
40, 1.3013, 0.78685, 1, -43.9572, -139.906, 756.043, 0.0830435, 0.136086, 0.205142
41, 1.33467, 0.922385, 1, -66.1657, -141.7, 748.731, 0.0272319, 0.220747, 0.153629
42, 1.36803, 0.922287, 1, -75.269, -140.763, 736.379, 0.0376873, 0.28111, 0.125635
43, 1.4014, 0.926874, 1, -84.9214, -141.326, 728.039, 0.0650462, 0.32304, 0.0814043
44, 1.43477, 0.944621, 1, -95.0324, -142.607, 724.937, 0.0971366, 0.381774, 0.0308222
45, 1.46813, 0.936499, 1, -102.491, -141.737, 712.937, 0.116821, 0.457662, -0.00862443
46, 1.5015, 0.932333, 1, -109.386, -141.661, 706.544, 0.124177, 0.480904, -0.0421718
47, 1.53487, 0.936852, 1, -115.713, -142.435, 706.328, 0.12887, 0.477372, -0.070369
48, 1.56823, 0.937764, 1, -120.973, -144.263, 711.09, 0.132615, 0.446781, -0.0895364
49, 1.6016, 0.933035, 1, -124.235, -145.68, 712.381, 0.147386, 0.381778, -0.0961925
50, 1.63497, 0.943176, 1, -126.845, -147.107, 714.98, 0.0999927, 0.318124, -0.0983944
51, 1.66833, 0.944877, 1, -129.494, -149.834, 725.003, 0.0434067, 0.288766, -0.0956357
52, 1.7017, 0.953011, 1, -131.641, -152.65, 737.872, -0.0374008, 0.265996, -0.0711492
53, 1.73507, 0.957588, 1, -128.405, -151.137, 732.386, -0.0888988, 0.251874, -0.0561436
54, 1.76843, 0.96206, 1, -124.157, -150.134, 727.854, -0.115647, 0.242118, -0.0421412
55, 1.8018, 0.963294, 1, -119.343, -150.233, 727.818, -0.117173, 0.23435, -0.0331932
56, 1.83517, 0.964518, 1, -113.805, -150.156, 730.828, -0.129325, 0.237087, -0.0208186
57, 1.86853, 0.95975, 1, -106.8, -148.913, 734.863, -0.153297, 0.238544, -0.00321776
58, 1.9019, 0.970102, 1, -99.2414, -148.803, 740.311, -0.144966, 0.240835, 0.000955643
59, 1.93527, 0.977533, 1, -91.8481, -151.381, 755.538, -0.107772, 0.262413, 0.00108273
60, 1.96863, 0.983097, 1, -82.6334, -155.579, 768.862, -0.100381, 0.258746, 0.0063905
61, 2.002, 0.984684, 1, -72.4263, -160.689, 780.393, -0.108793, 0.242051, 0.0116733
62, 2.03537, 0.989945, 1, -61.4284, -164.38, 792.986, -0.0599862, 0.239962, 0.0120195
63, 2.06873, 0.987587, 1, -49.5458, -165.511, 798.256, -0.0602454, 0.21959, 0.0187732
64, 2.1021, 0.983918, 1, -38.007, -166.208, 809.468, -0.0573741, 0.191756, 0.0253847
65, 2.13547, 0.944069, 1, -26.9975, -167.635, 825.287, -0.127162, 0.057676, 0.0265979
66, 2.16883, 0.918836, 1, -15.5814, -166.285, 832.071, -0.10495, -0.0684076, 0.00969264
67, 2.2022, 0.981335, 1, 4.49136, -149.046, 754.515, -0.128022, 0.314178, -0.0285491
68, 2.23557, 0.977803, 1, 13.0083, -151.863, 765.779, -0.142107, 0.324194, -0.00905068
69, 2.26893, 0.975745, 1, 21.6513, -157.024, 776.994, -0.162271, 0.327571, 0.0014569
70, 2.3023, 0.982165, 1, 29.6548, -162.05, 783.82, -0.168207, 0.33444, 0.00548432
71, 2.33567, 0.982327, 1, 36.7897, -165.892, 786.332, -0.17564, 0.332877, 0.00806345
72, 2.36903, 0.983677, 1, 43.4775, -167.953, 787.927, -0.173658, 0.334093, 0.0150572
73, 2.4024, 0.983053, 1, 49.5576, -168.384, 790.257, -0.159559, 0.332242, 0.0156271
74, 2.43577, 0.984891, 1, 54.5206, -167.159, 791.464, -0.145734, 0.345995, 0.0240369
75, 2.46913, 0.986752, 1, 58.3439, -164.361, 789.565, -0.142534, 0.35297, 0.0328688
76, 2.5025, 0.987853, 1, 60.8764, -159.835, 780.054, -0.125691, 0.350289, 0.0334192
77, 2.53587, 0.985077, 1, 61.3044, -153.979, 762.368, -0.118481, 0.377739, 0.0391591
78, 2.56923, 0.984263, 1, 60.8285, -149.86, 751.619, -0.0920401, 0.396924, 0.036311
79, 2.6026, 0.984013, 1, 59.7727, -147.874, 745.579, -0.0917591, 0.396936, 0.0357067
80, 2.63597, 0.983737, 1, 58.1964, -146.482, 742.534, -0.0924801, 0.389049, 0.0353932
81, 2.66933, 0.980436, 1, 56.1249, -144.92, 742.261, -0.0882348, 0.378477, 0.0329765
82, 2.7027, 0.97735, 1, 53.4053, -142.765, 741.996, -0.0857175, 0.368267, 0.0320769
