frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0.942454, 1, -75.3833, -74.2896, 656.599, -0.23742, 0.0921681, -0.0813859
2, 0.0333667, 0.94278, 1, -73.361, -73.9621, 657.931, -0.249629, 0.0757589, -0.0901447
3, 0.0667333, 0.940545, 1, -70.3521, -73.5145, 662.036, -0.245132, 0.0422273, -0.105783
4, 0.1001, 0.943126, 1, -66.8405, -73.2076, 668.31, -0.243618, 0.00152247, -0.120027
5, 0.133467, 0.940896, 1, -62.8408, -74.4102, 684.313, -0.25826, -0.0605975, -0.133146
6, 0.166833, 0.958543, 1, -55.0758, -75.6925, 685.542, -0.175793, -0.134862, -0.135533
7, 0.2002, 0.967902, 1, -45.7195, -75.8264, 676.735, -0.15781, -0.218198, -0.15034
8, 0.233567, 0.977428, 1, -36.7787, -76.0903, 676.454, -0.145406, -0.28615, -0.175084
9, 0.266933, 0.983203, 1, -28.0063, -75.0455, 673.636, -0.117576, -0.334615, -0.195095
10, 0.3003, 0.983018, 1, -19.4493, -74.0324, 674.885, -0.0888986, -0.391163, -0.2121
11, 0.333667, 0.983629, 1, -10.9762, -72.637, 676.341, -0.0737394, -0.443804, -0.220045
12, 0.367033, 0.979699, 1, -3.7258, -70.2657, 679.702, -0.0509413, -0.48662, -0.217226
13, 0.4004, 0.982722, 1, 3.38966, -66.7143, 678.1, -0.0415221, -0.523479, -0.222518
14, 0.433767, 0.968442, 1, 9.67446, -63.0581, 673.917, -0.0356534, -0.56223, -0.22493
15, 0.467133, 0.974298, 1, 14.8514, -59.713, 673.199, -0.0249389, -0.586769, -0.229303
16, 0.5005, 0.976144, 1, 19.0458, -56.6142, 675.326, -0.0198049, -0.5922, -0.23659
17, 0.533867, 0.974226, 1, 22.7346, -53.7913, 677.06, -0.0150359, -0.592252, -0.239351
18, 0.567233, 0.975881, 1, 25.8876, -50.7056, 678.395, -0.00207836, -0.585034, -0.235886
19, 0.6006, 0.976578, 1, 28.8999, -47.6157, 679.212, 0.00639801, -0.580342, -0.232231
20, 0.633967, 0.977299, 1, 31.2878, -44.6768, 680.617, 0.018369, -0.565623, -0.229982
