frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0.984986, 1, 65.2769, -75.0863, 677.356, 0.012026, -0.422456, -0.0529627
2, 0.0333667, 0.987353, 1, 68.4841, -75.2959, 682.011, 0.0169767, -0.441795, -0.0838006
3, 0.0667333, 0.985481, 1, 72.1113, -76.2109, 686.243, 0.0204495, -0.459685, -0.102099
4, 0.1001, 0.984125, 1, 75.1219, -74.6105, 678.273, 0.0523855, -0.503168, -0.11082
5, 0.133467, 0.961557, 1, 78.4969, -74.0929, 672.62, 0.0492035, -0.546071, -0.11682
6, 0.166833, 0.951645, 1, 82.1127, -74.2744, 663.204, 0.0236352, -0.588939, -0.143599
7, 0.2002, 0.955616, 1, 85.7431, -76.5971, 670.874, 0.00652585, -0.583687, -0.156714
8, 0.233567, 0.991738, 1, 88.6835, -80.4106, 693.722, 0.0215332, -0.524575, -0.149969
9, 0.266933, 0.979211, 1, 88.2483, -82.8585, 705.774, 0.0291374, -0.486024, -0.158108
10, 0.3003, 0.976171, 1, 83.376, -83.396, 703.963, 0.0182626, -0.428506, -0.160384
11, 0.333667, 0.979795, 1, 73.8219, -84.1988, 699.607, -0.0274806, -0.339983, -0.163614
12, 0.367033, 0.981848, 1, 61.0463, -84.1504, 690.152, -0.0284918, -0.257234, -0.169222
13, 0.4004, 0.896455, 1, 49.9116, -85.8231, 688.011, -0.0431923, -0.24459, -0.180087
14, 0.433767, 0.786555, 1, 37.2132, -87.543, 679.854, -0.0806188, -0.206183, -0.210493
15, 0.467133, 0.983971, 1, 7.9569, -87.4708, 673.866, -0.0231275, 0.0798754, -0.10497
16, 0.5005, 0.98468, 1, -2.37184, -89.7699, 665.599, -0.0448887, 0.151363, -0.131598
17, 0.533867, 0.990452, 1, -10.0452, -93.4321, 666.566, -0.0409814, 0.205739, -0.146129
18, 0.567233, 0.990893, 1, -14.6383, -97.3549, 673.293, -0.0245309, 0.202726, -0.146541
19, 0.6006, 0.990557, 1, -16.8728, -100.298, 677.11, -0.0124294, 0.173664, -0.14413
20, 0.633967, 0.98369, 1, -17.9201, -102.232, 674.459, -0.0447057, 0.157528, -0.134913
21, 0.667333, 0.985025, 1, -17.7382, -102.878, 669.382, -0.0630278, 0.129608, -0.143785
22, 0.7007, 0.983546, 1, -18.2084, -103.135, 663.807, -0.0597526, 0.141926, -0.151147
23, 0.734067, 0.986942, 1, -20.6286, -104.238, 663.121, -0.031286, 0.188735, -0.153949
24, 0.767433, 0.984129, 1, -24.358, -106.202, 666.495, -0.033941, 0.202824, -0.136652
25, 0.8008, 0.986656, 1, -29.7154, -108.044, 668.8, -0.0703293, 0.219797, -0.113707
26, 0.834167, 0.989704, 1, -35.9627, -108.56, 673.394, -0.0439293, 0.252875, -0.100754
27, 0.867533, 0.988742, 1, -42.3555, -107.476, 672.959, -0.00250377, 0.292335, -0.0999352
28, 0.9009, 0.989528, 1, -49.12, -107.653, 673.512, 0.00529802, 0.311866, -0.101665
29, 0.934267, 0.989834, 1, -55.7452, -108.317, 678.72, 0.0351193, 0.3397, -0.112347
30, 0.967633, 0.990797, 1, -61.7645, -108.692, 682.084, 0.0458179, 0.354927, -0.119563
31, 1.001, 0.9914, 1, -67.192, -108.704, 683.55, 0.0523336, 0.365795, -0.125121
32, 1.03437, 0.990213, 1, -71.9779, -108.501, 685.195, 0.0549527, 0.371107, -0.12965
33, 1.06773, 0.98878, 1, -76.4674, -107.964, 688.545, 0.0510276, 0.375508, -0.133552
34, 1.1011, 0.989754, 1, -80.4301, -107.157, 690.937, 0.0403478, 0.380827, -0.133435
35, 1.13447, 0.988103, 1, -83.8133, -106.212, 694.203, 0.0429909, 0.38231, -0.133392
36, 1.16783, 0.987097, 1, -86.769, -104.726, 696.364, 0.0612762, 0.401941, -0.134154
37, 1.2012, 0.986397, 1, -88.9498, -103.188, 696.584, 0.0727931, 0.435748, -0.131839
38, 1.23457, 0.987421, 1, -89.5082, -101.578, 695.396, 0.0771032, 0.427783, -0.13793
39, 1.26793, 0.988775, 1, -89.6872, -100.287, 692.767, 0.0853177, 0.430256, -0.139599
40, 1.3013, 0.989876, 1, -88.9053, -99.2937, 689.604, 0.102086, 0.425304, -0.145745
41, 1.33467, 0.989459, 1, -87.5301, -98.857, 687.819, 0.101955, 0.4062, -0.15017
