frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0.986251, 1, -43.0507, 23.2502, 493.066, 0.109788, -0.139759, -0.0113969
2, 0.0333667, 0.981176, 1, -43.6363, 22.7938, 487.571, 0.0761334, -0.146633, -0.00675576
3, 0.0667333, 0.983566, 1, -44.3863, 22.3074, 484.804, 0.0515931, -0.142587, -0.00837356
4, 0.1001, 0.973209, 1, -45.1855, 22.6968, 479.803, 0.0896071, -0.124682, -0.00969956
5, 0.133467, 0.976131, 1, -46.269, 21.9889, 475.943, 0.063825, -0.0964339, -0.0194955
6, 0.166833, 0.978308, 1, -48.174, 21.2656, 470.574, 0.0386012, -0.0556236, -0.0327843
7, 0.2002, 0.980425, 1, -50.8047, 20.1755, 466.429, 0.0323813, -0.00203726, -0.0441734
8, 0.233567, 0.984903, 1, -54.3366, 19.0896, 464.494, 0.0188886, 0.0471, -0.0584261
9, 0.266933, 0.986858, 1, -58.5163, 18.8674, 464.645, 0.0223499, 0.0906905, -0.0758702
10, 0.3003, 0.988082, 1, -64.1304, 20.1034, 471.953, 0.029634, 0.171793, -0.0856718
11, 0.333667, 0.988103, 1, -69.5435, 21.3571, 481.033, 0.0732469, 0.268454, -0.105546
12, 0.367033, 0.984349, 1, -74.8826, 22.1805, 478.483, 0.0676726, 0.306345, -0.12443
13, 0.4004, 0.980319, 1, -79.5747, 22.5227, 470.921, 0.0561335, 0.335839, -0.14044
14, 0.433767, 0.974096, 1, -83.6912, 22.9586, 466.239, 0.0494682, 0.363027, -0.148015
15, 0.467133, 0.977332, 1, -85.7499, 23.098, 464.344, 0.0562781, 0.374025, -0.150367
16, 0.5005, 0.982706, 1, -85.8374, 22.9682, 469.612, 0.0535153, 0.368844, -0.140183
17, 0.533867, 0.985623, 1, -83.8804, 22.8941, 479.699, 0.0446919, 0.331076, -0.113403
18, 0.567233, 0.982909, 1, -78.4977, 23.0598, 484.033, 0.0160645, 0.238885, -0.0759026
19, 0.6006, 0.958789, 1, -71.1688, 23.5643, 484.745, -0.0159085, 0.140756, -0.0534052
20, 0.633967, 0.977859, 1, -61.6296, 22.985, 471.069, -0.0732285, -0.047049, -0.034103
21, 0.667333, 0.959455, 1, -54.6388, 22.0684, 466.582, -0.1583, -0.142288, -0.0275009
