frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
2, 0.0333667, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
3, 0.0667333, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
4, 0.1001, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
5, 0.133467, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
6, 0.166833, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
7, 0.2002, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
8, 0.233567, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
9, 0.266933, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
10, 0.3003, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
11, 0.333667, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
12, 0.367033, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
13, 0.4004, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
14, 0.433767, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
15, 0.467133, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
16, 0.5005, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
17, 0.533867, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
18, 0.567233, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
19, 0.6006, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
20, 0.633967, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
21, 0.667333, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
22, 0.7007, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
23, 0.734067, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
24, 0.767433, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
25, 0.8008, 0.940957, 1, -7.74734, -35.8456, 700.524, -0.0199221, -0.0677882, -0.125961
26, 0.834167, 0.944591, 1, -1.63758, -34.2227, 699.127, 0.0430513, -0.103874, -0.110605
27, 0.867533, 0.946172, 1, 3.20824, -38.7293, 704.627, 0.00608556, -0.116713, -0.100508
28, 0.9009, 0.938704, 1, 6.69099, -45.0404, 710.965, -0.0571366, -0.135066, -0.0944517
29, 0.934267, 0.936734, 1, 9.17382, -50.7071, 715.447, -0.0839574, -0.146024, -0.0913595
30, 0.967633, 0.884747, 1, 11.6476, -54.5434, 720.008, -0.103606, -0.154154, -0.0877669
31, 1.001, 0.900654, 1, 15.0883, -56.8073, 721.431, -0.0454746, -0.214158, -0.0889788
32, 1.03437, 0.908979, 1, 17.3395, -59.2042, 721.497, -0.0284273, -0.22623, -0.0863568
33, 1.06773, 0.920845, 1, 19.4695, -61.817, 721.544, -0.0188534, -0.225817, -0.0890995
34, 1.1011, 0.920026, 1, 21.3342, -65.2571, 721.365, -0.0170601, -0.220585, -0.0893347
35, 1.13447, 0.919181, 1, 23.2635, -67.9856, 719.877, -0.0178257, -0.213907, -0.090282
36, 1.16783, 0.914673, 1, 25.2358, -69.6906, 716.752, -0.0282174, -0.207681, -0.0961115
37, 1.2012, 0.908659, 1, 26.6543, -71.2588, 717.515, -0.0448107, -0.197988, -0.10599
38, 1.23457, 0.901844, 1, 28.0868, -72.5492, 716.377, -0.0583807, -0.191414, -0.114555
39, 1.26793, 0.902475, 1, 29.4287, -73.9179, 716.451, -0.0861734, -0.185493, -0.121351
40, 1.3013, 0.893887, 1, 30.4912, -75.4863, 714.592, -0.117395, -0.176796, -0.125229
41, 1.33467, 0.870048, 1, 31.2422, -78.6506, 716.839, -0.164347, -0.174996, -0.122798
42, 1.36803, 0.87434, 1, 33.4011, -82.2275, 720.689, -0.226421, -0.184293, -0.120985
43, 1.4014, 0.868559, 1, 38.3857, -84.2063, 713.169, -0.289189, -0.194834, -0.115375
44, 1.43477, 0.87985, 1, 45.695, -86.9867, 714.207, -0.319826, -0.240732, -0.122493
45, 1.46813, 0.85934, 1, 53.5937, -88.9203, 719.585, -0.32022, -0.274067, -0.118663
46, 1.5015, 0.867191, 1, 60.9993, -90.0798, 726.178, -0.336306, -0.311337, -0.108876
47, 1.53487, 0.885305, 1, 64.1594, -89.2188, 722.999, -0.377946, -0.320367, -0.0851644
48, 1.56823, 0.905937, 1, 62.4442, -89.1305, 716.709, -0.499078, -0.30066, -0.0623552
49, 1.6016, 0.901911, 1, 53.8739, -84.5998, 674.045, -0.761943, -0.225915, -0.0384322
50, 1.63497, 0.894546, 1, 45.2013, -78.2045, 641.19, -0.80313, -0.148961, 0.0034601
51, 1.66833, 0.927554, 1, 39.6247, -77.8701, 668.412, -0.726869, -0.13313, 0.0373664
52, 1.7017, 0.942168, 1, 37.1222, -75.8991, 718.051, -0.397541, -0.0762814, 0.109093
53, 1.73507, 0.935792, 1, 35.8351, -69.5005, 719.988, -0.176989, -0.0730109, 0.112728
54, 1.76843, 0.93807, 1, 36.3611, -67.2437, 715.588, -0.120194, -0.090374, 0.0986073
55, 1.8018, 0.945856, 1, 38.0021, -66.514, 720.489, -0.12821, -0.108653, 0.0778346
56, 1.83517, 0.948775, 1, 39.0001, -64.7214, 722.608, -0.104017, -0.115418, 0.0635174
57, 1.86853, 0.928169, 1, 37.5078, -60.6185, 716.995, 0.00923302, -0.0905453, 0.0623325
58, 1.9019, 0.909382, 1, 35.2773, -54.6519, 710.791, 0.097495, -0.0949872, 0.0651626
59, 1.93527, 0.903951, 1, 33.4931, -48.7859, 707.66, 0.147394, -0.096249, 0.0677471
60, 1.96863, 0.900053, 1, 31.7849, -43.1053, 701.861, 0.150348, -0.0962676, 0.0689082
61, 2.002, 0.904427, 1, 30.1399, -37.7477, 697.793, 0.132962, -0.0956692, 0.0728875
62, 2.03537, 0.887272, 1, 28.369, -33.674, 698.06, 0.117819, -0.0891016, 0.0650398
63, 2.06873, 0.891385, 1, 26.3421, -29.6578, 699.703, 0.104034, -0.0777492, 0.0588478
64, 2.1021, 0.895944, 1, 24.3587, -25.7589, 699.495, 0.117165, -0.0782561, 0.0516088
65, 2.13547, 0.900801, 1, 22.1472, -22.9319, 700.229, 0.123656, -0.0706362, 0.0508317
66, 2.16883, 0.905786, 1, 20.2201, -20.9217, 700.732, 0.124689, -0.0664466, 0.0511871
67, 2.2022, 0.911425, 1, 18.7171, -19.894, 702.254, 0.121216, -0.0648793, 0.0520494
68, 2.23557, 0.91616, 1, 17.0842, -19.5273, 701.69, 0.104462, -0.062724, 0.0517335
69, 2.26893, 0.918591, 1, 15.5091, -19.6267, 702.585, 0.105227, -0.0596926, 0.0488555
70, 2.3023, 0.919203, 1, 14.4048, -20.2069, 703.632, 0.0968443, -0.0614569, 0.0466385
71, 2.33567, 0.91315, 1, 13.3813, -21.521, 704.825, 0.0558818, -0.0598631, 0.0480018
72, 2.36903, 0.918459, 1, 12.4611, -22.9541, 707.434, 0.0447706, -0.0642042, 0.0416647
73, 2.4024, 0.915616, 1, 11.6176, -24.5848, 708.624, 0.0357655, -0.066857, 0.0378917
74, 2.43577, 0.91907, 1, 10.9058, -26.3304, 709.224, 0.0173126, -0.0679172, 0.0362725
75, 2.46913, 0.923607, 1, 10.3421, -28.3328, 711.149, 0.0278709, -0.0656396, 0.032298
76, 2.5025, 0.924408, 1, 9.6495, -30.3458, 710.503, 0.022717, -0.0638178, 0.0306128
77, 2.53587, 0.925397, 1, 8.97656, -32.4666, 710.989, 0.0232437, -0.062018, 0.0298999
78, 2.56923, 0.933215, 1, 8.30065, -34.5296, 708.807, 0.015986, -0.0592967, 0.0276413
79, 2.6026, 0.935572, 1, 7.29094, -36.9275, 710.068, 0.0317638, -0.0510498, 0.0244896
80, 2.63597, 0.936665, 1, 6.54574, -39.0915, 709.851, 0.0370073, -0.0495455, 0.0230077
