frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0.972624, 1, 135.85, -72.3368, 696.314, 0.0782078, 0.19919, -0.0345884
2, 0.0333667, 0.974042, 1, 137.926, -74.0016, 715.705, 0.0400936, 0.316441, -0.0493945
3, 0.0667333, 0.975933, 1, 135.384, -73.5121, 712.344, 0.031614, 0.32218, -0.0564119
4, 0.1001, 0.950567, 1, 132.255, -73.2666, 704.56, -0.0127322, 0.315494, -0.055954
5, 0.133467, 0.930331, 1, 130.192, -73.638, 699.177, -0.0448052, 0.311487, -0.0464409
6, 0.166833, 0.902373, 1, 128.916, -74.4857, 695.509, -0.076732, 0.308063, -0.0302121
7, 0.2002, 0.883435, 1, 127.859, -75.3518, 691.884, -0.106613, 0.289696, -0.0197118
8, 0.233567, 0.875823, 1, 127.362, -76.2524, 690.186, -0.124659, 0.277611, -0.0110907
9, 0.266933, 0.880931, 1, 127.605, -77.2839, 690.934, -0.134781, 0.251464, -0.00264413
10, 0.3003, 0.873904, 1, 129.23, -78.6619, 697.362, -0.129578, 0.234067, 0.00388791
11, 0.333667, 0.910408, 1, 130.662, -79.5308, 700.812, -0.116502, 0.215958, 0.01238
12, 0.367033, 0.965402, 1, 130.792, -79.0565, 694.236, -0.093327, 0.205407, 0.00645915
13, 0.4004, 0.964531, 1, 132.5, -79.5941, 696.305, -0.077513, 0.189259, 0.00854198
14, 0.433767, 0.957511, 1, 133.604, -79.4772, 693.023, -0.080959, 0.16836, 0.0109167
15, 0.467133, 0.946759, 1, 132.533, -77.7795, 683.446, -0.106554, 0.163278, 0.0265291
16, 0.5005, 0.940531, 1, 135.059, -77.3724, 685.778, -0.105469, 0.152208, 0.0359047
17, 0.533867, 0.9709, 1, 139.202, -77.0035, 691.371, -0.0690644, 0.128259, 0.0400184
18, 0.567233, 0.972346, 1, 143.477, -76.5379, 694.266, -0.0734481, 0.0910714, 0.0366271
19, 0.6006, 0.9777, 1, 146.696, -75.8313, 695.836, -0.082534, 0.0680186, 0.046619
20, 0.633967, 0.986349, 1, 148.806, -73.8721, 693.268, -0.0525179, 0.0552996, 0.0597292
21, 0.667333, 0.981935, 1, 150.142, -72.2366, 684.82, -0.0614211, 0.0310079, 0.0720409
22, 0.7007, 0.979079, 1, 152.958, -72.1086, 681.896, -0.0653023, 0.0259457, 0.0816318
23, 0.734067, 0.977917, 1, 157.793, -73.9117, 687.053, -0.102554, -0.00417312, 0.108091
24, 0.767433, 0.978008, 1, 161.98, -74.6928, 691.478, -0.100767, -0.0333153, 0.129067
25, 0.8008, 0.977928, 1, 163.611, -73.4036, 686.721, -0.0709327, -0.0671051, 0.144534
26, 0.834167, 0.964911, 1, 165.361, -72.8906, 684.808, -0.0809475, -0.104297, 0.152802
27, 0.867533, 0.966172, 1, 166.875, -72.5899, 686.576, -0.0907002, -0.121324, 0.154221
28, 0.9009, 0.974335, 1, 167.469, -72.1462, 688.986, -0.0511485, -0.134593, 0.151887
29, 0.934267, 0.973243, 1, 167.885, -72.2374, 693.003, -0.0367046, -0.146287, 0.148409
30, 0.967633, 0.972149, 1, 167.664, -72.2002, 696.635, -0.0215276, -0.154145, 0.146714
31, 1.001, 0.961324, 1, 167.143, -72.571, 700.205, -0.0455985, -0.160972, 0.142915
32, 1.03437, 0.959884, 1, 165.876, -71.9058, 702.163, -0.0299288, -0.171457, 0.138763
33, 1.06773, 0.983825, 1, 163.325, -69.7825, 699.548, 0.0345165, -0.189593, 0.141397
34, 1.1011, 0.980662, 1, 164.527, -69.9763, 710.055, 0.0503388, -0.266285, 0.117649
35, 1.13447, 0.980595, 1, 162.387, -69.5999, 708.53, 0.0686668, -0.277944, 0.105025
36, 1.16783, 0.980611, 1, 160.52, -69.7807, 710.014, 0.0710429, -0.283757, 0.0963472
37, 1.2012, 0.983981, 1, 158.737, -69.851, 712.112, 0.0817506, -0.284708, 0.092474
38, 1.23457, 0.985287, 1, 156.634, -69.547, 712.525, 0.0897882, -0.285725, 0.0898147
