frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
2, 0.0333667, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
3, 0.0667333, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
4, 0.1001, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
5, 0.133467, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
6, 0.166833, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
7, 0.2002, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
8, 0.233567, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
9, 0.266933, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
10, 0.3003, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
11, 0.333667, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
12, 0.367033, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
13, 0.4004, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
14, 0.433767, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
15, 0.467133, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
16, 0.5005, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
17, 0.533867, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
18, 0.567233, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
19, 0.6006, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
20, 0.633967, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
21, 0.667333, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
22, 0.7007, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
23, 0.734067, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
24, 0.767433, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
25, 0.8008, 0.938035, 1, -101.613, -0.0598061, 523.027, 0.0100089, 0.118248, -0.0598794
26, 0.834167, 0.97825, 1, -104.666, -0.374219, 519.841, 0.0259519, 0.205878, -0.0632588
27, 0.867533, 0.981065, 1, -106.898, -1.002, 513.465, 0.0390958, 0.285807, -0.058169
28, 0.9009, 0.98045, 1, -108.187, -1.69931, 507.249, 0.03523, 0.324073, -0.0604979
29, 0.934267, 0.982187, 1, -108.572, -2.57695, 501.568, 0.0248943, 0.325662, -0.0611083
30, 0.967633, 0.976769, 1, -108.901, -3.55954, 495.666, 0.00242024, 0.341714, -0.0498488
31, 1.001, 0.981501, 1, -109.143, -5.06305, 494.909, -0.0145585, 0.347811, -0.043035
32, 1.03437, 0.98394, 1, -110.001, -6.86976, 496.544, -0.0403327, 0.35225, -0.0325778
33, 1.06773, 0.982779, 1, -110.727, -8.0689, 496.26, -0.0507062, 0.360522, -0.025332
34, 1.1011, 0.982513, 1, -111.073, -7.79174, 494.507, -0.0362664, 0.363146, -0.0296903
35, 1.13447, 0.981032, 1, -112.494, -6.55409, 494.459, -0.00872911, 0.377798, -0.032734
36, 1.16783, 0.975278, 1, -114.475, -4.42438, 497.053, 0.042401, 0.382044, -0.0406814
37, 1.2012, 0.974852, 1, -116.197, -1.72572, 497.428, 0.0911776, 0.39628, -0.0506475
38, 1.23457, 0.971164, 1, -117.594, 1.08202, 497.315, 0.125529, 0.40989, -0.0572
39, 1.26793, 0.97086, 1, -118.073, 3.42212, 496.3, 0.142597, 0.417866, -0.0575434
40, 1.3013, 0.972631, 1, -118.971, 4.79053, 498.519, 0.162093, 0.412431, -0.0551911
41, 1.33467, 0.983056, 1, -120.885, 5.34242, 505.472, 0.169872, 0.400454, -0.0518454
42, 1.36803, 0.982838, 1, -122.242, 5.50503, 506.688, 0.160901, 0.401977, -0.0429707
43, 1.4014, 0.981995, 1, -123.224, 4.87225, 505.083, 0.154592, 0.410784, -0.0377869
44, 1.43477, 0.975457, 1, -124.896, 4.25895, 505.837, 0.143866, 0.426286, -0.0351361
45, 1.46813, 0.977112, 1, -127.364, 4.69024, 510.239, 0.164082, 0.453211, -0.042642
46, 1.5015, 0.975891, 1, -128.247, 4.92691, 510.109, 0.166478, 0.461093, -0.0473436
47, 1.53487, 0.974892, 1, -128.943, 5.08419, 510.032, 0.183534, 0.465752, -0.0565227
48, 1.56823, 0.971306, 1, -129.002, 5.22076, 510.537, 0.181677, 0.441139, -0.0542609
49, 1.6016, 0.9693, 1, -129.292, 5.59662, 513.161, 0.171765, 0.420795, -0.0481693
50, 1.63497, 0.965222, 1, -129.063, 6.32893, 511.671, 0.151672, 0.42511, -0.037444
51, 1.66833, 0.971713, 1, -128.74, 6.95625, 510.837, 0.156545, 0.409727, -0.0398798
52, 1.7017, 0.971997, 1, -129.304, 7.06255, 510.609, 0.160154, 0.414064, -0.0423698
53, 1.73507, 0.971085, 1, -129.874, 7.50371, 510.072, 0.169012, 0.424692, -0.0472397
54, 1.76843, 0.972807, 1, -130.171, 7.31959, 508.828, 0.166764, 0.444852, -0.0470332
55, 1.8018, 0.97277, 1, -129.981, 7.14287, 508.246, 0.164644, 0.455118, -0.0435197
56, 1.83517, 0.977337, 1, -129.229, 7.00582, 508.856, 0.162851, 0.449216, -0.0401551
57, 1.86853, 0.977645, 1, -127.916, 6.99617, 510.423, 0.178035, 0.427702, -0.0430898
58, 1.9019, 0.982448, 1, -125.882, 7.30807, 510.348, 0.195344, 0.40077, -0.0503313
59, 1.93527, 0.985872, 1, -124.024, 7.66547, 506.526, 0.196244, 0.419739, -0.0581498
60, 1.96863, 0.982138, 1, -122.763, 7.97354, 501.871, 0.181758, 0.447193, -0.0604908
61, 2.002, 0.980366, 1, -121.246, 8.20304, 496.424, 0.180439, 0.467437, -0.0680414
62, 2.03537, 0.982438, 1, -120.506, 8.30204, 494.322, 0.19409, 0.478048, -0.0808603
63, 2.06873, 0.966203, 1, -121.019, 8.20998, 494.257, 0.187862, 0.48802, -0.0779746
64, 2.1021, 0.966872, 1, -122.708, 7.67992, 499.409, 0.157646, 0.507133, -0.0677386
65, 2.13547, 0.963267, 1, -122.55, 7.25506, 503.705, 0.144393, 0.513038, -0.0629152
66, 2.16883, 0.969735, 1, -119.82, 7.12323, 506.87, 0.157002, 0.484019, -0.0700449
67, 2.2022, 0.98014, 1, -116.427, 7.05373, 510.916, 0.152423, 0.45029, -0.0757675
68, 2.23557, 0.985094, 1, -112.622, 6.68324, 513.119, 0.139114, 0.410254, -0.0719933
69, 2.26893, 0.986396, 1, -110.248, 6.08927, 517.612, 0.122285, 0.371703, -0.0728062
70, 2.3023, 0.981277, 1, -108.531, 5.36798, 518.265, 0.12083, 0.358185, -0.0774038
71, 2.33567, 0.972839, 1, -108.103, 4.78328, 513.034, 0.138652, 0.398026, -0.0811929
72, 2.36903, 0.961977, 1, -107.54, 4.17609, 503.963, 0.175096, 0.375381, -0.0947318
73, 2.4024, 0.952889, 1, -109.252, 3.83913, 495.507, 0.180898, 0.41756, -0.102192
74, 2.43577, 0.940256, 1, -111.489, 4.09178, 489.569, 0.184875, 0.458568, -0.103599
75, 2.46913, 0.942684, 1, -113.664, 4.8467, 485.492, 0.190225, 0.488747, -0.101906
76, 2.5025, 0.954081, 1, -115.456, 5.85349, 483.979, 0.205594, 0.501604, -0.109595
77, 2.53587, 0.972726, 1, -117.057, 7.51223, 486.805, 0.24905, 0.503466, -0.123894
78, 2.56923, 0.977927, 1, -118.18, 9.18755, 489.536, 0.264141, 0.499491, -0.130034
79, 2.6026, 0.945014, 1, -118.548, 10.6473, 486.445, 0.226493, 0.516144, -0.112629
80, 2.63597, 0.936225, 1, -118.734, 11.7673, 487.399, 0.220665, 0.516519, -0.108831
81, 2.66933, 0.949131, 1, -119.155, 12.6414, 488.686, 0.217925, 0.509882, -0.10734
82, 2.7027, 0.952361, 1, -119.345, 12.9976, 488.358, 0.217393, 0.506728, -0.108422
