frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0.971715, 1, -120.764, 24.7748, 565.313, 0.311811, 0.0796376, -0.0104025
2, 0.0333667, 0.973698, 1, -120.934, 23.8037, 556.308, 0.37318, 0.0775312, -0.0107765
3, 0.0667333, 0.97306, 1, -122.212, 23.1729, 551.01, 0.396996, 0.0781974, -0.00912716
4, 0.1001, 0.970352, 1, -123.507, 23.0464, 546.381, 0.422727, 0.0770356, -0.00817455
5, 0.133467, 0.970257, 1, -125.511, 22.2147, 545.787, 0.412928, 0.077244, -0.00598047
6, 0.166833, 0.969786, 1, -127.48, 21.5443, 546.401, 0.420287, 0.0797211, -0.00897036
7, 0.2002, 0.968216, 1, -128.417, 19.85, 544.847, 0.425652, 0.0801853, -0.0195764
8, 0.233567, 0.975442, 1, -128.499, 15.0228, 540.636, 0.373157, 0.0905594, -0.0265684
9, 0.266933, 0.98194, 1, -127.151, 8.01195, 532.344, 0.310611, 0.100047, -0.0338214
10, 0.3003, 0.983503, 1, -126.393, 2.78751, 528.66, 0.27266, 0.117089, -0.0372043
11, 0.333667, 0.982923, 1, -125.509, -0.903924, 527.782, 0.239185, 0.125793, -0.0340718
12, 0.367033, 0.983191, 1, -123.959, -3.54214, 525.163, 0.209308, 0.131519, -0.027296
13, 0.4004, 0.982304, 1, -122.523, -5.6624, 524.025, 0.194786, 0.138175, -0.0216041
14, 0.433767, 0.982237, 1, -121.106, -7.2548, 523.583, 0.193329, 0.137813, -0.017478
15, 0.467133, 0.982571, 1, -119.835, -8.69861, 525.312, 0.184673, 0.146534, -0.0132585
16, 0.5005, 0.983146, 1, -118.271, -9.85457, 526.805, 0.169864, 0.152825, -0.00779305
17, 0.533867, 0.9773, 1, -117.968, -11.0512, 534.026, 0.150786, 0.180747, -0.00605915
18, 0.567233, 0.9736, 1, -116.875, -12.4394, 538.458, 0.143448, 0.2024, 0.014888
19, 0.6006, 0.973358, 1, -115.339, -13.6445, 543.496, 0.127549, 0.197348, 0.0259078
20, 0.633967, 0.972656, 1, -113.188, -14.3654, 546.366, 0.120012, 0.187826, 0.0332101
21, 0.667333, 0.973716, 1, -110.589, -15.1593, 547.734, 0.115115, 0.190003, 0.0354713
22, 0.7007, 0.975809, 1, -107.434, -16.0158, 548.634, 0.105864, 0.185836, 0.0398568
23, 0.734067, 0.975472, 1, -103.268, -16.5116, 548.908, 0.105244, 0.174168, 0.0445963
24, 0.767433, 0.982769, 1, -97.8474, -16.9438, 545.424, 0.112804, 0.129946, 0.0427011
25, 0.8008, 0.983014, 1, -93.122, -17.5972, 544.676, 0.114331, 0.130062, 0.0270121
26, 0.834167, 0.983509, 1, -88.1018, -18.3104, 542.554, 0.111691, 0.128832, 0.0211382
27, 0.867533, 0.984033, 1, -83.6649, -19.8749, 546.267, 0.103263, 0.120775, 0.0229618
28, 0.9009, 0.981355, 1, -78.9608, -22.8549, 553.054, 0.0548184, 0.0967682, 0.0367637
29, 0.934267, 0.978519, 1, -72.3961, -25.5893, 553.975, -0.00142951, 0.0665855, 0.0647025
30, 0.967633, 0.979928, 1, -65.5188, -25.9621, 555.413, 0.0159624, 0.0580324, 0.0955529
31, 1.001, 0.979224, 1, -58.2706, -24.7161, 553.725, 0.0847844, 0.0301255, 0.113581
32, 1.03437, 0.979824, 1, -53.2451, -23.0892, 561.011, 0.123931, 0.000218169, 0.11993
33, 1.06773, 0.981788, 1, -48.6847, -22.6907, 561.691, 0.132111, -0.000600945, 0.122518
34, 1.1011, 0.979998, 1, -44.1123, -22.9503, 558.053, 0.115533, -0.0026651, 0.115614
35, 1.13447, 0.97683, 1, -39.3535, -23.7656, 555.722, 0.063465, -0.0286651, 0.0997823
36, 1.16783, 0.973873, 1, -34.7594, -24.1947, 554.062, 0.0377394, -0.0356621, 0.085128
37, 1.2012, 0.973223, 1, -30.7304, -23.4382, 551.324, 0.0459627, -0.0297546, 0.0782746
38, 1.23457, 0.976526, 1, -26.8703, -22.9277, 551.027, 0.0692439, -0.0354141, 0.0731694
39, 1.26793, 0.982123, 1, -23.5386, -24.1854, 552.53, 0.0757681, -0.0390923, 0.0723544
40, 1.3013, 0.982331, 1, -20.5832, -27.2083, 555.722, 0.0662614, -0.0360595, 0.070719
41, 1.33467, 0.981676, 1, -18.0315, -30.5898, 557.744, 0.073801, -0.0333997, 0.0708145
42, 1.36803, 0.980539, 1, -15.6022, -33.3837, 558.795, 0.0793378, -0.0284671, 0.0706482
43, 1.4014, 0.978582, 1, -13.3042, -34.2349, 556.167, 0.089555, -0.0225027, 0.0671021
44, 1.43477, 0.977105, 1, -11.3543, -34.1514, 557.005, 0.0943407, -0.0148682, 0.0706323
45, 1.46813, 0.976388, 1, -9.39385, -33.7962, 556.829, 0.0972394, -0.00875486, 0.0754464
46, 1.5015, 0.975211, 1, -7.52886, -33.5892, 557.466, 0.0940954, -0.00874452, 0.0782062
47, 1.53487, 0.976189, 1, -5.61155, -33.5022, 559.356, 0.0934876, -0.0149121, 0.0760388
48, 1.56823, 0.974861, 1, -3.98765, -33.3867, 560.278, 0.095941, -0.0170727, 0.0743234
49, 1.6016, 0.976404, 1, -2.75256, -33.1332, 560.081, 0.0894002, -0.0159849, 0.0728892
50, 1.63497, 0.97562, 1, -2.13994, -33.065, 559.843, 0.0786661, -0.016417, 0.070415
51, 1.66833, 0.975843, 1, -2.09247, -32.8488, 558.894, 0.0760834, -0.014403, 0.0697348
52, 1.7017, 0.976799, 1, -2.29715, -32.165, 557.674, 0.0762214, -0.00974571, 0.0665968
53, 1.73507, 0.977403, 1, -2.73169, -31.1746, 555.543, 0.0787003, -0.00923711, 0.0635798
54, 1.76843, 0.977954, 1, -3.21986, -29.6107, 553.986, 0.0899649, -0.00494388, 0.0604207
55, 1.8018, 0.97678, 1, -3.61606, -27.1883, 553.503, 0.110505, -0.0041229, 0.0604433
56, 1.83517, 0.973578, 1, -4.35988, -24.0827, 551.8, 0.13186, -0.00178863, 0.0565267
57, 1.86853, 0.972663, 1, -5.56769, -20.8585, 549.039, 0.161293, 0.00629761, 0.0501626
58, 1.9019, 0.97503, 1, -6.87501, -18.0489, 546.704, 0.188376, 0.0101886, 0.045423
59, 1.93527, 0.976389, 1, -8.39276, -14.4359, 542.274, 0.256554, 0.01475, 0.0394511
60, 1.96863, 0.975388, 1, -9.95256, -12.1812, 545.292, 0.241124, 0.0144346, 0.0329058
61, 2.002, 0.979629, 1, -11.6694, -10.3704, 548.884, 0.255641, 0.0197526, 0.0252655
62, 2.03537, 0.976035, 1, -13.251, -9.60579, 555.46, 0.256702, 0.0212538, 0.0192662
63, 2.06873, 0.974576, 1, -14.3086, -10.3489, 563.782, 0.241839, 0.00690113, 0.0137563
64, 2.1021, 0.973618, 1, -15.5247, -11.969, 567.781, 0.234769, 0.00380849, 0.01045
65, 2.13547, 0.974392, 1, -16.4104, -14.4531, 571.131, 0.226718, 0.0111018, 0.00869352
66, 2.16883, 0.973847, 1, -16.6073, -17.2563, 572.562, 0.209979, 0.0162268, 0.00885945
67, 2.2022, 0.973823, 1, -16.0409, -19.3798, 573.143, 0.197593, 0.0186175, 0.0129989
68, 2.23557, 0.974895, 1, -15.0834, -19.6326, 572.919, 0.210179, 0.0224253, 0.0154873
69, 2.26893, 0.970225, 1, -14.1162, -18.4176, 572.314, 0.23422, 0.025665, 0.0166372
70, 2.3023, 0.968484, 1, -13.5096, -16.0029, 573.56, 0.255124, 0.0326708, 0.0189709
71, 2.33567, 0.966728, 1, -12.7553, -11.4623, 571.871, 0.297153, 0.0317862, 0.0155237
72, 2.36903, 0.971205, 1, -12.1915, -6.55377, 570.094, 0.334665, 0.0328168, 0.0114433
73, 2.4024, 0.967945, 1, -11.7264, -1.65846, 566.748, 0.387267, 0.0332393, 0.00476404
74, 2.43577, 0.964249, 1, -10.859, 0.912933, 566.532, 0.406279, 0.0243163, -0.00321462
75, 2.46913, 0.965286, 1, -10.2131, 1.15429, 565.917, 0.396732, 0.0212478, -0.00950937
76, 2.5025, 0.96287, 1, -9.77102, 0.32915, 565.683, 0.385058, 0.0210747, -0.0125169
77, 2.53587, 0.956422, 1, -9.02055, -0.32277, 565.238, 0.384118, 0.0178288, -0.0137917
78, 2.56923, 0.952912, 1, -8.40634, -0.519421, 564.166, 0.390142, 0.011822, -0.0130877
79, 2.6026, 0.969596, 1, -7.99705, -0.733338, 565.366, 0.367174, 0.0153352, -0.013769
80, 2.63597, 0.979821, 1, -6.84891, -0.617266, 564.225, 0.356943, -0.00136019, -0.0226794
81, 2.66933, 0.976493, 1, -6.84781, 0.0434086, 556.108, 0.359853, 0.0159335, -0.0220901
82, 2.7027, 0.976296, 1, -6.57005, -0.139598, 555.362, 0.356712, 0.0165344, -0.0235614
83, 2.73607, 0.976003, 1, -6.28469, -0.44649, 554.924, 0.352516, 0.0172865, -0.0265827
84, 2.76943, 0.975642, 1, -6.06107, -0.358063, 557.466, 0.357818, 0.0171112, -0.0300848
85, 2.8028, 0.965869, 1, -5.94911, 1.17444, 566.386, 0.367949, 0.0206832, -0.0302032
86, 2.83617, 0.963919, 1, -5.9304, 1.787, 566.651, 0.368704, 0.0179098, -0.0363003
87, 2.86953, 0.965867, 1, -6.55607, 2.71043, 565.997, 0.362818, 0.0166427, -0.0498771
88, 2.9029, 0.975619, 1, -8.27154, 3.80343, 562.143, 0.37413, 0.0181179, -0.070285
89, 2.93627, 0.969065, 1, -10.2014, 4.24917, 570.427, 0.354934, 0.00568045, -0.104745
90, 2.96963, 0.961906, 1, -12.5371, 5.28607, 572.627, 0.360848, 0.0111066, -0.136606
91, 3.003, 0.958095, 1, -14.785, 6.45802, 567.483, 0.368281, 0.00714789, -0.16227
92, 3.03637, 0.94813, 1, -16.4336, 6.51422, 565.619, 0.36104, 0.00749856, -0.179639
93, 3.06973, 0.958048, 1, -17.3098, 6.39845, 560.687, 0.351349, 0.0165823, -0.188458
94, 3.1031, 0.968477, 1, -17.6333, 6.2602, 559.058, 0.363927, 0.0190679, -0.188279
95, 3.13647, 0.975923, 1, -18.2954, 5.55803, 563.562, 0.361876, 0.0284798, -0.185189
96, 3.16983, 0.973675, 1, -18.7164, 4.83221, 566.543, 0.347755, 0.0330687, -0.179909
97, 3.2032, 0.975143, 1, -18.9664, 4.61127, 565.77, 0.352208, 0.0349856, -0.174237
98, 3.23657, 0.978541, 1, -19.1153, 4.97639, 561.292, 0.352359, 0.0335713, -0.170077
99, 3.26993, 0.977927, 1, -19.9852, 5.38343, 560.771, 0.347083, 0.040338, -0.16798
100, 3.3033, 0.979105, 1, -20.8911, 5.82522, 560.83, 0.345997, 0.0499248, -0.164839
101, 3.33667, 0.978792, 1, -21.6989, 5.82179, 561.223, 0.343935, 0.0637689, -0.163193
102, 3.37003, 0.97676, 1, -21.4735, 4.89625, 562.278, 0.333753, 0.0696487, -0.160367
103, 3.4034, 0.975193, 1, -19.4624, 1.53784, 554.926, 0.321176, 0.0705877, -0.152802
104, 3.43677, 0.981423, 1, -16.108, -4.71769, 551.46, 0.260162, 0.0812451, -0.139126
105, 3.47013, 0.979598, 1, -11.7753, -10.4506, 552.181, 0.198286, 0.0817819, -0.116258
106, 3.5035, 0.977789, 1, -7.1523, -15.4565, 554.827, 0.135183, 0.0757688, -0.0892351
107, 3.53687, 0.974353, 1, -2.75612, -19.3216, 557.26, 0.0744911, 0.0686616, -0.0663236
108, 3.57023, 0.975332, 1, 1.36301, -22.2278, 558.533, 0.0347808, 0.0628696, -0.0444169
109, 3.6036, 0.978482, 1, 4.82037, -24.1864, 559.032, 0.0125093, 0.0576635, -0.0238913
110, 3.63697, 0.981806, 1, 7.79856, -24.7193, 558.375, 0.00756456, 0.0559795, -0.00887364
111, 3.67033, 0.98232, 1, 10.4612, -23.9643, 553.541, 0.0460235, 0.0535613, 0.00343764
112, 3.7037, 0.981799, 1, 13.3133, -23.6173, 551.576, 0.0624719, 0.0435061, 0.0159649
113, 3.73707, 0.982195, 1, 16.5461, -23.7353, 551.71, 0.0630919, 0.0170752, 0.0313394
114, 3.77043, 0.981903, 1, 20.2408, -23.8755, 555.238, 0.0688252, -0.00911301, 0.0523977
115, 3.8038, 0.982268, 1, 24.279, -23.7686, 558.863, 0.0812583, -0.0382388, 0.0744498
116, 3.83717, 0.978324, 1, 28.1061, -23.4548, 560.059, 0.0885354, -0.0736439, 0.0945316
117, 3.87053, 0.977219, 1, 30.8259, -22.3325, 557.642, 0.0998773, -0.0979105, 0.107142
118, 3.9039, 0.97192, 1, 31.2788, -20.7882, 554.653, 0.100911, -0.094585, 0.10799
119, 3.93727, 0.973531, 1, 29.9413, -20.0369, 552.062, 0.0992231, -0.0638124, 0.100109
120, 3.97063, 0.968258, 1, 28.2132, -21.5322, 555.961, 0.0515881, -0.035195, 0.0856508
121, 4.004, 0.972401, 1, 26.2912, -22.2336, 552.48, 0.0441117, -0.00148162, 0.0736991
122, 4.03737, 0.976679, 1, 25.3927, -23.0175, 549.757, 0.0585398, 0.0341092, 0.0715214
123, 4.07073, 0.978042, 1, 26.3928, -25.2208, 556.922, 0.0132969, 0.0493795, 0.0759236
124, 4.1041, 0.980203, 1, 29.0404, -25.5787, 569.808, 0.0145586, 0.0437214, 0.0800643
125, 4.13747, 0.978124, 1, 31.9707, -25.0359, 575.05, 0.0294541, 0.0297675, 0.0908602
126, 4.17083, 0.98322, 1, 35.4395, -24.3683, 573.684, 0.0504586, 0.00478609, 0.1047
127, 4.2042, 0.982553, 1, 39.235, -23.0638, 571.18, 0.0693622, -0.0150598, 0.11977
128, 4.23757, 0.982652, 1, 43.2364, -21.8643, 568.143, 0.0835806, -0.0473326, 0.130801
129, 4.27093, 0.980976, 1, 47.1459, -21.0002, 566.473, 0.0965059, -0.0849461, 0.143033
130, 4.3043, 0.978238, 1, 50.5329, -20.3294, 565.173, 0.102427, -0.122162, 0.151264
131, 4.33767, 0.975032, 1, 53.0263, -19.6523, 562.219, 0.095384, -0.15014, 0.152814
132, 4.37103, 0.969585, 1, 55.3704, -19.5651, 562.805, 0.0645047, -0.205836, 0.137068
133, 4.4044, 0.969548, 1, 55.7841, -17.9049, 566.405, 0.0605635, -0.219326, 0.111406
134, 4.43777, 0.971345, 1, 54.4933, -15.9137, 562.574, 0.0840892, -0.195563, 0.090476
135, 4.47113, 0.96816, 1, 52.2559, -15.117, 559.268, 0.0781198, -0.119771, 0.0818075
136, 4.5045, 0.964166, 1, 50.8777, -15.4453, 557.821, 0.0842749, -0.0972135, 0.0981999
137, 4.53787, 0.968107, 1, 51.0117, -17.1322, 562.347, 0.0777456, -0.0919371, 0.109337
138, 4.57123, 0.964775, 1, 51.5645, -20.0495, 566.804, 0.0231661, -0.0914335, 0.113629
139, 4.6046, 0.968187, 1, 52.1269, -21.5713, 569.43, 0.0189696, -0.0851656, 0.118988
140, 4.63797, 0.969595, 1, 52.5513, -22.0796, 568.447, 0.0168281, -0.0887883, 0.118995
141, 4.67133, 0.970712, 1, 52.3718, -20.8966, 565.811, 0.0856194, -0.0821961, 0.117645
142, 4.7047, 0.969896, 1, 52.1961, -20.6598, 564.869, 0.0914413, -0.0776467, 0.116759
143, 4.73807, 0.968645, 1, 52.0715, -20.7643, 565.927, 0.0975054, -0.0773604, 0.115156
144, 4.77143, 0.966567, 1, 51.8623, -20.9159, 567.817, 0.101815, -0.0763978, 0.114166
145, 4.8048, 0.96405, 1, 51.485, -20.8679, 568.499, 0.103808, -0.0691453, 0.113257
146, 4.83817, 0.975527, 1, 51.3378, -20.732, 568.479, 0.112361, -0.0670745, 0.11276
147, 4.87153, 0.976582, 1, 51.0351, -20.711, 568.333, 0.109341, -0.0609301, 0.11126
148, 4.9049, 0.976681, 1, 50.5789, -20.6108, 567.278, 0.107806, -0.0559638, 0.10957
149, 4.93827, 0.976361, 1, 50.3225, -20.4454, 566.904, 0.11439, -0.0539732, 0.107794
150, 4.97163, 0.976183, 1, 50.2446, -20.5969, 567.996, 0.0843558, -0.0487345, 0.109036
151, 5.005, 0.972499, 1, 50.5952, -19.259, 566.595, 0.0938068, -0.0611456, 0.104656
152, 5.03837, 0.970102, 1, 51.1897, -16.3187, 562.832, 0.119316, -0.0860001, 0.09462
153, 5.07173, 0.973135, 1, 51.7903, -12.9857, 558.934, 0.154135, -0.129918, 0.0804003
154, 5.1051, 0.983028, 1, 53.1176, -10.0546, 555.725, 0.163173, -0.205406, 0.0479021
155, 5.13847, 0.981897, 1, 53.7375, -8.32648, 551.264, 0.126314, -0.283309, -0.0210388
