frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
2, 0.0333667, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
3, 0.0667333, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
4, 0.1001, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
5, 0.133467, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
6, 0.166833, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
7, 0.2002, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
8, 0.233567, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
9, 0.266933, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
10, 0.3003, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
11, 0.333667, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
12, 0.367033, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
13, 0.4004, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
14, 0.433767, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
15, 0.467133, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
16, 0.5005, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
17, 0.533867, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
18, 0.567233, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
19, 0.6006, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
20, 0.633967, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
21, 0.667333, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
22, 0.7007, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
23, 0.734067, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
24, 0.767433, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
25, 0.8008, 0.981918, 1, -70.9397, -51.3337, 610.19, 0.0539621, -0.143648, -0.203652
26, 0.834167, 0.98205, 1, -74.5498, -54.267, 626.45, -0.0225792, -0.0905796, -0.227849
27, 0.867533, 0.972953, 1, -77.9311, -57.0082, 628.237, -0.0656, -0.0341498, -0.234852
28, 0.9009, 0.97832, 1, -79.8399, -58.8917, 615, -0.0967913, 0.0123393, -0.243247
29, 0.934267, 0.980518, 1, -81.3626, -60.4043, 604.936, -0.0913312, 0.0508414, -0.248243
30, 0.967633, 0.986442, 1, -83.2735, -61.7607, 603.392, -0.0891617, 0.0731884, -0.265782
31, 1.001, 0.987565, 1, -85.6934, -62.6448, 608.33, -0.0966078, 0.092796, -0.27955
32, 1.03437, 0.988294, 1, -87.49, -62.7241, 612.196, -0.105198, 0.0932513, -0.300763
33, 1.06773, 0.991086, 1, -89.1679, -61.2986, 616.142, -0.0800423, 0.0944543, -0.328092
34, 1.1011, 0.988066, 1, -91.0434, -60.1309, 617.996, -0.0706868, 0.0988218, -0.360663
35, 1.13447, 0.984253, 1, -92.3669, -60.0615, 618.36, -0.0854384, 0.099045, -0.387765
36, 1.16783, 0.981612, 1, -92.2341, -61.0142, 619.536, -0.110518, 0.085416, -0.404694
37, 1.2012, 0.981202, 1, -90.8744, -62.1885, 620.526, -0.134658, 0.0635858, -0.417421
38, 1.23457, 0.981133, 1, -88.7902, -63.4592, 621.244, -0.148664, 0.0398835, -0.422188
39, 1.26793, 0.986068, 1, -86.8245, -64.187, 620.982, -0.151619, 0.0240475, -0.420378
40, 1.3013, 0.9887, 1, -85.443, -64.2927, 622.305, -0.148764, 0.0106888, -0.418706
41, 1.33467, 0.987102, 1, -84.8287, -64.1244, 622.295, -0.16779, 0.0234264, -0.412352
42, 1.36803, 0.974272, 1, -84.4181, -63.1155, 623.156, -0.155711, 0.0227445, -0.410028
43, 1.4014, 0.972046, 1, -84.2517, -62.3611, 625.464, -0.152554, 0.030408, -0.407558
44, 1.43477, 0.970806, 1, -83.3847, -61.6084, 625.986, -0.14258, 0.0273175, -0.406025
45, 1.46813, 0.970727, 1, -82.4072, -61.1863, 626.941, -0.135323, 0.0200009, -0.40254
46, 1.5015, 0.972379, 1, -81.0935, -60.9309, 626.634, -0.134652, 0.0194833, -0.398625
47, 1.53487, 0.97277, 1, -79.2069, -60.8276, 626.009, -0.134304, 0.00935904, -0.396197
48, 1.56823, 0.97111, 1, -77.3648, -60.5389, 625.638, -0.129391, 0.00740759, -0.391528
49, 1.6016, 0.97152, 1, -75.3723, -60.5161, 625.81, -0.128995, -0.000371395, -0.390113
50, 1.63497, 0.97241, 1, -73.3373, -60.4744, 625.558, -0.128545, -0.0054892, -0.388476
51, 1.66833, 0.976478, 1, -71.4373, -60.1821, 625.096, -0.119704, -0.00956941, -0.384614
52, 1.7017, 0.976247, 1, -69.5673, -60.0568, 624.915, -0.116386, -0.0129594, -0.380882
53, 1.73507, 0.976578, 1, -67.959, -60.1077, 625.048, -0.114972, -0.0140741, -0.379061
54, 1.76843, 0.978917, 1, -66.6492, -60.3691, 625.589, -0.11671, -0.0102204, -0.374351
55, 1.8018, 0.978905, 1, -65.6512, -60.6982, 625.759, -0.119125, -0.00460809, -0.369601
56, 1.83517, 0.981509, 1, -64.9808, -60.7297, 625.425, -0.117613, 0.0027283, -0.367899
57, 1.86853, 0.983063, 1, -64.2944, -60.7419, 624.915, -0.117757, 0.00639379, -0.36443
58, 1.9019, 0.983676, 1, -63.8068, -60.8184, 624.109, -0.118299, 0.0143554, -0.360519
59, 1.93527, 0.985751, 1, -63.4879, -61.2387, 624.102, -0.119877, 0.0205691, -0.357558
60, 1.96863, 0.986922, 1, -63.1468, -61.6774, 621.202, -0.133318, 0.0326092, -0.351883
61, 2.002, 0.98554, 1, -63.6014, -63.107, 618.107, -0.157504, 0.0585443, -0.340896
62, 2.03537, 0.986624, 1, -64.3905, -64.866, 613.605, -0.188911, 0.0882323, -0.326884
63, 2.06873, 0.986344, 1, -65.0772, -64.646, 610.184, -0.180468, 0.109143, -0.316554
64, 2.1021, 0.988394, 1, -65.7135, -60.8132, 609.532, -0.102606, 0.121476, -0.308841
65, 2.13547, 0.98802, 1, -65.6073, -53.3251, 609.541, 0.0204453, 0.122318, -0.303355
66, 2.16883, 0.987292, 1, -64.608, -43.6789, 610.024, 0.156638, 0.101367, -0.302887
67, 2.2022, 0.985947, 1, -63.2872, -35.8758, 604.473, 0.250602, 0.0786821, -0.294073
68, 2.23557, 0.987202, 1, -63.5598, -32.616, 603.417, 0.276205, 0.0818548, -0.285681
69, 2.26893, 0.986926, 1, -63.9757, -32.7864, 605.107, 0.272099, 0.0808811, -0.279563
70, 2.3023, 0.987237, 1, -65.0461, -34.583, 610.187, 0.248984, 0.0958229, -0.275347
71, 2.33567, 0.985075, 1, -67.6491, -37.0288, 629.087, 0.223872, 0.120898, -0.277407
72, 2.36903, 0.978922, 1, -69.5754, -39.5299, 640.735, 0.163349, 0.152581, -0.275372
73, 2.4024, 0.979695, 1, -71.0218, -42.3883, 642.217, 0.104671, 0.184285, -0.258621
74, 2.43577, 0.980826, 1, -72.8658, -43.4394, 642.544, 0.0960466, 0.238578, -0.226261
75, 2.46913, 0.981073, 1, -74.5223, -44.493, 634.907, 0.0710062, 0.264584, -0.209678
76, 2.5025, 0.983465, 1, -77.149, -45.3909, 626.733, 0.053722, 0.304912, -0.198143
77, 2.53587, 0.985743, 1, -80.2221, -46.3254, 617.787, 0.0371025, 0.34236, -0.180204
78, 2.56923, 0.98488, 1, -84.2636, -47.5089, 613.479, 0.0379716, 0.387345, -0.168769
79, 2.6026, 0.982187, 1, -86.8837, -49.0509, 609.517, 0.0351269, 0.421132, -0.144542
80, 2.63597, 0.979961, 1, -88.0595, -50.4611, 608.77, 0.0191387, 0.436566, -0.122291
81, 2.66933, 0.983778, 1, -87.8977, -50.2805, 607.618, 0.037833, 0.4504, -0.110805
