frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
2, 0.04, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
3, 0.08, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
4, 0.12, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
5, 0.16, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
6, 0.2, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
7, 0.24, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
8, 0.28, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
9, 0.32, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
10, 0.36, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
11, 0.4, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
12, 0.44, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
13, 0.48, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
14, 0.52, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
15, 0.56, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
16, 0.6, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
17, 0.64, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
18, 0.68, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
19, 0.72, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
20, 0.76, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
21, 0.8, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
22, 0.84, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
23, 0.88, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
24, 0.92, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
25, 0.96, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
26, 1, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
27, 1.04, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
28, 1.08, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
29, 1.12, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
30, 1.16, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
31, 1.2, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
32, 1.24, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
33, 1.28, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
34, 1.32, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
35, 1.36, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
36, 1.4, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
37, 1.44, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
38, 1.48, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
39, 1.52, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
40, 1.56, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
41, 1.6, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
42, 1.64, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
43, 1.68, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
44, 1.72, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
45, 1.76, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
46, 1.8, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
47, 1.84, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
48, 1.88, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
49, 1.92, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
50, 1.96, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
51, 2, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
52, 2.04, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
53, 2.08, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
54, 2.12, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
