frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0.984397, 1, 15.0439, -32.0272, 512.911, -0.0938203, 0.275504, 0.0652549
2, 0.0333667, 0.985022, 1, 15.3527, -32.1699, 515.777, -0.100052, 0.248446, 0.0802744
3, 0.0667333, 0.985056, 1, 15.6671, -32.3971, 518.692, -0.100321, 0.241502, 0.0877056
4, 0.1001, 0.984312, 1, 16.2202, -32.5394, 520.256, -0.0950006, 0.233718, 0.0902492
5, 0.133467, 0.984416, 1, 16.9618, -32.5152, 521.766, -0.0952299, 0.230635, 0.0945063
6, 0.166833, 0.986266, 1, 17.7849, -32.2066, 521.632, -0.0916097, 0.224439, 0.0967121
7, 0.2002, 0.986914, 1, 18.6007, -31.7931, 521.521, -0.0870968, 0.215633, 0.0946087
8, 0.233567, 0.987489, 1, 19.5537, -31.5089, 521.771, -0.0919934, 0.203642, 0.0913991
9, 0.266933, 0.988818, 1, 20.5187, -31.3712, 521.705, -0.0980545, 0.188539, 0.0886611
10, 0.3003, 0.988333, 1, 21.1229, -31.4994, 521.299, -0.106995, 0.178262, 0.0889322
11, 0.333667, 0.988638, 1, 21.5438, -31.326, 520.938, -0.104593, 0.169463, 0.0862941
12, 0.367033, 0.990082, 1, 21.6384, -30.9759, 520.672, -0.0974995, 0.163107, 0.0852228
13, 0.4004, 0.989476, 1, 21.5684, -31.1992, 522.099, -0.103563, 0.160825, 0.0877203
14, 0.433767, 0.987232, 1, 21.0642, -31.7633, 523.776, -0.105678, 0.161779, 0.0915651
15, 0.467133, 0.986574, 1, 19.9763, -32.2172, 526.318, -0.104358, 0.169634, 0.0907256
16, 0.5005, 0.985899, 1, 18.9464, -32.2161, 526.565, -0.102263, 0.173983, 0.0907897
17, 0.533867, 0.985467, 1, 18.0891, -32.0728, 527.397, -0.103815, 0.183844, 0.0908521
18, 0.567233, 0.982943, 1, 17.083, -31.7768, 529.031, -0.104613, 0.187017, 0.0937663
19, 0.6006, 0.983117, 1, 16.1879, -31.5836, 528.643, -0.105673, 0.188628, 0.0935624
20, 0.633967, 0.982743, 1, 15.3687, -31.5575, 528.881, -0.105103, 0.189268, 0.0931214
21, 0.667333, 0.983278, 1, 14.7214, -31.9085, 528.033, -0.122877, 0.18849, 0.0958045
22, 0.7007, 0.982488, 1, 14.539, -32.338, 528.608, -0.135381, 0.181168, 0.0959959
23, 0.734067, 0.984962, 1, 15.1736, -31.7669, 530.012, -0.130709, 0.175376, 0.0980622
24, 0.767433, 0.983852, 1, 16.4445, -30.0895, 529.886, -0.101759, 0.155965, 0.0961811
25, 0.8008, 0.963705, 1, 17.163, -28.0075, 526.409, -0.0690782, 0.14537, 0.0992035
26, 0.834167, 0.971715, 1, 20.177, -26.739, 524.183, -0.072882, 0.106447, 0.0665155
27, 0.867533, 0.968806, 1, 21.5202, -25.3873, 520.943, -0.0819214, 0.100148, 0.049034
28, 0.9009, 0.974729, 1, 22.6726, -25.4391, 522.348, -0.0906956, 0.0971754, 0.0417501
29, 0.934267, 0.978576, 1, 23.3197, -25.8851, 521.219, -0.114897, 0.0944337, 0.0432177
30, 0.967633, 0.979204, 1, 23.9369, -26.0698, 524.69, -0.107272, 0.0959041, 0.05012
31, 1.001, 0.979986, 1, 24.0588, -25.8667, 522.171, -0.110136, 0.0950847, 0.0509668
32, 1.03437, 0.974125, 1, 24.0502, -25.347, 516.265, -0.136404, 0.083811, 0.0469391
33, 1.06773, 0.973679, 1, 23.409, -24.6454, 514.476, -0.128007, 0.074139, 0.0360391
34, 1.1011, 0.966627, 1, 22.4651, -24.2711, 512.562, -0.129841, 0.0701104, 0.026748
35, 1.13447, 0.961849, 1, 21.4884, -23.8841, 511.875, -0.127894, 0.0777047, 0.0241719
36, 1.16783, 0.963276, 1, 20.3442, -23.4538, 512.217, -0.127046, 0.0935213, 0.0231473
37, 1.2012, 0.961769, 1, 18.9714, -23.5171, 513.358, -0.139479, 0.110789, 0.0269273
38, 1.23457, 0.967047, 1, 17.3564, -23.6624, 512.817, -0.119899, 0.126265, 0.0286721
39, 1.26793, 0.975173, 1, 15.4319, -22.645, 511.021, -0.0949685, 0.160689, 0.0274129
40, 1.3013, 0.983603, 1, 12.7871, -22.8737, 517.013, -0.0889663, 0.190147, 0.0558187
41, 1.33467, 0.98231, 1, 11.2334, -23.4497, 518.901, -0.126517, 0.183344, 0.0686967
42, 1.36803, 0.964629, 1, 10.614, -23.1541, 521.324, -0.103852, 0.164416, 0.0642854
43, 1.4014, 0.969013, 1, 9.66797, -23.2781, 524.056, -0.0997482, 0.164936, 0.0715324
44, 1.43477, 0.966853, 1, 8.66595, -23.3126, 526.39, -0.0834359, 0.164576, 0.0761799
45, 1.46813, 0.98543, 1, 7.29418, -23.2386, 526.282, -0.0744129, 0.169242, 0.084718
46, 1.5015, 0.98186, 1, 6.24871, -22.9974, 526.608, -0.0638056, 0.174093, 0.086129
47, 1.53487, 0.985416, 1, 5.5535, -21.7598, 527.966, -0.0188522, 0.185052, 0.0801626
48, 1.56823, 0.984389, 1, 4.95507, -21.4199, 526.949, -0.0150816, 0.182982, 0.0768145
49, 1.6016, 0.983562, 1, 4.3819, -21.4118, 527.99, -0.0129775, 0.187272, 0.0766781
50, 1.63497, 0.983791, 1, 3.91892, -21.4851, 529.595, -0.00377509, 0.188192, 0.0774477
51, 1.66833, 0.982508, 1, 3.45408, -21.6498, 532.433, 0.00693636, 0.187565, 0.0785102
52, 1.7017, 0.979931, 1, 3.20363, -22.585, 533.5, -0.0356175, 0.174103, 0.0826139
53, 1.73507, 0.97789, 1, 3.07712, -22.5337, 533.375, -0.033744, 0.161173, 0.081261
54, 1.76843, 0.978408, 1, 2.8201, -22.6002, 533.751, -0.0317284, 0.158666, 0.0819951
55, 1.8018, 0.980623, 1, 2.67062, -22.7322, 533.948, -0.0298884, 0.156161, 0.0816386
56, 1.83517, 0.969013, 1, 2.89223, -22.7491, 533.815, -0.027458, 0.152795, 0.083086
57, 1.86853, 0.974327, 1, 4.29334, -21.5731, 527.121, -0.0174102, 0.147045, 0.0536456
58, 1.9019, 0.985585, 1, 4.88785, -21.3158, 525.137, -0.0331392, 0.155808, 0.0419258
59, 1.93527, 0.970744, 1, 5.83822, -21.8838, 525.605, -0.0357854, 0.129782, 0.0527389
60, 1.96863, 0.975223, 1, 6.87226, -22.0989, 522.082, -0.0470784, 0.135115, 0.036591
61, 2.002, 0.967336, 1, 7.07625, -22.4143, 522.406, -0.0654034, 0.149426, 0.0269055
62, 2.03537, 0.974851, 1, 6.86694, -23.1035, 523.644, -0.0617741, 0.129554, 0.0448834
63, 2.06873, 0.975608, 1, 7.10145, -23.3842, 521.198, -0.0668518, 0.128004, 0.0348202
64, 2.1021, 0.971457, 1, 6.50266, -23.8967, 524.758, -0.0786918, 0.148037, 0.0333162
65, 2.13547, 0.970393, 1, 6.80636, -23.1683, 526.441, -0.0215839, 0.146759, 0.0238066
66, 2.16883, 0.976657, 1, 6.42926, -22.6423, 526.515, -0.00794509, 0.155346, 0.0254106
67, 2.2022, 0.966264, 1, 5.84562, -22.1271, 529.65, -0.00238452, 0.146401, 0.041909
68, 2.23557, 0.976655, 1, 6.70084, -21.1297, 526.068, 0.0217369, 0.122966, 0.028516
69, 2.26893, 0.975889, 1, 6.46751, -20.261, 527.592, 0.0337741, 0.136903, 0.0205091
70, 2.3023, 0.979306, 1, 6.49155, -19.6453, 527.669, 0.0383938, 0.137648, 0.018148
71, 2.33567, 0.978461, 1, 6.47962, -19.272, 527.708, 0.0379146, 0.13636, 0.0175575
72, 2.36903, 0.979786, 1, 6.41413, -18.8639, 527.368, 0.0365733, 0.133219, 0.0167761
73, 2.4024, 0.981243, 1, 6.54421, -18.4119, 524.545, 0.0353859, 0.119818, 0.017568
74, 2.43577, 0.980416, 1, 6.20091, -18.1379, 527.761, 0.0397062, 0.133945, 0.0149344
75, 2.46913, 0.982366, 1, 6.34612, -17.6969, 524.993, 0.0379318, 0.119236, 0.0160187
76, 2.5025, 0.982545, 1, 6.17524, -17.1388, 524.519, 0.0422846, 0.11895, 0.0145625
77, 2.53587, 0.98302, 1, 6.06476, -16.7219, 524.551, 0.0424298, 0.118419, 0.0144848
78, 2.56923, 0.983232, 1, 5.91081, -16.3079, 524.613, 0.043783, 0.118192, 0.0150087
79, 2.6026, 0.984199, 1, 5.78502, -15.8979, 524.72, 0.0439649, 0.119376, 0.0151107
80, 2.63597, 0.984491, 1, 5.65859, -15.4719, 524.517, 0.0455351, 0.119353, 0.0151903
81, 2.66933, 0.984526, 1, 5.53901, -15.0966, 524.499, 0.0470775, 0.120137, 0.0142842
82, 2.7027, 0.984446, 1, 5.46046, -14.6862, 524.481, 0.048383, 0.120904, 0.0131367
83, 2.73607, 0.985209, 1, 5.07002, -14.3178, 524.585, 0.0513717, 0.121844, 0.00850456
84, 2.76943, 0.984375, 1, 4.12417, -13.9192, 526.146, 0.0606522, 0.137746, -0.00199645
85, 2.8028, 0.974459, 1, 2.95637, -13.7454, 524.844, 0.0586242, 0.154678, 0.00155498
86, 2.83617, 0.974909, 1, 1.61045, -13.8772, 526.423, 0.0634865, 0.154392, 0.0206114
87, 2.86953, 0.976062, 1, 0.572003, -13.9581, 528.459, 0.0778899, 0.160269, 0.0306605
88, 2.9029, 0.973533, 1, -0.390863, -13.8917, 528.786, 0.0963067, 0.165203, 0.0375458
89, 2.93627, 0.973093, 1, -1.39166, -13.7364, 528.904, 0.0981066, 0.172481, 0.0409074
90, 2.96963, 0.972635, 1, -2.29649, -13.4011, 528.757, 0.0948487, 0.181871, 0.0408706
91, 3.003, 0.972396, 1, -3.09287, -13.0349, 527.322, 0.0895003, 0.18492, 0.0381322
92, 3.03637, 0.974445, 1, -3.934, -12.7262, 526.435, 0.0895758, 0.19388, 0.0364644
93, 3.06973, 0.974018, 1, -4.75798, -12.4712, 525.841, 0.0938082, 0.197928, 0.0326203
94, 3.1031, 0.975815, 1, -5.93229, -12.2774, 524.944, 0.090474, 0.207497, 0.0315336
95, 3.13647, 0.976009, 1, -7.35614, -12.1143, 525.176, 0.0822396, 0.219788, 0.0293444
96, 3.16983, 0.977686, 1, -8.95558, -11.9852, 526.362, 0.0780546, 0.241091, 0.0256024
97, 3.2032, 0.976749, 1, -11.055, -11.8624, 526.648, 0.0774111, 0.276235, 0.0230527
98, 3.23657, 0.979315, 1, -13.1244, -11.5931, 525.801, 0.0785283, 0.301561, 0.018343
99, 3.26993, 0.979375, 1, -15.6055, -10.9191, 527.063, 0.0857768, 0.328863, 0.00829385
100, 3.3033, 0.98067, 1, -17.986, -9.95167, 528.63, 0.091264, 0.359895, 0.0029493
101, 3.33667, 0.982794, 1, -19.7014, -8.94142, 527.01, 0.102788, 0.370425, -0.00214985
102, 3.37003, 0.982439, 1, -20.9235, -8.08493, 525.397, 0.109029, 0.373015, -0.00546509
103, 3.4034, 0.983076, 1, -21.7315, -7.57501, 524.979, 0.11311, 0.378234, -0.00859415
104, 3.43677, 0.983232, 1, -22.3497, -7.36523, 523.926, 0.115847, 0.37873, -0.0101831
105, 3.47013, 0.982777, 1, -22.8817, -7.29325, 523.298, 0.117875, 0.378658, -0.0116184
106, 3.5035, 0.982823, 1, -23.5684, -7.24888, 522.96, 0.116684, 0.382118, -0.0129347
107, 3.53687, 0.983234, 1, -24.0617, -7.07855, 523.217, 0.11638, 0.383234, -0.0150944
108, 3.57023, 0.98227, 1, -24.4421, -6.72439, 522.753, 0.12085, 0.3827, -0.0158921
109, 3.6036, 0.983635, 1, -24.0018, -6.36183, 522.493, 0.118369, 0.375739, -0.00991241
110, 3.63697, 0.98359, 1, -21.341, -6.28687, 524.565, 0.110215, 0.345901, 0.00973072
111, 3.67033, 0.984301, 1, -13.2117, -5.80597, 527.915, 0.109816, 0.254363, 0.0380036
112, 3.7037, 0.966794, 1, -3.88196, -5.62099, 537.547, 0.132209, 0.283025, 0.0395018
113, 3.73707, 0.961781, 1, 22.6799, -3.70865, 524.427, 0.189225, -0.11764, 0.0703503
114, 3.77043, 0.945631, 1, 30.9648, -3.98151, 513.102, 0.125597, -0.173186, 0.0875994
115, 3.8038, 0.818088, 1, 39.4518, -5.28419, 520.777, 0.0191967, -0.160259, 0.104006
116, 3.83717, 0.94483, 1, 54.0627, -1.18869, 483.624, 0.266966, -0.165393, 0.099682
117, 3.87053, 0.979829, 1, 57.6855, -0.975449, 488.156, 0.282301, -0.230235, 0.112548
118, 3.9039, 0.982228, 1, 60.4525, -1.29607, 499.131, 0.248929, -0.294079, 0.104158
119, 3.93727, 0.983221, 1, 62.9736, -1.79451, 517.234, 0.171424, -0.452282, 0.114731
120, 3.97063, 0.97978, 1, 64.0177, -2.0988, 518.674, 0.173306, -0.483532, 0.117712
121, 4.004, 0.979019, 1, 64.2987, -2.68114, 518.6, 0.173574, -0.468082, 0.110865
122, 4.03737, 0.976979, 1, 64.614, -3.29023, 519.113, 0.170621, -0.462824, 0.105554
123, 4.07073, 0.975406, 1, 65.024, -3.89358, 519.425, 0.162885, -0.463798, 0.0994518
124, 4.1041, 0.976238, 1, 65.4992, -4.52903, 520.505, 0.151851, -0.467995, 0.0921163
125, 4.13747, 0.975645, 1, 65.9163, -5.32463, 522.194, 0.144362, -0.470166, 0.0860296
126, 4.17083, 0.978161, 1, 65.5582, -6.34402, 523.42, 0.136715, -0.464756, 0.0754325
127, 4.2042, 0.981579, 1, 62.1855, -8.37256, 523.915, 0.0962818, -0.437001, 0.0452304
128, 4.23757, 0.986968, 1, 54.5738, -11.1907, 520.737, 0.0600404, -0.370505, 0.00756073
129, 4.27093, 0.986304, 1, 45.1327, -14.1227, 527.907, -0.00211694, -0.316006, -0.021863
130, 4.3043, 0.979666, 1, 35.2412, -16.095, 530.022, -0.0387822, -0.259976, -0.0469419
131, 4.33767, 0.974715, 1, 25.2526, -16.7153, 522.283, -0.0257875, -0.125796, -0.065737
132, 4.37103, 0.97515, 1, 17.2551, -16.7642, 523.958, -0.0311694, -0.032284, -0.0413241
133, 4.4044, 0.974879, 1, 13.0598, -16.1652, 524.661, -0.0550251, -0.00180074, -0.0231539
134, 4.43777, 0.975958, 1, 10.9399, -15.5668, 523.716, -0.0770783, 0.00747749, -0.0206515
135, 4.47113, 0.979221, 1, 9.27806, -15.552, 522.364, -0.100149, 0.0240017, -0.0241446
136, 4.5045, 0.978599, 1, 7.69616, -16.0728, 520.351, -0.120247, 0.0381698, -0.0283925
137, 4.53787, 0.979749, 1, 6.13323, -17.2557, 516.861, -0.138926, 0.0644911, -0.033985
138, 4.57123, 0.98037, 1, 4.55548, -18.1973, 512.159, -0.149097, 0.0901512, -0.0412848
139, 4.6046, 0.981799, 1, 3.10091, -18.582, 509.067, -0.150058, 0.123717, -0.0482105
140, 4.63797, 0.949477, 1, 1.66641, -18.4932, 513.156, -0.159465, 0.163637, -0.0427478
141, 4.67133, 0.956932, 1, 0.330034, -17.6274, 516.925, -0.167502, 0.195172, -0.0233565
142, 4.7047, 0.973307, 1, -0.465852, -15.8109, 519.753, -0.146805, 0.223017, -0.00767673
143, 4.73807, 0.975901, 1, -0.48327, -13.4842, 521.297, -0.112244, 0.235917, 0.00229651
144, 4.77143, 0.97997, 1, 0.381414, -11.0575, 524.377, -0.0960136, 0.265871, 0.0123434
145, 4.8048, 0.985247, 1, 2.25491, -8.38072, 527.713, -0.0701867, 0.29938, 0.0211007
146, 4.83817, 0.988189, 1, 4.46185, -5.52884, 528.366, -0.0641588, 0.326811, 0.0284346
147, 4.87153, 0.985959, 1, 6.63642, -3.90762, 528.325, -0.0615807, 0.353365, 0.0348301
148, 4.9049, 0.985262, 1, 8.60802, -2.64408, 529.822, -0.0603331, 0.366905, 0.0392576
149, 4.93827, 0.984038, 1, 10.3271, -2.0687, 530.808, -0.0691445, 0.374591, 0.0475414
150, 4.97163, 0.982238, 1, 11.5703, -2.0139, 530.169, -0.0810116, 0.381629, 0.0627832
151, 5.005, 0.981388, 1, 12.3269, -1.10058, 529.312, -0.0852452, 0.384596, 0.0750374
152, 5.03837, 0.984511, 1, 12.8777, 0.253558, 529.436, -0.0800343, 0.387862, 0.0812706
153, 5.07173, 0.984519, 1, 13.4043, 1.29773, 528.78, -0.0696731, 0.387764, 0.0817072
154, 5.1051, 0.985895, 1, 13.7408, 1.52926, 527.321, -0.0563329, 0.393066, 0.0775651
155, 5.13847, 0.984118, 1, 13.9174, 1.50818, 526.458, -0.0462118, 0.395799, 0.0756476
156, 5.17183, 0.982827, 1, 13.9503, 1.2108, 523.724, -0.0384766, 0.394048, 0.0714395
