frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0.946389, 1, 248.529, 31.8901, 436.96, 0.099813, -0.433696, 0.0479536
2, 0.0333667, 0.942397, 1, 249.709, 32.007, 437.529, 0.0962552, -0.450362, 0.0372165
3, 0.0667333, 0.969505, 1, 216.169, 2.01587, 449.498, -0.00901937, -0.415584, -0.0471477
4, 0.1001, 0.948499, 1, 201.933, -4.56301, 444.155, -0.132426, -0.26854, -0.0822093
5, 0.133467, 0.943003, 1, 195.967, -4.31298, 438.863, -0.0918406, -0.208161, -0.094347
6, 0.166833, 0.96156, 1, 172.854, -13.6245, 457.486, -0.162768, -0.366582, -0.122808
7, 0.2002, 0.951492, 1, 162.302, -15.5768, 458.726, -0.201095, -0.24763, -0.154785
8, 0.233567, 0.954936, 1, 162.262, -15.8345, 460.838, -0.185066, -0.240945, -0.169018
9, 0.266933, 0.962599, 1, 154.205, -14.403, 462.875, -0.157214, -0.184296, -0.174576
10, 0.3003, 0.970379, 1, 146.75, -12.3079, 462.269, -0.172001, -0.143028, -0.155967
11, 0.333667, 0.969154, 1, 144.974, -12.0302, 458.623, -0.179031, -0.165904, -0.137077
12, 0.367033, 0.968875, 1, 140.302, -9.18026, 459.491, -0.169905, -0.114332, -0.122885
13, 0.4004, 0.968812, 1, 135.129, -7.00392, 457.85, -0.175986, -0.0820393, -0.117036
14, 0.433767, 0.968226, 1, 134.768, -6.82051, 457.138, -0.186641, -0.0867318, -0.111542
15, 0.467133, 0.97549, 1, 124.348, -7.80047, 452.639, -0.228483, -0.0574344, -0.116989
16, 0.5005, 0.971252, 1, 118.487, -9.73374, 451.249, -0.265791, -0.052893, -0.118863
17, 0.533867, 0.971336, 1, 118.388, -9.7128, 451.495, -0.267209, -0.0558696, -0.115434
18, 0.567233, 0.977702, 1, 111.764, -6.10785, 450.585, -0.224255, -0.0811307, -0.127606
19, 0.6006, 0.977654, 1, 111.364, -6.00324, 449.8, -0.230742, -0.0871784, -0.125281
20, 0.633967, 0.977261, 1, 111.282, -5.95711, 449.68, -0.23207, -0.0893722, -0.123115
21, 0.667333, 0.95182, 1, 109.808, -2.78434, 458.448, -0.444229, -0.150092, -0.149986
22, 0.7007, 0.956792, 1, 113.104, -0.432281, 472.302, -0.515977, -0.15067, -0.141365
23, 0.734067, 0.958704, 1, 112.783, -0.243991, 471.503, -0.518243, -0.156584, -0.131827
24, 0.767433, 0.959035, 1, 112.522, -0.117485, 470.842, -0.516445, -0.16162, -0.124329
25, 0.8008, 0.938089, 1, 120.271, 8.55237, 486.638, -0.447065, -0.237425, -0.143621
26, 0.834167, 0.970877, 1, 126.14, 12.0863, 504.689, -0.341352, -0.249245, -0.16735
27, 0.867533, 0.959264, 1, 130.635, 18.5552, 505.47, -0.25757, -0.265451, -0.168821
28, 0.9009, 0.956515, 1, 132.603, 20.2324, 498.136, -0.240946, -0.285463, -0.167017
29, 0.934267, 0.956214, 1, 132.782, 20.344, 498.133, -0.249513, -0.284212, -0.17086
30, 0.967633, 0.960702, 1, 133.529, 19.5007, 497.161, -0.260058, -0.286927, -0.177014
31, 1.001, 0.96392, 1, 135.611, 15.9078, 500.262, -0.314067, -0.297255, -0.188592
32, 1.03437, 0.964764, 1, 136.029, 15.7489, 501.572, -0.315158, -0.295504, -0.191896
33, 1.06773, 0.928115, 1, 124.796, 12.507, 460.157, -0.217051, -0.2521, -0.151
34, 1.1011, 0.967155, 1, 120.729, 12.4734, 447.707, -0.111336, -0.271529, -0.140143
35, 1.13447, 0.978631, 1, 121.574, 12.8785, 451.056, -0.0901477, -0.305929, -0.142002
36, 1.16783, 0.891855, 1, 120.693, 4.59058, 456.527, -0.0652741, -0.263052, -0.139011
37, 1.2012, 0.912124, 1, 118.036, -3.86056, 461.258, -0.103722, -0.236898, -0.156801
38, 1.23457, 0.935603, 1, 116.242, -6.86956, 464.215, -0.0825127, -0.151013, -0.144169
