frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
2, 0.0333667, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
3, 0.0667333, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
4, 0.1001, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
5, 0.133467, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
6, 0.166833, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
7, 0.2002, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
8, 0.233567, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
9, 0.266933, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
10, 0.3003, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
11, 0.333667, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
12, 0.367033, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
13, 0.4004, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
14, 0.433767, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
15, 0.467133, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
16, 0.5005, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
17, 0.533867, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
18, 0.567233, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
19, 0.6006, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
20, 0.633967, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
21, 0.667333, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
22, 0.7007, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
23, 0.734067, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
24, 0.767433, 0, 0, -3.33962e+007, -1.87854e+007, 4.56589e+007, -1.00039, 0.98229, 0.405647
25, 0.8008, 0.970221, 1, -18.8962, -24.0593, 577.9, 0.294649, 0.434404, -0.0958089
26, 0.834167, 0.966304, 1, -17.9102, -23.6923, 576.296, 0.281011, 0.460733, -0.100216
27, 0.867533, 0.965752, 1, -16.8623, -23.0261, 572.264, 0.260533, 0.485781, -0.101393
28, 0.9009, 0.959593, 1, -15.7799, -22.6214, 571.048, 0.257112, 0.497401, -0.102448
29, 0.934267, 0.958475, 1, -15.1747, -22.4438, 572.253, 0.243581, 0.497332, -0.095371
30, 0.967633, 0.953979, 1, -14.7933, -22.3186, 572.133, 0.23096, 0.501245, -0.0875318
31, 1.001, 0.954029, 1, -14.1069, -22.1651, 570.663, 0.219408, 0.502609, -0.083755
32, 1.03437, 0.961804, 1, -13.3399, -22.515, 571.033, 0.199771, 0.505477, -0.0797753
33, 1.06773, 0.960584, 1, -12.62, -23.1747, 569.55, 0.176838, 0.504528, -0.0707839
34, 1.1011, 0.965743, 1, -11.7561, -23.7744, 567.102, 0.158662, 0.498456, -0.0617215
35, 1.13447, 0.964992, 1, -11.0701, -24.1614, 566.663, 0.156093, 0.491854, -0.0599802
36, 1.16783, 0.967492, 1, -10.3321, -24.1401, 565.365, 0.158807, 0.500125, -0.0597286
37, 1.2012, 0.966421, 1, -9.323, -23.8567, 562.533, 0.149472, 0.507551, -0.0604862
38, 1.23457, 0.966317, 1, -7.97681, -24.0476, 561.466, 0.139586, 0.510144, -0.0588098
39, 1.26793, 0.964088, 1, -6.46652, -24.502, 562.145, 0.156093, 0.521822, -0.0625642
40, 1.3013, 0.966184, 1, -4.47944, -25.3366, 566.705, 0.167182, 0.501394, -0.0710627
41, 1.33467, 0.963921, 1, -3.1312, -25.5423, 568.503, 0.161321, 0.487718, -0.0759877
42, 1.36803, 0.965909, 1, -1.48375, -25.6537, 570.862, 0.158969, 0.456299, -0.0788688
43, 1.4014, 0.968743, 1, -1.09391, -25.4779, 569.144, 0.161251, 0.469529, -0.0732831
44, 1.43477, 0.967554, 1, -0.738295, -25.1768, 567.344, 0.165098, 0.482185, -0.0676664
45, 1.46813, 0.963357, 1, -0.101299, -25.423, 566.975, 0.158885, 0.497814, -0.0630574
46, 1.5015, 0.964371, 1, 0.720026, -25.9391, 567.127, 0.151008, 0.495346, -0.0590898
47, 1.53487, 0.961938, 1, 1.55525, -26.6459, 566.694, 0.149871, 0.490468, -0.0574839
48, 1.56823, 0.957691, 1, 2.63673, -27.1563, 568.79, 0.161024, 0.482442, -0.0604172
49, 1.6016, 0.958306, 1, 4.58701, -27.6928, 574.206, 0.189919, 0.452594, -0.0760124
50, 1.63497, 0.954955, 1, 4.96762, -27.6008, 570.339, 0.189244, 0.462816, -0.0734073
51, 1.66833, 0.956752, 1, 5.48657, -28.2454, 571.137, 0.167125, 0.46556, -0.0598129
52, 1.7017, 0.959415, 1, 6.19992, -28.7247, 572.06, 0.154877, 0.459273, -0.0510866
53, 1.73507, 0.965379, 1, 6.8531, -28.9238, 572.153, 0.150546, 0.447788, -0.0424642
54, 1.76843, 0.972045, 1, 7.84013, -28.8333, 572.162, 0.148796, 0.447528, -0.0413515
55, 1.8018, 0.970568, 1, 9.02972, -28.4124, 569.653, 0.172621, 0.434266, -0.046279
56, 1.83517, 0.964255, 1, 10.4915, -28.4779, 572.304, 0.166199, 0.423552, -0.0330867
57, 1.86853, 0.962361, 1, 12.3087, -27.9447, 576.643, 0.165817, 0.421506, -0.0380859
58, 1.9019, 0.968755, 1, 15.9758, -27.1134, 571.599, 0.189737, 0.394216, -0.0436891
59, 1.93527, 0.967901, 1, 19.6408, -27.2523, 572.29, 0.170992, 0.347935, -0.0475281
60, 1.96863, 0.970182, 1, 23.1178, -27.0745, 573.852, 0.173994, 0.319309, -0.0522634
61, 2.002, 0.961467, 1, 24.8807, -26.8637, 568.01, 0.172464, 0.300875, -0.0465234
62, 2.03537, 0.959631, 1, 26.2603, -27.1437, 567.368, 0.166631, 0.296225, -0.0485229
63, 2.06873, 0.964202, 1, 26.1189, -27.4803, 562.215, 0.159172, 0.308023, -0.0530312
64, 2.1021, 0.96845, 1, 25.4775, -27.1407, 547.604, 0.161496, 0.345085, -0.0595034
65, 2.13547, 0.969475, 1, 25.4583, -26.9658, 539.78, 0.163817, 0.366138, -0.0695559
66, 2.16883, 0.962936, 1, 25.3487, -26.5067, 540.672, 0.171755, 0.368856, -0.0777473
67, 2.2022, 0.965751, 1, 25.4144, -25.0998, 542.466, 0.185021, 0.367097, -0.0913161
68, 2.23557, 0.966952, 1, 25.4256, -23.0857, 544.652, 0.200017, 0.36789, -0.108647
69, 2.26893, 0.972636, 1, 25.2693, -21.4847, 546.528, 0.204332, 0.368337, -0.124786
70, 2.3023, 0.968585, 1, 24.8804, -20.9924, 545.507, 0.205569, 0.370111, -0.136669
71, 2.33567, 0.958861, 1, 24.5097, -21.6103, 544.227, 0.189343, 0.372642, -0.144309
72, 2.36903, 0.948532, 1, 24.1299, -22.689, 541.945, 0.170982, 0.378435, -0.14406
73, 2.4024, 0.960804, 1, 24.0163, -22.9642, 540.893, 0.188157, 0.390949, -0.152759
74, 2.43577, 0.959656, 1, 24.216, -23.1258, 539.42, 0.19371, 0.390889, -0.156551
75, 2.46913, 0.958656, 1, 24.2997, -22.9488, 539.284, 0.19613, 0.391131, -0.156651
76, 2.5025, 0.961766, 1, 24.3997, -23.0016, 539.67, 0.198902, 0.38889, -0.154361
77, 2.53587, 0.955066, 1, 24.6938, -23.7977, 542.143, 0.18486, 0.381981, -0.147013
78, 2.56923, 0.97521, 1, 24.5976, -23.3941, 540.755, 0.208965, 0.385889, -0.145053
79, 2.6026, 0.972942, 1, 24.7997, -24.021, 542.504, 0.209341, 0.386331, -0.138586
80, 2.63597, 0.972599, 1, 25.1813, -24.0827, 542.309, 0.209466, 0.382406, -0.13429
81, 2.66933, 0.973174, 1, 25.4408, -24.0553, 541.115, 0.207573, 0.382616, -0.131473
