frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0.986588, 1, 18.8852, -21.3514, 570.798, 0.000339107, -0.456313, -0.0695957
2, 0.0333667, 0.985192, 1, 18.0581, -21.5653, 574.162, -0.0510106, -0.51605, -0.0995798
3, 0.0667333, 0.934158, 1, 17.6609, -20.6271, 569.787, -0.0578082, -0.537555, -0.11482
4, 0.1001, 0.951223, 1, 17.7535, -19.7283, 562.303, -0.0836007, -0.585076, -0.153636
5, 0.133467, 0.948639, 1, 16.9725, -19.5113, 559.526, -0.0874534, -0.588097, -0.163216
6, 0.166833, 0.952421, 1, 16.4809, -19.9974, 559.063, -0.0950849, -0.585388, -0.166072
7, 0.2002, 0.953738, 1, 15.832, -20.5027, 559.575, -0.0941532, -0.583918, -0.165988
8, 0.233567, 0.951472, 1, 15.4235, -21.211, 561.7, -0.0969205, -0.583361, -0.167145
9, 0.266933, 0.959495, 1, 15.3805, -21.8301, 563.803, -0.108547, -0.580363, -0.173475
10, 0.3003, 0.963405, 1, 15.2389, -22.2964, 566.269, -0.111413, -0.574454, -0.180149
11, 0.333667, 0.965005, 1, 15.439, -23.8114, 571.477, -0.13953, -0.555461, -0.199867
12, 0.367033, 0.944843, 1, 15.7182, -25.3415, 576.063, -0.166894, -0.539326, -0.217852
13, 0.4004, 0.943773, 1, 15.9047, -26.829, 574.82, -0.194539, -0.547912, -0.234344
14, 0.433767, 0.941338, 1, 15.5511, -28.6327, 574.932, -0.202868, -0.549818, -0.241023
15, 0.467133, 0.946991, 1, 15.1024, -30.8892, 578.766, -0.203017, -0.538709, -0.241073
16, 0.5005, 0.990898, 1, 14.4112, -32.1868, 585.84, -0.19336, -0.501594, -0.224473
17, 0.533867, 0.989951, 1, 13.6156, -32.9391, 587.926, -0.188073, -0.484592, -0.211546
18, 0.567233, 0.990454, 1, 12.9093, -32.7421, 586.524, -0.188892, -0.476762, -0.204558
19, 0.6006, 0.992547, 1, 11.9672, -30.6586, 577.539, -0.160619, -0.493691, -0.191298
20, 0.633967, 0.993018, 1, 10.5127, -28.1381, 569.605, -0.147847, -0.50767, -0.18346
21, 0.667333, 0.992145, 1, 6.7065, -26.2007, 568.665, -0.142337, -0.462465, -0.178495
22, 0.7007, 0.988709, 1, -0.0654233, -25.0421, 569.696, -0.140825, -0.368859, -0.178394
23, 0.734067, 0.981793, 1, -8.88875, -24.8583, 569.732, -0.183443, -0.25042, -0.186246
24, 0.767433, 0.976566, 1, -17.9934, -25.758, 577.771, -0.167842, -0.116564, -0.187622
25, 0.8008, 0.985139, 1, -26.65, -26.2453, 566.745, -0.124674, 0.0345188, -0.168353
26, 0.834167, 0.988654, 1, -33.0617, -26.6712, 560.648, -0.111843, 0.141653, -0.137596
27, 0.867533, 0.982951, 1, -36.3325, -27.2193, 560.714, -0.123838, 0.235665, -0.103589
28, 0.9009, 0.984532, 1, -37.6396, -27.5928, 564.83, -0.130022, 0.240074, -0.0744575
