time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,16.8224831611,--undefined--
0.04,16.9253741151,--undefined--
0.05,17.280732973,67.0337037932
0.06,17.5825834802,67.0378261276
0.07,17.548306141,66.1837610081
0.08,17.4607910894,65.4321536579
0.09,17.5960682892,65.2558254609
0.1,17.6455244988,65.3305917712
0.11,17.4344463442,64.8952869438
0.12,17.2584549852,63.5527561902
0.13,17.511945734,62.1890373522
0.14,17.9453133736,61.5437852786
0.15,18.2415905152,61.120628542
0.16,18.1961506218,60.4558889028
0.17,17.9363275773,59.7660857686
0.18,17.8029124043,59.0334583561
0.19,17.8027064498,58.0962215403
0.2,17.8729832019,56.8765644649
0.21,17.9019683212,55.8312863925
0.22,17.8421645045,57.6257026457
0.23,--undefined--,60.8439625418
0.24,--undefined--,60.3189199356
0.25,--undefined--,55.0421072606
0.26,--undefined--,48.638278585
0.27,--undefined--,45.4387229263
0.28,--undefined--,44.2267150234
0.29,--undefined--,43.3346456397
0.3,--undefined--,41.9169100617
0.31,--undefined--,39.7795438855
0.32,--undefined--,37.7814573756
0.33,--undefined--,36.5246788984
0.34,--undefined--,35.1235949138
0.35000000000000003,--undefined--,33.2791096713
0.36,--undefined--,31.7660043047
0.37,--undefined--,30.8186789715
0.38,--undefined--,30.0098272494
0.39,--undefined--,29.140591555
0.4,--undefined--,28.4936202556
0.41000000000000003,--undefined--,28.5878192641
0.42,--undefined--,29.2260103783
0.43,--undefined--,29.5519467719
0.44,--undefined--,29.2582809467
0.45,--undefined--,28.5394174844
0.46,--undefined--,27.9603301217
0.47000000000000003,--undefined--,27.8473229927
0.48,--undefined--,27.5458689314
0.49,--undefined--,27.7642351149
0.5,--undefined--,30.9463434283
0.51,--undefined--,33.8403131883
0.52,--undefined--,33.1890394843
0.53,--undefined--,33.9710033626
0.54,--undefined--,43.6310740665
0.55,--undefined--,50.3894363598
0.56,--undefined--,50.6839739017
0.5700000000000001,--undefined--,45.6450365381
0.58,--undefined--,39.3450312478
0.59,--undefined--,36.1005284977
0.6,--undefined--,35.0117919435
0.61,--undefined--,34.1616372673
0.62,--undefined--,33.1132967698
0.63,--undefined--,32.8691418872
0.64,--undefined--,33.6149316906
0.65,--undefined--,34.6213237822
0.66,--undefined--,35.7928942619
0.67,--undefined--,36.641931882
0.68,--undefined--,36.8293631615
0.6900000000000001,--undefined--,36.6934230214
0.7000000000000001,--undefined--,36.7837239207
0.71,--undefined--,37.3327043297
0.72,--undefined--,37.6935536081
0.73,--undefined--,38.0553990531
0.74,--undefined--,39.2217174594
0.75,--undefined--,40.7551408549
0.76,--undefined--,42.0041659335
0.77,--undefined--,42.5882338752
0.78,--undefined--,42.4661056223
0.79,--undefined--,42.0300204797
0.8,--undefined--,42.1360575103
0.81,--undefined--,42.8171618959
0.8200000000000001,--undefined--,43.6182659698
0.8300000000000001,--undefined--,44.1148681897
0.84,--undefined--,43.9247326121
0.85,--undefined--,43.8701508037
0.86,--undefined--,45.115800934
0.87,--undefined--,47.54808624
0.88,--undefined--,49.0695783045
0.89,--undefined--,47.7810889129
0.9,--undefined--,44.8626335638
0.91,--undefined--,42.9299798269
0.92,--undefined--,42.3063863728
0.93,--undefined--,41.4116302298
0.9400000000000001,--undefined--,39.6146928926
0.9500000000000001,--undefined--,38.0063697802
0.96,--undefined--,36.9956784205
0.97,--undefined--,36.103021101
0.98,--undefined--,35.2997738999
0.99,--undefined--,34.9473839286
1,--undefined--,35.2468958301
1.01,--undefined--,35.4830514389
1.02,--undefined--,35.0507056079
1.03,--undefined--,34.0633289083
1.04,--undefined--,33.6476460759
1.05,--undefined--,34.901430914
1.06,--undefined--,35.9675130622
1.07,--undefined--,34.69970842
1.08,--undefined--,30.3438620955
1.09,--undefined--,23.3650210093
1.1,--undefined--,16.1244104833
1.11,--undefined--,19.7900769955
1.12,--undefined--,34.3503483794
1.1300000000000001,--undefined--,43.4334400463
1.1400000000000001,--undefined--,44.8853032451
1.1500000000000001,--undefined--,41.4456702259
1.16,--undefined--,52.4584615471
1.17,--undefined--,66.7019372852
1.18,--undefined--,76.5181726068
1.19,--undefined--,82.397094324
1.2,--undefined--,84.5080875116
1.21,30.2475937686,84.2456711704
1.22,31.7188424873,85.1223313167
1.23,32.5385743873,87.6459437398
1.24,33.3822711643,89.2361175105
1.25,34.2449770817,89.083659948
1.26,34.37778031,88.5781580574
1.27,34.2355838146,88.937915397
1.28,34.087303851,89.8361630023
1.29,33.8901945687,90.7037230963
1.3,33.8491597857,90.8748786656
1.31,34.7287036021,89.4494199089
1.32,36.256294775,86.1502386025
1.33,37.0046030312,82.2161711393
1.34,36.9988881461,79.192532167
1.35,36.8905666716,77.1856367657
1.36,36.8580313901,76.1165158665
1.37,36.875425431,75.7162574737
1.3800000000000001,36.9959841414,75.3016126197
1.3900000000000001,37.389273227,75.1658913047
1.4000000000000001,38.1049125618,76.3483386013
1.41,39.0080444489,78.1518848396
1.42,39.9639378148,79.4790986219
1.43,41.0534297768,80.8096617704
1.44,42.1305827498,83.1005564044
1.45,43.2329369085,85.6882479399
1.46,44.7671522358,87.9046552549
1.47,46.7013860913,90.0121233264
