time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,--undefined--
0.06,--undefined--,95.6736347645
0.07,--undefined--,96.2904788787
0.08,--undefined--,97.2589121167
0.09,--undefined--,97.7523578434
0.1,--undefined--,97.8888522318
0.11,--undefined--,97.7281941409
0.12,--undefined--,97.3447043587
0.13,--undefined--,96.8174122585
0.14,--undefined--,96.2034487717
0.15,--undefined--,95.5656487859
0.16,--undefined--,94.9390878293
0.17,--undefined--,94.376111127
0.18,--undefined--,93.9605287678
0.19,--undefined--,93.7741263888
0.2,--undefined--,93.7440036448
0.21,--undefined--,93.7463373699
0.22,--undefined--,93.7860575608
0.23,--undefined--,93.8572471125
0.24,--undefined--,93.8839735467
0.25,--undefined--,93.7960641994
0.26,--undefined--,93.5739770443
0.27,--undefined--,93.2295744029
0.28,--undefined--,92.7959538971
0.29,--undefined--,92.3154819455
0.3,--undefined--,91.852971121
0.31,--undefined--,91.9395699231
0.32,--undefined--,92.884741832
0.33,--undefined--,94.0188333809
0.34,--undefined--,94.796152305
0.35000000000000003,--undefined--,95.2070189788
0.36,--undefined--,95.3238170047
0.37,--undefined--,95.2334698699
0.38,--undefined--,95.0162719771
0.39,--undefined--,94.7153308607
0.4,--undefined--,94.3606736811
0.41000000000000003,--undefined--,94.0021797913
0.42,--undefined--,93.6546464187
0.43,--undefined--,93.4089671766
0.44,--undefined--,93.7764390432
0.45,--undefined--,94.8016595171
0.46,--undefined--,95.7964371878
0.47000000000000003,--undefined--,96.3948465593
0.48,--undefined--,96.6143837625
0.49,--undefined--,96.5183855805
0.5,--undefined--,96.1932219831
0.51,--undefined--,95.7327436406
0.52,--undefined--,95.1990369841
0.53,--undefined--,94.632461062
0.54,--undefined--,94.0777805773
0.55,--undefined--,93.5639392561
0.56,--undefined--,93.1629635038
0.5700000000000001,--undefined--,93.0607593116
0.58,--undefined--,93.3770557052
0.59,--undefined--,93.8676093375
0.6,--undefined--,94.2209525572
0.61,--undefined--,94.363452605
0.62,--undefined--,94.3230915396
0.63,--undefined--,94.1302461658
0.64,--undefined--,93.8193124247
0.65,--undefined--,93.3984786049
0.66,--undefined--,92.9926826365
0.67,--undefined--,93.5232576085
0.68,--undefined--,95.0639447806
0.6900000000000001,--undefined--,96.5538299274
0.7000000000000001,--undefined--,97.5630158871
0.71,--undefined--,98.1375723327
0.72,--undefined--,98.3260515318
0.73,--undefined--,98.1683550927
0.74,--undefined--,97.7123682304
0.75,0.934036071732,97.0477123726
0.76,--undefined--,96.3495710823
0.77,--undefined--,95.7994290309
0.78,--undefined--,95.4858461447
0.79,--undefined--,95.127098692
0.8,--undefined--,94.6981145194
0.81,--undefined--,94.6161253472
0.8200000000000001,--undefined--,95.1671513331
0.8300000000000001,--undefined--,96.0276462566
0.84,--undefined--,96.6548261496
0.85,--undefined--,96.9179868384
0.86,--undefined--,96.8642331859
0.87,--undefined--,96.5547712823
0.88,--undefined--,96.0815754707
0.89,--undefined--,95.5491195876
0.9,--undefined--,95.0005574289
0.91,--undefined--,94.6416823699
0.92,--undefined--,95.0891407946
0.93,--undefined--,96.1874782489
0.9400000000000001,--undefined--,97.1555001553
0.9500000000000001,--undefined--,97.7190333135
0.96,--undefined--,97.9032309935
0.97,--undefined--,97.7585926247
0.98,--undefined--,97.3638036558
0.99,0.0,96.872185388
1,--undefined--,96.5080844506
1.01,--undefined--,96.3562720673
1.02,--undefined--,96.2416735414
1.03,--undefined--,95.9875203724
1.04,--undefined--,95.788083668
1.05,--undefined--,96.29927748
1.06,--undefined--,97.3619022758
1.07,--undefined--,98.2365145013
1.08,--undefined--,98.7103274123
1.09,--undefined--,98.8076912993
1.1,--undefined--,98.5638534182
1.11,--undefined--,98.0369303586
1.12,--undefined--,97.3485852277
1.1300000000000001,--undefined--,96.6974776286
1.1400000000000001,--undefined--,96.2610857632
1.1500000000000001,--undefined--,95.9143512838
1.16,--undefined--,95.6085903941
1.17,--undefined--,95.2183970582
1.18,--undefined--,94.6911770872
1.19,--undefined--,94.3624045357
1.2,--undefined--,94.4070728229
1.21,--undefined--,94.689567375
1.22,--undefined--,94.907149098
1.23,--undefined--,94.9163446085
1.24,--undefined--,94.776648402
1.25,--undefined--,94.5672349025
1.26,--undefined--,94.3508164761
1.27,--undefined--,94.1326866905
1.28,--undefined--,93.8659223019
1.29,--undefined--,93.6272848249
1.3,--undefined--,93.9194294288
1.31,--undefined--,94.8190801778
1.32,--undefined--,95.7222141489
1.33,--undefined--,96.3077166329
1.34,--undefined--,96.6089472586
1.35,--undefined--,96.6902252225
1.36,--undefined--,96.5877273394
1.37,--undefined--,96.3283893095
1.3800000000000001,--undefined--,95.9639204013
1.3900000000000001,--undefined--,95.5533649246
1.4000000000000001,--undefined--,95.1188539246
1.41,--undefined--,94.6584632808
1.42,--undefined--,94.1796838523
1.43,--undefined--,93.6903167086
1.44,--undefined--,93.2097892231
1.45,--undefined--,92.8475530337
1.46,--undefined--,92.7831291427
1.47,--undefined--,92.9829117242
1.48,--undefined--,93.1874169941
1.49,--undefined--,93.2258792876
