time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,68.1432355131
0.06,--undefined--,68.1416987884
0.07,--undefined--,66.0970180004
0.08,--undefined--,66.7782073513
0.09,--undefined--,68.9368729754
0.1,--undefined--,70.6536396842
0.11,--undefined--,70.9874582864
0.12,--undefined--,68.7205199376
0.13,--undefined--,64.7761456391
0.14,--undefined--,60.7758395124
0.15,--undefined--,57.0802687437
0.16,--undefined--,54.3450901332
0.17,--undefined--,54.6125172759
0.18,--undefined--,57.4567933883
0.19,--undefined--,60.602708424
0.2,--undefined--,63.6721628664
0.21,--undefined--,65.7704614116
0.22,--undefined--,65.1418776632
0.23,--undefined--,61.7846661238
0.24,--undefined--,58.2294251973
0.25,--undefined--,56.4530951793
0.26,--undefined--,57.9096907884
0.27,--undefined--,61.2470571252
0.28,--undefined--,62.7460467169
0.29,--undefined--,62.9103953469
0.3,--undefined--,63.6184954063
0.31,--undefined--,63.7393755964
0.32,--undefined--,61.8381542978
0.33,--undefined--,59.3200526792
0.34,--undefined--,59.1185703043
0.35000000000000003,--undefined--,60.6204496826
0.36,--undefined--,61.827886723
0.37,--undefined--,67.4923718577
0.38,--undefined--,76.2691001152
0.39,--undefined--,83.4458081889
0.4,--undefined--,88.8382550427
0.41000000000000003,--undefined--,92.2862660251
0.42,--undefined--,93.4735421553
0.43,28.8930497483,92.626539719
0.44,29.8221121074,90.2379711922
0.45,31.5817932536,86.2430149252
0.46,35.3315330642,81.9982626481
0.47000000000000003,38.8840895355,80.6499176794
0.48,41.0590707778,79.9993562014
0.49,43.152759602,79.1746949906
0.5,44.8030377926,81.2839006576
0.51,45.3273734021,86.4923220268
0.52,44.6442142564,90.8967580612
0.53,43.8964633668,93.0490423795
0.54,43.3252134214,92.2895804767
0.55,40.7860237492,88.320608523
0.56,36.5233157209,81.9628042194
0.5700000000000001,--undefined--,74.9965633119
0.58,--undefined--,69.5147049551
0.59,--undefined--,66.5788035815
0.6,--undefined--,64.2888859377
0.61,--undefined--,61.7941347763
0.62,--undefined--,59.1145027107
0.63,--undefined--,58.4224493172
0.64,--undefined--,60.9745247817
0.65,--undefined--,66.3206317887
0.66,--undefined--,71.0909114577
0.67,19.8430268684,74.906244335
0.68,20.0854555012,79.3929499367
0.6900000000000001,20.9810061774,83.1302626311
0.7000000000000001,22.1679599682,85.0674270771
0.71,22.9290477263,85.6429265877
0.72,23.5397124396,85.6167235495
0.73,24.4788053364,85.7957082603
0.74,25.5490340525,86.962834837
0.75,26.35886471,88.7940304192
0.76,27.3799999873,90.7370075162
0.77,28.7427713284,92.3670971117
0.78,29.7455817638,92.7309754961
0.79,30.5653005042,92.3036367083
0.8,31.3999822622,92.4937112271
0.81,32.7885536624,92.9565027461
0.8200000000000001,34.4927744396,93.2569372071
0.8300000000000001,35.9347019108,93.1443736037
0.84,37.3402636426,92.6733072863
0.85,38.482728938,92.3718919883
0.86,39.1552881823,92.4115063996
0.87,39.528320088,92.502755886
0.88,39.6673458073,92.5549591204
0.89,39.563734475,92.5166101444
0.9,39.3267014247,92.5961793341
0.91,39.048988232,92.2585250785
0.92,38.6793297686,90.3802083773
0.93,37.940534041,87.2235417382
0.9400000000000001,36.8712785782,84.5323156402
0.9500000000000001,35.924885095,82.3350536829
0.96,35.7505115484,79.1259344673
0.97,35.5441008791,76.0419029566
0.98,34.5541519812,74.2286626923
0.99,32.1458369456,71.5847427664
1,28.3604321046,67.8964751116
1.01,26.4828495318,64.2637187295
1.02,--undefined--,60.1618952586
1.03,--undefined--,55.2458198099
1.04,--undefined--,51.2264274273
1.05,--undefined--,50.8572804928
1.06,--undefined--,56.2873001169
1.07,28.652488417,67.2887505512
1.08,28.6991616338,77.1874103344
1.09,28.0300923476,83.8964713302
1.1,26.3748415878,87.6606879596
1.11,24.6456958913,88.770510856
1.12,22.6451761192,87.9719333356
1.1300000000000001,20.6682540375,87.2445427365
1.1400000000000001,19.5998673824,87.3638717314
1.1500000000000001,19.2214275037,87.0400530075
1.16,19.136054061,86.189714675
1.17,19.1922377334,85.5186831503
1.18,19.1747750289,85.2708784097
1.19,19.0337763249,85.7179485115
1.2,18.9630146039,86.9242620362
1.21,18.8701465735,88.1329658784
1.22,18.4656291816,88.2076243572
1.23,17.841830341,86.2353434343
1.24,17.5179729753,81.4830280874
1.25,14.494111386,73.6649678917
1.26,11.6929413574,64.805518979
1.27,--undefined--,58.8526727615
1.28,--undefined--,58.7839254821
1.29,15.8114151275,68.4571736106
1.3,15.5744010187,78.6003202384
1.31,15.363939204,84.9103466696
1.32,15.2991733628,87.4614078446
1.33,14.9922066047,87.2766526294
1.34,14.5491805839,86.0661698943
1.35,14.2995620036,84.9259031033
1.36,14.1926839472,83.1826913194
1.37,13.8634416451,80.3583547614
1.3800000000000001,13.8411666893,78.333158333
1.3900000000000001,14.0022673423,78.593259494
1.4000000000000001,13.8841864665,79.1341231707
1.41,13.734910558,78.9980994926
1.42,13.6005883582,78.6747346516
1.43,13.414133613,78.8837606475
1.44,13.1816301611,79.4471598946
1.45,13.1891806931,79.8421494704
