time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,--undefined--
0.06,--undefined--,--undefined--
0.07,--undefined--,76.4262327057
0.08,44.3556538672,81.1844052705
0.09,44.2850246758,85.0579754561
0.1,43.682890619,87.2309764067
0.11,42.449609269,87.6426402478
0.12,38.7184532317,87.3949838539
0.13,39.8464485485,88.6384889622
0.14,45.3822854533,91.9432134434
0.15,48.1264317529,95.2946198431
0.16,48.6640696289,97.1765179528
0.17,48.8077304162,97.116594241
0.18,48.2247979201,95.3956662179
0.19,46.4970080901,93.3258053856
0.2,45.1223623983,92.5475021543
0.21,44.2966421328,92.706881425
0.22,43.2768887481,92.4614341556
0.23,41.8389983798,91.3084837983
0.24,40.4458655889,89.1299886611
0.25,39.3825974834,85.9793682772
0.26,33.6279018721,82.4984044912
0.27,30.4852269359,80.0687580631
0.28,29.6773474056,79.7432647117
0.29,29.2302939803,81.5393255945
0.3,31.0928775301,85.3543524283
0.31,38.007112898,90.2873843842
0.32,42.4894713102,94.4710926799
0.33,43.4303135047,96.7859973383
0.34,43.560676759,97.0382171485
0.35000000000000003,42.8526970982,95.6171256747
0.36,41.7929071068,93.4508986067
0.37,41.1611572102,91.8088515084
0.38,40.9658278415,91.5387311002
0.39,40.8217463259,92.3707054244
0.4,40.5285490809,93.2121479025
0.41000000000000003,40.0241684371,93.0545204714
0.42,39.2724608823,91.3492524953
0.43,38.5634351705,88.1272612978
0.44,34.0630693099,84.5670144779
0.45,31.0353771255,83.5090011021
0.46,33.5908120106,86.519445548
0.47000000000000003,36.492984728,90.7713002549
0.48,37.4795926099,93.7720941641
0.49,37.4620018971,95.0403326028
0.5,36.3619660762,95.0604316754
0.51,35.0132190788,94.7018585729
0.52,34.2931643478,94.5569939935
0.53,34.0270207459,94.5292275559
0.54,33.9075032159,94.2713918767
0.55,33.8888159507,93.5665175871
0.56,33.9331098158,92.2894989914
0.5700000000000001,33.8235673398,90.4675401731
0.58,33.3401125435,88.5705561376
0.59,32.7142966183,87.3789319052
0.6,32.1658500407,86.7494494202
0.61,31.8789852877,85.4052237919
0.62,32.3205099763,82.5636941797
0.63,33.0414550182,79.0188109255
0.64,33.0378214991,77.3084400021
0.65,32.8894771452,78.4880253369
0.66,32.8940571174,80.9677312407
0.67,33.0092031601,84.4862641208
0.68,33.4035610417,88.8749870506
0.6900000000000001,33.5301023497,92.7650117288
0.7000000000000001,33.4149271875,95.2647654766
0.71,33.3847956183,96.4621777767
0.72,33.4346640745,96.9239746416
0.73,33.4312241087,97.1469603831
0.74,33.347590589,97.2032561926
0.75,33.2874116633,96.9087754399
0.76,33.3036948409,96.2235635648
0.77,33.4057268661,95.3507405609
0.78,33.6334255974,94.4713771623
0.79,34.1742198563,93.5255772209
0.8,34.949264961,92.3857240677
0.81,35.3825376447,91.1531940905
0.8200000000000001,35.5889864891,90.194478395
0.8300000000000001,35.8373887841,89.8067122759
0.84,36.0774043137,89.8059139274
0.85,36.2883963287,89.7604985934
0.86,36.634987168,89.348179905
0.87,72.0012529859,88.1804643257
0.88,96.3474000664,85.7016950992
0.89,--undefined--,81.4522186112
0.9,--undefined--,75.2816312795
0.91,--undefined--,67.507339397
0.92,--undefined--,61.0222916113
0.93,--undefined--,65.9988367209
0.9400000000000001,--undefined--,77.11795689
0.9500000000000001,24.0815226496,85.2521175135
0.96,24.4951438919,90.5222618176
0.97,25.1343167926,93.5047808274
0.98,25.5280559106,94.7935725726
0.99,25.6562182579,94.9734887756
1,25.731698945,94.5370429893
1.01,25.913930446,93.8405583631
1.02,26.2949637421,93.1334698545
1.03,26.8728855227,92.5676144537
1.04,27.5348776387,92.1883324712
1.05,28.1800597958,91.9788067854
1.06,28.6129431062,91.8980307285
1.07,28.8480161661,91.8889031081
1.08,29.0862826177,91.8870798043
1.09,29.4182915798,91.8434671078
1.1,29.7680993384,91.8853351592
1.11,30.0190919297,92.4068479351
1.12,30.1108069572,93.5470357311
1.1300000000000001,30.1586880025,94.747315899
1.1400000000000001,30.3005285534,95.4034943445
1.1500000000000001,30.4637675086,95.5135572151
1.16,30.4504292122,95.5862807296
1.17,30.2416386725,96.0245033595
1.18,29.9575130942,96.6438777054
1.19,29.6938353917,97.0257709838
1.2,29.4632071164,96.9852681397
1.21,29.193491795,96.4955833623
1.22,28.9074429871,95.3807885476
1.23,28.6548898604,93.3553044452
1.24,28.2774835603,90.5429725205
1.25,28.0533418102,87.900076179
1.26,28.1998278602,86.3857116754
1.27,28.323221511,85.53517967
1.28,28.3414124896,84.3569487967
1.29,28.2580341415,82.3411469543
1.3,27.6913907565,79.3612651886
1.31,24.9762715861,75.6660052374
1.32,21.6693457744,71.6573994569
1.33,19.7982516023,67.2639996304
1.34,--undefined--,62.3924120089
1.35,--undefined--,58.9307389535
1.36,--undefined--,59.4178189613
1.37,--undefined--,61.3128664666
1.3800000000000001,--undefined--,62.1872129854
1.3900000000000001,--undefined--,61.849829456
1.4000000000000001,--undefined--,61.0489587997
1.41,--undefined--,62.5780667139
1.42,--undefined--,69.515655333
1.43,26.8581066621,77.9078094538
