time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,--undefined--
0.06,--undefined--,--undefined--
0.07,--undefined--,91.6836554732
0.08,--undefined--,90.7898888108
0.09,--undefined--,89.8674320196
0.1,--undefined--,89.0979346158
0.11,--undefined--,88.6123634619
0.12,--undefined--,88.3887973806
0.13,--undefined--,88.16181411
0.14,--undefined--,87.4928737573
0.15,--undefined--,86.0135853177
0.16,--undefined--,83.7278513676
0.17,--undefined--,81.2674146102
0.18,--undefined--,79.6574331637
0.19,--undefined--,79.3688531021
0.2,--undefined--,79.7715556652
0.21,--undefined--,79.9767708847
0.22,--undefined--,79.7361065297
0.23,--undefined--,79.2128698221
0.24,--undefined--,78.4442686145
0.25,--undefined--,77.5806612201
0.26,--undefined--,77.3381249973
0.27,--undefined--,78.1785754099
0.28,--undefined--,79.4064575585
0.29,--undefined--,80.3233757989
0.3,--undefined--,80.769602201
0.31,--undefined--,80.5639183155
0.32,--undefined--,79.6436312016
0.33,--undefined--,78.5562462101
0.34,--undefined--,78.0922100658
0.35000000000000003,--undefined--,78.1835457846
0.36,--undefined--,77.9897851862
0.37,--undefined--,77.1762271849
0.38,--undefined--,76.2690699614
0.39,--undefined--,75.9647542031
0.4,--undefined--,76.6219358461
0.41000000000000003,--undefined--,78.2708923264
0.42,--undefined--,80.4391847874
0.43,73.3216158163,82.5741637273
0.44,74.387298633,84.4241031509
0.45,76.0897158557,85.9512115606
0.46,77.9364374859,87.2756578077
0.47000000000000003,80.0048548181,88.575046808
0.48,82.720466455,89.9259076514
0.49,85.8968068302,91.2763593407
0.5,89.484811459,92.5199941107
0.51,94.2788791999,93.586591746
0.52,--undefined--,94.4900285092
0.53,--undefined--,95.2881931222
0.54,--undefined--,96.0730913364
0.55,52.4722652057,96.9696176295
0.56,53.6574687722,97.9981454424
0.5700000000000001,55.028693024,98.9841761363
0.58,56.0156333565,99.6977166166
0.59,56.7639786822,100.0
0.6,57.336617552,99.8677670804
0.61,57.6446843617,99.3739653984
0.62,57.6012143187,98.6873806325
0.63,57.1795113501,98.0609976751
0.64,56.3543647068,97.7046229106
0.65,55.2698289319,97.6021093037
0.66,54.1087683169,97.5458908556
0.67,52.9203634009,97.3246306052
0.68,51.8781089608,96.7576675783
0.6900000000000001,51.1539316821,95.5945020616
0.7000000000000001,50.6315074418,93.5321529927
0.71,49.7726961771,90.4340002489
0.72,48.3423234905,86.6175688578
0.73,47.9120205636,83.0152976428
0.74,48.8935218258,80.8056049771
0.75,48.7603924686,80.4958623827
0.76,46.0878867885,81.5671141533
0.77,44.1254832715,83.0075111764
0.78,42.6450586677,84.1269976167
0.79,42.0829167188,84.7839418517
0.8,42.5434253711,85.040424097
0.81,45.1429779935,84.8930678523
0.8200000000000001,45.9782870488,84.3631854168
0.8300000000000001,--undefined--,83.691818992
0.84,--undefined--,83.3045692997
0.85,71.3681249425,83.4997347122
0.86,71.3072688868,84.130978153
0.87,72.1413461953,84.8771743761
0.88,76.0984011082,85.7956970633
0.89,80.894223764,87.117174038
0.9,84.0603520177,88.6140881126
0.91,85.7935731802,89.7891044469
0.92,86.4536337875,90.4539565546
0.93,86.3551829736,90.7659015438
0.9400000000000001,86.1608544614,90.9081599304
0.9500000000000001,86.2545467004,90.7908934913
0.96,86.4882265971,90.095270795
0.97,86.6344856403,88.65494003
0.98,86.6249492265,86.8316712604
0.99,86.4834132199,85.5472585487
1,86.1365651513,85.5989198463
1.01,85.6353201358,86.8006294185
1.02,85.2988660301,88.2946308969
1.03,85.4159219717,89.4005835417
1.04,85.859151536,89.8832765516
1.05,86.4859105456,89.8412648851
1.06,87.4241544512,89.5882186671
1.07,88.7427252319,89.5149438681
1.08,90.5051490752,89.7757134741
1.09,92.935560039,90.168933542
1.1,95.647026186,90.5309306099
1.11,98.7375748769,90.9379820284
1.12,--undefined--,91.4749758563
1.1300000000000001,47.3348546375,92.0724915814
1.1400000000000001,48.2201803628,92.5537700565
1.1500000000000001,49.5111222586,92.7944812962
1.16,50.8281167465,92.7850202168
1.17,52.1346836947,92.4194539845
1.18,53.3289845153,91.3946507885
1.19,54.2849273173,89.4901475119
1.2,54.7723315035,86.8306266412
1.21,54.7518497509,83.8910845193
1.22,54.4868497851,81.3953491724
1.23,54.1137549932,80.0498990573
1.24,53.6294409184,79.8431346251
1.25,52.9279793729,80.1132204705
1.26,51.3686049542,80.5308046194
1.27,48.5099328586,81.0302279654
1.28,46.5077051877,81.4815556297
1.29,43.8544503044,82.0015991811
1.3,79.4491205424,82.9753411284
1.31,96.8936149484,84.4987099835
1.32,95.9203256223,86.1316630167
1.33,95.0571011973,87.3208458824
1.34,93.8719423626,87.7609556972
1.35,92.3867240632,87.4354084953
1.36,90.5457971065,86.5698590737
1.37,83.6009682332,85.5709184722
1.3800000000000001,77.565171294,84.889875791
1.3900000000000001,74.0243719476,84.8361649331
1.4000000000000001,71.314891296,85.4156316755
1.41,68.5898628757,86.3349339597
1.42,65.1489792803,87.3884286269
1.43,62.6237129078,88.6910937511
1.44,61.0151598307,90.2796811405
