time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,--undefined--
0.06,--undefined--,--undefined--
0.07,--undefined--,44.8263393623
0.08,--undefined--,48.4337575477
0.09,--undefined--,51.4084898139
0.1,--undefined--,53.5165403546
0.11,--undefined--,55.2672020108
0.12,--undefined--,57.3629883833
0.13,--undefined--,60.234732583
0.14,--undefined--,63.7223424922
0.15,--undefined--,66.989351735
0.16,--undefined--,69.1985350131
0.17,--undefined--,70.1220554906
0.18,--undefined--,70.0668365285
0.19,--undefined--,69.5465014654
0.2,--undefined--,69.0037068336
0.21,--undefined--,68.6831181899
0.22,--undefined--,68.765739947
0.23,--undefined--,70.0309195699
0.24,--undefined--,73.6206761515
0.25,75.0307822987,78.944958255
0.26,75.4124342771,84.0091716636
0.27,75.8038993576,87.7329273058
0.28,75.4762519849,90.0383574312
0.29,74.9043028041,91.028790126
0.3,74.5210617532,90.7576697603
0.31,74.5247436854,89.4666876692
0.32,75.0630210335,87.8965342192
0.33,75.8836393922,86.9019569088
0.34,76.7124929096,86.3696225021
0.35000000000000003,76.8264311836,85.2074259365
0.36,75.7537800028,82.5431858137
0.37,72.8805458077,78.4775892822
0.38,--undefined--,74.1453716096
0.39,--undefined--,71.0987343208
0.4,--undefined--,70.3979654583
0.41000000000000003,--undefined--,72.3223989142
0.42,--undefined--,76.5167004256
0.43,--undefined--,82.0618830749
0.44,82.2178109413,87.640634312
0.45,82.2995351448,92.1493347688
0.46,81.5566393274,95.1182325446
0.47000000000000003,80.2724450914,96.4861919743
0.48,79.0082052775,96.3814708191
0.49,77.2207983225,95.2875452253
0.5,74.8047203645,94.2267689462
0.51,73.4811147139,94.0512117915
0.52,72.7160268338,94.5177325321
0.53,72.3614337407,94.8539978365
0.54,72.4528525116,94.7198575676
0.55,73.0657895186,93.9808585893
0.56,73.6561748627,92.1356645871
0.5700000000000001,74.0563672889,88.4350424881
0.58,74.2569585845,82.5205460007
0.59,--undefined--,75.3159187204
0.6,--undefined--,69.1534760066
0.61,--undefined--,65.4171992474
0.62,--undefined--,64.04058491
0.63,--undefined--,64.8831388468
0.64,--undefined--,66.8328064797
0.65,--undefined--,68.7040097229
0.66,--undefined--,71.9518588073
0.67,--undefined--,78.1881857908
0.68,68.2087787779,85.3457486377
0.6900000000000001,67.3533213907,90.7478832223
0.7000000000000001,65.0088234281,93.8756297072
0.71,62.7651945654,95.087471505
0.72,61.3971752373,94.8726562487
0.73,60.5753241833,93.7431595649
0.74,59.923494647,92.3402928205
0.75,59.6033731256,91.3055152534
0.76,59.6071591522,90.8325078841
0.77,59.7174326366,90.6781925503
0.78,59.9791139498,90.5912639534
0.79,60.3449949188,90.4684365593
0.8,60.6327330914,90.3530152535
0.81,60.8607195689,90.3320604173
0.8200000000000001,61.0208044247,90.34610944
0.8300000000000001,61.0934722611,90.3003725708
0.84,61.1147837619,90.2782548844
0.85,61.1766932276,90.3951756913
0.86,61.3405329753,90.5555648245
0.87,61.6407753985,90.5064230513
0.88,62.1011665411,90.0275200151
0.89,62.5738685938,88.9688489409
0.9,62.9311416601,87.2252363808
0.91,63.1643194609,84.9627470298
0.92,63.4452038677,82.9998589553
0.93,64.6101847797,82.2804828753
0.9400000000000001,64.3785031161,82.6545220028
0.9500000000000001,64.3555510932,83.2370173794
0.96,64.7823910118,83.6289389375
0.97,64.8570446449,83.9264427128
0.98,65.0130629053,84.2131620579
0.99,65.1913657333,84.4116171333
1,65.0563513806,84.3799980503
1.01,64.7996429999,84.1044912011
1.02,64.3799904801,84.1229640017
1.03,66.3320232413,85.5473444085
1.04,68.5337632346,88.5659341374
1.05,68.5494676771,91.7326948297
1.06,67.8836325574,93.5127155178
1.07,66.8781107593,93.1946866144
1.08,66.2604906741,90.5806121744
1.09,65.9350701059,85.8511606974
1.1,--undefined--,79.9450519649
1.11,--undefined--,74.7439718278
1.12,--undefined--,71.3656700171
1.1300000000000001,--undefined--,68.9261287812
1.1400000000000001,--undefined--,66.3153135617
1.1500000000000001,--undefined--,63.6133604838
1.16,--undefined--,61.3909640547
1.17,--undefined--,59.5632077417
1.18,--undefined--,57.726833724
1.19,--undefined--,56.2179211039
1.2,--undefined--,55.4104062978
1.21,--undefined--,55.2966560793
1.22,--undefined--,56.3741631094
1.23,--undefined--,58.6552032463
1.24,--undefined--,60.9559437819
1.25,--undefined--,62.3457450484
1.26,--undefined--,62.6208182078
1.27,--undefined--,61.8326387438
1.28,--undefined--,60.9855112661
1.29,--undefined--,63.0354170435
1.3,65.0349572685,68.7212575558
1.31,66.7451592343,74.8203303665
1.32,67.5266063159,79.0880443565
1.33,67.4595003676,81.3953186398
1.34,66.8997021434,82.0852823288
1.35,65.9472717918,81.4185750124
1.36,64.7450047155,79.4798056463
1.37,63.5908204075,76.4333139138
1.3800000000000001,52.4190736789,73.03468195
1.3900000000000001,46.3975134334,70.7148370965
1.4000000000000001,45.3245788761,70.847377656
1.41,47.9827435261,73.6204631815
1.42,58.6940690084,77.4751021393
1.43,60.3103255204,80.5516718635
1.44,61.2002830463,82.2713697624
