time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,11.7002839592
0.06,--undefined--,11.007261841
0.07,--undefined--,10.6927730182
0.08,--undefined--,12.6459871804
0.09,--undefined--,15.1776792497
0.1,--undefined--,17.9996876702
0.11,--undefined--,21.6971489532
0.12,--undefined--,23.0696069915
0.13,--undefined--,20.1897543318
0.14,--undefined--,14.5979017804
0.15,--undefined--,10.1723707183
0.16,--undefined--,9.74137003662
0.17,--undefined--,15.4584951466
0.18,--undefined--,28.6144936025
0.19,--undefined--,41.9075113219
0.2,--undefined--,50.6996707136
0.21,--undefined--,60.0304315425
0.22,13.2462017899,70.206181844
0.23,13.9265995169,77.6985332329
0.24,15.5419378946,82.5456468435
0.25,17.0193669371,85.7679679198
0.26,17.931523772,88.0642909144
0.27,18.3174859197,89.6387255133
0.28,18.4706867115,90.4526288149
0.29,18.641026518,90.7362568169
0.3,19.1230912711,90.9533971955
0.31,19.6997117062,91.3359519058
0.32,20.1548724635,91.8327540852
0.33,20.2206881516,92.3944248441
0.34,20.2369314174,92.8691523208
0.35000000000000003,20.2525981042,93.1321630861
0.36,20.1989759036,93.1193648427
0.37,20.1870545051,92.8528566627
0.38,20.2599024423,92.6081628493
0.39,20.2249727162,92.4569346084
0.4,20.1775254841,92.2820710375
0.41000000000000003,20.0885185661,92.0919174978
0.42,20.0752440402,91.9768635727
0.43,19.9436031053,91.9906409822
0.44,19.6629152636,92.146091447
0.45,19.3671057478,92.2239682724
0.46,19.1272562675,91.9794184534
0.47000000000000003,18.9076893456,91.5403766471
0.48,18.6877166053,90.9270848583
0.49,18.4519789254,89.5048321366
0.5,18.2200500392,86.5732222832
0.51,17.7002080381,81.9473968625
0.52,17.2051255539,76.1715727738
0.53,17.6121017588,70.4497141631
0.54,18.3104783199,65.9860993648
0.55,--undefined--,65.6208321255
0.56,--undefined--,70.7275692702
0.5700000000000001,--undefined--,75.5754584651
0.58,--undefined--,77.0583164538
0.59,--undefined--,76.1052226417
0.6,--undefined--,74.9327205313
0.61,--undefined--,74.7386143901
0.62,--undefined--,74.142245819
0.63,--undefined--,72.8631272651
0.64,--undefined--,71.845957996
0.65,--undefined--,71.1512078105
0.66,--undefined--,70.2012476819
0.67,--undefined--,68.4290721162
0.68,--undefined--,66.6749600675
0.6900000000000001,20.930142384,67.8394252807
0.7000000000000001,21.0823058593,72.3578861341
0.71,20.8898995368,76.8341258139
0.72,20.7140395118,79.8882176302
0.73,20.5859802441,81.736898329
0.74,20.325277675,82.9615031719
0.75,20.0747650003,84.0974787868
0.76,19.9594340103,85.2742219635
0.77,20.0189589773,86.2603191849
0.78,20.1853986907,86.9628069424
0.79,20.3872749313,87.5097520877
0.8,20.4448554228,87.8215622605
0.81,20.4714313864,87.6952407047
0.8200000000000001,20.6244826255,87.1242598892
0.8300000000000001,20.8365009622,86.494838424
0.84,20.8830303371,86.4171314328
0.85,20.9729150058,86.8202033821
0.86,21.1451049659,86.8411460869
0.87,21.3391565918,85.9230288775
0.88,21.7296993262,84.1834458764
0.89,21.9368999653,81.9839959094
0.9,21.8230999456,79.5054723003
0.91,21.404889767,76.7033155767
0.92,21.0221700298,73.6546201729
0.93,20.9020873902,70.6775365815
0.9400000000000001,20.7241583485,67.3592884074
0.9500000000000001,20.5656706677,63.4784910481
0.96,20.3202829029,61.1722406184
0.97,--undefined--,61.3862096493
0.98,--undefined--,61.4830255273
0.99,--undefined--,61.111168697
1,--undefined--,61.0836991974
1.01,--undefined--,61.0377415575
1.02,--undefined--,60.6514464685
1.03,--undefined--,59.9392556788
1.04,--undefined--,59.2114658324
1.05,--undefined--,58.4073609554
1.06,--undefined--,57.1929575367
1.07,--undefined--,56.0818878123
1.08,--undefined--,55.7210319409
1.09,--undefined--,55.6398703699
1.1,--undefined--,54.7786853593
1.11,--undefined--,53.7467522239
1.12,--undefined--,53.7494668315
1.1300000000000001,--undefined--,53.8966229762
1.1400000000000001,--undefined--,52.9404696572
1.1500000000000001,--undefined--,51.5155625152
1.16,--undefined--,50.9017451315
1.17,--undefined--,50.6374473367
1.18,--undefined--,49.6799244711
1.19,--undefined--,48.5490628329
1.2,--undefined--,47.8081592596
1.21,--undefined--,47.0303034112
1.22,--undefined--,45.5606021737
1.23,--undefined--,43.4347816252
1.24,--undefined--,41.5707704526
1.25,--undefined--,40.1182217069
1.26,--undefined--,38.4347506506
1.27,--undefined--,36.6990658864
1.28,--undefined--,36.4364106992
1.29,--undefined--,40.4091401061
1.3,--undefined--,47.6120298762
1.31,11.3148046187,53.9899768379
1.32,11.5768902222,59.1632318675
1.33,12.6623341105,63.8686388095
1.34,12.9988930294,67.9427668044
1.35,13.1409088807,70.9518782501
1.36,13.326448254,72.8822279745
1.37,13.6063143344,73.920689577
1.3800000000000001,14.1680180187,74.4494076268
1.3900000000000001,14.7320578989,75.2000167896
1.4000000000000001,15.8421774594,76.5079988296
1.41,16.3739513143,77.6163160363
1.42,16.711263056,77.7517618947
1.43,16.8395702104,76.3688770255
1.44,16.817121058,72.9140323346
1.45,16.8436692877,68.08529531
