time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,--undefined--
0.06,--undefined--,--undefined--
0.07,--undefined--,88.9798810735
0.08,--undefined--,91.3516596221
0.09,--undefined--,92.9907739493
0.1,--undefined--,93.3579979204
0.11,--undefined--,92.4062749563
0.12,--undefined--,90.3732744657
0.13,--undefined--,87.9625672033
0.14,--undefined--,86.9789137768
0.15,--undefined--,88.4583959633
0.16,--undefined--,90.7683205699
0.17,--undefined--,92.3063602013
0.18,--undefined--,93.0146691051
0.19,--undefined--,93.1445322344
0.2,--undefined--,92.8126144535
0.21,--undefined--,92.1203540231
0.22,--undefined--,91.3638203683
0.23,8.08053497147,90.8708197683
0.24,7.96932034815,90.6602372507
0.25,7.73433860681,90.4845293565
0.26,7.73571329133,90.120709275
0.27,7.76562820344,89.394902777
0.28,7.86672113936,88.2336340879
0.29,8.10211404249,86.9885177439
0.3,--undefined--,86.2944472261
0.31,--undefined--,86.3103516084
0.32,--undefined--,86.6692833318
0.33,14.6565263,87.0662720604
0.34,14.7740804553,87.1524054949
0.35000000000000003,14.6976173245,86.4744018524
0.36,14.4423637749,85.1738079589
0.37,14.362657251,84.2587738397
0.38,14.5092712027,84.2693992575
0.39,14.571174565,84.4325317699
0.4,14.5574711178,84.0807560854
0.41000000000000003,14.484586931,83.5583691226
0.42,--undefined--,83.65649221
0.43,--undefined--,84.8169319234
0.44,--undefined--,86.5597616621
0.45,--undefined--,87.9108448189
0.46,--undefined--,88.2738880282
0.47000000000000003,--undefined--,87.5319517905
0.48,--undefined--,85.9185097493
0.49,--undefined--,84.1945052877
0.5,--undefined--,83.3572742265
0.51,--undefined--,83.6252857908
0.52,0.539307525962,84.3700856013
0.53,0.539392628363,84.9775521069
0.54,0.570396990593,85.1147021247
0.55,0.557015301743,84.8486903203
0.56,0.533727155418,84.9181777927
0.5700000000000001,0.509171175533,86.1596512097
0.58,0.49054823264,88.2947748236
0.59,0.442269918956,90.2877954705
0.6,0.508414902541,91.5556377773
0.61,0.526670930165,92.0077875949
0.62,0.53223330543,91.8153378417
0.63,0.541452880707,91.3014019969
0.64,0.549297321992,90.6306070458
0.65,0.806406265538,89.741117436
0.66,0.838998979168,88.8056301733
0.67,0.848316198876,88.4548026251
0.68,0.616725578996,89.1142912064
0.6900000000000001,0.6021912017,90.2050420415
0.7000000000000001,--undefined--,90.5946498126
0.71,--undefined--,89.7028170516
0.72,--undefined--,87.845440445
0.73,--undefined--,85.969398166
0.74,--undefined--,84.8033916196
0.75,--undefined--,84.2529934707
0.76,--undefined--,83.9541360835
0.77,--undefined--,83.8087934048
0.78,3.09601390605,83.7254867255
0.79,3.15713906898,83.5007864538
0.8,3.13668409344,83.2471398344
0.81,3.12634571524,83.4921431226
0.8200000000000001,3.95692382546,84.5979485487
0.8300000000000001,4.10880708471,86.0493254272
0.84,4.13738352146,86.9440265972
0.85,4.15610309373,86.8805769176
0.86,4.13743346491,86.1089466555
0.87,4.12250055638,85.1796520972
0.88,4.17460848215,84.4718947197
0.89,4.13613137622,83.9679514922
0.9,--undefined--,83.4499323363
0.91,--undefined--,83.0657458606
0.92,--undefined--,83.9381475026
0.93,--undefined--,86.9975016311
0.9400000000000001,--undefined--,90.9674626188
0.9500000000000001,--undefined--,93.8011689746
0.96,--undefined--,94.7883260091
0.97,--undefined--,94.0315185966
0.98,--undefined--,92.0013961937
0.99,--undefined--,89.4889594306
1,--undefined--,87.3767258787
1.01,--undefined--,86.0474869317
1.02,--undefined--,85.213974675
1.03,--undefined--,84.4593811685
1.04,--undefined--,83.6323387065
1.05,--undefined--,83.1881463085
1.06,--undefined--,83.9988683616
1.07,--undefined--,86.0331283327
1.08,--undefined--,88.0155121689
1.09,--undefined--,88.7915849815
1.1,--undefined--,88.1120487467
1.11,--undefined--,86.3872225591
1.12,--undefined--,84.3141655296
1.1300000000000001,--undefined--,82.453275471
1.1400000000000001,--undefined--,81.1903841676
1.1500000000000001,--undefined--,80.7259812372
1.16,--undefined--,80.8341982581
1.17,--undefined--,81.2651142447
1.18,--undefined--,82.1655433567
1.19,--undefined--,83.6578535426
1.2,--undefined--,85.4999484586
1.21,--undefined--,87.2666390177
1.22,--undefined--,88.4515536201
1.23,--undefined--,88.5650763934
1.24,--undefined--,87.3977794289
1.25,--undefined--,85.352398715
1.26,--undefined--,83.5005531224
1.27,--undefined--,82.6768144833
1.28,--undefined--,82.5658500714
1.29,--undefined--,82.4348762662
1.3,--undefined--,82.2866628777
1.31,--undefined--,83.0211525384
1.32,--undefined--,85.3059507545
1.33,--undefined--,88.380459961
1.34,--undefined--,90.8845597845
1.35,--undefined--,92.0188277527
1.36,--undefined--,91.5125389719
1.37,--undefined--,89.5931509654
1.3800000000000001,--undefined--,87.2215771644
1.3900000000000001,--undefined--,85.6450913205
1.4000000000000001,--undefined--,85.1738321216
1.41,--undefined--,85.296520232
1.42,--undefined--,85.7901932716
1.43,--undefined--,86.5835243192
1.44,--undefined--,87.38080485
1.45,--undefined--,87.8493308726
1.46,--undefined--,87.7757786526
1.47,--undefined--,87.137294985
