time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,--undefined--
0.06,--undefined--,--undefined--
0.07,--undefined--,13.7450393529
0.08,--undefined--,19.6222054836
0.09,--undefined--,23.5153090508
0.1,--undefined--,26.9330974542
0.11,--undefined--,30.6162070429
0.12,--undefined--,34.1508812865
0.13,--undefined--,37.2803274083
0.14,--undefined--,40.9167913292
0.15,--undefined--,46.1507733707
0.16,--undefined--,52.4324389744
0.17,72.4803720316,58.3472125815
0.18,72.8431593905,63.0654722302
0.19,73.3923613381,66.363679912
0.2,74.0098749232,68.3274822775
0.21,74.7809979878,69.1445899635
0.22,75.5269235773,68.9584832782
0.23,76.0868075102,67.7632827587
0.24,76.4196527252,65.5132382008
0.25,76.6861970274,63.1337309491
0.26,77.8726837036,63.9877376695
0.27,78.8671895594,68.9124838144
0.28,79.4292858535,73.5771947681
0.29,79.9479200519,76.2772957293
0.3,80.3462585656,77.1940564886
0.31,80.6658236884,77.0927736257
0.32,81.0590007029,76.8864652428
0.33,81.5518633427,76.9877532808
0.34,82.1154979164,77.1878199048
0.35000000000000003,82.8349599366,77.2821820899
0.36,83.6165986887,77.3584961422
0.37,84.1466042553,77.5891082817
0.38,84.6397346688,78.0263192079
0.39,85.0457622125,78.5539818272
0.4,85.1834237534,78.8520690826
0.41000000000000003,84.9512075448,78.4022122458
0.42,84.3379208625,76.6775095944
0.43,83.6184049456,73.5437561485
0.44,--undefined--,69.8855329743
0.45,--undefined--,67.6981990344
0.46,--undefined--,67.7731879573
0.47000000000000003,19.537191401,68.7435267473
0.48,19.4202671343,69.8287507172
0.49,19.3547553463,71.8545142557
0.5,19.4306026244,76.0116384725
0.51,19.4073897665,81.1810440409
0.52,29.4623076599,85.4951403847
0.53,35.4378960457,88.2590583267
0.54,35.7081828507,89.3765382882
0.55,35.9370198715,88.9216425577
0.56,36.0066320237,87.1334656734
0.5700000000000001,35.9183429269,84.5233559045
0.58,35.7772783918,81.7917959093
0.59,35.6745712788,79.3820743736
0.6,35.6154169124,77.3184251387
0.61,35.5761759521,75.6767692363
0.62,35.4817344841,74.5674610126
0.63,35.2638834829,73.7802621084
0.64,35.0066360604,73.0981106924
0.65,34.9326308185,72.4791322973
0.66,35.0473382038,71.8540660185
0.67,35.1705765688,71.3833249066
0.68,35.1755591828,71.6258653456
0.6900000000000001,35.2918989976,72.8293242846
0.7000000000000001,35.4906466893,74.598382349
0.71,35.5721284248,76.7043331617
0.72,35.5648901676,79.2488297642
0.73,35.544592566,82.0153222122
0.74,35.5168191345,84.570436209
0.75,35.4529789843,86.8723450668
0.76,35.3604323816,89.1821459463
0.77,35.3311149198,91.4798136735
0.78,35.3699783073,93.3168772377
0.79,35.3444118426,94.272194016
0.8,35.2574784031,94.2725492563
0.81,35.213740475,93.5600627461
0.8200000000000001,35.2071323014,92.4784819768
0.8300000000000001,35.134508857,91.2649763027
0.84,34.9008703752,90.0437354879
0.85,34.5325232224,88.8982485561
0.86,63.0837262158,87.8847353356
0.87,78.8693206137,87.0972271514
0.88,78.1213843261,86.7207479835
0.89,78.4641922607,87.0546376871
0.9,80.1822132208,88.2864915758
0.91,81.6577297924,89.9603969821
0.92,82.3726151841,91.3605771707
0.93,82.6768280453,92.3014033371
0.9400000000000001,82.5993334368,93.0101019696
0.9500000000000001,82.3648809518,93.7029645902
0.96,82.2917863711,94.5040756983
0.97,82.3623278443,95.3708082989
0.98,82.3743738737,96.0123187333
0.99,82.2834577994,96.1873479064
1,82.0832334291,95.9415286262
1.01,81.8764421022,95.4475657892
1.02,82.0563761154,94.6723005124
1.03,82.6683859968,93.2424455191
1.04,83.3083297314,90.6458135811
1.05,83.6179951194,86.5626151786
1.06,83.4436516695,81.2772076788
1.07,83.1249784597,76.1808184112
1.08,82.8114601771,73.027461036
1.09,82.5256809975,71.5935149595
1.1,--undefined--,71.0961106199
1.11,--undefined--,72.3934583299
1.12,--undefined--,75.6305652699
1.1300000000000001,--undefined--,78.7553049346
1.1400000000000001,--undefined--,80.3095457407
1.1500000000000001,--undefined--,80.1186713343
1.16,--undefined--,78.7951689484
1.17,--undefined--,77.3891981586
1.18,--undefined--,76.6023030939
1.19,--undefined--,76.36271871
1.2,--undefined--,76.4708973427
1.21,--undefined--,76.927002695
1.22,--undefined--,78.1079393309
1.23,80.8873869209,80.6652660334
1.24,81.8037404942,84.1733845285
1.25,83.6785938474,87.3545061736
1.26,85.3824994698,89.6000524766
1.27,87.269072862,91.0709164897
1.28,89.4301727574,92.2549009735
1.29,91.0234297358,93.4936515415
1.3,92.2883454015,94.7530387644
1.31,93.711733546,95.8671649957
1.32,95.3455246985,96.6987198207
1.33,96.8691351366,96.9256361771
1.34,97.9842341808,95.9581565365
1.35,98.8419063252,93.3264267282
1.36,64.2977217215,89.6458575683
1.37,45.3889193045,87.9554709204
1.3800000000000001,46.3538897187,90.2889856434
1.3900000000000001,46.4717861499,93.3206939488
1.4000000000000001,46.2852219186,94.9830503475
1.41,45.8807755466,95.0881671584
1.42,--undefined--,94.1037658788
1.43,97.5093428005,93.1027590328
