time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,--undefined--
0.06,--undefined--,--undefined--
0.07,--undefined--,43.0835657606
0.08,--undefined--,46.4968686885
0.09,--undefined--,48.4540059483
0.1,--undefined--,49.6142219916
0.11,--undefined--,50.8055979824
0.12,--undefined--,52.3946199684
0.13,--undefined--,54.287628863
0.14,--undefined--,56.3285523018
0.15,--undefined--,58.148528854
0.16,--undefined--,59.1982231398
0.17,--undefined--,59.293132222
0.18,--undefined--,58.8852185855
0.19,--undefined--,58.6519550359
0.2,--undefined--,58.8371452915
0.21,--undefined--,59.2896338202
0.22,--undefined--,59.9046659662
0.23,--undefined--,60.6751529232
0.24,--undefined--,61.6199092551
0.25,--undefined--,63.0146172125
0.26,--undefined--,65.402528696
0.27,--undefined--,68.8146001068
0.28,--undefined--,72.3217173363
0.29,--undefined--,74.8465306364
0.3,--undefined--,75.920848799
0.31,--undefined--,75.8208228444
0.32,--undefined--,75.6005235939
0.33,--undefined--,76.6361147717
0.34,--undefined--,79.1212930347
0.35000000000000003,92.9831441614,81.7914076112
0.36,93.9707463697,83.5730610255
0.37,95.6186586373,84.215132104
0.38,97.6667152419,84.0779152519
0.39,59.488922033,83.7621085523
0.4,43.2068027044,83.6976548539
0.41000000000000003,43.6184217169,83.9692276908
0.42,43.927211353,84.378292476
0.43,44.1893162927,84.7222993682
0.44,44.3639394461,85.0226591656
0.45,44.4677060909,85.3178678158
0.46,44.6456856395,85.496657063
0.47000000000000003,44.9119960482,85.5185954215
0.48,45.1238331787,85.5897422769
0.49,45.1820207632,85.9731040202
0.5,45.1319513626,86.6244047535
0.51,45.0371293089,87.2273252255
0.52,44.892691313,87.5873818509
0.53,44.6805196822,87.7349201428
0.54,44.3687753634,87.7365683842
0.55,43.9073815827,87.6347730397
0.56,82.8194862093,87.5214062679
0.5700000000000001,97.2586909548,87.4399200497
0.58,94.0553252295,87.2746539459
0.59,91.8751612325,86.9280138629
0.6,90.3440757735,86.5365625819
0.61,88.7673389343,86.3781521452
0.62,87.4385181333,86.5004199892
0.63,86.2963199779,86.639064969
0.64,84.8163165094,86.6156927829
0.65,83.0073215875,86.5037524332
0.66,81.0015288931,86.4319930695
0.67,78.8913631241,86.4486115156
0.68,76.9921643292,86.5033729324
0.6900000000000001,75.562591244,86.4691041028
0.7000000000000001,74.2754419459,86.2789422681
0.71,72.7494824964,86.0380795835
0.72,70.9776197747,85.9193887875
0.73,69.2253944529,86.0028262541
0.74,67.6180716769,86.2316367031
0.75,66.1054117088,86.4249395741
0.76,64.6587295696,86.3722267146
0.77,63.1843193936,85.9939010304
0.78,60.6510090349,85.4290308707
0.79,57.5399256107,84.9414192711
0.8,55.2205064759,84.6760644128
0.81,53.3292706285,84.5651463261
0.8200000000000001,--undefined--,84.4362530686
0.8300000000000001,--undefined--,84.1332626223
0.84,--undefined--,83.6282965381
0.85,44.4203178658,83.0274981799
0.86,43.8191350304,82.4862010831
0.87,43.05736398,82.1114251586
0.88,42.5828300125,81.8336670548
0.89,42.3651729246,81.4795418407
0.9,42.4281062902,81.006605066
0.91,42.9079323481,80.3560240723
0.92,43.4387548986,79.2244930919
0.93,43.5442846516,77.4590485104
0.9400000000000001,--undefined--,75.4746673306
0.9500000000000001,--undefined--,73.9455421914
0.96,--undefined--,73.2344358379
0.97,--undefined--,73.240909753
0.98,--undefined--,73.3781116424
0.99,--undefined--,72.9690624564
1,--undefined--,71.9088542631
1.01,--undefined--,70.7062652
1.02,--undefined--,69.8561533971
1.03,--undefined--,69.3695598219
1.04,--undefined--,69.1203697591
1.05,--undefined--,69.0120494238
1.06,--undefined--,68.7481902236
1.07,--undefined--,68.083934991
1.08,--undefined--,67.246869275
1.09,--undefined--,66.8778687849
1.1,--undefined--,67.3360953039
1.11,--undefined--,68.0935432615
1.12,--undefined--,68.3667270096
1.1300000000000001,--undefined--,68.0543029379
1.1400000000000001,--undefined--,67.9437689136
1.1500000000000001,--undefined--,68.9141998285
1.16,--undefined--,70.7839462216
1.17,--undefined--,73.3316738546
1.18,--undefined--,77.1060964374
1.19,--undefined--,81.1343580595
1.2,--undefined--,83.3812487704
1.21,--undefined--,83.0308585804
1.22,--undefined--,80.4271276089
1.23,--undefined--,76.7871316513
1.24,--undefined--,73.5136368379
1.25,--undefined--,70.9676966579
1.26,--undefined--,68.8914990887
1.27,--undefined--,67.339923077
1.28,--undefined--,66.5469464412
1.29,--undefined--,66.500828214
1.3,--undefined--,66.7307396196
1.31,--undefined--,66.7017867692
1.32,--undefined--,66.0710026405
1.33,--undefined--,64.8928082226
1.34,--undefined--,63.7385369396
1.35,--undefined--,63.006219364
1.36,--undefined--,62.4657772034
1.37,--undefined--,62.1536579044
1.3800000000000001,--undefined--,62.2984982875
1.3900000000000001,--undefined--,62.3005157035
1.4000000000000001,--undefined--,61.3673019603
1.41,--undefined--,59.6528640986
1.42,--undefined--,58.2414232227
1.43,--undefined--,57.919624174
1.44,--undefined--,58.2773280545
1.45,--undefined--,58.7067357544
1.46,--undefined--,58.858256883
