time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,--undefined--
0.06,--undefined--,--undefined--
0.07,--undefined--,84.2280092237
0.08,--undefined--,85.0317598877
0.09,--undefined--,86.2317492168
0.1,--undefined--,87.8909623198
0.11,--undefined--,89.43102096
0.12,--undefined--,90.5705921515
0.13,--undefined--,91.5481754599
0.14,--undefined--,92.6656171246
0.15,--undefined--,93.8994524133
0.16,45.3715107439,94.8770896053
0.17,45.3233240963,95.249081779
0.18,45.0149179743,94.8468200767
0.19,44.6798269997,93.5093187532
0.2,44.4469843747,91.287953523
0.21,44.4020570229,89.0050587224
0.22,--undefined--,87.7814320745
0.23,--undefined--,87.5627916713
0.24,15.4176450442,87.5364830265
0.25,15.3684432215,87.5432117228
0.26,15.5656769217,87.8155175482
0.27,15.6544512467,88.4587264962
0.28,15.6445631609,89.397386535
0.29,15.6587342323,90.4617372506
0.3,15.7080199435,91.3548009787
0.31,--undefined--,91.6607453243
0.32,--undefined--,91.2252124015
0.33,--undefined--,90.4356950888
0.34,24.4999900917,89.829219473
0.35000000000000003,24.4055213352,89.58450724
0.36,24.2698834443,89.9244815442
0.37,24.2018773903,91.3163918342
0.38,40.9764642257,93.3861463352
0.39,44.3511901402,94.8452369842
0.4,44.305679429,94.8678209991
0.41000000000000003,44.4368367845,93.7430378042
0.42,44.9290399082,92.7720352886
0.43,45.4328903357,92.9327519253
0.44,45.6309664226,93.4904934267
0.45,45.7575910396,93.449149517
0.46,46.1657540556,93.0330284794
0.47000000000000003,46.8187504323,92.9082065556
0.48,47.3260301191,93.0812818688
0.49,47.7843529092,93.1889981928
0.5,48.3650780626,93.3161347357
0.51,49.0150347538,93.769981245
0.52,49.4922703041,94.4100389969
0.53,49.7306906933,94.6883131729
0.54,49.8553180826,94.4027070165
0.55,49.9702735507,94.0582923569
0.56,50.0815298703,94.2529970479
0.5700000000000001,50.1617856137,94.8832203149
0.58,50.2243094023,95.4612586977
0.59,50.247346705,95.8034501595
0.6,50.2735262991,95.9836820932
0.61,50.3754455804,96.0303503527
0.62,50.5169162864,95.900705392
0.63,50.6838743171,95.691421686
0.64,50.8616750262,95.6801458436
0.65,50.898343945,96.0234925758
0.66,50.7822231524,96.5184344439
0.67,50.5834063482,96.8175328924
0.68,50.232599936,96.734385269
0.6900000000000001,49.61692448,96.2631738103
0.7000000000000001,48.7210678581,95.481705273
0.71,47.5678879505,94.5323024217
0.72,46.4651209233,93.6789209006
0.73,45.5431297011,93.2260782114
0.74,45.0230312768,93.144496817
0.75,44.7979560843,93.0358363507
0.76,44.507105946,92.7427868347
0.77,43.9252565573,92.5095780864
0.78,89.8862451618,92.4631297573
0.79,97.5979436178,92.4405429233
0.8,95.5900029665,92.3548751045
0.81,93.261202706,92.3925604453
0.8200000000000001,90.1432100872,92.8468643137
0.8300000000000001,85.9070365553,93.7001788476
0.84,82.5108470052,94.4581830979
0.85,78.5372614233,94.5957660887
0.86,74.9145730214,93.9154388203
0.87,72.5791704926,92.5516602628
0.88,70.2761857428,91.0027318394
0.89,68.3280005073,89.8993457374
0.9,66.5594612821,89.3358871009
0.91,64.5096273232,88.907011306
0.92,61.5672077348,88.4173077356
0.93,58.6482373293,87.8626540461
0.9400000000000001,56.6800606258,87.264295841
0.9500000000000001,54.33424217,86.9481293103
0.96,52.5269894005,87.31186236
0.97,51.3610954001,88.1690294083
0.98,49.7235174313,89.0307039159
0.99,48.0304056871,89.719735477
1,47.1529111381,90.1465029061
1.01,46.588333325,89.9789636762
1.02,46.3057089776,88.9604320816
1.03,--undefined--,87.4212713905
1.04,--undefined--,86.387799993
1.05,--undefined--,86.6510590662
1.06,--undefined--,87.4690612058
1.07,--undefined--,87.4442724154
1.08,--undefined--,86.3035984231
1.09,--undefined--,85.052774388
1.1,--undefined--,84.8374663312
1.11,--undefined--,85.6675414533
1.12,--undefined--,86.6819598163
1.1300000000000001,--undefined--,87.1030617849
1.1400000000000001,--undefined--,86.9513092344
1.1500000000000001,--undefined--,87.0053052983
1.16,--undefined--,87.6252003891
1.17,--undefined--,88.2330666302
1.18,--undefined--,88.1355022951
1.19,--undefined--,86.9953028011
1.2,--undefined--,85.1956345628
1.21,--undefined--,83.9498287608
1.22,--undefined--,83.9000427054
1.23,--undefined--,84.2951947087
1.24,--undefined--,84.6937937623
1.25,40.0686608148,85.3163516178
1.26,40.2353172786,86.214440697
1.27,40.2666873247,87.6365537582
1.28,--undefined--,89.8391819805
1.29,--undefined--,92.0791197875
1.3,--undefined--,93.442887986
1.31,89.5943736461,93.9481488477
1.32,91.2928640436,94.1823857187
1.33,93.219848503,94.5458622916
1.34,94.8164140098,94.9135134357
1.35,95.689090289,94.939296272
1.36,96.4746753395,94.6004985758
1.37,97.4591745578,94.3519899541
1.3800000000000001,98.5247332588,94.5194641065
1.3900000000000001,99.715061214,94.778128497
1.4000000000000001,53.3493626594,94.7153449557
1.41,44.321482466,94.3123904525
1.42,44.3605357526,93.6742169906
1.43,44.1697035951,92.9802710536
1.44,43.9887960787,92.5984435076
1.45,44.0175563255,92.6820645832
