time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,49.0175121194,--undefined--
0.04,49.0885878232,--undefined--
0.05,49.1375493401,--undefined--
0.06,49.0769801763,--undefined--
0.07,48.339877035,62.7927005798
0.08,45.6536133383,62.7285734666
0.09,45.3257220925,66.7576279106
0.1,49.5578920787,74.3356447282
0.11,52.0178552339,81.1385485075
0.12,52.5373395467,85.5992423391
0.13,52.2541259502,88.1284907328
0.14,51.9498191642,89.4680748988
0.15,51.9180051861,90.1241653955
0.16,51.9493267492,90.3818422531
0.17,51.9320468873,90.5146050447
0.18,51.9587885936,90.601056843
0.19,51.9229183978,90.4737178416
0.2,51.6432210868,90.0323059587
0.21,51.2940121017,89.2732605218
0.22,51.110771882,88.1887061973
0.23,51.0853998096,86.9439428201
0.24,51.1354802977,85.9051289559
0.25,51.1667874294,85.0907872089
0.26,51.2524084468,83.8001712073
0.27,51.4912175545,81.1804774506
0.28,51.6774456737,76.933659764
0.29,51.6667174163,71.4794862666
0.3,51.5485156986,65.6448864922
0.31,51.4891290201,60.052853315
0.32,51.452572311,54.8610014657
0.33,51.3962805704,50.1378737579
0.34,51.2952848078,46.1837841482
0.35000000000000003,--undefined--,43.1447871691
0.36,--undefined--,40.525665098
0.37,--undefined--,37.7029810232
0.38,--undefined--,34.5177921123
0.39,--undefined--,31.3360102286
0.4,--undefined--,28.6663212533
0.41000000000000003,--undefined--,26.3319733691
0.42,--undefined--,23.7051602851
0.43,--undefined--,20.9837202224
0.44,--undefined--,19.2052125851
0.45,--undefined--,18.6373720391
0.46,--undefined--,18.2416393863
0.47000000000000003,--undefined--,17.1141791079
0.48,--undefined--,15.4434377655
0.49,--undefined--,17.7216304554
0.5,--undefined--,29.0920406242
0.51,--undefined--,43.3842350799
0.52,--undefined--,53.8994392255
0.53,60.6713296592,60.6750045143
0.54,62.7979470484,64.2354808914
0.55,64.8850602878,65.0140745944
0.56,65.8300902887,63.4360208113
0.5700000000000001,64.7677928626,59.9924809627
0.58,--undefined--,55.1767874682
0.59,--undefined--,49.1991186488
0.6,--undefined--,42.2391817048
0.61,--undefined--,36.7802494966
0.62,--undefined--,36.677415864
0.63,--undefined--,40.2674400315
0.64,--undefined--,43.2055893346
0.65,--undefined--,44.5088394104
0.66,--undefined--,44.1777883577
0.67,--undefined--,42.8638043192
0.68,--undefined--,43.1162229478
0.6900000000000001,--undefined--,47.8534402073
0.7000000000000001,67.3331521997,55.5161891047
0.71,69.0753618077,62.4236114856
0.72,69.9440994339,67.6952809606
0.73,69.8410911313,71.8028274426
0.74,68.9306709518,75.2298612976
0.75,67.5548838914,77.9860748809
0.76,66.1091395018,79.7340321244
0.77,64.639230668,80.102273291
0.78,56.771535321,78.7527894309
0.79,54.0993927732,75.3490986163
0.8,52.8947760275,69.5942995638
0.81,--undefined--,61.3805174323
0.8200000000000001,--undefined--,51.3376288877
0.8300000000000001,--undefined--,42.1926161668
0.84,--undefined--,38.3226512358
0.85,--undefined--,40.5116670613
0.86,--undefined--,44.6850560124
0.87,--undefined--,48.0053287263
0.88,--undefined--,50.0713710406
0.89,--undefined--,51.2417618046
0.9,--undefined--,51.7104176033
0.91,--undefined--,51.3336376458
0.92,--undefined--,50.3279879172
0.93,--undefined--,50.5105517441
0.9400000000000001,--undefined--,54.0481248751
0.9500000000000001,46.5937458265,59.6346528999
0.96,48.8386001467,64.2652385604
0.97,49.1885129973,66.8931102886
0.98,48.7548679791,67.4954272477
0.99,48.1986483747,66.2507475905
1,47.5076036051,63.5756509756
1.01,43.5151000956,60.5161197265
1.02,43.7777716263,58.4306962521
1.03,44.0947205511,57.5779262763
1.04,43.4442415666,57.077504503
1.05,42.0607246104,56.4328622773
1.06,40.763493027,55.7633582031
1.07,37.679570521,55.2875240702
1.08,36.3716124599,55.1246681676
1.09,35.8379565079,55.4537994852
1.1,35.7404525074,56.3765972343
1.11,35.9305208989,57.3783496808
1.12,36.1320675068,57.431438077
1.1300000000000001,36.166921458,55.7047183322
1.1400000000000001,35.9697102342,51.9436869199
1.1500000000000001,--undefined--,46.6401731255
1.16,--undefined--,41.0297584216
1.17,--undefined--,36.7259717321
1.18,--undefined--,35.6283162413
1.19,--undefined--,38.0373241064
1.2,--undefined--,40.6333837801
1.21,--undefined--,40.6488260173
1.22,--undefined--,37.9096034493
1.23,--undefined--,34.1862115486
1.24,--undefined--,32.0906245174
1.25,--undefined--,32.2976920848
1.26,--undefined--,36.1154466489
1.27,--undefined--,45.3401689255
1.28,--undefined--,55.3642404299
1.29,46.2516470705,62.5429613437
1.3,44.5941997699,66.9749133283
1.31,42.6427285123,69.4541631925
1.32,41.1186794523,71.0201632603
1.33,40.3049635007,72.4575060032
1.34,39.6662410221,73.6701301058
1.35,39.0055448629,74.124813349
1.36,38.4063272243,73.746624683
1.37,--undefined--,72.7069528013
1.3800000000000001,--undefined--,70.814167585
1.3900000000000001,--undefined--,68.1261796633
1.4000000000000001,--undefined--,65.968181936
1.41,--undefined--,65.5332855989
1.42,--undefined--,65.9216620995
1.43,--undefined--,65.8252934541
1.44,33.9701434393,64.9330795919
1.45,33.718884828,63.3417273392
