time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,94.042026824
0.06,--undefined--,94.1393846404
0.07,--undefined--,94.8299920411
0.08,--undefined--,96.2038791866
0.09,--undefined--,97.5322000248
0.1,17.3292380825,98.3998379377
0.11,17.4908022195,98.7992979475
0.12,18.0758825429,98.8634288691
0.13,18.9769440356,98.7139376373
0.14,19.703147922,98.4463664711
0.15,21.3638798591,98.1958669775
0.16,22.9220944514,98.1524433022
0.17,23.9676708655,98.200007077
0.18,25.0278206756,98.1778943536
0.19,25.671397425,98.1729751015
0.2,25.8303046086,98.2490731947
0.21,25.6618145804,98.3869156449
0.22,24.9867262295,98.3855836402
0.23,24.3198466839,97.981181191
0.24,23.7952814972,97.0485668063
0.25,24.8161282767,95.769524992
0.26,25.3768155234,94.8713928479
0.27,--undefined--,94.671325554
0.28,--undefined--,95.0268691888
0.29,--undefined--,95.8089740115
0.3,--undefined--,96.465687571
0.31,--undefined--,96.7999791184
0.32,32.1194602589,97.167609972
0.33,31.6770455993,97.6311863504
0.34,31.0234668255,97.7475977532
0.35000000000000003,29.4641189543,97.3377933071
0.36,--undefined--,96.4644054626
0.37,--undefined--,95.399295693
0.38,--undefined--,94.4704527721
0.39,--undefined--,94.2673512967
0.4,--undefined--,94.9787806984
0.41000000000000003,--undefined--,95.8188457627
0.42,--undefined--,96.3721637196
0.43,--undefined--,96.4963377961
0.44,--undefined--,96.2474545693
0.45,--undefined--,95.9069245489
0.46,--undefined--,95.7015285428
0.47000000000000003,--undefined--,95.5899134852
0.48,--undefined--,95.6886372865
0.49,26.7560688905,96.3444137548
0.5,28.4410295701,97.4793633995
0.51,30.1745068534,98.5108437445
0.52,30.2767421741,99.1211457841
0.53,29.3673404551,99.3348554234
0.54,28.1342321498,99.3168650285
0.55,27.1357221857,99.1112096938
0.56,26.5549533974,98.715377874
0.5700000000000001,26.5688272721,98.3603297229
0.58,26.8446663799,98.2490062617
0.59,27.1514918594,98.2618100183
0.6,27.6135820449,98.2812649261
0.61,28.0970066035,98.2774081266
0.62,28.5942405929,98.1697396412
0.63,29.7852383958,97.8514326548
0.64,30.4367400397,97.4143032402
0.65,30.3031894919,97.025683816
0.66,30.4575400193,96.8883446407
0.67,30.9596615405,97.314579316
0.68,31.355023729,97.822138281
0.6900000000000001,31.5346167721,98.0666805025
0.7000000000000001,31.5484394457,98.0953227319
0.71,31.4210368372,98.0568843902
0.72,31.1525203189,98.0369409825
0.73,30.9502052232,97.9857060762
0.74,30.9959057813,97.8374624705
0.75,31.1935295389,97.5876903487
0.76,31.2885060501,97.3066846389
0.77,31.2172496742,97.1449096038
0.78,31.0506908438,97.135920868
0.79,30.9271847548,97.169028839
0.8,30.8840734797,97.3001956053
0.81,31.0048247509,97.581778768
0.8200000000000001,31.1554429842,97.6993698264
0.8300000000000001,31.1344169484,97.3647603686
0.84,30.5453315599,96.5474237798
0.85,28.0592323749,95.6065338037
0.86,26.4785815741,95.1984728028
0.87,26.6711267868,95.195314915
0.88,29.6000397382,95.5294020656
0.89,32.0137665884,96.3616929218
0.9,32.6735910651,97.2055716
0.91,32.9677981317,97.7550758395
0.92,32.9207142765,98.0529913819
0.93,32.7102896392,98.2079149061
0.9400000000000001,32.5834547577,98.2859030263
0.9500000000000001,32.5638270219,98.3771395774
0.96,32.6084310686,98.5946188486
0.97,32.704840106,98.9241161461
0.98,32.902701853,99.2236652082
0.99,33.3841584914,99.2993818777
1,33.841490643,99.0377780009
1.01,33.7486427799,98.6153877036
1.02,33.6045409664,98.4546437786
1.03,33.7297404527,98.4854144702
1.04,33.7798936866,98.4387593131
1.05,33.6905625343,98.3131017655
1.06,33.5181473884,98.2026873831
1.07,32.9369977209,98.1601188099
1.08,31.7487332561,98.1265235731
1.09,30.6793684277,98.0819003192
1.1,30.1878672796,98.0683264854
1.11,30.065905817,98.0705475635
1.12,30.1082922246,98.0295022162
1.1300000000000001,30.2175315149,97.869706412
1.1400000000000001,30.1567429962,97.478290189
1.1500000000000001,29.5218576765,96.7673379039
1.16,29.3656922881,95.7672619368
1.17,25.8271683944,94.8258147485
1.18,23.2448738802,94.5860628878
1.19,22.7469561103,94.7596759066
1.2,22.0228913604,95.163364869
1.21,21.4090042438,95.9530631762
1.22,21.2434137351,96.9031872051
1.23,21.7235715059,97.7561285156
1.24,22.2113366344,98.4142442623
1.25,22.4924333015,98.8019521107
1.26,22.8777377598,98.8550356286
1.27,23.931695187,98.5940099876
1.28,25.2606635053,98.2487705236
1.29,26.3200285216,98.1258657024
1.3,27.1904118892,98.184105509
1.31,27.9987371473,98.286844026
1.32,28.7807681449,98.3958101952
1.33,29.6364497662,98.3951464325
1.34,30.6448994607,98.1395132341
1.35,31.3578154918,97.7158668828
1.36,31.4193669297,97.4949654271
1.37,31.5144296335,97.5653632371
1.3800000000000001,31.8398225874,97.6905185332
1.3900000000000001,32.083051164,97.7703183349
1.4000000000000001,32.1653990581,97.7418001502
1.41,32.1079404584,97.6375821637
1.42,31.9672745198,97.5076593299
1.43,31.6087989779,97.2448810829
