time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,--undefined--
0.06,--undefined--,0.0
0.07,--undefined--,4.76145039537
0.08,--undefined--,12.8482272754
0.09,--undefined--,18.8177823085
0.1,--undefined--,23.2128383371
0.11,--undefined--,26.3164691428
0.12,--undefined--,28.4539651174
0.13,--undefined--,30.1319070786
0.14,--undefined--,32.3805495167
0.15,--undefined--,35.9070658557
0.16,--undefined--,39.8003165466
0.17,--undefined--,42.6316643998
0.18,--undefined--,43.9851652224
0.19,--undefined--,44.4829934924
0.2,--undefined--,45.3256515855
0.21,--undefined--,47.3057650233
0.22,--undefined--,49.9573891532
0.23,--undefined--,52.1591673574
0.24,--undefined--,53.2148444024
0.25,--undefined--,53.1549322347
0.26,--undefined--,52.5680092674
0.27,--undefined--,52.1633056457
0.28,--undefined--,52.1255284756
0.29,--undefined--,52.0556813066
0.3,--undefined--,51.7062527292
0.31,--undefined--,51.4687271436
0.32,--undefined--,51.8971908265
0.33,--undefined--,52.9557030764
0.34,--undefined--,54.093547786
0.35000000000000003,--undefined--,54.8803993971
0.36,--undefined--,55.4843947812
0.37,--undefined--,56.5630894883
0.38,--undefined--,58.2921766567
0.39,34.8930490443,59.9964732958
0.4,34.9382129666,60.9912888427
0.41000000000000003,34.9997446036,61.0888045454
0.42,35.0654664311,60.5481438351
0.43,35.120658441,60.1197881268
0.44,35.1197160658,60.9227218465
0.45,35.0484822981,63.9401071833
0.46,34.8673881344,69.163200221
0.47000000000000003,34.5504714074,75.3393915672
0.48,34.694576708,81.090807145
0.49,35.8175524987,85.7112696901
0.5,37.6697395599,88.8817780335
0.51,39.2215877612,90.3508921511
0.52,40.0687319164,89.9511816226
0.53,40.8179538722,87.8768590908
0.54,41.9891455694,85.3968818233
0.55,43.5332485757,84.8395287714
0.56,44.9086716399,86.7842122379
0.5700000000000001,45.7171180959,89.4242659905
0.58,46.3598512825,91.3306421291
0.59,47.3811840081,92.2888668118
0.6,48.5667580542,92.5472611731
0.61,49.5433472262,92.4140068824
0.62,50.2224554181,92.2222932452
0.63,50.6243870132,92.3374481873
0.64,50.7637023862,92.8623236669
0.65,50.6876742314,93.4310305713
0.66,50.5201569323,93.4823120988
0.67,50.441253114,92.5534890746
0.68,50.6419934499,90.396430722
0.6900000000000001,51.2475224212,87.3372550899
0.7000000000000001,51.5047060897,84.7436367521
0.71,50.9614384641,83.9668783637
0.72,50.03016043,84.9087726242
0.73,48.8663647523,86.7412790209
0.74,48.0249156055,88.5516233235
0.75,47.8588271322,89.2624965724
0.76,47.7395291676,88.0861326214
0.77,46.6930041894,84.9766466588
0.78,45.171284183,81.4987841741
0.79,43.6427985923,80.5484991792
0.8,42.5194207035,82.5622149983
0.81,41.8965841157,85.5057081734
0.8200000000000001,41.4825979508,88.1052668981
0.8300000000000001,41.2397007784,90.0372657448
0.84,40.9006049258,91.3359410109
0.85,40.5097473931,92.2714716792
0.86,40.2791217839,93.0341484616
0.87,40.2922076684,93.4974353243
0.88,40.5449131526,93.374627187
0.89,40.9325407648,92.5291408358
0.9,41.3458468868,91.1248534406
0.91,41.6593425016,89.4446785877
0.92,41.7087435078,87.5153884429
0.93,41.4598827207,85.1573868845
0.9400000000000001,41.0581306386,82.5256991171
0.9500000000000001,40.7395105453,80.3278183458
0.96,40.5303059364,79.1682811992
0.97,40.4519062288,78.8206047425
0.98,40.4718799437,78.4817298693
0.99,38.4416990215,77.4479727979
1,36.2665144116,75.3880501323
1.01,33.1074065492,72.3377642904
1.02,29.1692886504,68.5872677796
1.03,--undefined--,64.4326721028
1.04,--undefined--,60.3687833497
1.05,--undefined--,58.1339652003
1.06,--undefined--,59.248452534
1.07,--undefined--,62.4396467045
1.08,--undefined--,66.0426247656
1.09,--undefined--,70.1223646134
1.1,--undefined--,74.6927386374
1.11,40.7833408579,78.8948255127
1.12,40.7146683957,81.9116603172
1.1300000000000001,40.5569561425,83.4088087664
1.1400000000000001,40.2829289877,83.3411907669
1.1500000000000001,39.7325677784,81.9901026939
1.16,38.2159726054,80.2121425771
1.17,37.1173291778,79.1428368136
1.18,36.8544549702,79.4832877843
1.19,36.2562583717,81.3337521975
1.2,36.0321968924,83.9517881532
1.21,36.2831010364,86.0398573921
1.22,36.4087734083,86.7498742353
1.23,36.3689687423,85.8776283449
1.24,36.2558277504,83.4705944886
1.25,36.0054125761,79.6082836245
1.26,33.614057856,74.4447586785
1.27,29.7752065339,68.4002182445
1.28,--undefined--,62.201439679
1.29,--undefined--,56.7988210105
1.3,--undefined--,53.5795620066
1.31,--undefined--,53.3619720395
1.32,--undefined--,55.3070591205
1.33,--undefined--,59.0064847694
1.34,--undefined--,64.5771717289
1.35,36.4781039379,70.4716781213
1.36,36.1751627447,74.9452529384
1.37,34.9065575436,77.6939470412
1.3800000000000001,34.2855884299,79.3113969058
1.3900000000000001,34.8558277487,80.6357343642
1.4000000000000001,35.6957834953,82.1394221271
1.41,36.6611485165,83.6976482409
1.42,37.726729696,85.0174440555
1.43,38.5491731941,86.0217594554
1.44,38.9463034014,86.8050912831
