time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,--undefined--
0.06,--undefined--,--undefined--
0.07,--undefined--,55.3104402678
0.08,--undefined--,52.1949535217
0.09,--undefined--,50.086922725
0.1,--undefined--,49.0200263055
0.11,--undefined--,48.4184493927
0.12,--undefined--,47.7483963582
0.13,--undefined--,46.7825052618
0.14,--undefined--,45.7663326326
0.15,--undefined--,45.1320318318
0.16,--undefined--,44.7177341062
0.17,--undefined--,43.8915586004
0.18,--undefined--,42.5457224278
0.19,--undefined--,41.4159803972
0.2,--undefined--,41.279163407
0.21,--undefined--,42.0126123384
0.22,--undefined--,42.9095940635
0.23,--undefined--,43.4042494638
0.24,--undefined--,43.4158471513
0.25,--undefined--,43.8637294601
0.26,--undefined--,47.3200723023
0.27,--undefined--,55.145501949
0.28,--undefined--,64.1773533846
0.29,--undefined--,71.9452494847
0.3,--undefined--,77.8741648204
0.31,--undefined--,81.9467359787
0.32,--undefined--,84.3611538215
0.33,--undefined--,85.4445153688
0.34,--undefined--,85.4956489685
0.35000000000000003,41.2134621442,84.6456337905
0.36,42.2245199849,82.8970427021
0.37,43.0796660577,80.2896012654
0.38,43.4368623966,77.2133065991
0.39,43.9528534997,74.8725373324
0.4,44.4924455982,75.0173974583
0.41000000000000003,46.0641415316,78.1922479279
0.42,48.6382961997,82.8235301176
0.43,49.6714690836,86.9797194741
0.44,49.6124144146,89.8395117411
0.45,49.4620237447,91.3851434113
0.46,49.2802979689,91.8828859754
0.47000000000000003,48.9559548836,91.5640385838
0.48,47.2956717614,90.5036268718
0.49,46.266242338,88.8217820669
0.5,45.6081104084,87.075555386
0.51,44.9618732503,86.2013293234
0.52,44.5913992169,86.424979231
0.53,44.2858452064,86.874863168
0.54,43.4678706236,86.8652314498
0.55,42.2992834814,86.1998240958
0.56,41.1788939818,84.5254062825
0.5700000000000001,39.9435134587,81.2588793136
0.58,--undefined--,76.2662050409
0.59,--undefined--,70.810703887
0.6,--undefined--,67.5879393726
0.61,--undefined--,67.5667598995
0.62,--undefined--,69.7904832841
0.63,--undefined--,74.5813424325
0.64,36.89327368,80.9514968825
0.65,36.941639613,86.3918757738
0.66,36.6652640004,89.7749450928
0.67,35.8839487166,91.0703481295
0.68,35.1065983817,90.6964002625
0.6900000000000001,34.5039767799,89.3605460243
0.7000000000000001,34.051882701,87.938903529
0.71,33.7242504835,87.035005773
0.72,33.4927228162,86.5059405263
0.73,33.3377580172,85.6031505853
0.74,33.2330428686,83.5116146766
0.75,33.1380231528,79.6972096987
0.76,33.1825724086,74.1623150736
0.77,--undefined--,68.1242446526
0.78,--undefined--,64.9154103882
0.79,--undefined--,67.699234373
0.8,29.9843905865,73.9834613574
0.81,29.8830272804,79.5907549523
0.8200000000000001,29.7430274222,83.260045047
0.8300000000000001,29.5205409282,85.2758407034
0.84,28.5670872239,86.4465303318
0.85,27.9716371316,87.3975257804
0.86,27.7288902235,88.0293937758
0.87,27.4698057003,87.8666054335
0.88,27.2381973022,86.5591423092
0.89,27.0249600258,84.0316859452
0.9,26.5389788257,80.8129948162
0.91,25.7990363427,78.4842226154
0.92,25.4287561526,78.3874693844
0.93,25.2470592938,79.4148914327
0.9400000000000001,25.0465130839,79.9740787013
0.9500000000000001,24.9006784172,79.4732047109
0.96,24.1069445178,77.6883940405
0.97,22.3527476475,74.4570489932
0.98,21.644929162,69.8476161839
0.99,--undefined--,64.4982468589
1,--undefined--,59.853253463
1.01,--undefined--,57.5139609034
1.02,--undefined--,57.6242898503
1.03,--undefined--,59.1372497192
1.04,--undefined--,61.1391717088
1.05,--undefined--,63.0758219483
1.06,--undefined--,65.7123391115
1.07,--undefined--,70.4346541695
1.08,--undefined--,75.9799911133
1.09,--undefined--,80.3981349438
1.1,--undefined--,83.2967846616
1.11,--undefined--,84.9408598108
1.12,18.0711877427,85.545950552
1.1300000000000001,17.6814499734,85.1664366432
1.1400000000000001,17.2136050449,83.9618185647
1.1500000000000001,16.7274568021,82.4010942984
1.16,16.5027902687,80.9871854602
1.17,16.3875338038,79.6745057118
1.18,16.1021298998,77.88024048
1.19,15.759828608,75.1772708725
1.2,14.5582059313,71.8137289766
1.21,13.7700511037,68.6370277198
1.22,13.417831841,66.3154467919
1.23,13.2587086245,64.942191186
1.24,13.1950003206,64.480399294
1.25,13.2365578456,64.6557248464
1.26,13.3957972048,64.9698025759
1.27,13.5086036609,65.1568504253
1.28,13.4260125895,65.1376281089
1.29,12.976366409,64.7357654708
1.3,12.6171532874,63.7045956733
1.31,12.3206479042,62.0895808098
1.32,12.2675169186,60.4839402712
1.33,12.403893043,59.82909516
1.34,12.7271665632,60.5032523577
1.35,12.9115336432,61.7507646169
1.36,12.7385813583,62.6132128994
1.37,12.3192176531,62.7197867173
1.3800000000000001,11.5408788451,62.2651254549
1.3900000000000001,--undefined--,61.7632546784
1.4000000000000001,--undefined--,61.7033792736
1.41,--undefined--,62.3082562069
1.42,--undefined--,63.3266020064
1.43,--undefined--,63.97425782
1.44,--undefined--,63.6884326679
1.45,--undefined--,63.3215327418
