time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,--undefined--
0.06,--undefined--,--undefined--
0.07,--undefined--,35.3077289529
0.08,--undefined--,39.0190731081
0.09,--undefined--,40.3754577336
0.1,--undefined--,39.7753545487
0.11,--undefined--,37.3338198437
0.12,--undefined--,33.7824828768
0.13,--undefined--,32.1764510365
0.14,--undefined--,36.0906193435
0.15,--undefined--,43.4191872487
0.16,--undefined--,50.1370494417
0.17,52.2037135025,55.2582651375
0.18,52.3825126077,58.7542026327
0.19,52.0945161223,60.6870217566
0.2,51.4716741897,61.2092273587
0.21,51.1528497701,60.8808278627
0.22,54.1286593827,60.6803200777
0.23,55.4499918758,61.1749760886
0.24,56.3475276176,62.0589128274
0.25,57.190424371,63.0854415153
0.26,57.8520420491,64.5996721785
0.27,57.4591934564,66.8976758655
0.28,56.8416940722,69.6690425975
0.29,56.4257849757,72.4281167325
0.3,56.2059439244,75.0025788912
0.31,56.2778051408,77.3651828305
0.32,56.7793051902,79.4150928177
0.33,57.6485420875,80.9885697606
0.34,58.8145759186,81.9557878713
0.35000000000000003,60.3152491562,82.2513567638
0.36,62.0370420353,81.8419392705
0.37,64.1390941741,80.7618762475
0.38,67.3600288643,79.1764922197
0.39,70.7206231216,77.2332680934
0.4,73.3552950952,74.7669257926
0.41000000000000003,75.2458752963,71.3241627152
0.42,77.2484555237,66.5410414539
0.43,80.0333093354,60.4285475724
0.44,--undefined--,53.6825113773
0.45,--undefined--,49.1803641043
0.46,--undefined--,50.6013458176
0.47000000000000003,--undefined--,55.518131571
0.48,--undefined--,59.1373548491
0.49,--undefined--,60.7868006138
0.5,--undefined--,61.1524447035
0.51,--undefined--,61.1586206346
0.52,--undefined--,61.1857164786
0.53,--undefined--,60.7792777871
0.54,--undefined--,59.3137211458
0.55,--undefined--,56.5497421208
0.56,--undefined--,53.487258764
0.5700000000000001,--undefined--,53.3131549128
0.58,86.68978321,57.3219912015
0.59,86.8451464688,61.6097360631
0.6,85.1687364187,64.0221366143
0.61,81.4415455566,64.7633728274
0.62,77.771108549,64.5932733391
0.63,73.6104343472,64.2764034829
0.64,71.6957238233,64.2019830252
0.65,70.2374021425,64.606466513
0.66,68.4730946969,65.9760352455
0.67,65.8966736408,68.3889652627
0.68,64.4813450224,70.8450241825
0.6900000000000001,62.8233516844,72.310147503
0.7000000000000001,57.9190891217,72.7197696502
0.71,56.2181376598,72.7842509656
0.72,55.4117882184,73.1436981253
0.73,54.6790297009,73.6337582391
0.74,54.2396085364,73.6564083598
0.75,53.9637575624,72.9222264418
0.76,53.6612537708,71.5245483668
0.77,53.1575076344,69.5941505969
0.78,52.4777003713,67.0743353228
0.79,52.0100185691,64.0341121141
0.8,52.3335402354,61.1647375647
0.81,52.4728669288,59.3527127129
0.8200000000000001,52.3587388669,58.5911575715
0.8300000000000001,52.1960342861,58.2619958003
0.84,51.9612627722,58.0916920435
0.85,51.7307652799,58.0771784389
0.86,51.5786505232,58.2149807329
0.87,51.4336167639,58.4720027585
0.88,51.2539230732,58.8018203616
0.89,51.1558704987,59.1969908508
0.9,51.1914013962,59.9660975883
0.91,51.3946352373,61.8802969674
0.92,51.9248688033,65.1178194696
0.93,52.5649509356,68.3948762853
0.9400000000000001,53.1425889064,70.4265543339
0.9500000000000001,53.7034070675,70.9259333431
0.96,54.420261641,70.2590101009
0.97,55.3019525996,69.0704721879
0.98,56.1697080135,67.9727181263
0.99,56.8888993553,67.2625191178
1,57.2597116578,66.8203750512
1.01,57.3392145567,66.2778057038
1.02,57.2535922486,65.3285275485
1.03,57.0711873555,63.9107183617
1.04,56.8169566877,62.1535473625
1.05,56.3648804401,60.221288846
1.06,54.4054058111,58.287898551
1.07,52.8586361113,56.6473755699
1.08,52.3057061784,55.5938002093
1.09,50.6933689386,55.2071276888
1.1,50.5526999692,55.6697213205
1.11,50.754678506,57.4316443777
1.12,53.170371083,60.3261786715
1.1300000000000001,55.5706265255,63.3184593615
1.1400000000000001,56.33430671,65.5737620918
1.1500000000000001,56.2438328994,66.8350222004
1.16,55.2724855226,67.0968520481
1.17,54.0661770981,66.3861394223
1.18,52.968845123,64.7684405144
1.19,51.1572315658,62.5377519611
1.2,48.9381962827,60.3970667774
1.21,48.378369276,59.1150202459
1.22,48.5129477469,58.772490421
1.23,48.4591239499,58.8742817934
1.24,48.2097268958,59.0390790605
1.25,48.1178570049,58.9296292324
1.26,47.8897138441,58.1080425845
1.27,46.882602187,56.3864323821
1.28,44.9665499545,54.1998477721
1.29,43.2330085349,52.4896021807
1.3,42.4801497491,52.0639378163
1.31,42.2483259985,53.5954625602
1.32,42.7347031721,57.6863249914
1.33,43.9832257194,63.2534246656
1.34,44.8174281227,68.1340647022
1.35,45.2734654399,71.4018815176
1.36,45.3796997204,73.1007421859
1.37,45.2235443798,73.6292920675
1.3800000000000001,45.1253441563,73.5385976139
1.3900000000000001,45.0143013995,73.3742023715
1.4000000000000001,44.7168598404,73.4328064822
1.41,44.366968609,73.6636857408
1.42,44.0270178354,73.8932537526
1.43,43.6182818296,74.0558676465
