time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,8.04157703573
0.06,--undefined--,21.6827089875
0.07,--undefined--,30.6159337053
0.08,--undefined--,37.0705877075
0.09,--undefined--,42.6425635211
0.1,--undefined--,47.9246198109
0.11,--undefined--,53.136618114
0.12,--undefined--,57.5570956987
0.13,--undefined--,60.9772670961
0.14,--undefined--,65.6938242714
0.15,43.902974455,71.0405145493
0.16,43.8319073364,74.9476404626
0.17,43.7274298389,77.2329035161
0.18,77.6965508406,77.6648608408
0.19,97.5356582318,77.9479196508
0.2,93.8282706409,79.5320916606
0.21,78.7895441999,81.5991030444
0.22,70.5784896587,84.1335684752
0.23,72.6505749775,86.0256971342
0.24,75.0417073218,86.761007531
0.25,76.9301528458,86.7952226511
0.26,78.1227466321,86.4772809143
0.27,78.8030639306,86.5834523312
0.28,79.0428436636,86.6507673663
0.29,79.0450843435,86.3915682167
0.3,79.0739015239,86.5874940261
0.31,79.1608811827,86.7960221054
0.32,78.9911617155,86.9905983541
0.33,78.3137015859,87.362566169
0.34,77.3249702736,87.8680368982
0.35000000000000003,76.3040880868,87.8912990964
0.36,75.2617740618,87.0377374133
0.37,48.2106200268,86.5381008958
0.38,30.1293127245,86.6115905412
0.39,29.5249507698,86.861345293
0.4,28.6571731027,87.4750166753
0.41000000000000003,18.5330722325,87.4721279226
0.42,11.8082002844,86.4467380159
0.43,11.5393152103,85.4534267382
0.44,20.602125425,85.0733311944
0.45,37.8505711132,84.3270409877
0.46,44.6334625151,82.2242592808
0.47000000000000003,76.0761450308,79.5142440796
0.48,97.6620278265,77.0111102894
0.49,97.9489646045,74.7591249529
0.5,--undefined--,73.1529333222
0.51,--undefined--,74.6922173186
0.52,--undefined--,78.2579920096
0.53,--undefined--,78.4794000462
0.54,--undefined--,75.1179353139
0.55,--undefined--,70.9282230092
0.56,--undefined--,67.9134181435
0.5700000000000001,--undefined--,68.3558818179
0.58,--undefined--,71.0534491166
0.59,--undefined--,71.7258789419
0.6,--undefined--,70.7743955488
0.61,--undefined--,69.9647251621
0.62,--undefined--,68.1527219347
0.63,--undefined--,65.1215715082
0.64,--undefined--,64.2563745188
0.65,--undefined--,70.3049249481
0.66,--undefined--,77.5682866989
0.67,63.3176413049,83.7938150954
0.68,63.8588586965,90.007365421
0.6900000000000001,64.4996930471,93.4754983838
0.7000000000000001,64.2435740034,92.5894107588
0.71,63.7227552417,89.2071959538
0.72,63.5732314012,87.4406284133
0.73,63.367467812,87.6018243948
0.74,62.8907841581,88.0238159378
0.75,62.3555317946,88.5095128995
0.76,62.0331719169,89.0367946911
0.77,62.0849003419,89.6046568626
0.78,62.2828125939,90.000974116
0.79,62.4244245703,89.6703298399
0.8,62.6772781725,88.3120630898
0.81,62.9900489689,87.3303352932
0.8200000000000001,63.2835100633,87.9495508435
0.8300000000000001,63.665456036,89.37247192
0.84,64.0241657183,91.0845637991
0.85,64.2384142944,92.2698988257
0.86,64.3578531216,92.6183415625
0.87,64.4044255759,92.559796142
0.88,64.3299568065,92.3996439709
0.89,64.2112550619,92.1721662352
0.9,64.1915463269,91.8448397421
0.91,64.2556445917,91.4780167999
0.92,64.2457745521,91.0083329265
0.93,64.1922793458,90.3415228185
0.9400000000000001,64.1615869636,89.8394564666
0.9500000000000001,64.1425079661,89.603503895
0.96,64.1042742045,89.2972878804
0.97,63.9621390241,89.0576087956
0.98,63.7457927118,88.9740000144
0.99,63.6454095633,88.9389364093
1,63.7176680041,89.2930522862
1.01,63.8393682469,90.1736691071
1.02,63.7879258028,91.3731556679
1.03,63.6388846399,92.4571053645
1.04,63.6892785386,92.7356830071
1.05,63.837224357,92.0638988818
1.06,63.9997514142,90.7565626179
1.07,64.2271890437,88.612795124
1.08,64.3538055583,85.4773224584
1.09,64.3413225709,82.2697702486
1.1,64.2125100955,79.7668384696
1.11,64.0043707822,77.7983640204
1.12,63.9254313205,76.195366089
1.1300000000000001,64.0232126964,74.9200518294
1.1400000000000001,64.1749261201,74.0196826778
1.1500000000000001,64.3956494366,73.4732552619
1.16,64.8290331107,73.0502842092
1.17,65.4849541184,73.3536130033
1.18,65.9007576866,75.4595738781
1.19,64.8636545788,77.5311387966
1.2,62.0688362881,77.0245216257
1.21,57.1708712641,73.6630096494
1.22,53.3810686755,68.339996695
1.23,51.9600864327,61.5429582145
1.24,--undefined--,53.4801254365
1.25,--undefined--,46.8131203262
1.26,--undefined--,45.2123218171
1.27,--undefined--,44.6226024085
1.28,--undefined--,43.2542870131
1.29,--undefined--,43.2345378823
1.3,--undefined--,45.8424772936
1.31,--undefined--,49.7514315798
1.32,--undefined--,53.6182882219
1.33,--undefined--,59.0250237326
1.34,--undefined--,66.7985261693
1.35,--undefined--,71.9707377259
1.36,--undefined--,71.0597543716
1.37,--undefined--,64.4698058679
1.3800000000000001,--undefined--,57.4271555323
1.3900000000000001,--undefined--,57.1702674244
1.4000000000000001,--undefined--,60.4831985836
1.41,--undefined--,63.5663846922
1.42,--undefined--,66.7353024863
1.43,--undefined--,72.5954229805
1.44,58.5652332729,80.6948551189
