time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,--undefined--
0.06,--undefined--,39.4777699737
0.07,--undefined--,39.9428566517
0.08,--undefined--,41.0229215187
0.09,--undefined--,43.2392871022
0.1,--undefined--,46.2448232717
0.11,--undefined--,48.4781833758
0.12,--undefined--,48.9153104525
0.13,--undefined--,47.7488761236
0.14,--undefined--,46.1617461504
0.15,--undefined--,46.2991096709
0.16,--undefined--,51.0561675946
0.17,--undefined--,59.8265011675
0.18,--undefined--,68.7914865362
0.19,40.1296963011,76.0124075193
0.2,40.7944602951,81.4884536495
0.21,41.8628001301,85.4518334134
0.22,42.9940163828,88.0479004355
0.23,44.4797105087,89.4745679178
0.24,45.7233634348,90.1706251232
0.25,46.7078296022,90.7395222733
0.26,47.7745576462,91.3807659468
0.27,48.580843849,91.5561683894
0.28,49.1613467147,90.5869346874
0.29,49.6534342122,88.3964581396
0.3,49.4062796987,85.5481807642
0.31,48.1797791376,82.8129292096
0.32,47.0999372782,81.4792404091
0.33,46.8817028209,82.7985205692
0.34,49.0543815862,85.7219596043
0.35000000000000003,50.9014100978,88.1502062266
0.36,50.6471926212,89.4726777081
0.37,50.2298824014,90.1719905141
0.38,50.0134017509,90.7160828253
0.39,49.9487997772,91.1349445373
0.4,49.842455906,91.0845088723
0.41000000000000003,49.6037038922,89.9496230237
0.42,49.2185357561,87.0204041854
0.43,47.9522889816,81.8292823028
0.44,--undefined--,74.9881115769
0.45,--undefined--,69.5646721594
0.46,--undefined--,67.7321270157
0.47000000000000003,--undefined--,67.9343802331
0.48,--undefined--,68.9271406799
0.49,45.583505339,70.8040738425
0.5,45.5388394322,73.1812803163
0.51,45.5802339995,75.8866055714
0.52,46.1473839209,79.1279659965
0.53,46.955123024,82.8024562645
0.54,47.4111906983,86.456765877
0.55,47.3885458186,89.4451567122
0.56,47.0191314081,91.0467017832
0.5700000000000001,46.5165696399,90.6812019072
0.58,45.6641039138,88.0193292734
0.59,45.6185392832,83.0515447442
0.6,45.8380073591,76.5343307687
0.61,--undefined--,70.7095048686
0.62,--undefined--,67.6699134009
0.63,--undefined--,66.927911593
0.64,--undefined--,67.0674095415
0.65,48.9394337925,68.192244236
0.66,50.1600705463,71.2939681254
0.67,51.789976221,75.9336235212
0.68,52.4021486578,80.2806721938
0.6900000000000001,52.5176991637,83.0317069353
0.7000000000000001,52.4878792996,83.7855681381
0.71,52.33117145,82.6245773685
0.72,51.6676238102,80.2954685315
0.73,50.7953651994,78.875522205
0.74,50.2862523037,80.1791113864
0.75,50.0528308182,83.1256526938
0.76,49.8672174108,85.4814544696
0.77,49.5583647716,86.3433669189
0.78,49.001687898,85.9825977615
0.79,48.2383769575,85.3574470967
0.8,47.3321854902,85.3731365227
0.81,46.4742741,85.9606346402
0.8200000000000001,45.819424886,86.2925650417
0.8300000000000001,45.2914904745,85.6523257789
0.84,44.8117920349,83.716012891
0.85,44.3713736245,80.4550316696
0.86,41.9523913129,76.1499521921
0.87,37.2308753623,71.6148997767
0.88,33.8708055376,68.4464321615
0.89,--undefined--,67.9837890495
0.9,--undefined--,69.3581425901
0.91,--undefined--,70.4286256227
0.92,--undefined--,70.0329651172
0.93,--undefined--,68.5252133731
0.9400000000000001,--undefined--,68.3181202508
0.9500000000000001,38.8865845164,72.0300911876
0.96,40.0325432856,78.4855361172
0.97,41.7738087754,84.5303099547
0.98,43.2705752118,88.5140586563
0.99,44.2317662136,90.189345365
1,44.1258948553,90.4541517493
1.01,43.3399542583,91.1241584608
1.02,42.6235776016,92.959679304
1.03,42.2193730218,94.887256843
1.04,41.7612855647,95.7974056094
1.05,41.3053937305,95.2814869281
1.06,41.1111872871,93.0777742016
1.07,41.1320639307,88.9375908501
1.08,40.7379999307,83.2491500452
1.09,--undefined--,78.2639971398
1.1,--undefined--,76.0601886786
1.11,--undefined--,75.37301891
1.12,--undefined--,74.271835433
1.1300000000000001,--undefined--,72.7413926689
1.1400000000000001,--undefined--,71.4485080138
1.1500000000000001,--undefined--,70.5982914921
1.16,--undefined--,69.9252980519
1.17,--undefined--,69.5738453616
1.18,--undefined--,70.870335844
1.19,44.7302443388,74.5980546981
1.2,44.6481716188,79.2569414586
1.21,44.4311835821,83.0056277774
1.22,43.9237393703,85.1971595365
1.23,42.5640619834,85.7193238707
1.24,41.4440393754,84.5010346649
1.25,41.0522614047,81.677522429
1.26,--undefined--,78.2754911385
1.27,--undefined--,76.100782785
1.28,--undefined--,75.4953103708
1.29,--undefined--,74.9556251509
1.3,--undefined--,73.2831847007
1.31,--undefined--,70.2347753319
1.32,--undefined--,66.7359949315
1.33,--undefined--,66.7337567547
1.34,42.7702995136,71.9192211306
1.35,42.5972293877,78.2579019873
1.36,42.339319609,82.7753483036
1.37,41.4023432274,85.7387489957
1.3800000000000001,40.0915391238,87.8636440896
1.3900000000000001,39.0543857495,89.0453740641
1.4000000000000001,38.3639496142,88.4554140181
1.41,38.035447741,85.2805703171
1.42,37.9361553016,78.9984606433
1.43,31.9965554744,69.5026242956
1.44,26.5181885723,59.0734423182
