time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,59.9954533418
0.06,--undefined--,59.805072006
0.07,--undefined--,59.4251054292
0.08,--undefined--,58.7871206489
0.09,--undefined--,58.9888766701
0.1,--undefined--,65.155988676
0.11,--undefined--,75.5340355022
0.12,--undefined--,81.0066148541
0.13,--undefined--,82.2934247711
0.14,--undefined--,80.4814484114
0.15,--undefined--,78.0542355439
0.16,--undefined--,76.6166941757
0.17,--undefined--,74.1174909156
0.18,--undefined--,71.156875264
0.19,--undefined--,69.7273662497
0.2,--undefined--,68.9635395348
0.21,--undefined--,68.1577160962
0.22,--undefined--,67.5076936908
0.23,--undefined--,66.5883672863
0.24,--undefined--,65.3376729787
0.25,--undefined--,64.6691024853
0.26,--undefined--,64.5119944894
0.27,--undefined--,63.3985502464
0.28,--undefined--,61.7604908798
0.29,--undefined--,60.8090496299
0.3,--undefined--,60.0392921873
0.31,--undefined--,59.0136080038
0.32,--undefined--,58.242233724
0.33,--undefined--,57.8472880138
0.34,--undefined--,57.3866321718
0.35000000000000003,--undefined--,56.5881309893
0.36,--undefined--,55.5175994124
0.37,--undefined--,54.7458003186
0.38,--undefined--,54.6956327718
0.39,--undefined--,54.6168858026
0.4,--undefined--,53.5718002414
0.41000000000000003,--undefined--,52.6547609011
0.42,--undefined--,57.2411952026
0.43,--undefined--,70.3561098611
0.44,--undefined--,79.538551909
0.45,--undefined--,84.7675468853
0.46,23.2475808042,87.47981067
0.47000000000000003,23.5579838222,88.9431076811
0.48,23.9199309416,90.1163165638
0.49,24.1525012825,91.2109161808
0.5,24.2465819151,92.0536988148
0.51,24.4300736548,92.6003890448
0.52,24.7203721477,93.0851452144
0.53,25.0966665747,93.7346217475
0.54,25.4722734845,94.2351873003
0.55,25.7781075471,94.0201081357
0.56,25.9617685819,93.2451328361
0.5700000000000001,25.9775137343,92.924141642
0.58,25.8570652004,93.4148722536
0.59,25.8937207857,93.8470423476
0.6,26.1495714891,93.7404419794
0.61,26.3205247777,93.1618967999
0.62,26.2530983941,92.5893073819
0.63,26.0590541316,92.5062841276
0.64,25.7604847243,92.8169088071
0.65,25.4782356324,93.2919529616
0.66,25.3249070396,93.8943557038
0.67,25.3003430804,94.5000554374
0.68,25.3479778507,94.8922441956
0.6900000000000001,25.468150478,94.903559085
0.7000000000000001,25.6721304511,94.4949372226
0.71,25.9114014271,93.9852361876
0.72,26.0070708858,94.0398970449
0.73,25.9301262574,94.7005245374
0.74,25.7407990269,95.0324595856
0.75,25.3121052752,94.6322161642
0.76,24.9883632167,94.2346334788
0.77,24.9223637848,94.5922599665
0.78,24.9868642566,95.2547601448
0.79,25.0338039586,95.7149446009
0.8,24.9858754703,95.9113786557
0.81,24.820939606,95.9355126647
0.8200000000000001,24.6894926173,95.9318365113
0.8300000000000001,24.671630926,95.9207650339
0.84,24.8039323531,95.9390444975
0.85,25.0163319707,95.9936460244
0.86,25.2937168738,96.0561819475
0.87,25.6202631485,96.1626160079
0.88,25.8959721676,96.068503166
0.89,25.9234273667,95.4198898907
0.9,25.6641671423,94.4061857128
0.91,25.330434743,93.6555215127
0.92,25.2155970447,93.0633475029
0.93,25.1990490277,91.5067755722
0.9400000000000001,24.7369937045,88.415354283
0.9500000000000001,24.4955847242,84.7360251683
0.96,24.7402759759,82.6493225434
0.97,24.9889056461,82.9211354051
0.98,25.6030665924,84.5253653384
0.99,28.0368988373,86.6985667177
1,30.4770316034,88.9100041561
1.01,33.4742709721,91.5183176087
1.02,35.6139997811,94.5516810881
1.03,36.863296123,96.8028265674
1.04,38.2619021782,97.7034427949
1.05,40.3178621754,97.58205737
1.06,42.5135745414,96.9165467946
1.07,43.9562519366,95.9255605912
1.08,44.470375662,94.3802227955
1.09,44.5613280128,92.5595042131
1.1,46.9947141573,93.0029762586
1.11,47.348815489,96.0394980027
1.12,46.3996176606,97.4500328474
1.1300000000000001,45.4122993165,96.3299954336
1.1400000000000001,44.518097011,92.7444308314
1.1500000000000001,40.9640280943,87.7519544526
1.16,31.6788724613,84.4015441642
1.17,27.8816160349,83.5019589955
1.18,26.1505038009,82.1044908944
1.19,24.7984980018,79.8884151896
1.2,25.3816400256,78.8279626305
1.21,30.854479467,82.185727461
1.22,33.468073037,87.5965121885
1.23,33.9363834649,91.5379691131
1.24,33.1970172316,94.2840031561
1.25,31.7226498104,96.0892728877
1.26,30.6292013364,96.8087226753
1.27,29.3513321611,96.3589371216
1.28,28.1172749035,94.8012101049
1.29,27.6572535653,92.0355644205
1.3,26.8943691078,87.885093117
1.31,23.4368752095,83.2076005934
1.32,21.9506339786,80.1718738255
1.33,19.2057773216,79.2051479454
1.34,17.8843250774,78.7237461689
1.35,16.2354143873,78.115689046
1.36,15.2451785205,77.2132062898
1.37,14.2109923857,76.6222328504
1.3800000000000001,14.2907048716,77.8132665087
1.3900000000000001,15.8832962758,80.8306993103
1.4000000000000001,16.2708533636,84.1053052041
1.41,15.9758809136,86.5759636328
1.42,15.3933448003,87.9292421793
1.43,14.9328066399,88.3343086485
1.44,14.5805790978,88.249324826
