time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,--undefined--
0.06,--undefined--,--undefined--
0.07,--undefined--,55.4391389557
0.08,--undefined--,63.5730573286
0.09,--undefined--,74.030440721
0.1,--undefined--,81.4996706539
0.11,--undefined--,86.0650245296
0.12,44.423875643,88.5238750169
0.13,45.369508783,89.5222269018
0.14,46.5627904941,89.2095291773
0.15,47.213715306,87.4834334194
0.16,46.2876609256,84.9729639871
0.17,45.7048160828,83.4600499185
0.18,46.0226142805,83.9015534009
0.19,46.1021313826,85.1003402806
0.2,46.2101846205,86.1786983504
0.21,47.0666476087,87.3335993205
0.22,47.289961985,88.2826952409
0.23,47.1216434025,88.0523579794
0.24,46.8456123875,86.0814908819
0.25,46.6241289157,83.1532536007
0.26,46.8646688717,81.5981297034
0.27,45.1864360919,82.9556109419
0.28,44.8417892128,85.7691461269
0.29,44.8905420156,88.0401158572
0.3,44.9533751179,88.847642189
0.31,44.939837048,87.9471089495
0.32,44.8687553685,85.9237101909
0.33,44.712267034,84.6360139308
0.34,44.256636356,85.6989946232
0.35000000000000003,44.0793400411,87.9313115121
0.36,44.0005608653,89.1713083095
0.37,43.9158371778,88.903653122
0.38,43.5949365316,87.7895803657
0.39,42.9278852911,86.5715627111
0.4,42.4163993439,85.1581823401
0.41000000000000003,42.1463510538,82.9533453957
0.42,42.3694666119,80.1998629377
0.43,42.783440523,78.3717292987
0.44,41.8280649809,78.4276465702
0.45,41.3869871651,79.5375178658
0.46,41.4197390016,80.6637867593
0.47000000000000003,41.6411613226,81.4393498646
0.48,42.2128273531,81.8073371423
0.49,42.5868109637,81.9697554353
0.5,43.0162463961,82.311255345
0.51,43.5050602563,83.1133644962
0.52,44.1155259345,84.3582308834
0.53,44.64475803,85.8011293145
0.54,44.9518883953,87.1665329304
0.55,45.0807427725,88.2811679466
0.56,46.8621994709,88.9738737713
0.5700000000000001,47.0565489195,88.984078617
0.58,46.520346546,88.2908319059
0.59,45.8833147311,87.4387108131
0.6,45.879108036,87.0518004314
0.61,46.3434905618,87.0928134506
0.62,46.56900377,87.0411749225
0.63,46.7397409177,86.4460132181
0.64,46.9783326709,85.1400329694
0.65,47.0628470814,83.3589546187
0.66,46.95495266,81.6524910592
0.67,46.662923176,80.4112923587
0.68,46.2429735004,79.5902596945
0.6900000000000001,44.3672485787,79.113672453
0.7000000000000001,43.7303900605,79.0763889445
0.71,43.2245568959,79.2377781982
0.72,41.0337402245,78.9421560199
0.73,38.7212488465,77.9139371195
0.74,38.3699764362,76.7166598992
0.75,35.8465245811,76.0313329428
0.76,32.0725732977,75.7058740989
0.77,29.231234678,75.2285500139
0.78,28.9438092953,74.6057162121
0.79,--undefined--,74.2726503054
0.8,--undefined--,74.6548854178
0.81,--undefined--,75.8414433006
0.8200000000000001,35.0498282233,77.4632074459
0.8300000000000001,37.1622960235,78.7847208922
0.84,37.9246939696,79.0297811853
0.85,37.8223374339,77.7704275184
0.86,37.5040992777,75.2790502523
0.87,37.2374110701,72.753121877
0.88,37.1968277137,71.5712971888
0.89,36.8480107678,71.9346790386
0.9,36.5277725687,73.2260263284
0.91,36.3735068773,75.1451185937
0.92,36.2335423951,77.6934750582
0.93,34.9574857313,80.5764927215
0.9400000000000001,34.3466291702,82.9345093766
0.9500000000000001,34.1541988315,83.8936598323
0.96,34.1870251594,83.0265955785
0.97,34.2952814628,80.3884801321
0.98,34.1843341087,76.5679989755
0.99,32.2434381951,72.5062624228
1,30.4695498211,68.6706760612
1.01,30.039364663,64.6726721432
1.02,30.0651084687,60.4219021633
1.03,30.2053571945,57.4874660073
1.04,31.6623693953,59.3700530564
1.05,30.8754364117,67.1950605787
1.06,33.8682369221,76.3111273068
1.07,34.7531255158,83.3124074822
1.08,34.8520239944,87.7693109552
1.09,34.6326667286,89.8721064581
1.1,33.3735155843,89.8443669198
1.11,32.003091493,87.8286095428
1.12,31.3079897279,83.849754586
1.1300000000000001,31.5041929886,77.9522594089
1.1400000000000001,31.3938356242,70.9121486654
1.1500000000000001,26.9729755115,65.6615649471
1.16,26.9077378725,65.4996885417
1.17,29.3500530768,69.0707497371
1.18,30.8567536548,72.7164232613
1.19,31.7489304378,75.0805897817
1.2,32.1618675674,76.1502599676
1.21,32.3958556642,76.3183117887
1.22,32.7208793184,76.0296445975
1.23,33.1138879522,75.7416780945
1.24,33.6936170139,76.0561771946
1.25,33.7300191978,77.3895956143
1.26,33.433096273,79.4771087408
1.27,33.3049412485,81.622944331
1.28,33.2197546793,83.2761717312
1.29,33.080000853,84.1814389144
1.3,32.7615297022,84.3497498119
1.31,31.8740030703,84.0896726104
1.32,30.8058143829,83.9464227291
1.33,29.3595887152,84.2733001701
1.34,27.7453527402,84.6841446181
1.35,26.8525992142,84.3515450444
1.36,25.4420246638,82.8918597326
1.37,23.7773026259,80.6534386705
1.3800000000000001,22.6459550823,78.2713588665
1.3900000000000001,21.4476283234,76.1415551225
1.4000000000000001,20.025699047,74.3722798776
1.41,19.2252581051,72.7498299059
1.42,18.6606244623,70.6968306213
