time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,--undefined--
0.06,--undefined--,44.8726495476
0.07,--undefined--,44.228524064
0.08,--undefined--,42.8997080417
0.09,--undefined--,41.5402470784
0.1,--undefined--,40.6140242054
0.11,--undefined--,40.5744288975
0.12,--undefined--,42.0396770377
0.13,--undefined--,44.5197162252
0.14,--undefined--,46.4105180245
0.15,--undefined--,47.3280282547
0.16,--undefined--,48.8990885962
0.17,--undefined--,51.7893991216
0.18,--undefined--,54.2159395669
0.19,--undefined--,54.5355955471
0.2,--undefined--,52.67501184
0.21,--undefined--,49.9792293012
0.22,--undefined--,48.1563184756
0.23,--undefined--,47.2776299557
0.24,--undefined--,46.4503044746
0.25,--undefined--,45.3430034145
0.26,--undefined--,43.8790063112
0.27,--undefined--,42.0922057245
0.28,--undefined--,40.2169586695
0.29,--undefined--,38.3268905331
0.3,--undefined--,36.3791804001
0.31,--undefined--,34.5360835739
0.32,--undefined--,32.9077857623
0.33,--undefined--,31.4104696851
0.34,--undefined--,30.1038121795
0.35000000000000003,--undefined--,29.1248223865
0.36,--undefined--,28.3209193708
0.37,--undefined--,27.3304319253
0.38,--undefined--,26.0363991722
0.39,--undefined--,24.7800888663
0.4,--undefined--,23.998505747
0.41000000000000003,--undefined--,23.7826095288
0.42,--undefined--,23.8812202412
0.43,--undefined--,23.9531790105
0.44,--undefined--,23.7913515029
0.45,--undefined--,23.3725269225
0.46,--undefined--,22.8120862555
0.47000000000000003,--undefined--,22.3331194859
0.48,--undefined--,22.0117742828
0.49,--undefined--,21.5514473929
0.5,--undefined--,20.7141028761
0.51,--undefined--,19.9447696289
0.52,--undefined--,19.9492200171
0.53,--undefined--,20.5537674733
0.54,--undefined--,20.8350030963
0.55,--undefined--,20.2268945359
0.56,--undefined--,18.9808083738
0.5700000000000001,--undefined--,18.0172039885
0.58,--undefined--,18.1298617847
0.59,--undefined--,19.0033448508
0.6,--undefined--,19.598436576
0.61,--undefined--,19.2991399974
0.62,--undefined--,18.2960420501
0.63,--undefined--,17.3518994822
0.64,--undefined--,17.4190426994
0.65,--undefined--,18.6426418346
0.66,--undefined--,19.9609133928
0.67,--undefined--,20.4119172302
0.68,--undefined--,20.1271809173
0.6900000000000001,--undefined--,19.8744641511
0.7000000000000001,--undefined--,20.2719556472
0.71,--undefined--,22.2039539908
0.72,--undefined--,26.9602869144
0.73,--undefined--,34.0539927083
0.74,--undefined--,41.2924966687
0.75,--undefined--,47.3627897601
0.76,--undefined--,52.2319703731
0.77,--undefined--,56.1036433922
0.78,--undefined--,58.9074821612
0.79,--undefined--,60.7090353794
0.8,--undefined--,63.1627013426
0.81,--undefined--,68.0599360763
0.8200000000000001,34.7733374723,73.850990361
0.8300000000000001,34.6607754503,77.9634379126
0.84,34.4461479831,79.6961874294
0.85,34.285929455,79.5458722891
0.86,34.1334657356,78.9655030246
0.87,33.6863925092,79.6017729635
0.88,32.7970985302,81.2785234114
0.89,31.3775546291,82.3664667833
0.9,30.1492621895,81.7227964442
0.91,29.3747799005,79.0307583497
0.92,--undefined--,74.5586371543
0.93,--undefined--,69.308464262
0.9400000000000001,--undefined--,64.5343220338
0.9500000000000001,--undefined--,60.2521260923
0.96,--undefined--,55.2592189491
0.97,--undefined--,50.2150094997
0.98,--undefined--,53.9054035289
0.99,--undefined--,65.9959651838
1,45.5930484464,77.0989371152
1.01,45.267009103,84.7912149437
1.02,44.6992293673,89.7932613986
1.03,43.9046398912,92.750288919
1.04,42.6284267113,94.2484636872
1.05,41.6355470992,94.7514855156
1.06,41.3947908448,94.6585614354
1.07,41.5417872626,94.3509501748
1.08,41.7391315721,94.0017678213
1.09,41.8125018845,93.4617468147
1.1,41.784907644,92.4451520861
1.11,41.8702426012,90.769768726
1.12,42.2102768449,88.6708148305
1.1300000000000001,42.4280057655,87.0703387843
1.1400000000000001,42.2331467542,86.7449349035
1.1500000000000001,41.7085517975,87.1372944282
1.16,40.7743956709,86.9599951843
1.17,39.5191184541,85.3224881818
1.18,38.3468552725,81.8665589447
1.19,35.1198402571,76.7712938696
1.2,32.6488393796,71.1793736002
1.21,32.3967027361,67.1074875123
1.22,31.724825368,66.0049128003
1.23,33.4979549585,67.7120305034
1.24,35.9856463537,70.8372034216
1.25,36.5955072389,73.9832728699
1.26,36.6453562709,76.6815089465
1.27,36.4881548123,79.241090861
1.28,36.3583599984,81.9267835649
1.29,36.3126812084,84.497262234
1.3,36.3500736286,86.5869813939
1.31,36.5258524187,87.9908087096
1.32,36.7106425716,88.5080206449
1.33,36.6869911918,87.8973851136
1.34,36.4314032967,85.9554135865
1.35,36.0687782801,82.4831001807
1.36,33.8529206504,77.2452194567
1.37,31.87952481,70.159156675
1.3800000000000001,--undefined--,62.0446828517
1.3900000000000001,--undefined--,55.4712744812
1.4000000000000001,--undefined--,52.3764659723
1.41,--undefined--,51.7581902712
1.42,--undefined--,51.8939945205
1.43,--undefined--,51.9437769598
1.44,--undefined--,51.6318301109
1.45,--undefined--,52.1391171407
1.46,--undefined--,56.883906002
