time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,61.5332712534
0.06,--undefined--,62.4299039958
0.07,--undefined--,63.9944179108
0.08,--undefined--,68.5988900196
0.09,24.974603278,77.5034219893
0.1,27.6832462736,85.9048599598
0.11,29.4115376061,90.7131896854
0.12,30.7244822267,91.9773456865
0.13,32.720876724,91.1027880906
0.14,36.5882468795,90.4274926629
0.15,39.9238906177,90.5846532147
0.16,42.2481265557,90.1639936746
0.17,45.7687410685,89.2548017275
0.18,48.2498554063,88.9499645804
0.19,50.2736979178,89.1988086575
0.2,51.8285103186,89.4768254653
0.21,52.9462965459,89.6401712371
0.22,54.0172166583,89.5506763986
0.23,55.4017686378,89.0906495777
0.24,56.7097604254,88.2721001102
0.25,58.0229145387,87.3107512745
0.26,59.2501618796,86.972015035
0.27,60.4263312891,87.2628797157
0.28,61.5127382986,87.1132444991
0.29,62.1084886342,85.7137222053
0.3,61.9721530677,82.3377632663
0.31,61.2331102048,76.7994997257
0.32,61.1802673302,71.2411362426
0.33,--undefined--,69.2561870114
0.34,--undefined--,69.5073404523
0.35000000000000003,--undefined--,69.7496399468
0.36,--undefined--,70.7851002631
0.37,--undefined--,73.4876169286
0.38,--undefined--,76.7813398202
0.39,49.6126131828,78.3431509126
0.4,49.226172841,79.7921999945
0.41000000000000003,43.966934239,84.981994409
0.42,41.2932059609,91.1597539451
0.43,39.6944413693,94.8286568262
0.44,39.0030174803,95.8896640119
0.45,38.4938855641,94.9726620363
0.46,37.6761298887,93.0759345795
0.47000000000000003,36.8045077864,91.4466562144
0.48,35.9894296839,90.2443802
0.49,35.2466158258,88.2848107538
0.5,34.2632403222,84.854510854
0.51,30.671084516,80.956291867
0.52,29.2189530202,78.5487107671
0.53,25.9264555257,77.6337371827
0.54,25.6667590016,77.5260387694
0.55,28.676328129,79.5704570457
0.56,34.1579505538,85.8363466051
0.5700000000000001,36.8735828271,92.8283295929
0.58,39.7452811904,96.9044487103
0.59,43.1368360106,98.0609616331
0.6,45.9671212419,97.6972006703
0.61,48.2728999332,97.0327179801
0.62,49.9197672247,96.3619126602
0.63,51.103559032,95.8257323628
0.64,51.849400476,95.4014455107
0.65,52.2991293457,94.664158502
0.66,52.6204500159,93.30225779
0.67,52.8146965078,91.5063062822
0.68,52.7892481055,89.8730438007
0.6900000000000001,52.5310286316,89.0161983033
0.7000000000000001,52.0206962931,89.2672754011
0.71,51.1664038064,90.2887558769
0.72,49.939001934,91.2620397761
0.73,48.301387342,91.6224966115
0.74,46.347476275,91.1762419249
0.75,44.2658996702,89.8498770948
0.76,42.1365181363,87.9515946487
0.77,40.4114117573,86.0463316865
0.78,39.34344465,84.2881830932
0.79,38.2357750354,83.998519724
0.8,36.9925262489,86.0435909435
0.81,36.0966276796,88.217916766
0.8200000000000001,35.5078038375,89.7008135887
0.8300000000000001,35.2586700694,90.7692210572
0.84,35.2918610722,91.6601059429
0.85,35.5792010308,92.6302448478
0.86,37.1258977842,94.1038160812
0.87,39.3819554586,95.8943803475
0.88,41.2463201813,97.0260470989
0.89,43.3434994611,97.032492789
0.9,45.818161638,96.1498894045
0.91,49.6998777161,95.3773166996
0.92,52.2620471337,95.383063602
0.93,53.7195131292,95.2900975204
0.9400000000000001,54.3674214624,94.8019057814
0.9500000000000001,54.4795429864,94.264104753
0.96,54.3729729971,93.7194564059
0.97,54.1250667253,93.2942589867
0.98,53.6036574739,92.951348588
0.99,52.681096194,91.9874534978
1,50.8339176968,90.0611355859
1.01,48.5807238929,88.0442655584
1.02,--undefined--,86.5875465064
1.03,--undefined--,84.9128971985
1.04,--undefined--,82.4831359315
1.05,--undefined--,79.5014273769
1.06,--undefined--,76.0678141275
1.07,--undefined--,72.6607582989
1.08,--undefined--,70.9284443727
1.09,--undefined--,72.5885927212
1.1,--undefined--,77.8964195166
1.11,--undefined--,82.8281665411
1.12,--undefined--,85.236376774
1.1300000000000001,--undefined--,85.8581245652
1.1400000000000001,--undefined--,85.7687184845
1.1500000000000001,--undefined--,85.424996023
1.16,--undefined--,85.0164333304
1.17,--undefined--,84.3605272044
1.18,--undefined--,83.9177686575
1.19,--undefined--,84.2883245753
1.2,--undefined--,84.3746341673
1.21,--undefined--,83.1473040042
1.22,--undefined--,80.2238680012
1.23,--undefined--,76.1669439322
1.24,--undefined--,71.8058878674
1.25,--undefined--,66.9801210361
1.26,--undefined--,63.5278744107
1.27,--undefined--,64.3264859441
1.28,--undefined--,66.8958431955
1.29,--undefined--,67.1333681964
1.3,--undefined--,65.6063522171
1.31,--undefined--,68.5019232864
1.32,23.4337128643,78.0263237325
1.33,24.2026901202,86.1218984224
1.34,25.34425881,91.4062104101
1.35,26.6137004219,94.5825724784
1.36,28.0268372581,96.1883040564
1.37,30.5710406596,96.2977309742
1.3800000000000001,32.7031079759,94.8729187845
1.3900000000000001,37.1553589241,92.802478494
1.4000000000000001,40.5848759917,92.1865591619
1.41,42.8265370707,93.0505813023
1.42,45.0638483772,93.2511654704
1.43,47.7705006546,92.7527300313
1.44,49.8358079635,92.6186761892
