time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,76.1688913647
0.06,--undefined--,79.5436001785
0.07,--undefined--,82.9321391173
0.08,28.1640579117,85.8776927299
0.09,28.1299547045,89.529498471
0.1,27.7968732659,91.7960204106
0.11,26.5013630563,91.7045901614
0.12,23.9414737517,90.4186201918
0.13,22.6583671159,90.6258123878
0.14,25.2406763932,93.3200867837
0.15,29.4916450759,96.4503088353
0.16,31.2810699893,98.4072484582
0.17,31.4558039212,98.3437022706
0.18,31.076460129,96.1753505749
0.19,29.8154193106,93.9625711465
0.2,28.7750982129,94.3386805334
0.21,28.1192507338,94.9800194551
0.22,27.3373528342,94.7633494487
0.23,26.1503567718,93.9626853426
0.24,25.127991521,92.3236468993
0.25,24.431708305,89.5903541564
0.26,20.4224109558,86.821775078
0.27,17.8124628292,85.4628164069
0.28,17.3883903199,85.3859161873
0.29,17.3197735845,86.4713867178
0.3,17.9961126639,88.3081757235
0.31,22.0688340821,91.7346276233
0.32,26.0190911694,95.8543109816
0.33,27.485193908,98.208946901
0.34,27.700360629,98.2215725458
0.35000000000000003,27.1458068698,96.5230664368
0.36,26.2932667044,94.6277608449
0.37,25.8269449209,93.5525427427
0.38,25.7574451887,93.3964299484
0.39,25.6790000033,94.3443475548
0.4,25.4601845903,95.3594462832
0.41000000000000003,25.0237859274,95.4983635055
0.42,24.2907022586,94.0632095383
0.43,24.0065028165,90.8387439554
0.44,20.8950621699,87.7113493247
0.45,18.5217852447,87.1318694588
0.46,18.3816867881,88.8671789899
0.47000000000000003,20.9843996729,92.9343317563
0.48,23.0513382363,95.9601235051
0.49,23.3553566921,96.7624524909
0.5,22.4982093041,96.2593629703
0.51,21.4443343079,95.7874174832
0.52,20.9239221007,95.8709862035
0.53,20.7563380874,95.9952785996
0.54,20.6658296869,95.843485291
0.55,20.6547372381,95.3977868333
0.56,20.7261230523,94.5041008639
0.5700000000000001,20.6435344794,93.0312951287
0.58,20.2465207055,91.3480024226
0.59,19.8147952089,90.6739847363
0.6,19.3432269031,91.0819029687
0.61,19.1556935916,90.3455924307
0.62,20.0772864741,87.381351718
0.63,20.3298347508,83.7986920668
0.64,20.0130447999,83.2968752273
0.65,19.9314128805,84.8564326825
0.66,19.9642643978,86.4021246866
0.67,19.9366432878,87.9984329778
0.68,20.2905421471,90.9784492326
0.6900000000000001,20.4720728058,94.719028567
0.7000000000000001,20.3351600044,96.8496906746
0.71,20.2846357256,97.3990396449
0.72,20.3506587424,97.4798939401
0.73,20.351202253,97.6487418151
0.74,20.272259551,97.8229781865
0.75,20.2238811374,97.6445190979
0.76,20.2403876409,97.0222697065
0.77,20.3107573182,96.3414957439
0.78,20.4888435158,95.8426539107
0.79,20.8972269911,95.2722402698
0.8,21.4779299215,94.4316815468
0.81,21.74845349,93.456685284
0.8200000000000001,21.8720383059,92.6908268436
0.8300000000000001,22.0770510191,92.5609476729
0.84,22.2659758866,92.8011226178
0.85,22.427577115,92.7837650329
0.86,22.6233437652,92.5838174328
0.87,48.075649126,92.0518357465
0.88,66.6290132546,90.1204468435
0.89,74.0109367854,86.2342876191
0.9,79.1104647614,80.8229190401
0.91,--undefined--,74.5611287456
0.92,--undefined--,68.6922999109
0.93,--undefined--,68.303322578
0.9400000000000001,--undefined--,78.8780624268
0.9500000000000001,13.3956946485,88.0576944534
0.96,13.7087573491,93.2979577696
0.97,14.3143213348,95.7043746671
0.98,14.6842155032,96.4124408277
0.99,14.7570697783,96.3530640998
1,14.7943350863,95.9369992222
1.01,14.9235631886,95.3851059867
1.02,15.2016990834,94.8667426919
1.03,15.633243226,94.4962902402
1.04,16.1036416596,94.2628591119
1.05,16.5914816449,94.1230905326
1.06,16.904894342,94.1064004599
1.07,17.0465985985,94.1058638376
1.08,17.2021838642,94.1304686919
1.09,17.4621674123,94.1290949844
1.1,17.7220896607,93.9595763548
1.11,17.9202272859,94.09309479
1.12,17.9588483102,95.0589523634
1.1300000000000001,17.9689794892,96.2488001613
1.1400000000000001,18.0869733356,96.7557719636
1.1500000000000001,18.2430762995,96.527486403
1.16,18.2298711194,96.3583820686
1.17,18.0606259989,96.7757567286
1.18,17.8420297488,97.404453781
1.19,17.6408602494,97.7344118201
1.2,17.4886078215,97.6316591644
1.21,17.287595446,97.3403969819
1.22,17.0586855417,96.7521679222
1.23,16.8632896846,95.157058719
1.24,16.3849199788,92.5232916581
1.25,16.3518105788,90.6424549397
1.26,16.623480239,90.3293711173
1.27,16.670358426,90.0046407865
1.28,16.6942978885,89.2817057307
1.29,16.6382367576,87.8198073643
1.3,15.8969135555,85.3186172964
1.31,13.3638707721,82.5089930125
1.32,11.2680290706,80.1224905308
1.33,--undefined--,76.9721455047
1.34,--undefined--,72.4961738446
1.35,--undefined--,69.6962256307
1.36,--undefined--,71.9848317444
1.37,--undefined--,74.0845363592
1.3800000000000001,--undefined--,74.6635220227
1.3900000000000001,--undefined--,74.2357293515
1.4000000000000001,--undefined--,73.1204516782
1.41,--undefined--,72.2435957759
1.42,--undefined--,74.7006194961
1.43,15.4663954494,81.982030355
