time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,70.4434474526,--undefined--
0.03,70.2870513552,--undefined--
0.04,69.9562688226,--undefined--
0.05,69.6565188413,92.5339462537
0.06,69.433176308,92.2753808169
0.07,69.3434842843,91.3544895936
0.08,69.5887878745,90.4003131884
0.09,70.0151152873,89.4501472424
0.1,70.5399680319,88.5885766476
0.11,71.1731610017,88.1600575938
0.12,71.9150123741,88.0682857656
0.13,72.8337625704,88.0366859245
0.14,73.8385427012,87.6603135696
0.15,--undefined--,86.0029895651
0.16,--undefined--,82.9716861331
0.17,--undefined--,80.1822861766
0.18,--undefined--,78.726476224
0.19,--undefined--,78.7117520236
0.2,--undefined--,79.8765564277
0.21,--undefined--,80.1278733973
0.22,--undefined--,79.5150350164
0.23,--undefined--,79.1477212021
0.24,--undefined--,78.464024592
0.25,--undefined--,77.0475292259
0.26,--undefined--,76.2947349265
0.27,--undefined--,77.6702494552
0.28,--undefined--,79.5541544992
0.29,--undefined--,80.1873945083
0.3,--undefined--,80.8280552163
0.31,--undefined--,80.9704808564
0.32,--undefined--,79.3633287787
0.33,--undefined--,77.8286462908
0.34,--undefined--,77.4544034693
0.35000000000000003,--undefined--,78.2701342082
0.36,--undefined--,78.4320421929
0.37,--undefined--,76.8159094563
0.38,--undefined--,75.679829848
0.39,--undefined--,75.5537197021
0.4,--undefined--,75.7346848597
0.41000000000000003,--undefined--,77.5351016683
0.42,--undefined--,80.0017611443
0.43,48.6929999319,82.2083723763
0.44,49.5835259297,84.1872226268
0.45,50.8337921711,85.7083008291
0.46,52.1707153268,86.8817896894
0.47000000000000003,53.6459455781,88.1117771522
0.48,55.5556563877,89.483936352
0.49,57.8675924069,90.857802981
0.5,60.4029943775,92.1961367464
0.51,63.6496927204,93.2444087627
0.52,67.5726188573,94.108970602
0.53,72.2290790176,94.9011703233
0.54,76.3551183146,95.5754393454
0.55,79.8996194821,96.3760124958
0.56,82.8294057245,97.490725724
0.5700000000000001,84.9312253754,98.6385975753
0.58,86.4847981733,99.4428805343
0.59,87.6129440293,99.7783246376
