time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,37.5689218835
0.06,--undefined--,42.0084372189
0.07,--undefined--,44.2887378666
0.08,--undefined--,48.5557993451
0.09,--undefined--,52.5027818451
0.1,--undefined--,54.2197357322
0.11,--undefined--,55.4125571871
0.12,--undefined--,57.3600359848
0.13,--undefined--,59.7182998089
0.14,--undefined--,63.1747890736
0.15,--undefined--,67.4608747623
0.16,--undefined--,70.2369751956
0.17,--undefined--,70.9855580547
0.18,--undefined--,70.5544222853
0.19,--undefined--,69.8305401289
0.2,--undefined--,69.2210129677
0.21,--undefined--,68.8731586889
0.22,--undefined--,68.9579613521
0.23,--undefined--,69.2113767154
0.24,--undefined--,71.1541269258
0.25,--undefined--,77.1164570623
0.26,51.3137794267,83.689032959
0.27,51.7582466139,88.0110275325
0.28,51.6829831759,90.475401807
0.29,51.2134583854,91.6906092813
0.3,50.8925227969,91.3718478332
0.31,50.9719264035,89.4446784198
0.32,51.3985909727,87.217748608
0.33,51.9506449613,86.4386818361
0.34,52.5022755947,86.9114641006
0.35000000000000003,52.4089235005,86.244310288
0.36,51.0949232614,82.5685583049
0.37,50.1362328701,77.1512136308
0.38,--undefined--,72.9310352142
0.39,--undefined--,70.1843549708
0.4,--undefined--,69.5684399122
0.41000000000000003,--undefined--,71.158904593
0.42,--undefined--,74.8513401375
0.43,--undefined--,79.9494661006
0.44,--undefined--,86.3498857645
0.45,56.2572203767,92.0701850513
0.46,55.9550198402,95.5741989467
0.47000000000000003,54.9756763824,97.1818498411
0.48,53.9329238887,96.9429079872
0.49,52.5298084612,94.9683799678
0.5,51.1112260541,93.3157479258
0.51,50.2548224371,93.6053303851
0.52,49.693529128,94.6818515298
0.53,49.4182856276,95.1268518936
0.54,49.4984568099,94.7158508168
0.55,49.9145954212,94.3516905145
0.56,50.3985281948,93.002541917
0.5700000000000001,50.7850704328,88.1423065752
0.58,50.9747141351,79.4159435667
0.59,--undefined--,71.6629186652
0.6,--undefined--,67.9891317839
0.61,--undefined--,64.8396526867
0.62,--undefined--,63.0205003809
0.63,--undefined--,64.2846634368
0.64,--undefined--,67.4312239186
0.65,--undefined--,69.4669210154
0.66,--undefined--,69.6379144219
0.67,--undefined--,73.4153235481
0.68,--undefined--,83.1807360411
0.6900000000000001,46.309833107,90.9155287013
0.7000000000000001,44.7225367803,94.6848616283
0.71,42.8927320237,95.6886824108
0.72,41.8697104228,95.2423895313
0.73,41.2974357837,93.7111439853
0.74,40.8773176963,91.8201940831
0.75,40.6518824821,90.9297459838
0.76,40.6610708685,90.7813303147
0.77,40.7322582624,90.6314371437
0.78,40.9132746308,90.6411737052
0.79,41.1689283668,90.5428382628
0.8,41.365719955,90.2071372766
0.81,41.5261554817,90.2992735095
0.8200000000000001,41.6426481225,90.4944631439
0.8300000000000001,41.6894836114,90.2884786056
0.84,41.7002828833,90.1525929644
0.85,41.7371636225,90.3325136905
0.86,41.8495971646,90.6824457302
0.87,42.0640991696,90.7484792776
0.88,42.3930673061,90.2662367068
0.89,42.7395158702,89.2622152503
0.9,42.9983458093,87.437500376
0.91,43.1515856615,84.5903729942
0.92,43.7512813701,81.9724252239
0.93,44.2763381054,81.789325521
0.9400000000000001,43.9886019022,82.9003689076
0.9500000000000001,43.970746351,83.5498901459
0.96,44.2394414622,83.7218200123
0.97,44.2648067997,84.0080695016
0.98,44.388247326,84.3498613644
0.99,44.5254465317,84.6209803313
1,44.4036341557,84.6833327437
1.01,44.2333119079,84.2931988513
1.02,43.9632992195,83.6217446262
1.03,44.4373339719,84.0346938964
1.04,46.0169655698,87.4796484005
1.05,46.8580892622,91.9549682772
1.06,46.3823744623,94.6433684308
1.07,45.6319526753,94.3688287601
1.08,45.0851701971,90.6958269333
1.09,44.841879812,84.1581063695
1.1,--undefined--,77.2021370761
1.11,--undefined--,73.2032789397
1.12,--undefined--,71.4289078249
1.1300000000000001,--undefined--,69.3060997117
1.1400000000000001,--undefined--,66.3830509947
1.1500000000000001,--undefined--,63.0632966865
1.16,--undefined--,61.4452517465
1.17,--undefined--,60.5338091101
1.18,--undefined--,57.5744551224
1.19,--undefined--,55.9691635601
1.2,--undefined--,56.323644468
1.21,--undefined--,55.314259563
1.22,--undefined--,55.4055994087
1.23,--undefined--,58.8563332229
1.24,--undefined--,61.8646077395
1.25,--undefined--,63.2747138678
1.26,--undefined--,63.6527143164
1.27,--undefined--,62.7604014875
1.28,--undefined--,60.5182028599
1.29,--undefined--,59.4537601317
1.3,--undefined--,65.5429455808
1.31,44.8403729421,74.2402880881
1.32,45.8894591273,79.7880870034
1.33,46.1314364074,82.2669690282
1.34,45.7140970149,82.8293374285
1.35,44.9316554855,82.1124111787
1.36,43.9858985255,79.9515320325
1.37,42.7441299161,76.0598368986
1.3800000000000001,37.1366064,71.8892996126
1.3900000000000001,31.6027734727,70.0176097161
1.4000000000000001,30.7464855688,69.7785682176
1.41,31.7189246625,71.9118897882
1.42,36.4762303324,77.2282416775
1.43,40.709239787,81.3903335468
1.44,41.6422070073,82.8849718437
