time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,0.0
0.06,--undefined--,16.7735113021
0.07,--undefined--,26.2883603895
0.08,--undefined--,30.9089065569
0.09,--undefined--,33.9644238663
0.1,--undefined--,37.6422030012
0.11,--undefined--,39.7777297718
0.12,--undefined--,38.3784265187
0.13,--undefined--,34.3384272005
0.14,--undefined--,36.9457682995
0.15,--undefined--,48.125811122
0.16,--undefined--,57.1648635902
0.17,22.6246570531,64.9761744353
0.18,22.5080953024,71.3988028152
0.19,22.267142559,75.9890141183
0.2,22.0001697991,79.5548908108
0.21,21.9024769436,82.2329462225
0.22,22.0219090176,83.3844955275
0.23,22.1435593675,82.6575181034
0.24,22.0711914196,79.7305073432
0.25,21.720803057,74.6326995415
0.26,20.4684263094,73.0695002652
0.27,19.4121265859,78.133289924
0.28,--undefined--,80.53687291
0.29,--undefined--,78.6355421653
0.3,--undefined--,73.4891693535
0.31,--undefined--,66.0512616789
0.32,--undefined--,57.4852716812
0.33,--undefined--,51.2987003019
0.34,--undefined--,48.1888763249
0.35000000000000003,--undefined--,46.3810823763
0.36,--undefined--,46.5090473875
0.37,--undefined--,55.3068521058
0.38,--undefined--,65.3601655616
0.39,--undefined--,69.48290417
0.4,--undefined--,67.6930797866
0.41000000000000003,--undefined--,62.4066060483
0.42,--undefined--,58.7384548748
0.43,--undefined--,56.6166107017
0.44,--undefined--,55.0580863518
0.45,19.5095875006,59.3160677798
0.46,19.3263565913,67.2892655056
0.47000000000000003,19.3337722387,73.9677723757
0.48,19.4749800861,78.3533370349
0.49,19.1951188396,80.4310045628
0.5,18.8824615778,80.8558249611
0.51,18.8690950059,80.5622841264
0.52,18.9696697009,79.5413675571
0.53,18.8902068928,77.1887064834
0.54,18.5518475806,74.2088656356
0.55,18.5262759403,73.0963551439
0.56,18.6449740662,73.8096196492
0.5700000000000001,18.47976263,74.2637140138
0.58,18.1574398276,73.7199186331
0.59,17.6589171198,71.845860616
0.6,16.6432849736,69.1268999619
0.61,15.4662638207,68.4566507389
0.62,14.4800057219,71.5351742351
0.63,13.9842402794,75.8124264945
0.64,13.8354409818,78.1285033092
0.65,13.337012807,77.9856846927
0.66,12.6721336669,77.6315472224
0.67,12.0551988642,78.0898435263
0.68,11.4150916013,77.787150789
0.6900000000000001,10.7958131451,76.7894877302
0.7000000000000001,10.2882671366,76.0420259117
0.71,9.92815481605,74.9851680177
0.72,9.56464382609,73.2498869794
0.73,9.15604513995,71.0742835455
0.74,8.48539100937,67.9547881002
0.75,7.80395570349,63.7373431774
0.76,7.47562873922,58.3758453876
0.77,--undefined--,51.8255327224
0.78,--undefined--,46.6611524791
0.79,--undefined--,44.3610688618
0.8,--undefined--,43.057642894
0.81,--undefined--,43.1263739963
0.8200000000000001,--undefined--,43.9437654349
0.8300000000000001,--undefined--,44.9577992704
0.84,--undefined--,45.4197794859
0.85,--undefined--,44.0051061913
0.86,--undefined--,42.1025572252
0.87,--undefined--,42.791461316
0.88,--undefined--,43.6436833575
0.89,--undefined--,42.3396928913
0.9,--undefined--,39.6423256942
0.91,--undefined--,36.3949057505
0.92,--undefined--,34.9586152652
0.93,--undefined--,36.0950747572
0.9400000000000001,--undefined--,36.3161207966
0.9500000000000001,--undefined--,35.0256751136
0.96,--undefined--,34.5983489149
0.97,--undefined--,35.3146475876
0.98,--undefined--,35.2598918473
0.99,--undefined--,34.4860298023
1,--undefined--,33.3600547715
1.01,--undefined--,31.7114015272
1.02,--undefined--,30.6844414695
1.03,--undefined--,30.6512504674
1.04,--undefined--,31.4087657793
1.05,--undefined--,34.2489692196
1.06,--undefined--,35.9945418892
1.07,--undefined--,34.4071984978
1.08,--undefined--,31.799711742
1.09,--undefined--,29.9649104814
1.1,--undefined--,28.2166184312
1.11,--undefined--,27.3310952828
1.12,--undefined--,27.2201826445
1.1300000000000001,--undefined--,27.2263868837
1.1400000000000001,--undefined--,27.2253782465
1.1500000000000001,--undefined--,27.0260999086
1.16,--undefined--,26.314506242
1.17,--undefined--,25.372059757
1.18,--undefined--,24.7334370056
1.19,--undefined--,25.0200129787
1.2,--undefined--,25.9957377824
1.21,--undefined--,26.6277274645
1.22,--undefined--,26.279264087
1.23,--undefined--,25.0329593292
1.24,--undefined--,23.7305536033
1.25,--undefined--,23.0840675596
1.26,--undefined--,23.9570533893
1.27,--undefined--,26.1010759508
1.28,--undefined--,26.6876031634
1.29,--undefined--,24.8981595777
1.3,--undefined--,22.8039165257
1.31,--undefined--,20.9634788882
1.32,--undefined--,18.2081351283
1.33,--undefined--,16.9243149069
1.34,--undefined--,19.0483879407
1.35,--undefined--,22.4667922593
1.36,--undefined--,30.6191224278
1.37,--undefined--,40.7058745385
1.3800000000000001,--undefined--,46.8599554732
1.3900000000000001,--undefined--,50.4236750877
1.4000000000000001,10.4520612201,53.8769339493
1.41,10.6844014564,56.8895953105
1.42,10.948375467,58.6861020287
1.43,10.9084298712,59.3718217368
1.44,10.3840224675,58.7757312169
1.45,9.45136597322,56.9466764222
1.46,8.54123363225,55.1117623162
