time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,0.0
0.06,--undefined--,44.379035078
0.07,--undefined--,63.1814711368
0.08,--undefined--,74.7679921347
0.09,--undefined--,81.3664736986
0.1,--undefined--,84.1992687174
0.11,--undefined--,84.3962649833
0.12,--undefined--,83.3743933739
0.13,--undefined--,81.4168781009
0.14,--undefined--,77.7071115249
0.15,--undefined--,73.4104514303
0.16,--undefined--,72.0000660895
0.17,--undefined--,76.8419660905
0.18,--undefined--,85.4199946633
0.19,--undefined--,90.7725222096
0.2,--undefined--,93.6100583663
0.21,--undefined--,94.7567383288
0.22,--undefined--,94.8949279465
0.23,--undefined--,94.8057133738
0.24,--undefined--,94.9824275653
0.25,--undefined--,95.2457190618
0.26,--undefined--,95.3141120449
0.27,--undefined--,95.0859958023
0.28,--undefined--,94.7705802993
0.29,75.3373405942,94.7624581578
0.3,76.8553614089,94.7833595582
0.31,78.7296902143,94.2654780968
0.32,80.8181370473,93.2555304274
0.33,83.1451046268,92.5238375673
0.34,84.1117096427,92.9107168726
0.35000000000000003,84.2274410385,94.0018595388
0.36,84.0214423927,95.1509094486
0.37,83.5823091824,96.1872195287
0.38,82.7847462304,96.9125504595
0.39,81.7375479356,97.2183097712
0.4,80.1339659937,97.2558166546
0.41000000000000003,78.1832889193,97.3133829754
0.42,76.347388958,97.4666976451
0.43,74.4142130599,97.5600798588
0.44,72.261890633,97.2691610642
0.45,70.3561827325,96.2669185932
0.46,68.9337131327,94.6558997879
0.47000000000000003,66.8550399722,93.0281043788
0.48,62.330926724,91.7415506408
0.49,53.4881531227,90.9240016688
0.5,47.197206485,90.9832461695
0.51,44.4278050534,91.4826508807
0.52,43.1305187283,91.7822328861
0.53,41.9807124633,91.7804551143
0.54,40.7437879538,91.4627800601
0.55,39.7785441822,90.9294650858
0.56,39.3651886673,90.5215437906
0.5700000000000001,39.4137349922,90.5982794979
0.58,39.5032041767,90.8620884954
0.59,39.4017196057,90.8792106135
0.6,39.1100380313,90.8168293745
0.61,38.7867452168,90.9785027533
0.62,38.5355867816,91.3000603576
0.63,38.4309114854,91.6382403187
0.64,38.5630326948,92.0671327611
0.65,39.3509091744,92.689922021
0.66,40.518960478,93.5144363327
0.67,41.6042119844,94.5865409341
0.68,42.1585757515,95.8199814371
0.6900000000000001,42.4277503851,96.8583599483
0.7000000000000001,42.5472096257,97.3854563669
0.71,42.5266507182,97.3507756262
0.72,42.5539411341,96.942983356
0.73,42.5709421167,96.43448045
0.74,42.6763912267,96.1674884481
0.75,42.8397532624,96.0099571803
0.76,43.0164466363,95.6689372425
0.77,43.0991104335,95.626144119
0.78,42.9149716058,96.4707880094
0.79,42.563303195,97.4557738662
0.8,42.2238879658,97.599243739
0.81,42.2830987072,96.9213187574
0.8200000000000001,43.0273702115,95.8692291416
0.8300000000000001,44.1316838828,95.0149919133
0.84,44.8627924408,94.8044183971
0.85,45.0508899633,95.0947241308
0.86,45.1355639828,95.460527628
0.87,45.3122389116,95.5102486508
0.88,45.5199786656,95.1350491339
0.89,45.524842903,94.4840387855
0.9,45.2764807603,93.5446974211
0.91,44.7307923658,92.0102270487
0.92,43.7456298763,89.7757995728
0.93,42.0776226782,87.3310177338
0.9400000000000001,39.8991336972,85.2770259643
0.9500000000000001,38.0899542998,84.0455686301
0.96,37.1999167879,84.1631792005
0.97,37.0224285693,85.4742509471
0.98,38.1824907709,87.8459985884
0.99,40.3395450739,91.1356738287
1,41.2397847648,94.0962082808
1.01,41.5952591254,95.8169428781
1.02,42.1166884599,96.5561235468
1.03,42.6445632904,97.055873701
1.04,42.954331714,97.4135237706
1.05,42.8774525617,97.2409759766
1.06,42.2669469826,96.4768684296
1.07,41.8217223849,95.3616034195
1.08,41.817135198,94.4088711314
1.09,41.7179950345,94.0236958768
1.1,41.5634061439,94.1253784636
1.11,41.4176827733,94.5136707713
1.12,41.494183556,94.6291078455
1.1300000000000001,41.9002418374,93.9027901132
1.1400000000000001,42.0129873288,92.6297039748
1.1500000000000001,41.7647074316,91.6322285314
1.16,41.3831968384,91.2449444166
1.17,41.1485960632,91.2850535962
1.18,41.1465832201,91.5258477748
1.19,41.2015791713,91.659478774
1.2,41.2018666827,91.1092853403
1.21,41.0942859551,89.1795727968
1.22,36.4876300629,85.4565030419
1.23,35.1695469439,80.8814593877
1.24,35.6671318875,78.0995793142
1.25,35.8648954326,77.8599297552
1.26,35.8409648415,78.9892020827
1.27,35.4531412271,80.7152213375
1.28,35.26461712,81.8991417753
1.29,--undefined--,82.4616397832
1.3,--undefined--,82.3330087021
1.31,--undefined--,81.3315678393
1.32,--undefined--,80.4846902218
1.33,--undefined--,83.0617710988
1.34,--undefined--,88.981780239
1.35,--undefined--,92.8479518956
1.36,41.6987000077,94.6827010905
1.37,41.4338302869,95.250483722
1.3800000000000001,40.9537541002,95.1055676581
1.3900000000000001,40.5803795774,94.7596029455
1.4000000000000001,40.4294630901,94.638071521
1.41,40.3172330195,94.715908584
1.42,40.2268347053,94.391729941
1.43,40.3752811176,92.798562412
