time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,0.0
0.06,--undefined--,17.2117892412
0.07,--undefined--,28.4197925798
0.08,--undefined--,35.0104013281
0.09,--undefined--,38.0928481757
0.1,--undefined--,39.9515401001
0.11,--undefined--,42.9858488689
0.12,--undefined--,46.4656222203
0.13,--undefined--,48.9561366168
0.14,--undefined--,50.7584962991
0.15,--undefined--,54.0297724699
0.16,--undefined--,59.2659326872
0.17,48.8160505104,64.8243355665
0.18,49.1317909367,69.5434885011
0.19,49.6117909856,72.7151002276
0.2,50.0712348979,74.4311806026
0.21,50.6715958241,75.0859463816
0.22,51.2687893011,74.9015809115
0.23,51.7078273147,73.9425040862
0.24,51.932331378,71.814348931
0.25,--undefined--,68.2812038558
0.26,--undefined--,67.0795643203
0.27,53.6078730295,72.7476518515
0.28,53.8961512432,78.3620469285
0.29,54.3985756521,81.2269638918
0.3,54.7448557045,81.6348219193
0.31,54.9520936487,80.9470939812
0.32,55.2305275768,80.6726043314
0.33,55.6031362291,80.9889778334
0.34,56.0237494638,81.2578774993
0.35000000000000003,56.5928895481,81.2406076378
0.36,57.2267369573,81.1952777803
0.37,57.4731846991,81.3849196127
0.38,57.8811059716,81.7417263426
0.39,58.1824633597,82.2756258247
0.4,58.3129287927,82.7487739674
0.41000000000000003,58.1307250316,82.6834888703
0.42,57.4890292704,81.1752491046
0.43,56.8501631352,77.564957209
0.44,--undefined--,73.6368050103
0.45,--undefined--,72.6176810265
0.46,--undefined--,73.3694486473
0.47000000000000003,10.4481428061,74.450563494
0.48,10.3730735944,75.2056390383
0.49,10.2972500925,75.6413194422
0.5,10.3744606059,78.0385684983
0.51,10.3998189059,83.2272360655
0.52,10.3179869471,87.7585113231
0.53,17.7361927976,90.5174537822
0.54,22.2284368013,91.6247836418
0.55,22.427227975,91.0702305954
0.56,22.4670778738,89.1062202656
0.5700000000000001,22.3764688547,86.5228507913
0.58,22.2660951638,84.3483029182
0.59,22.1969762718,82.6735303448
0.6,22.1527924686,80.9117156312
0.61,22.1419712964,79.5458427097
0.62,22.0729108325,78.9726965935
0.63,21.8710805434,78.4213271051
0.64,21.6539044039,77.74708143
0.65,21.63914531,77.4114548889
0.66,21.7558152817,76.9306925408
0.67,21.8789910075,76.1361933789
0.68,21.8405938623,76.174644203
0.6900000000000001,21.8568704262,77.3312426918
0.7000000000000001,22.044301068,78.9238537547
0.71,22.138253089,80.3502187125
0.72,22.1323124293,82.194804238
0.73,22.1131237816,84.7714127569
0.74,22.1004316982,87.0191225171
0.75,22.0519208547,88.6849978825
0.76,21.975868429,90.3784307511
0.77,21.9321637409,92.4664102905
0.78,21.9957703904,94.3713374164
0.79,21.9857152514,95.3002907263
0.8,21.8930328687,95.1268384017
0.81,21.8647403007,94.3115872117
0.8200000000000001,21.8763697164,93.3783601158
0.8300000000000001,21.8241238348,92.3743425087
0.84,21.6345828681,91.3316229412
0.85,21.3444374372,90.4599949759
0.86,13.7524911961,89.6080250655
0.87,9.26265450352,88.9166105966
0.88,9.12895183466,88.5884765632
0.89,9.18826863313,88.6030864913
0.9,16.7959414029,89.5794046037
0.91,21.3772284143,91.4424041525
0.92,21.6500330981,92.7601461136
0.93,21.7958145191,93.2701407051
0.9400000000000001,21.7593348665,93.8213867653
0.9500000000000001,21.6477712457,94.3521579061
0.96,21.6177796562,94.866912485
0.97,21.646636885,95.7763068741
0.98,21.6370606033,96.4875076712
0.99,21.5905503265,96.5725330367
1,21.5069765953,96.2243500476
1.01,43.1446487746,95.8172710866
1.02,55.9103135134,95.3763655387
1.03,56.4667433252,94.4006147975
1.04,57.0164087997,92.0645032873
1.05,57.1845042584,87.7863183902
1.06,56.8622324506,82.3667228234
1.07,56.7943804956,78.5799265059
1.08,56.5532129747,77.3302771911
1.09,56.2358719516,76.6273432001
1.1,--undefined--,75.6795091269
1.11,--undefined--,75.7139288814
1.12,--undefined--,78.9683644718
1.1300000000000001,--undefined--,82.8012223977
1.1400000000000001,--undefined--,84.5708012257
1.1500000000000001,--undefined--,83.9649107913
1.16,--undefined--,82.1008193799
1.17,--undefined--,80.8827725409
1.18,--undefined--,80.550268278
1.19,--undefined--,80.3900799443
1.2,--undefined--,80.4150625528
1.21,--undefined--,80.8588013339
1.22,--undefined--,81.2449514541
1.23,50.9743600696,82.6871204541
1.24,53.7325721854,86.1725581482
1.25,56.5250771061,89.3834512007
1.26,58.0860879997,91.3640344907
1.27,59.6126667693,92.3443606368
1.28,61.3046600975,93.0467513047
1.29,62.4736724182,94.1161513696
1.3,63.3665688779,95.2441793633
1.31,64.4072259848,96.1638334129
1.32,65.6382763122,96.903066173
1.33,66.8160702849,97.4498243771
1.34,67.7090038309,96.9465698225
1.35,68.5162434155,94.0443575184
1.36,69.5487497125,89.0022079805
1.37,71.1075691473,87.1192222103
1.3800000000000001,72.5658936738,90.9903441258
1.3900000000000001,73.1127183248,94.3997066499
1.4000000000000001,72.8759824942,96.1315472159
1.41,72.0909059519,96.0404999639
1.42,70.5907877952,94.5712824749
1.43,68.2248352333,93.196659412
