time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,77.7373996538,--undefined--
0.03,78.4349486279,--undefined--
0.04,80.1336144333,--undefined--
0.05,81.3754307968,71.284773542
0.06,81.3294925937,71.300095167
0.07,80.2516111148,72.6223159283
0.08,78.5962416437,75.3221544595
0.09,76.7214938589,77.4002901385
0.1,74.6224744409,78.3938398268
0.11,71.8045237066,79.3877873804
0.12,69.0735954719,80.1531092772
0.13,66.7903194135,79.1075508976
0.14,64.6294967318,76.4570035891
0.15,61.0328315334,74.4698915441
0.16,56.0214115348,75.2520136026
0.17,52.0709321614,77.0480887464
0.18,48.8225844569,78.5471681539
0.19,45.8431941568,79.4222506837
0.2,43.5529333822,79.5951856068
0.21,42.7194946318,79.4159342966
0.22,43.1336886594,79.636149137
0.23,44.1312503095,81.2233895966
0.24,45.4298914473,82.9447852893
0.25,46.6887834222,83.7746647252
0.26,47.96676428,84.8266798362
0.27,50.0088916993,86.9854232319
0.28,52.4525212633,88.9385646278
0.29,54.52455936,89.7218151048
0.3,56.5739058428,90.2431069473
0.31,57.9371196357,90.7567116634
0.32,58.6367089116,90.8655497178
0.33,59.2767042481,90.663544865
0.34,59.583440537,89.7493538659
0.35000000000000003,59.2025885538,88.0040588941
0.36,57.8087231719,84.9985381471
0.37,55.4563054709,80.1760090314
0.38,50.9077345213,74.2863284473
0.39,--undefined--,71.1836283445
0.4,--undefined--,72.2403222583
0.41000000000000003,--undefined--,72.6295144024
0.42,--undefined--,70.6186132746
0.43,--undefined--,67.0741086973
0.44,--undefined--,64.7266179969
0.45,--undefined--,64.7110951103
0.46,--undefined--,65.8856153201
0.47000000000000003,--undefined--,67.358518426
0.48,57.9282874317,69.2803507339
0.49,59.5514048218,73.5162164561
0.5,63.3051376842,78.4168843258
0.51,66.359733074,81.2677463915
0.52,66.975720448,80.7544862101
0.53,63.4294834721,76.2951314819
0.54,57.3266743796,68.0748820271
0.55,48.7070593584,57.9649830009
0.56,43.4447185777,51.8718926782
0.5700000000000001,44.1359363473,51.8256167127
0.58,46.6198057844,53.7866724205
0.59,51.4970960823,58.2808080392
0.6,57.423588502,64.6854076844
0.61,62.5729385683,70.091808078
0.62,65.6617801963,72.8500965132
0.63,68.8711113067,73.6445146711
0.64,71.255629932,74.5151663177
0.65,71.8707244973,75.5173658242
0.66,71.7675428511,74.8476114564
0.67,71.1371183542,72.8585587521
0.68,70.3713016507,71.2899758862
0.6900000000000001,69.36624156,70.1375312253
0.7000000000000001,67.2873823342,69.2163106368
0.71,64.5564910858,69.2645032272
0.72,63.1693985736,70.0543126968
0.73,62.9661686413,71.0123807858
0.74,62.7330065766,71.8720052035
0.75,62.272811041,72.5178222386
0.76,62.0077343,73.2707832517
0.77,64.3812594148,74.3004157697
0.78,67.4356600244,75.7724979402
0.79,68.2838766709,77.4197234677
0.8,68.6598887574,78.6361897856
0.81,69.636125877,79.6668176225
0.8200000000000001,71.5611706379,81.3397406055
0.8300000000000001,74.2259568555,83.6473613707
0.84,77.0044163954,85.1735195979
0.85,79.5813684149,84.498645052
0.86,82.582465782,81.9753408123
0.87,85.6552119778,80.5931886567
0.88,87.3995911531,82.1183534392
0.89,87.6877329412,83.9119337023
0.9,87.0290558744,84.143808271
0.91,85.5328877781,83.0468322574
0.92,83.3667815113,81.1288475159
0.93,80.3299605897,78.1138905347
0.9400000000000001,75.6542665472,74.1737680616
0.9500000000000001,--undefined--,70.8988111421
0.96,--undefined--,70.594440877
0.97,--undefined--,74.0884699168
0.98,--undefined--,77.7975012787
0.99,--undefined--,78.9322554599
1,--undefined--,77.4809056357
1.01,25.6933449282,74.9893216498
1.02,25.5015336255,73.2267249407
1.03,25.1443997132,72.6254548362
1.04,24.7514242996,72.4944971002
1.05,24.1949568226,72.334022253
1.06,23.5126056876,71.5020739816
1.07,22.6360510027,69.3439550785
1.08,21.7003193582,65.7625721722
1.09,20.35584824,61.2150967038
1.1,19.4435371514,55.7456660515
1.11,--undefined--,48.41887261
1.12,--undefined--,40.6413972331
1.1300000000000001,--undefined--,36.7636128844
1.1400000000000001,--undefined--,34.3341609572
1.1500000000000001,--undefined--,31.6896818611
1.16,--undefined--,31.5775173587
1.17,--undefined--,32.3757211798
1.18,--undefined--,31.5163386726
1.19,--undefined--,29.882286689
1.2,--undefined--,27.590792291
1.21,--undefined--,24.2920419354
1.22,--undefined--,21.970324804
1.23,--undefined--,20.972152938
1.24,--undefined--,18.9204288998
1.25,--undefined--,15.3342864002
1.26,--undefined--,11.0168866685
1.27,--undefined--,7.99712546451
1.28,--undefined--,7.71692736378
1.29,--undefined--,7.43167259914
1.3,--undefined--,5.44108379426
1.31,--undefined--,3.75492257305
1.32,--undefined--,3.44171170177
1.33,--undefined--,2.0391314831
1.34,--undefined--,0.0
1.35,--undefined--,0.284604585637
1.36,--undefined--,1.12709018606
1.37,--undefined--,1.19254524258
1.3800000000000001,--undefined--,1.87553527825
1.3900000000000001,--undefined--,3.24187584374
1.4000000000000001,--undefined--,2.92686176878
1.41,--undefined--,1.52679784766
1.42,--undefined--,1.4925927147
1.43,--undefined--,1.88867767581
1.44,--undefined--,2.06684469015
1.45,--undefined--,1.54892113513
1.46,--undefined--,0.341624177295
1.47,--undefined--,0.236645776302
1.48,--undefined--,1.23694081879
1.49,--undefined--,1.28546032116
1.5,--undefined--,0.552676257979
1.51,--undefined--,0.254557513214
1.52,--undefined--,0.463634757728
1.53,--undefined--,1.46592513892
1.54,--undefined--,1.94595755357
1.55,--undefined--,1.09986127517
1.56,--undefined--,0.918817682686
1.57,--undefined--,13.7698033809
1.58,--undefined--,33.0325146482
1.59,--undefined--,43.8909926851
1.6,--undefined--,46.5698132515
1.61,--undefined--,41.5645766085
1.62,--undefined--,29.5922117733
1.6300000000000001,--undefined--,18.3794041339
1.6400000000000001,--undefined--,16.9331775569
1.6500000000000001,--undefined--,17.136255747
1.6600000000000001,--undefined--,16.0676668253
1.67,--undefined--,14.7697470705
1.68,--undefined--,13.8363006734
1.69,--undefined--,12.5401106505
1.7,--undefined--,11.9626273451
1.71,--undefined--,13.1814748079
1.72,--undefined--,13.4694770893
1.73,--undefined--,11.5085869404
1.74,--undefined--,10.1469263872
1.75,--undefined--,10.8256490547
1.76,--undefined--,11.6132218872
1.77,--undefined--,12.5403598649
1.78,--undefined--,30.9808206681
1.79,--undefined--,52.6517401428
1.8,--undefined--,66.116792575
1.81,--undefined--,73.7014293051
1.82,--undefined--,76.850032629
1.83,--undefined--,75.5510400422
1.84,--undefined--,70.5866276977
1.85,--undefined--,66.1956332765
1.86,--undefined--,64.2769646476
1.87,--undefined--,62.13178269
1.8800000000000001,--undefined--,59.5178690382
1.8900000000000001,--undefined--,57.3081974467
1.9000000000000001,--undefined--,56.0883617837
1.9100000000000001,--undefined--,55.7120206274
1.92,--undefined--,55.5655984326
1.93,--undefined--,56.712547713
1.94,--undefined--,59.6165273813
1.95,--undefined--,63.0480485347
1.96,--undefined--,65.4554373703
1.97,--undefined--,66.8655251962
1.98,--undefined--,68.5164782485
1.99,--undefined--,69.861460846
2,--undefined--,69.9762086522
2.0100000000000002,--undefined--,70.3530768392
2.02,--undefined--,72.9646524345
2.0300000000000002,--undefined--,76.7349354255
2.04,--undefined--,80.1729374686
2.05,--undefined--,82.7436210686
2.06,--undefined--,84.6195443494
2.07,--undefined--,84.4118288604
2.08,--undefined--,82.1879268032
2.09,--undefined--,81.2340439277
2.1,--undefined--,81.508725627
2.11,--undefined--,81.1754880149
2.12,--undefined--,80.9759314384
2.13,--undefined--,81.3615154722
2.14,--undefined--,82.0792052919
2.15,--undefined--,83.9528410705
2.16,--undefined--,85.4675749849
2.17,--undefined--,85.4942438589
2.18,--undefined--,85.5079566406
2.19,--undefined--,85.282382434
2.2,--undefined--,84.9984727843
2.21,--undefined--,86.7015068871
2.22,--undefined--,89.0728261534
2.23,--undefined--,89.9213788158
2.24,--undefined--,89.7615341711
2.25,--undefined--,90.5496681182
2.2600000000000002,48.7229551459,92.8289228477
2.27,49.4284717373,95.2012082514
2.2800000000000002,50.3857853836,96.2097620175
2.29,50.8875520041,95.7552926874
2.3000000000000003,51.1326365156,93.9663950123
2.31,51.7789228498,91.1813113825
2.32,52.4377138455,90.5950258892
2.33,52.3717987298,91.9927312186
2.34,52.9527956657,92.7845374641
2.35,--undefined--,94.3433117128
2.36,11.538242307,96.4990847329
2.37,11.5019506584,97.0070363773
2.38,11.5250390647,95.6483250502
2.39,11.5816319658,94.4845431456
2.4,11.5738461546,94.3933355826
2.41,11.5156218424,94.8915200165
2.42,11.4942743873,95.5694875386
2.43,11.5098244239,95.6033306388
2.44,11.4755545818,95.3453106689
2.45,7.35996301667,94.7056076801
2.46,3.23694133674,94.1111589289
2.47,3.17650081471,94.2120165059
