time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,32.1468630581
0.06,--undefined--,38.1615740825
0.07,--undefined--,43.1216102723
0.08,--undefined--,47.5458502878
0.09,--undefined--,49.5952895751
0.1,--undefined--,49.931508159
0.11,--undefined--,50.9482921315
0.12,--undefined--,52.6610331364
0.13,--undefined--,54.4327128082
0.14,--undefined--,56.4730154643
0.15,--undefined--,58.7201534534
0.16,--undefined--,60.2783658138
0.17,--undefined--,59.9553881156
0.18,--undefined--,58.9560483912
0.19,--undefined--,58.8343608632
0.2,--undefined--,59.1145056491
0.21,--undefined--,59.6250705192
0.22,--undefined--,60.149728422
0.23,--undefined--,60.9196735204
0.24,--undefined--,61.8707197065
0.25,--undefined--,62.7154260373
0.26,--undefined--,64.5595234447
0.27,--undefined--,67.9077717121
0.28,--undefined--,72.0955964741
0.29,--undefined--,75.595224867
0.3,--undefined--,76.789670052
0.31,--undefined--,75.987483265
0.32,--undefined--,74.8978927887
0.33,--undefined--,75.4802591154
0.34,--undefined--,78.4150484623
0.35000000000000003,63.233074088,81.8236608948
0.36,63.9614680533,84.1578171965
0.37,65.2830832681,84.5893481742
0.38,66.8512989548,83.9400857176
0.39,68.2759798847,83.5380569159
0.4,69.0482898668,83.4123813803
0.41000000000000003,69.7155407976,83.7601483489
0.42,70.2254360228,84.4311093124
0.43,70.4567389432,84.6294152708
0.44,70.6589487897,84.8408716477
0.45,70.8282572572,85.2908638422
0.46,71.0452896144,85.5184618788
0.47000000000000003,71.3461941895,85.4181169149
0.48,71.5780995627,85.2555506462
0.49,71.7179389791,85.6170378446
0.5,71.6539122235,86.5219305595
0.51,71.5388543594,87.2527858061
0.52,71.3300647519,87.5260604452
0.53,71.0539056954,87.619289844
0.54,70.6192715263,87.6716444307
0.55,69.9876550737,87.4866968602
0.56,68.7356742057,87.2851614325
0.5700000000000001,66.567136091,87.3465013184
0.58,64.1554882954,87.2678605925
0.59,62.6042937185,86.8408538422
0.6,61.560532886,86.2350364401
0.61,60.4533290244,86.0053225334
0.62,59.5009601115,86.4096718018
0.63,58.7911340241,86.6648091207
0.64,57.7162385626,86.4999095502
0.65,56.3982137747,86.3402829617
0.66,54.955777895,86.2538494978
0.67,53.4720931181,86.2740700285
0.68,52.1293839682,86.4179572845
0.6900000000000001,51.1093430156,86.4709274261
0.7000000000000001,50.1905080237,86.1800686178
0.71,49.095032984,85.8160262566
0.72,47.8326619652,85.7037299799
0.73,46.606143965,85.7813848143
0.74,45.4790195739,86.0998391712
0.75,44.3953612825,86.4445149482
0.76,43.3175193799,86.4347343294
0.77,42.116610981,85.9850122504
0.78,40.2737857283,85.1995775351
0.79,38.2251085665,84.6844122143
0.8,36.5479650015,84.5164536783
0.81,35.1542100324,84.4544348892
0.8200000000000001,33.516314486,84.4743991052
0.8300000000000001,32.3682532168,84.1542722648
0.84,30.6935098199,83.5674852721
0.85,29.3079653535,82.9149073474
0.86,28.5197865543,82.3033750296
0.87,27.9444622797,81.9584274496
0.88,27.6223675643,81.8977601995
0.89,27.4707067004,81.5205375241
0.9,27.4839401298,80.8960294069
0.91,27.9561123102,80.6004247778
0.92,28.3985109709,79.5977639966
0.93,28.2890022647,77.2214539692
0.9400000000000001,--undefined--,74.9889348189
0.9500000000000001,--undefined--,73.6432857743
0.96,--undefined--,72.9008139465
0.97,--undefined--,73.2090658439
0.98,--undefined--,73.9210104642
0.99,--undefined--,73.5308262134
1,--undefined--,71.8972100364
1.01,--undefined--,70.4612664988
1.02,--undefined--,69.9215859066
1.03,--undefined--,69.4958547818
1.04,--undefined--,69.1304559382
1.05,--undefined--,69.2970997595
1.06,--undefined--,69.261954704
1.07,--undefined--,68.395725234
1.08,--undefined--,67.168620317
1.09,--undefined--,66.51159377
1.1,--undefined--,67.2860458166
1.11,--undefined--,68.6356175881
1.12,--undefined--,69.0898557752
1.1300000000000001,--undefined--,68.206199856
1.1400000000000001,--undefined--,67.332501496
1.1500000000000001,--undefined--,68.4143848234
1.16,--undefined--,70.7843009384
1.17,--undefined--,72.6942855578
1.18,--undefined--,74.8883078579
1.19,--undefined--,80.674703172
1.2,--undefined--,85.1025182309
1.21,--undefined--,84.1016319985
1.22,--undefined--,79.4686564465
1.23,--undefined--,75.5838538082
1.24,--undefined--,73.0846105982
1.25,--undefined--,70.6069317707
1.26,--undefined--,68.7435387691
1.27,--undefined--,67.0837841977
1.28,--undefined--,66.2936735819
1.29,--undefined--,66.6860120111
1.3,--undefined--,67.0925622459
1.31,--undefined--,67.257635845
1.32,--undefined--,66.73743742
1.33,--undefined--,64.9005980053
1.34,--undefined--,63.466258823
1.35,--undefined--,63.4919364827
1.36,--undefined--,62.7798113201
1.37,--undefined--,61.8918448773
1.3800000000000001,--undefined--,62.5968056885
1.3900000000000001,--undefined--,63.3953265929
1.4000000000000001,--undefined--,62.099097823
1.41,--undefined--,59.3747857986
1.42,--undefined--,57.7471373011
1.43,--undefined--,58.1965630168
1.44,--undefined--,58.6690281333
1.45,--undefined--,59.1222415542
1.46,--undefined--,59.6524998701
