time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,31.9581127344,--undefined--
0.05,32.0124077846,62.9402153833
0.06,31.9629159828,63.7334342988
0.07,31.2154191119,62.531296403
0.08,29.2663276047,60.4306615553
0.09,28.4011404996,61.5824959202
0.1,30.4863578754,69.6229614952
0.11,33.253745112,79.5688374788
0.12,34.4696677411,85.5077814827
0.13,34.3915806893,87.7487066215
0.14,34.0313619271,88.8004557256
0.15,34.004603367,89.5856531762
0.16,34.0593255392,89.524152143
0.17,34.0220831882,89.5769455271
0.18,34.0489039306,89.9388313608
0.19,34.0433603094,89.7870138593
0.2,33.8354001637,89.2802523127
0.21,33.5425799279,88.6094145803
0.22,33.4202820004,87.4434842185
0.23,33.4057867251,85.8884974303
0.24,33.4553917898,84.797218333
0.25,33.4779818257,84.5534976513
0.26,33.5421826385,83.8084903717
0.27,33.7525831452,80.6635582009
0.28,33.8712354504,75.1869547793
0.29,33.8104912805,69.1257560747
0.3,33.7306945862,63.4397649113
0.31,33.7085848821,58.1941863801
0.32,33.6746583752,53.298486781
0.33,33.6506810564,48.5614926717
0.34,--undefined--,45.0541672239
0.35000000000000003,--undefined--,42.7855518993
0.36,--undefined--,40.3791470042
0.37,--undefined--,37.5536605253
0.38,--undefined--,34.0302709857
0.39,--undefined--,30.5322137127
0.4,--undefined--,28.521538279
0.41000000000000003,--undefined--,26.7791728252
0.42,--undefined--,23.670408874
0.43,--undefined--,20.2245666389
0.44,--undefined--,18.7192871816
0.45,--undefined--,19.1615109965
0.46,--undefined--,19.1512908945
0.47000000000000003,--undefined--,17.8292821292
0.48,--undefined--,15.5773861807
0.49,--undefined--,13.2821596867
0.5,--undefined--,16.5342902297
0.51,--undefined--,31.9481312659
0.52,--undefined--,49.8018916554
0.53,39.084578463,60.3456230498
0.54,41.4586682316,65.2162326445
0.55,43.4915227318,65.8940189218
0.56,44.2105983928,63.4783565852
0.5700000000000001,40.5012285737,59.0771073138
0.58,34.4136979834,53.8812701801
0.59,--undefined--,47.3838091785
0.6,--undefined--,38.3488701116
0.61,--undefined--,31.9613458926
0.62,--undefined--,34.6343749123
0.63,--undefined--,40.2133957841
0.64,--undefined--,43.716725536
0.65,--undefined--,45.368564936
0.66,--undefined--,44.8183039634
0.67,--undefined--,42.3420408386
0.68,--undefined--,40.4516390852
0.6900000000000001,--undefined--,43.2320852458
0.7000000000000001,--undefined--,51.7422294928
0.71,44.4458588371,60.8103408014
0.72,46.9020022499,66.9015323668
0.73,47.1391765462,70.853416452
0.74,46.4733225668,74.2705757352
0.75,45.3994429751,77.4952548402
0.76,44.1315202444,79.6791741859
0.77,41.1437981083,80.3156757324
0.78,37.0305492345,78.9369306647
0.79,35.2562134937,74.7203855008
0.8,34.4779038598,66.9620255995
0.81,34.4442025499,55.9380931831
0.8200000000000001,--undefined--,44.9441765915
0.8300000000000001,--undefined--,37.8903798195
0.84,--undefined--,35.4457768182
0.85,--undefined--,38.5454866731
0.86,--undefined--,44.2750240981
0.87,--undefined--,48.3210455041
0.88,--undefined--,50.2494044705
0.89,--undefined--,51.2314876761
0.9,--undefined--,51.9651877156
0.91,--undefined--,51.731410516
0.92,--undefined--,49.914410402
0.93,--undefined--,48.1476385491
0.9400000000000001,--undefined--,50.6144543311
0.9500000000000001,29.3413231629,57.7537245119
0.96,31.1504157315,64.1477480432
0.97,32.1644548774,67.4174148358
0.98,31.7453813318,68.0188267953
0.99,31.213010012,66.3689206189
1,29.6137104521,62.6705338199
1.01,27.3740470978,58.8458154183
1.02,27.78772818,57.4189787299
1.03,28.4232353593,57.3934438295
1.04,27.8423043561,56.9373129421
1.05,26.780864325,56.1555533058
1.06,25.3349023318,55.3555086808
1.07,23.7800118647,54.923873132
1.08,22.8951708378,54.7441040617
1.09,22.3556871473,54.7750528658
1.1,22.2578698956,55.8013756296
1.11,22.398300204,57.5216507455
1.12,22.5909317856,58.2348185098
1.1300000000000001,22.5783420684,56.1748188812
1.1400000000000001,22.449370009,50.9174599603
1.1500000000000001,--undefined--,44.4409478375
1.16,--undefined--,39.2892793616
1.17,--undefined--,35.1313391153
1.18,--undefined--,32.8845604408
1.19,--undefined--,36.6072119315
1.2,--undefined--,42.3710803405
1.21,--undefined--,42.3552059053
1.22,--undefined--,37.1123251482
1.23,--undefined--,31.7081015607
1.24,--undefined--,31.349106145
1.25,--undefined--,32.8364208059
1.26,--undefined--,31.8121481064
1.27,--undefined--,36.2449761393
1.28,--undefined--,50.6776775869
1.29,30.7579951103,61.6258464113
1.3,29.1962852391,67.2098098195
1.31,27.4632395177,69.4087184479
1.32,26.2065355603,70.2657443594
1.33,25.6138788291,71.6704062227
1.34,25.2015979825,73.5964955272
1.35,24.6650112726,74.1173719445
1.36,24.1548629948,73.2136343431
1.37,23.7709536125,72.5476364696
1.3800000000000001,--undefined--,70.7738976222
1.3900000000000001,--undefined--,66.5697181313
1.4000000000000001,--undefined--,63.8950413764
1.41,--undefined--,64.9984715971
1.42,--undefined--,65.9591162971
1.43,--undefined--,65.7377576337
1.44,21.0628826735,64.8609608607
1.45,20.7122270725,62.9379622499
