time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,0.0
0.06,--undefined--,13.8398200846
0.07,--undefined--,24.2405517401
0.08,--undefined--,31.9333827465
0.09,--undefined--,37.5047599908
0.1,--undefined--,41.4766146134
0.11,--undefined--,44.0692200047
0.12,--undefined--,45.6712288879
0.13,--undefined--,46.7984315711
0.14,--undefined--,47.6332933746
0.15,--undefined--,49.6801038199
0.16,--undefined--,53.7516362427
0.17,--undefined--,56.8154822788
0.18,--undefined--,57.7304865381
0.19,--undefined--,57.447935599
0.2,--undefined--,57.6072629814
0.21,--undefined--,58.990243215
0.22,--undefined--,61.4200649807
0.23,--undefined--,63.7874930916
0.24,--undefined--,64.7469322021
0.25,--undefined--,64.3085049449
0.26,--undefined--,63.490709582
0.27,--undefined--,63.1002199406
0.28,--undefined--,63.3967009115
0.29,--undefined--,63.5971486475
0.3,--undefined--,63.0191716218
0.31,--undefined--,62.4752067959
0.32,--undefined--,62.8413939631
0.33,--undefined--,63.8752545138
0.34,--undefined--,64.9662110448
0.35000000000000003,--undefined--,65.6703319471
0.36,--undefined--,65.7092256048
0.37,--undefined--,66.0385960751
0.38,--undefined--,67.7723069936
0.39,73.1365007424,69.5328991122
0.4,73.2621105461,70.3744293717
0.41000000000000003,73.3856593157,70.4231724401
0.42,--undefined--,69.6693677379
0.43,--undefined--,68.8670883517
0.44,21.5169368953,69.2043219673
0.45,21.4631723291,70.7864084961
0.46,21.3720790097,74.0032002612
0.47000000000000003,21.0602208564,78.9246344437
0.48,20.964358585,84.027315562
0.49,21.6377596008,88.2271944915
0.5,23.046410541,91.2445281798
0.51,24.4022881197,92.8867310384
0.52,25.1588164604,92.5086661338
0.53,25.7749126816,89.9842604165
0.54,26.5945491495,87.0211200652
0.55,27.4496693234,86.5597502103
0.56,28.3807232539,88.7397200145
0.5700000000000001,29.0148227816,91.4939082734
0.58,29.4624353641,93.1682551733
0.59,30.2469700416,93.767681502
0.6,31.1452276036,93.856305097
0.61,31.8580055201,93.6772361927
0.62,32.3429263938,93.3530166714
0.63,32.6485147686,93.2862496603
0.64,32.7499576331,93.8785578157
0.65,32.6810112188,94.5973106078
0.66,32.5209224735,94.7957597329
0.67,32.4585833528,94.1824909116
0.68,32.7095908851,92.1813602711
0.6900000000000001,33.3014966442,88.8505890365
0.7000000000000001,33.4281841682,86.6726332812
0.71,32.9287555679,86.8647252177
0.72,32.2854182305,87.616645955
0.73,31.41128117,88.8999601218
0.74,30.6931223569,90.9267160829
0.75,30.6259949178,92.2124633667
0.76,30.6321436907,91.0611663295
0.77,29.6527302438,87.2236762821
0.78,28.7042951183,83.3471369216
0.79,27.6397830699,83.3689239498
0.8,26.8287376493,85.7161787894
0.81,26.4976370828,88.1549207234
0.8200000000000001,26.1002911045,90.3630756093
0.8300000000000001,25.9268817438,92.0582287642
0.84,25.6814732171,92.9181398809
0.85,25.3600754769,93.4495959086
0.86,25.1808073864,94.1381089744
0.87,25.1728700453,94.6752366525
0.88,25.3768377189,94.6742858149
0.89,25.6878700033,93.8783135948
0.9,25.9866255757,92.4982721149
0.91,26.2359032652,91.302900425
0.92,26.2413240451,90.0199614778
0.93,25.9384372661,87.9792838552
0.9400000000000001,25.6769112941,85.5962051572
0.9500000000000001,25.5125778838,83.9117087376
0.96,25.3394588907,83.3198487455
0.97,25.3107116559,83.4379163056
0.98,25.3545038666,83.4863760974
0.99,23.8538514102,82.7250830913
1,22.2842619985,80.8683948273
1.01,18.9987725601,78.0630819156
1.02,16.3409143257,75.0561459633
1.03,--undefined--,71.9045307076
1.04,--undefined--,68.261454242
1.05,--undefined--,66.0181654686
1.06,--undefined--,67.4716891662
1.07,--undefined--,70.7207613063
1.08,--undefined--,73.3514678613
1.09,--undefined--,75.5806462594
1.1,--undefined--,79.113494097
1.11,25.7007103945,83.1670354652
1.12,25.5982662544,86.0457207406
1.1300000000000001,25.4284711815,87.4914890574
1.1400000000000001,25.1334435193,87.4073556577
1.1500000000000001,24.4992640828,85.7505634601
1.16,23.3286575531,83.7550218296
1.17,22.8150701425,83.2570605113
1.18,22.9116657471,83.4089840501
1.19,22.3712816574,84.3318781598
1.2,22.0393293407,87.0230628098
1.21,22.2980898802,89.3813586027
1.22,22.4512564067,90.040119792
1.23,22.4009983887,89.1333358176
1.24,22.2962583798,86.9114305098
1.25,20.5693974174,83.3313877623
1.26,19.0824313012,78.5828369496
1.27,--undefined--,73.6703384934
1.28,--undefined--,69.1670493336
1.29,--undefined--,65.1841662621
1.3,--undefined--,63.0877425653
1.31,--undefined--,63.4340175271
1.32,--undefined--,65.4994714106
1.33,--undefined--,67.1444094152
1.34,--undefined--,69.9484773405
1.35,22.5346328424,75.8512558161
1.36,22.3706915979,80.6874131232
1.37,21.3570755413,82.9825703113
1.3800000000000001,20.8089102663,83.8008590344
1.3900000000000001,21.1973444996,84.4877841713
1.4000000000000001,21.759902145,85.7006448867
1.41,22.4857555157,87.1196827606
1.42,23.3232068259,88.1530738247
1.43,23.9532316681,88.8671519578
1.44,24.2587243521,89.4267848912
