time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,61.030444411
0.06,--undefined--,58.1518078138
0.07,--undefined--,54.1604167119
0.08,--undefined--,51.0433240556
0.09,--undefined--,49.4742936615
0.1,--undefined--,48.75133625
0.11,--undefined--,48.428607058
0.12,--undefined--,47.9425980879
0.13,--undefined--,46.7376088392
0.14,--undefined--,45.3576810948
0.15,--undefined--,44.8363389191
0.16,--undefined--,45.1222776721
0.17,--undefined--,44.3063919628
0.18,--undefined--,42.2039418624
0.19,--undefined--,40.7868870219
0.2,--undefined--,40.8965400157
0.21,--undefined--,41.9175821054
0.22,--undefined--,43.1680804812
0.23,--undefined--,43.8103928123
0.24,--undefined--,43.5494641373
0.25,--undefined--,42.9108380541
0.26,--undefined--,43.8037988539
0.27,--undefined--,49.3834277075
0.28,--undefined--,59.3483413396
0.29,--undefined--,69.0644243453
0.3,--undefined--,76.5758886497
0.31,--undefined--,81.6431271274
0.32,21.8754428547,84.3485758594
0.33,22.3892420675,85.2552707487
0.34,24.4054413885,85.2981855172
0.35000000000000003,26.9098529119,84.4031056113
0.36,28.4490081656,82.450840009
0.37,28.8938639953,79.5522002448
0.38,29.2876336188,75.6411936868
0.39,29.5547244235,72.999196091
0.4,29.6505911481,73.1219110883
0.41000000000000003,30.3745211452,75.6176217423
0.42,32.2172585907,80.8727971515
0.43,33.6336422065,86.216729006
0.44,33.800682178,89.6299495807
0.45,33.6450644762,91.1654266869
0.46,33.5063912839,91.5068937909
0.47000000000000003,33.2314744344,91.179431399
0.48,32.019150421,90.0909403819
0.49,31.2123358161,87.9999800245
0.5,30.6956089814,85.6785318532
0.51,30.1882828271,84.7979156713
0.52,29.9081787577,85.7449451145
0.53,29.7232814731,86.6607845743
0.54,28.9846759456,86.4090356693
0.55,28.0611452774,85.9180795797
0.56,27.0667712907,84.6654993278
0.5700000000000001,--undefined--,80.4538423348
0.58,--undefined--,73.3446058125
0.59,--undefined--,67.4529868024
0.6,--undefined--,66.0248544998
0.61,--undefined--,66.6383462063
0.62,--undefined--,68.134256566
0.63,--undefined--,70.9734489107
0.64,23.8739141885,77.5129335433
0.65,24.1434501176,85.3362238365
0.66,24.0146656162,90.007147696
0.67,23.2870911844,91.3354752048
0.68,22.6658079216,90.3781573039
0.6900000000000001,22.2116431583,88.4235127857
0.7000000000000001,21.8950010215,86.8164568575
0.71,21.6554471341,86.1212731582
0.72,21.4823507108,86.0437669219
0.73,21.3598641552,85.6031668435
0.74,21.2708969395,83.4229292604
0.75,21.1255054351,78.4638874335
0.76,21.2469363692,71.026198265
0.77,--undefined--,64.5108360494
0.78,--undefined--,62.1663522104
0.79,--undefined--,63.719373702
0.8,18.911871238,70.5413159185
0.81,18.798991249,78.5139493532
0.8200000000000001,18.6700505059,83.3808744506
0.8300000000000001,18.4418564761,85.0700461668
0.84,17.7345276759,85.6128026155
0.85,17.299952376,86.7647864094
0.86,17.1069794471,87.8188448522
0.87,16.8977335663,87.7941715621
0.88,16.7138291333,86.3986862778
0.89,16.5368763407,83.2577977575
0.9,16.1104657852,78.9034456154
0.91,15.6115887778,76.2716633518
0.92,15.3790702141,77.3832079657
0.93,15.2257550871,79.2548649492
0.9400000000000001,15.0543770096,79.987116309
0.9500000000000001,14.9531202567,79.5225556057
0.96,14.3495372792,77.6147329505
0.97,13.0298491221,73.6472216398
0.98,12.4422313657,67.91706337
0.99,--undefined--,61.9992909855
1,--undefined--,57.7304528692
1.01,--undefined--,56.1832034079
1.02,--undefined--,56.9542708558
1.03,--undefined--,58.3909116221
1.04,--undefined--,60.651209903
1.05,--undefined--,63.0486063694
1.06,--undefined--,63.8370511326
1.07,--undefined--,66.7913202645
1.08,14.6578781322,74.1867922872
1.09,14.1367466652,79.9553101291
1.1,13.5815503325,83.0893117236
1.11,11.412107716,84.6879179078
1.12,9.98518083935,85.4527979305
1.1300000000000001,9.46791038284,85.0153231212
1.1400000000000001,9.09202567165,83.338326855
1.1500000000000001,8.72715175075,81.4576835713
1.16,8.57368455035,80.2210225384
1.17,8.4895047645,79.3824717529
1.18,8.25405727608,77.7298813931
1.19,7.96923250868,74.3689416989
1.2,7.06501482535,70.315444327
1.21,6.62447124193,67.4526141604
1.22,6.28585148957,65.5259975677
1.23,6.11247119932,64.0776409362
1.24,6.04569663328,63.8495879539
1.25,6.07964146809,64.3764214157
1.26,6.21943899674,64.7850774929
1.27,6.34408512863,64.9064653842
1.28,6.26200291705,64.9692979477
1.29,5.8725978548,64.8196899729
1.3,5.55403651774,63.6945988306
1.31,5.33442177982,61.6254404219
1.32,5.32959386158,59.5887300316
1.33,5.41604822444,58.7755238429
1.34,5.66615335738,59.8442049845
1.35,5.87007521999,61.669960248
1.36,5.7373365887,62.8274151472
1.37,5.20450494473,62.7955698728
1.3800000000000001,4.47197832831,61.9510518103
1.3900000000000001,--undefined--,61.2372830012
1.4000000000000001,--undefined--,61.150450581
1.41,--undefined--,61.6351714252
1.42,--undefined--,63.047299343
1.43,--undefined--,64.4165931469
1.44,--undefined--,63.9137645218
