time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,0.0
0.06,--undefined--,8.56510846845
0.07,--undefined--,15.9842377605
0.08,--undefined--,21.9689526916
0.09,--undefined--,26.5447258642
0.1,--undefined--,30.0323454875
0.11,--undefined--,32.6613089362
0.12,--undefined--,34.446872693
0.13,--undefined--,35.9093435632
0.14,--undefined--,37.7405887424
0.15,--undefined--,39.6981279525
0.16,--undefined--,41.3641066799
0.17,--undefined--,42.7064289807
0.18,--undefined--,43.6591020214
0.19,--undefined--,43.9018925911
0.2,--undefined--,42.5385753209
0.21,--undefined--,39.1641782697
0.22,--undefined--,35.2338023891
0.23,--undefined--,33.7929099445
0.24,--undefined--,40.187203012
0.25,--undefined--,50.0750325586
0.26,--undefined--,57.5284128106
0.27,--undefined--,61.8279655007
0.28,--undefined--,63.5221653553
0.29,--undefined--,64.014898798
0.3,13.4731704206,64.7318900974
0.31,13.2030991671,65.3941915311
0.32,13.0432876309,65.520458217
0.33,12.9843513826,65.6153949191
0.34,12.9276307939,65.8096214377
0.35000000000000003,12.830986626,65.2069994683
0.36,12.7620877221,62.8171395271
0.37,--undefined--,59.2472692067
0.38,--undefined--,60.2706901639
0.39,--undefined--,64.764147922
0.4,12.4259391261,67.9006427548
0.41000000000000003,12.6272638285,69.2102148154
0.42,12.614712761,69.1549552243
0.43,12.2397409733,67.84208073
0.44,11.9356058059,64.7341288412
0.45,--undefined--,59.3536733589
0.46,--undefined--,52.4318870698
0.47000000000000003,--undefined--,47.0933877933
0.48,--undefined--,45.3353631938
0.49,--undefined--,47.6989928882
0.5,--undefined--,52.8940801213
0.51,--undefined--,56.8986100014
0.52,--undefined--,60.5295732661
0.53,--undefined--,64.8628313776
0.54,--undefined--,67.8172746088
0.55,--undefined--,69.2415620572
0.56,--undefined--,71.3582958443
0.5700000000000001,--undefined--,75.9922512113
0.58,--undefined--,80.0942391178
0.59,13.6457815089,82.2291855737
0.6,13.2226538652,83.3104190539
0.61,12.7322328195,83.715694583
0.62,12.2251518357,83.2476634883
0.63,11.7779653256,82.4582104647
0.64,11.3823154905,82.2390662197
0.65,11.0269427582,82.3613535141
0.66,10.6090740228,82.2693639051
0.67,10.1238828501,81.7775070405
0.68,9.65118460727,80.8829711252
0.6900000000000001,9.18559229065,80.2617809268
0.7000000000000001,8.69474951835,80.1194467516
0.71,8.29661943812,79.8836348065
0.72,7.85388035359,79.5275792944
0.73,7.26748373722,79.2792683065
0.74,6.82796918996,79.2434318382
0.75,6.49289550098,79.4118771041
0.76,6.20977216198,79.2661280843
0.77,5.95782562493,78.9086347169
0.78,5.69987745742,79.1551671131
0.79,5.61675699557,80.2616443589
0.8,5.72583046294,81.3564098709
0.81,5.95092915023,82.0732500321
0.8200000000000001,6.16628456256,82.8812736707
0.8300000000000001,6.3189721738,83.5883123747
0.84,6.35294186381,83.3608704776
0.85,6.21497199979,81.3649377249
0.86,6.14758996954,77.3330425686
0.87,6.93928336556,73.5112422696
0.88,8.1201312756,74.1067727626
0.89,8.43809778446,76.7445186877
0.9,8.30732391806,78.9943009074
0.91,8.21073753754,80.5114773421
0.92,8.03593210198,81.4404875635
0.93,7.80513251883,81.9624585144
0.9400000000000001,7.62604891353,82.1170656693
0.9500000000000001,7.6926093104,82.0628587426
0.96,7.92643006731,82.1806591345
0.97,8.16149956544,82.6736736026
0.98,8.40376723715,83.1104222627
0.99,8.49185572233,82.9453936593
1,8.4523893311,82.4341942209
1.01,8.34842781025,82.0503923536
1.02,8.13060579309,81.3361331563
1.03,7.87524717301,79.7019784633
1.04,7.74874682912,77.6962006968
1.05,7.69401743436,76.3976007804
1.06,7.54239784584,75.7662318104
1.07,7.34812470176,75.271297486
1.08,7.1218703287,74.4700025435
1.09,6.76463005528,73.030850691
1.1,6.17547935046,70.9579065638
1.11,5.69213146809,69.1559762716
1.12,5.58264700889,67.955159025
1.1300000000000001,--undefined--,67.6488964423
1.1400000000000001,--undefined--,73.0830368551
1.1500000000000001,7.05327802658,80.3966590361
1.16,7.92208962928,85.7920799311
1.17,8.46225049055,89.2281370854
1.18,8.82778197712,91.0990165945
1.19,8.97883424317,92.0282704222
1.2,9.01372257723,92.6489588215
1.21,9.01079475649,92.9408883149
1.22,8.99471000864,92.5339283073
1.23,9.00127815454,91.5781636194
1.24,9.06529486791,90.8629977242
1.25,9.20323000062,90.6863015614
1.26,9.50376106053,90.3880481381
1.27,9.98232020898,89.3948895713
1.28,10.6156993407,87.9454119428
1.29,11.2201393062,86.7540809689
1.3,11.6289688668,86.0111076548
1.31,11.8869306661,84.93122749
1.32,11.7407604588,82.6507639562
1.33,10.7533997,78.9272299649
1.34,9.24656264705,74.0293035496
1.35,8.50093906537,68.115684952
1.36,--undefined--,62.2961523058
1.37,--undefined--,61.1461973308
1.3800000000000001,--undefined--,64.6788888406
1.3900000000000001,--undefined--,68.1769904884
1.4000000000000001,--undefined--,69.4625387218
1.41,--undefined--,68.7298334431
1.42,--undefined--,67.2084294183
1.43,--undefined--,66.0480791124
1.44,--undefined--,66.0003242143
