time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,53.6650575442
0.06,--undefined--,52.6996496237
0.07,--undefined--,50.3268038419
0.08,--undefined--,54.426974451
0.09,--undefined--,68.5436523999
0.1,--undefined--,80.6344070377
0.11,--undefined--,86.4374610494
0.12,28.9066429994,88.6289492241
0.13,29.8917021279,89.6146429094
0.14,30.8908370273,89.6617456617
0.15,31.2482519612,87.3792252667
0.16,30.461383752,83.3315038294
0.17,29.9487935788,81.5663598216
0.18,30.3736730579,83.4306544271
0.19,30.4302583807,85.1031816559
0.2,30.4971289544,85.5884465193
0.21,30.983485406,86.6083039292
0.22,31.33950713,88.5574513255
0.23,31.1609241245,88.7960537297
0.24,30.8793147796,85.8705772459
0.25,30.7879417166,81.2280530145
0.26,30.5398722855,79.2523832038
0.27,29.7559764845,81.7108384505
0.28,29.5117598806,85.1860440527
0.29,29.4970437184,88.2426055818
0.3,29.5809976378,89.5028585307
0.31,29.5637223155,88.146635727
0.32,29.4976881371,84.8374587245
0.33,29.3839813496,82.4141248948
0.34,29.1182191076,84.1369607675
0.35000000000000003,28.9548980301,88.0534424781
0.36,28.8828851231,89.8244994452
0.37,28.8138382068,88.8298690102
0.38,28.5950105349,87.0441517333
0.39,28.0733714662,86.1659947459
0.4,27.6643236459,85.3513258562
0.41000000000000003,27.5110766869,82.6974619558
0.42,27.8731414462,78.682368985
0.43,28.0929809552,76.7889104927
0.44,27.3440153819,77.872583862
0.45,26.9416407569,79.2861559091
0.46,26.9881648386,80.5039415133
0.47000000000000003,27.1920335314,81.4085199555
0.48,27.5052488915,81.6782001241
0.49,27.8099000843,81.5660531792
0.5,28.0863177171,81.7433424376
0.51,28.4821473441,82.5139412943
0.52,28.916981924,83.8115866212
0.53,29.3558032543,85.3934881828
0.54,29.6052454981,86.8561142425
0.55,29.6552498455,87.9809409467
0.56,30.1723967071,88.8860525247
0.5700000000000001,31.1403067968,89.1292338739
0.58,30.7225882182,87.9094879287
0.59,30.155391727,86.5534434413
0.6,30.2417397214,86.478805648
0.61,30.5188860636,86.7869547816
0.62,30.7755724477,86.9671895417
0.63,30.8351984931,86.4887315126
0.64,31.0594590026,84.9149945911
0.65,31.1169073926,82.7245778296
0.66,31.0451363534,80.9062967715
0.67,30.7827487713,79.9682945435
0.68,30.3007930978,79.2689907714
0.6900000000000001,29.4871866572,78.566868694
0.7000000000000001,28.6226228275,78.5752727594
0.71,28.2742530733,79.2855749892
0.72,27.7162633702,79.3020029143
0.73,26.1081626962,77.6329486016
0.74,23.9643088618,75.8607981197
0.75,22.2623499431,75.6859521022
0.76,20.2395838505,75.7717708615
0.77,17.8978715704,75.1299421055
0.78,17.9191813728,74.2586857672
0.79,--undefined--,73.7194784059
0.8,--undefined--,74.0346319084
0.81,--undefined--,75.2380338038
0.8200000000000001,22.6937701826,77.1256952991
0.8300000000000001,23.897281577,79.0451086465
0.84,24.5505340636,79.6978348313
0.85,24.3989124096,78.0768365472
0.86,24.0603835115,74.4311458445
0.87,23.9227522626,71.3457103451
0.88,23.9779999723,70.8164616328
0.89,23.8170207943,71.4493482254
0.9,23.53995686,72.698243583
0.91,23.3584599092,74.5106228979
0.92,23.2086820443,76.6928713633
0.93,22.7050485048,79.8988970795
0.9400000000000001,21.9571148945,83.1616406095
0.9500000000000001,21.7186601075,84.6394987368
0.96,21.769911818,83.5244114671
0.97,21.8568785662,79.8996942821
0.98,21.2102210723,75.2058280001
0.99,20.1413697684,71.4189274813
1,19.5278369244,68.2889381527
1.01,18.7143291851,63.8951624217
1.02,18.779185262,58.918561706
1.03,19.2924572189,55.7202393523
1.04,20.1115785202,55.3851847109
1.05,19.7375544511,60.8670855158
1.06,20.0084624025,72.2704347127
1.07,21.9002957199,82.179659247
1.08,22.2653090505,88.0397666896
1.09,21.9973391796,90.5537973914
1.1,21.0850368486,90.3757260235
1.11,19.9669473606,87.9097308901
1.12,19.675272508,83.0007499771
1.1300000000000001,20.1061275124,75.3457831725
1.1400000000000001,17.9787518231,66.9880078906
1.1500000000000001,13.2959199963,62.300773015
1.16,13.9306103016,63.3376711753
1.17,17.3748716821,68.0386321728
1.18,19.0757834701,72.7538114724
1.19,19.9563968041,75.5380461231
1.2,20.3122227547,76.3937425233
1.21,20.4576084724,76.2870167269
1.22,20.7174292147,75.9008321389
1.23,21.0016033743,75.2801497181
1.24,21.3617196163,75.2074743203
1.25,21.6306681286,76.5558284547
1.26,21.2648926391,78.9072873702
1.27,21.1232499057,81.3718336993
1.28,21.0736282559,83.2706250955
1.29,20.9644683418,84.2660790867
1.3,20.6617444328,84.288758876
1.31,20.0299572922,83.6965502688
1.32,19.1607294955,83.240762264
1.33,18.0475968763,83.7079312561
1.34,17.0429562572,84.8327455243
1.35,16.2627483694,84.7608920254
1.36,15.1346791606,82.6693582509
1.37,14.0499565717,79.9492591105
1.3800000000000001,13.2972915883,77.7086787474
1.3900000000000001,12.4359457391,75.5359067301
1.4000000000000001,11.4370840847,73.8844872338
1.41,10.8704583612,72.856957163
1.42,10.4364027955,70.7669113732
