time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,67.5588132883
0.06,--undefined--,67.0255074357
0.07,--undefined--,66.4952430398
0.08,--undefined--,65.5036773859
0.09,--undefined--,64.4070722921
0.1,--undefined--,64.1064640046
0.11,--undefined--,63.8724216065
0.12,--undefined--,63.9693495949
0.13,--undefined--,66.3634698061
0.14,--undefined--,68.3731097014
0.15,--undefined--,68.2471424557
0.16,--undefined--,67.7496451336
0.17,--undefined--,70.2355748029
0.18,--undefined--,73.109766115
0.19,--undefined--,73.4568751002
0.2,--undefined--,71.135065588
0.21,--undefined--,68.6470775351
0.22,--undefined--,68.605714712
0.23,--undefined--,68.3361208076
0.24,--undefined--,67.5933124412
0.25,--undefined--,67.1534289701
0.26,--undefined--,66.1940925121
0.27,--undefined--,64.83588259
0.28,--undefined--,63.8525579279
0.29,--undefined--,62.8222905905
0.3,--undefined--,61.3927080611
0.31,--undefined--,60.3586598601
0.32,--undefined--,59.5865850112
0.33,--undefined--,58.525484425
0.34,--undefined--,57.7493771318
0.35000000000000003,--undefined--,57.215961357
0.36,--undefined--,56.9328591827
0.37,--undefined--,56.4133254137
0.38,--undefined--,55.3451088091
0.39,--undefined--,54.4984523548
0.4,--undefined--,54.0976423203
0.41000000000000003,--undefined--,54.0219705087
0.42,--undefined--,54.235592608
0.43,--undefined--,54.3462571243
0.44,--undefined--,54.2157323105
0.45,--undefined--,53.948536839
0.46,--undefined--,53.5455203339
0.47000000000000003,--undefined--,53.1040027376
0.48,--undefined--,53.1205682157
0.49,--undefined--,53.0512490325
0.5,--undefined--,52.3204797548
0.51,--undefined--,51.424896769
0.52,--undefined--,51.4924121805
0.53,--undefined--,52.3712707755
0.54,--undefined--,52.7728698322
0.55,--undefined--,52.239242773
0.56,--undefined--,51.0507796305
0.5700000000000001,--undefined--,50.244823574
0.58,--undefined--,50.3710446452
0.59,--undefined--,51.3417767834
0.6,--undefined--,52.0964827289
0.61,--undefined--,51.6566286488
0.62,--undefined--,50.7718412921
0.63,--undefined--,50.0242845581
0.64,--undefined--,49.6967529756
0.65,--undefined--,50.8142684516
0.66,--undefined--,52.2986365758
0.67,--undefined--,52.4965651858
0.68,--undefined--,51.76280381
0.6900000000000001,--undefined--,51.6224036393
0.7000000000000001,--undefined--,51.8583034555
0.71,--undefined--,52.3038612081
0.72,--undefined--,54.0450832409
0.73,--undefined--,57.7425282755
0.74,--undefined--,62.8907470122
0.75,--undefined--,67.4882818451
0.76,--undefined--,70.66324207
0.77,--undefined--,73.1796589774
0.78,--undefined--,75.3031086795
0.79,--undefined--,76.510773879
0.8,--undefined--,76.6715523245
0.81,--undefined--,77.9435482537
0.8200000000000001,21.796899727,83.043912911
0.8300000000000001,21.5650142309,87.0086069343
0.84,21.2351266614,88.3463578072
0.85,21.10587266,87.6298933506
0.86,21.046017139,86.406329454
0.87,20.7910748041,86.7695592889
0.88,20.1335643357,88.5381060388
0.89,18.9966751158,89.8143897954
0.9,17.9877167394,89.385542032
0.91,16.7238708144,87.0069670513
0.92,--undefined--,83.3238339376
0.93,--undefined--,79.9611572601
0.9400000000000001,--undefined--,77.9120183912
0.9500000000000001,--undefined--,75.6986870588
0.96,--undefined--,72.0365720852
0.97,--undefined--,67.7424530531
0.98,--undefined--,65.3799078711
0.99,--undefined--,71.6705623742
1,--undefined--,82.1020543808
1.01,29.0391782698,89.4697430649
1.02,28.808845145,93.6956570899
1.03,28.1584845793,95.6402530147
1.04,27.1472081442,96.4797512347
1.05,26.37224451,96.7645638006
1.06,26.2001814243,96.497607266
1.07,26.3532320906,96.233767597
1.08,26.522956829,96.1557155923
1.09,26.5702664708,95.8920202917
1.1,26.5102415091,95.3341152251
1.11,26.5698705816,94.2252508146
1.12,26.885548551,92.5291251964
1.1300000000000001,27.0593500171,91.2927148631
1.1400000000000001,26.8993777869,91.4575466266
1.1500000000000001,26.5070664682,92.2216383319
1.16,25.6989055756,92.4042927053
1.17,24.6095350357,91.2849855741
1.18,22.1755324478,88.4247193198
1.19,20.1973585323,84.3062596999
1.2,19.9305319568,80.9558655767
1.21,19.7587592765,79.105553476
1.22,18.1123716481,78.5296567457
1.23,19.3802146402,79.6067257684
1.24,22.0007337323,81.7951428659
1.25,22.6509504275,84.0351000812
1.26,22.8713595544,85.6866028752
1.27,22.7194559082,86.8702583934
1.28,22.6122303762,88.5246737103
1.29,22.5872691405,90.3917058807
1.3,22.581607161,91.7102887762
1.31,22.6993525458,92.6729972726
1.32,22.8968257406,93.1975060217
1.33,22.8720731602,92.7887166728
1.34,22.6115690794,91.4558867488
1.35,22.1987883372,88.9806204854
1.36,20.3930858862,84.8162131869
1.37,--undefined--,79.2171412225
1.3800000000000001,--undefined--,74.1265295064
1.3900000000000001,--undefined--,71.5519800077
1.4000000000000001,--undefined--,70.7378175336
1.41,--undefined--,70.7197013177
1.42,--undefined--,70.9705205146
1.43,--undefined--,71.1581938029
1.44,--undefined--,70.8914246055
1.45,--undefined--,70.3585076347
1.46,--undefined--,70.7499900208
1.47,--undefined--,75.0554306189
