time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,20.8880079943
0.06,--undefined--,18.5239264375
0.07,--undefined--,17.2857374065
0.08,--undefined--,22.7104500399
0.09,--undefined--,40.4865293623
0.1,--undefined--,55.3253487318
0.11,44.7652099486,65.8496388727
0.12,49.2077019253,74.8015553488
0.13,50.5147564722,81.4316784565
0.14,51.5754308985,85.0791850257
0.15,53.1287846037,87.3306934362
0.16,54.9313506843,89.5213171496
0.17,56.6693465703,90.8185974972
0.18,58.4756285207,90.0906221635
0.19,60.5304440699,87.1141844471
0.2,62.5505309085,83.1469068769
0.21,63.7622779936,79.6768190495
0.22,64.2114339942,75.4218268098
0.23,65.0556910208,70.7850814448
0.24,67.3056633821,71.6200912052
0.25,69.6991574641,76.0552683266
0.26,71.1066434937,79.8805568657
0.27,72.1825349786,82.4944212281
0.28,73.0183723353,84.0594558558
0.29,73.6291935733,84.8743953035
0.3,73.9532322326,85.1095290022
0.31,73.8993230223,84.6583296915
0.32,73.6341031585,83.3297636121
0.33,73.338796756,81.1644165443
0.34,72.9741772963,77.8084022097
0.35000000000000003,72.3740651408,72.1339474425
0.36,71.8268157202,63.4171810376
0.37,71.2366590983,54.5436158883
0.38,68.8167524681,54.9215108325
0.39,66.8277054751,63.0070535134
0.4,67.7815086834,71.7088382264
0.41000000000000003,68.952873778,77.5720692126
0.42,70.2438948445,79.8975308506
0.43,70.9661655167,79.0830054308
0.44,70.6911932624,75.8813977185
0.45,68.832695526,71.0718084719
0.46,67.0217238244,66.1700945536
0.47000000000000003,--undefined--,65.5314997309
0.48,--undefined--,68.9552022215
0.49,--undefined--,73.0761726332
0.5,--undefined--,75.8732417819
0.51,--undefined--,75.9577476312
0.52,--undefined--,74.2648099965
0.53,--undefined--,72.1344722813
0.54,--undefined--,68.9332408645
0.55,--undefined--,63.6411566085
0.56,--undefined--,57.295652185
0.5700000000000001,--undefined--,59.4849247503
0.58,59.8559804946,67.5753382937
0.59,59.2116844012,73.5091451209
0.6,58.056230482,77.1362991275
0.61,56.3552183335,79.8973285565
0.62,54.6648650368,81.8574587471
0.63,53.3729372077,82.5073612371
0.64,52.5333976947,82.0490821499
0.65,51.9080255114,81.1505104502
0.66,51.332673997,80.4731111824
0.67,50.9342358169,80.0481910618
0.68,50.728713241,79.4749996322
0.6900000000000001,50.5290967377,78.9302206336
0.7000000000000001,50.2535804783,78.7177893248
0.71,50.037946012,78.4057144486
0.72,50.1114987815,77.2563733951
0.73,50.5785012247,74.551641701
0.74,51.2345477031,69.7959371324
0.75,51.2326280322,63.2479895911
0.76,46.267812017,55.8664251905
0.77,36.4764141205,48.3494640833
0.78,31.375187144,40.0952644247
0.79,--undefined--,32.1428121109
0.8,--undefined--,31.2163428431
0.81,--undefined--,40.5741185873
0.8200000000000001,--undefined--,56.6395464428
0.8300000000000001,36.650437641,69.6540053595
0.84,37.1774223849,78.277366944
0.85,38.4840531321,83.5495663307
0.86,39.5473700094,86.2627559943
0.87,40.2056458412,86.9780129821
0.88,40.4207401783,86.0591063049
0.89,40.2312583517,83.6308032265
0.9,39.4448805351,80.1295931237
0.91,37.78008397,77.1311370136
0.92,35.5141487426,75.1440053989
0.93,34.1540822133,72.6975500163
0.9400000000000001,--undefined--,72.078764499
0.9500000000000001,--undefined--,74.5949208915
0.96,--undefined--,76.797865162
0.97,--undefined--,77.819363195
0.98,--undefined--,78.2220036182
0.99,--undefined--,76.9361138461
1,--undefined--,71.7425348945
1.01,--undefined--,61.0881782565
1.02,--undefined--,45.2714320303
1.03,--undefined--,37.0511194878
1.04,--undefined--,50.6893113489
1.05,--undefined--,64.9093902707
1.06,--undefined--,76.1721227912
1.07,37.8627996648,83.5555811244
1.08,35.4701705073,86.9288032384
1.09,31.7325939717,87.8413223177
1.1,30.6471373959,88.0319234643
1.11,29.8094327189,87.8314980643
1.12,29.4357666048,87.2266626208
1.1300000000000001,29.9847743041,86.3949163606
1.1400000000000001,32.1557267661,85.5328054681
1.1500000000000001,34.7148986899,85.3677263269
1.16,35.9178177047,85.6996068955
1.17,36.93039773,86.0918885408
1.18,37.7796151162,86.2598733208
1.19,38.6756964691,85.0348800909
1.2,39.7907304007,80.8983923506
1.21,42.5476053777,74.1601588558
1.22,44.7399038435,68.2899273517
1.23,42.8294648635,63.5709524544
1.24,39.6397508717,56.6430302277
1.25,37.6890713951,46.1733496486
1.26,--undefined--,40.3189721148
1.27,--undefined--,44.9513425568
1.28,--undefined--,50.4145162062
1.29,--undefined--,54.277998346
1.3,--undefined--,55.8178586579
1.31,--undefined--,55.5553557624
1.32,--undefined--,54.4842833254
1.33,--undefined--,52.9126739278
1.34,--undefined--,51.6767035788
1.35,--undefined--,51.3020813131
1.36,--undefined--,50.1139845079
1.37,--undefined--,47.5099805215
1.3800000000000001,--undefined--,44.1891182707
1.3900000000000001,--undefined--,40.4673793977
1.4000000000000001,--undefined--,36.9297079269
1.41,--undefined--,33.3104627488
1.42,--undefined--,28.3508932317
1.43,--undefined--,21.3453033889
1.44,--undefined--,14.1264161949
