time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,42.407136965,--undefined--
0.03,43.7060325846,--undefined--
0.04,44.9869060005,--undefined--
0.05,45.6174952782,74.4835705362
0.06,45.7901700124,73.4472662647
0.07,45.4968862988,69.9411342696
0.08,--undefined--,66.997645303
0.09,--undefined--,66.8466715196
0.1,--undefined--,69.5556534193
0.11,--undefined--,72.7520180085
0.12,6.55195160067,75.8677985941
0.13,16.2547488939,77.8843162363
0.14,20.8730462862,76.8735611256
0.15,21.1828270606,72.0256781705
0.16,17.9916140366,63.9360589849
0.17,--undefined--,55.8841314003
0.18,--undefined--,51.2877069856
0.19,--undefined--,48.6121660574
0.2,--undefined--,52.0727790801
0.21,--undefined--,64.969331212
0.22,--undefined--,77.9526322736
0.23,29.9106423504,88.0421046304
0.24,30.0494573598,93.1340322065
0.25,30.7691031144,93.6975588618
0.26,31.9504265751,91.5536736865
0.27,33.0630793224,88.7565166167
0.28,33.9575516338,87.0288377221
0.29,34.6094994627,86.95514037
0.3,34.9567619428,87.4396690289
0.31,35.1195910764,88.0482955452
0.32,35.4911848949,89.0452131398
0.33,36.0591385327,89.6507393195
0.34,36.7009624376,88.7631194675
0.35000000000000003,37.0769063678,86.0708633712
0.36,33.4441317491,81.8771962607
0.37,29.7724501227,77.942729012
0.38,28.646331569,76.3396985662
0.39,29.4258502385,76.6632992613
0.4,33.6458557303,80.4743308514
0.41000000000000003,36.5961208637,87.0472846049
0.42,37.8844276082,91.9653186039
0.43,38.0849472554,94.2652917386
0.44,37.5540226359,94.0995012384
0.45,36.6588622428,91.8129961389
0.46,35.3897200883,88.2709123695
0.47000000000000003,31.2368536306,85.093310483
0.48,28.8934887455,83.7154253895
0.49,28.1914023269,83.9919133076
0.5,29.0821367752,86.3003387968
0.51,31.0490599724,90.9987503521
0.52,32.4829483007,94.586396989
0.53,33.4177412783,94.3178175432
0.54,33.6290023985,90.405254095
0.55,33.1029664207,86.6608304791
0.56,32.8427707095,87.2019808222
0.5700000000000001,32.7527960514,89.2958891502
0.58,32.431043822,90.943767511
0.59,31.982020374,91.7182960596
0.6,31.6932155941,91.3488427798
0.61,31.6296378551,89.7191938191
0.62,31.5777491914,86.9932991842
0.63,31.3878139086,84.6604688476
0.64,31.1063630145,85.8803870786
0.65,30.720333518,90.3078578978
0.66,29.971292464,94.2760651499
0.67,28.938288294,95.5737528468
0.68,28.2984030995,93.0739929187
0.6900000000000001,28.9245735366,86.8755810812
0.7000000000000001,26.5020177523,79.7831101092
0.71,24.441240225,76.466201042
0.72,23.1080613491,76.0357331242
0.73,21.9522416852,76.0528495002
0.74,21.5529027393,76.6952891749
0.75,21.4949030943,77.1050794645
0.76,21.1946891143,76.6327678558
0.77,21.1792767061,76.3453840906
0.78,21.6598661886,77.7459481697
0.79,23.6087713389,81.7270860421
0.8,26.1079996244,87.7591520264
0.81,27.6812476483,92.6977905035
0.8200000000000001,28.1188019299,94.6871645322
0.8300000000000001,27.7862926292,94.5038755008
0.84,27.4697823685,94.1666329083
0.85,27.4365608142,94.5931796608
0.86,27.5308693105,94.9701764767
0.87,27.7110848041,94.580924287
0.88,27.9256055789,93.4374386855
0.89,28.0531435886,92.0275730844
0.9,27.9980027567,90.9760602148
0.91,27.8221741923,90.616060668
0.92,27.6754378304,90.4943473988
0.93,27.525160926,90.3232747203
0.9400000000000001,27.3638873194,90.2974618148
0.9500000000000001,27.1255971653,90.1176740212
0.96,26.7812707052,89.0209629383
0.97,26.2783712951,86.4997051878
0.98,25.8357287712,83.3913315266
0.99,26.006655185,82.0948584055
1,25.8501390905,82.4056557127
1.01,25.7521067856,83.2507956097
1.02,26.1224810561,86.2480347679
1.03,26.5922590603,90.4907026249
1.04,27.1195582643,93.0110113945
1.05,27.4736627995,93.1762832027
1.06,27.6351991267,91.9943648324
1.07,27.9651917425,90.8457499339
1.08,28.5248799131,90.4508940478
1.09,29.2341222635,90.6226263553
1.1,30.1526725276,90.6517914036
1.11,31.2321691495,90.0736980685
1.12,32.8403918668,89.1788947096
1.1300000000000001,34.1023715293,89.3689394375
1.1400000000000001,34.3533522552,89.5718988512
1.1500000000000001,31.0979336767,85.8806781158
1.16,28.95369039,77.326911604
1.17,28.8713908355,67.8981666166
1.18,29.8609583016,62.4516989918
1.19,30.2269182828,57.8473559247
1.2,--undefined--,53.946826702
1.21,--undefined--,53.1843471743
1.22,--undefined--,56.7890955221
1.23,--undefined--,61.0661890966
1.24,--undefined--,63.496341692
1.25,--undefined--,63.8722232729
1.26,--undefined--,63.0433692218
1.27,--undefined--,61.0029395434
1.28,--undefined--,59.0339450967
1.29,32.6366369323,61.0527918558
1.3,32.3731491077,66.3759041942
1.31,31.6175287969,70.9648553972
1.32,31.3888601734,72.4783067774
1.33,--undefined--,69.4141748734
1.34,--undefined--,62.0813773805
1.35,--undefined--,55.2127254705
1.36,32.6438868734,57.4781026308
1.37,33.0428659485,65.0093912977
1.3800000000000001,32.5888923262,72.9644335472
1.3900000000000001,26.5552615384,82.4486900853
1.4000000000000001,23.6784266069,89.5888642626
1.41,23.1767485268,92.5110551565
1.42,22.3347540391,91.994750757
1.43,21.4633900844,90.7348002154
1.44,21.0628902412,90.7523278647
1.45,21.1757544961,90.8740321675
1.46,21.6878147087,90.9065335556
1.47,21.9708592789,91.2891227202
1.48,21.8334622795,91.810987292
1.49,21.5756594749,92.354570098
1.5,21.487193384,92.7684273874
1.51,21.5111469864,92.6417651487
1.52,21.4330829243,91.9375661066
1.53,21.1987024483,91.1987760853
1.54,20.8820920232,90.7850901878
1.55,20.5968691251,90.9267813295
1.56,20.4781960266,91.7657625897
1.57,20.4396912413,92.4058061919
1.58,20.4058428759,92.3674357914
1.59,20.4527763716,92.2231108505
1.6,20.4839141161,92.0807549122
1.61,20.4777149213,91.9919537927
1.62,20.4355562575,92.3185937507
1.6300000000000001,20.3874174915,92.6775710107
1.6400000000000001,20.3186024164,92.7791049467
1.6500000000000001,20.1587934398,92.9424968331
1.6600000000000001,19.9800729541,93.2075139652
1.67,19.8657026386,93.3067402687
1.68,19.7524690348,93.0986163092
1.69,19.5819785397,92.7016551561
1.7,19.4543681307,92.702745571
1.71,19.3783829383,93.1657193203
1.72,19.3226031102,93.2964519646
1.73,19.2717487527,93.0127130783
1.74,19.1422611019,92.88425327
1.75,18.9929852982,92.8964901739
1.76,18.8504974222,92.5625111832
1.77,18.633959581,92.0818617804
1.78,18.4848575234,92.0365784561
