time,pitch,intensity
0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,53.1364701581
0.06,--undefined--,54.2284784097
0.07,--undefined--,55.4201676935
0.08,--undefined--,56.4963528507
0.09,--undefined--,56.9210758399
0.1,--undefined--,55.559104709
0.11,--undefined--,52.1516339212
0.12,--undefined--,52.320205405
0.13,--undefined--,58.099267139
0.14,22.9028799036,63.3759033737
0.15,20.44687317,67.0584262678
0.16,18.5565380013,70.6785354531
0.17,17.7937751334,74.6498855369
0.18,17.0550216309,77.8436959019
0.19,16.2525323987,79.9489519322
0.2,15.916139157,81.7559436901
0.21,15.9837804537,83.9558224524
0.22,16.3992061771,86.1360004199
0.23,17.2946622978,87.825254931
0.24,18.3706525264,88.6175758905
0.25,19.4046663543,88.3393337009
0.26,20.5141537901,87.3985931233
0.27,21.4428255292,86.5594310788
0.28,21.9787725061,85.9812123831
0.29,22.2487619895,85.2298287511
0.3,22.6280344406,84.475726688
0.31,23.2486621256,84.4626792804
0.32,23.7216081458,85.2566508571
0.33,23.9548774293,86.2569307256
0.34,24.0662742965,86.9070821144
0.35000000000000003,24.0854823364,86.9291235731
0.36,24.1659777592,86.5688003126
0.37,24.2545579824,86.1466172145
0.38,24.2893016292,85.57961334
0.39,24.3818076642,84.9116929032
0.4,24.5192676674,84.4504756293
0.41000000000000003,24.5851786957,83.7209054228
0.42,24.4872862264,81.4347665915
0.43,24.0637235261,76.9065448733
0.44,23.0890481796,71.1475865521
0.45,22.2468140406,67.1378324567
0.46,21.8934793187,65.5969882508
0.47000000000000003,21.6396762706,64.7998083498
0.48,21.2078009704,64.0999791709
0.49,20.5357558403,63.0879036157
0.5,19.8318994861,61.6363934664
0.51,19.136267921,60.3746986127
0.52,18.5098666775,59.6347567571
0.53,18.0302506297,59.305958168
0.54,17.7286810962,59.2426276583
0.55,17.3920135123,59.0966851904
0.56,16.9751184861,58.4860080554
0.5700000000000001,16.4885331621,57.2782818015
0.58,15.9603485822,56.0211267861
0.59,15.6408660233,55.3144292561
0.6,15.4142293059,55.3593100121
0.61,15.0214467021,55.7831221913
0.62,14.6412224064,55.9743094721
0.63,14.5155689316,55.9681223595
0.64,14.5852032091,56.3966982496
0.65,15.1456293595,58.1693679852
0.66,17.1075373395,63.5777250887
0.67,22.3273929843,74.5130261264
0.68,27.6589491473,84.1482969314
0.6900000000000001,29.4267569842,89.3590774806
0.7000000000000001,30.2127560627,91.0148172569
0.71,32.0916405084,91.5585640779
0.72,34.1386240834,92.7717969681
0.73,35.4884591651,93.8806184492
0.74,36.5338936691,94.1579615225
0.75,37.1456971831,94.0607782225
0.76,37.2508670647,93.9777894017
0.77,37.0612359765,93.8592287732
0.78,36.8696085161,93.7236906682
0.79,36.9655119662,93.7126976271
0.8,37.490543082,93.6927122077
0.81,38.1857999772,93.5155464558
0.8200000000000001,38.591627134,93.6499447192
0.8300000000000001,38.5299822546,94.2894082944
0.84,38.0777525641,94.6608019033
0.85,37.3102376512,94.4793018958
0.86,36.3753609956,93.9945717147
0.87,35.372309378,93.4188319025
0.88,34.3503791744,92.9050374136
0.89,33.3144660385,92.027127299
0.9,32.4381867046,90.0563022673
0.91,31.619432876,85.7851025207
0.92,31.1395528072,78.0915003727
0.93,--undefined--,67.620969231
0.9400000000000001,--undefined--,57.6033906312
0.9500000000000001,--undefined--,49.9253750524
0.96,--undefined--,49.5101826904
0.97,--undefined--,56.5395269047
0.98,--undefined--,62.0474088306
0.99,--undefined--,65.0217368831
1,--undefined--,67.2446804186
1.01,--undefined--,68.6372883719
1.02,--undefined--,68.0742756351
1.03,--undefined--,66.1852867473
1.04,--undefined--,63.6974685847
1.05,--undefined--,65.3737868558
1.06,--undefined--,74.4507618837
1.07,30.0869165554,81.840979283
1.08,29.4036287236,86.2980688163
1.09,28.4424933945,88.3987748676
1.1,27.0307544845,89.1056075826
1.11,25.9766358551,89.9664042592
1.12,25.7569454397,90.6992499978
1.1300000000000001,25.7687154105,90.5904969463
1.1400000000000001,25.6248164075,89.6434394691
1.1500000000000001,25.1886748719,87.7205819683
1.16,24.7563924273,85.294478994
1.17,24.4946276436,83.8978069008
1.18,24.3978563523,83.6177843619
1.19,24.8129889575,82.0509871447
1.2,25.167473695,77.9700396188
1.21,24.8364244017,72.3784609689
1.22,24.6368548935,66.5590749409
1.23,24.7667286648,61.7174674712
1.24,23.391511578,58.5351789942
1.25,21.8329736705,56.6906909534
1.26,21.7520707057,56.4533498234
1.27,21.9649887479,57.6524081922
1.28,22.3561833245,59.9345634675
1.29,22.7550379701,62.1892942056
1.3,22.8586413974,62.5448919335
1.31,22.0714806728,60.163612326
1.32,20.4897095222,56.3205944874
1.33,19.6296707015,52.4901692814
1.34,--undefined--,49.3391318053
1.35,--undefined--,55.0044850216
1.36,--undefined--,68.4587190026
1.37,26.2005593121,78.2803621802
1.3800000000000001,26.2154952417,84.0237892661
1.3900000000000001,26.1293407949,87.2442913835
1.4000000000000001,26.0246539022,88.9464031332
1.41,25.9133634239,89.3389583048
1.42,25.7209916396,88.7818134645
1.43,25.4435096219,87.9170862979
